gratis 	 adjective 	 charge 	 free, without charge
cerca 	 adverb 	 in sight 	 close, near, around, nigh, at hand, close at hand, in sight
cerca 	 adverb 	 near 	 close, near, around, nigh, at hand, close at hand, in sight
cerca 	 adverb 	 around 	 close, near, around, nigh, at hand, close at hand, in sight
cerca 	 adverb 	 close 	 close, near, around, nigh, at hand, close at hand, in sight
cerca 	 adverb 	 at hand 	 close, near, around, nigh, at hand, close at hand, in sight
cerca 	 adverb 	 close by 	 nearby, close by
cerca 	 adverb 	 nearby 	 nearby, close by
cerca 	 noun 	 fence 	 fence
cerca 	 noun 	 wall 	 stone wall
cerca 	 noun 	 stone 	 stone wall
cercano 	 adjective 	 nearby 	 near, nearby, close
cercano 	 adjective 	 close 	 near, nearby, close
cercano 	 adjective 	 near 	 near, nearby, close
bestial 	 adjective 	 beastly 	 beastly
bestial 	 adjective 	 huge 	 massive, huge, giant
bestial 	 adjective 	 massive 	 massive, huge, giant
bestial 	 adjective 	 giant 	 massive, huge, giant
bestial 	 adjective 	 tremendous 	 tremendous, fantastic, awesome
bestial 	 adjective 	 fantastic 	 tremendous, fantastic, awesome
bestial 	 adjective 	 awesome 	 tremendous, fantastic, awesome
mandarina 	 noun 	 mandarin orange 	 mandarine, mandarin orange
mandarina 	 noun 	 mandarine 	 mandarine, mandarin orange
pcr 	 noun 	 CRP 	 lang=es|proteína C reactiva|nodot=1; CRP
pcr 	 noun 	 English 	 RCP; PCR
peritonitis 	 noun 	 English 	 peritonitis
pineal 	 adjective 	 pinealEnglish 	 pineal
temer 	 verb 	 fear 	 to fear
temer 	 verb 	 dread 	 to dread
temer 	 verb 	 suspect 	 to be afraid, sorry; to suspect
temer 	 verb 	 sorry 	 to be afraid, sorry; to suspect
temer 	 verb 	 afraid 	 to be afraid, sorry; to suspect
sudor 	 noun 	 sweat 	 sweat
reversible 	 adjective 	 English 	 reversible
valva 	 noun 	 valve 	 valve
filipino 	 adjective 	 Filipino 	 Filipino; Of or pertaining to the Philippines or its people, language, and culture
filipino 	 adjective 	 language 	 Filipino; Of or pertaining to the Philippines or its people, language, and culture
filipino 	 adjective 	 Philippines 	 Filipino; Of or pertaining to the Philippines or its people, language, and culture
filipino 	 adjective 	 culture 	 Filipino; Of or pertaining to the Philippines or its people, language, and culture
filipino 	 adjective 	 people 	 Filipino; Of or pertaining to the Philippines or its people, language, and culture
filipino 	 noun 	 local 	 A Filipino; a citizen or local inhabitant of the Philippines and those descending from such, especially a male
filipino 	 noun 	 citizen 	 A Filipino; a citizen or local inhabitant of the Philippines and those descending from such, especially a male
filipino 	 noun 	 Filipino 	 A Filipino; a citizen or local inhabitant of the Philippines and those descending from such, especially a male
filipino 	 noun 	 male 	 A Filipino; a citizen or local inhabitant of the Philippines and those descending from such, especially a male
filipino 	 noun 	 Philippines 	 A Filipino; a citizen or local inhabitant of the Philippines and those descending from such, especially a male
filipino 	 noun 	 inhabitant 	 A Filipino; a citizen or local inhabitant of the Philippines and those descending from such, especially a male
filipino 	 noun 	 pure 	 A male Philippine-born person of pure or majority Spanish descent
filipino 	 noun 	 descent 	 A male Philippine-born person of pure or majority Spanish descent
filipino 	 noun 	 majority 	 A male Philippine-born person of pure or majority Spanish descent
filipino 	 noun 	 born 	 A male Philippine-born person of pure or majority Spanish descent
filipino 	 noun 	 male 	 A male Philippine-born person of pure or majority Spanish descent
filipino 	 noun 	 Spanish 	 A male Philippine-born person of pure or majority Spanish descent
filipino 	 noun 	 Philippine 	 A male Philippine-born person of pure or majority Spanish descent
filipino 	 noun 	 Tagalog 	 Filipino ; The national language of the Philippines, based on Tagalog
filipino 	 noun 	 Filipino 	 Filipino ; The national language of the Philippines, based on Tagalog
filipino 	 noun 	 Philippines 	 Filipino ; The national language of the Philippines, based on Tagalog
filipino 	 noun 	 language 	 Filipino ; The national language of the Philippines, based on Tagalog
filipino 	 noun 	 national 	 Filipino ; The national language of the Philippines, based on Tagalog
sami 	 noun 	 Sami 	 Sami; Saami
sami 	 noun 	 Saami 	 Sami; Saami
sami 	 adjective 	 Sami 	 Sami; Saami
sami 	 adjective 	 Saami 	 Sami; Saami
peli 	 noun 	 movie 	 nodot=1, movie US, Canada, film
peli 	 noun 	 film 	 nodot=1, movie US, Canada, film
mitosis 	 noun 	 English 	 mitosis
sota 	 noun 	 jack 	 jack, knave
sota 	 noun 	 knave 	 jack, knave
sota 	 noun 	 woman 	 insolent woman
sota 	 noun 	 hussy 	 hussy; harlot
sota 	 noun 	 harlot 	 hussy; harlot
arpa 	 noun 	 harp 	 harp
aro 	 noun 	 hoop 	 hoop
aro 	 noun 	 ring 	 large ring
aro 	 noun 	 earring 	 earring
aro 	 noun 	 arum lily 	 arum lily
alcaide 	 noun 	 castle 	 commander of the defense of a castle
alcaide 	 noun 	 commander 	 commander of the defense of a castle
alcaide 	 noun 	 administrator 	 administrator of royal property
alcaide 	 noun 	 warden 	 warden; administrator of a prison
alcaide 	 noun 	 prison 	 warden; administrator of a prison
abacial 	 adjective 	 abbatial 	 abbatial
lato 	 adjective 	 extended 	 dilated, expanded, extended
lato 	 adjective 	 dilated 	 dilated, expanded, extended
lato 	 adjective 	 expanded 	 dilated, expanded, extended
gravamen 	 noun 	 tax 	 tax
gravamen 	 noun 	 encumbrance 	 encumbrance
bote 	 noun 	 dinghy 	 boat, dinghy
bote 	 noun 	 boat 	 boat, dinghy
bote 	 noun 	 vessel 	 vessel, can, canister,  container, jar, tin
bote 	 noun 	 tin 	 vessel, can, canister,  container, jar, tin
bote 	 noun 	 container 	 vessel, can, canister,  container, jar, tin
bote 	 noun 	 can 	 vessel, can, canister,  container, jar, tin
bote 	 noun 	 jar 	 vessel, can, canister,  container, jar, tin
bote 	 noun 	 canister 	 vessel, can, canister,  container, jar, tin
bote 	 noun 	 pool 	 jackpot, pot, pool
bote 	 noun 	 pot 	 jackpot, pot, pool
bote 	 noun 	 jackpot 	 jackpot, pot, pool
brahman 	 noun 	 Brahman 	 Brahman
poni 	 noun 	 pony 	 pony
homeostasis 	 noun 	 English 	 homeostasis
calma 	 noun 	 peacefulness 	 calm, stillness, peacefulness
calma 	 noun 	 calm 	 calm, stillness, peacefulness
calma 	 noun 	 stillness 	 calm, stillness, peacefulness
calma 	 noun 	 peace and quiet 	 tranquility, peace and quiet
calma 	 noun 	 tranquility 	 tranquility, peace and quiet
peto 	 noun 	 bib 	 bib
peto 	 noun 	 breastplate 	 breastplate
peto 	 noun 	 shirtfront 	 shirtfront
peto 	 noun 	 plastron 	 plastron
peto 	 noun 	 plastron 	 plastron
peto 	 noun 	 chest 	 chest pad
peto 	 noun 	 pad 	 chest pad
pella 	 noun 	 dollop 	 lump, dollop, mass
pella 	 noun 	 lump 	 lump, dollop, mass
pella 	 noun 	 mass 	 lump, dollop, mass
ballet 	 noun 	 English 	 ballet
bruno 	 adjective 	 dark 	 dark brown
bruno 	 adjective 	 brown 	 dark brown
bukake 	 noun 	 bukkake 	 bukkake
anejo 	 adjective 	 attached 	 attached
anejo 	 noun 	 affix 	 accompaniment, affix
anejo 	 noun 	 accompaniment 	 accompaniment, affix
bajo 	 adjective 	 short 	 short
bajo 	 adjective 	 low 	 low, ground
bajo 	 adjective 	 ground 	 low, ground
bajo 	 adjective 	 bottom 	 low, bottom, poor
bajo 	 adjective 	 low 	 low, bottom, poor
bajo 	 adjective 	 poor 	 low, bottom, poor
bajo 	 adjective 	 bass 	 bass
bajo 	 adjective 	 despicable 	 base, mean, low, despicable
bajo 	 adjective 	 mean 	 base, mean, low, despicable
bajo 	 adjective 	 low 	 base, mean, low, despicable
bajo 	 adjective 	 base 	 base, mean, low, despicable
bajo 	 adverb 	 low 	 low
bajo 	 adverb 	 down 	 down
bajo 	 adverb 	 down 	 down, quietly, softly
bajo 	 adverb 	 quietly 	 down, quietly, softly
bajo 	 adverb 	 softly 	 down, quietly, softly
bajo 	 noun 	 bass 	 bass
bodega 	 noun 	 cellar 	 cellar
bodega 	 noun 	 winery 	 winery
bodega 	 noun 	 storeroom 	 stockroom, storeroom
bodega 	 noun 	 stockroom 	 stockroom, storeroom
bodega 	 noun 	 Hispanic 	 corner store owned by Hispanics
bodega 	 noun 	 corner store 	 corner store owned by Hispanics
bodega 	 noun 	 grocery store 	 grocery store
bodega 	 noun 	 hold 	 hold
sah 	 noun 	 shah 	 shah
poder 	 noun 	 reign 	 power, reign
poder 	 noun 	 power 	 power, reign
poder 	 noun 	 authorization 	 authorization
poder 	 noun 	 proxy 	 proxy
poder 	 verb 	 be able 	 to be able, can
poder 	 verb 	 can 	 to be able, can
poder 	 verb 	 familiar 	 to be familiar with something, or with somebody's personality
spinning 	 noun 	 English 	 spinning
footing 	 noun 	 running 	 jogging , running
footing 	 noun 	 jogging 	 jogging , running
lepra 	 noun 	 leprosy 	 leprosy
runo 	 adjective 	 runic 	 runic
sari 	 noun 	 English 	 sari
dócil 	 adjective 	 docile 	 docile
detector 	 noun 	 English 	 detector
heliotropo 	 noun 	 heliotrope 	 heliotrope
karst 	 noun 	 English 	 karst
verga 	 noun 	 penis 	 penis
bulla 	 noun 	 rowdiness 	 rowdiness, racket, ruckus
bulla 	 noun 	 racket 	 rowdiness, racket, ruckus
bulla 	 noun 	 ruckus 	 rowdiness, racket, ruckus
bulla 	 noun 	 urgence 	 urgence
neuralgia 	 noun 	 English 	 neuralgia
lumpen 	 noun 	 hoi polloi 	 underclass, hoi polloi
lumpen 	 noun 	 underclass 	 underclass, hoi polloi
sii 	 conjunction 	 iff 	 iff
marihuana 	 noun 	 marijuana 	 marijuana
insignia 	 noun 	 badge 	 badge, insignia
insignia 	 noun 	 English 	 badge, insignia
luchador 	 adjective 	 fighting 	 fighting
luchador 	 noun 	 scrapper 	 fighter, scrapper
luchador 	 noun 	 fighter 	 fighter, scrapper
luchador 	 noun 	 wrestler 	 wrestler
luchador 	 noun 	 struggler 	 struggler
fervor 	 noun 	 English 	 fervor
pres 	 noun 	 press 	 press
ataxia 	 noun 	 English 	 ataxia
testimonial 	 adjective 	 token 	 token; nominal
testimonial 	 adjective 	 nominal 	 token; nominal
aparecer 	 verb 	 turn up 	 to appear, to turn up, to pop up
aparecer 	 verb 	 appear 	 to appear, to turn up, to pop up
aparecer 	 verb 	 pop up 	 to appear, to turn up, to pop up
aprender 	 verb 	 learn 	 to learn
modular 	 verb 	 modulate 	 to modulate
embarcadero 	 noun 	 pier 	 embarcadero, jetty, pier, landing
embarcadero 	 noun 	 landing 	 embarcadero, jetty, pier, landing
embarcadero 	 noun 	 jetty 	 embarcadero, jetty, pier, landing
chela 	 noun 	 skinned 	 chelo; blonde, fair-skinned, blue-eyed
chela 	 noun 	 fair 	 chelo; blonde, fair-skinned, blue-eyed
chela 	 noun 	 blue-eyed 	 chelo; blonde, fair-skinned, blue-eyed
chela 	 noun 	 blonde 	 chelo; blonde, fair-skinned, blue-eyed
chela 	 noun 	 beer 	 beer
palomino 	 noun 	 English 	 palomino
palomino 	 noun 	 squab 	 squab
palomino 	 noun 	 skid mark 	 skid mark
palomino 	 noun 	 droppings 	 pigeon droppings
acerbamente 	 adverb 	 bitterly 	 sourly, bitterly
acerbamente 	 adverb 	 sourly 	 sourly, bitterly
acérrimo 	 adjective 	 strong 	 very strong
acérrimo 	 adjective 	 tenacity 	 vigorous; with tenacity
acérrimo 	 adjective 	 vigorous 	 vigorous; with tenacity
acérrimo 	 adjective 	 die-hard 	 die-hard, extreme
acérrimo 	 adjective 	 extreme 	 die-hard, extreme
acérrimo 	 adjective 	 bitter 	 bitter
tetragonal 	 adjective 	 English 	 tetragonal
textual 	 adjective 	 exact 	 exact, precise, literal
textual 	 adjective 	 precise 	 exact, precise, literal
textual 	 adjective 	 literal 	 exact, precise, literal
estrenar 	 verb 	 use 	 to use for the first time in general
estrenar 	 verb 	 time 	 to use for the first time in general
estrenar 	 verb 	 first 	 to use for the first time in general
estrenar 	 verb 	 wear 	 to wear for the first time for clothing
estrenar 	 verb 	 time 	 to wear for the first time for clothing
estrenar 	 verb 	 first 	 to wear for the first time for clothing
estrenar 	 verb 	 premiere 	 to premiere
apenas 	 adverb 	 scarcely 	 hardly, scarcely, barely
apenas 	 adverb 	 hardly 	 hardly, scarcely, barely
apenas 	 adverb 	 barely 	 hardly, scarcely, barely
apenas 	 adverb 	 just 	 recently, just
apenas 	 adverb 	 recently 	 recently, just
apenas 	 adverb 	 as soon as 	 as soon as
padres 	 noun 	 parents 	 parents
recto 	 adjective 	 straight 	 straight
recto 	 adjective 	 upright 	 honest, honorable, upright, righteous, just, fair
recto 	 adjective 	 righteous 	 honest, honorable, upright, righteous, just, fair
recto 	 adjective 	 just 	 honest, honorable, upright, righteous, just, fair
recto 	 adjective 	 honest 	 honest, honorable, upright, righteous, just, fair
recto 	 adjective 	 fair 	 honest, honorable, upright, righteous, just, fair
recto 	 adjective 	 honorable 	 honest, honorable, upright, righteous, just, fair
recto 	 adjective 	 literal 	 literal
recto 	 adjective 	 right 	 right
recto 	 noun 	 rectum 	 rectum
recto 	 noun 	 rectus 	 rectus
guay 	 interjection 	 terrific 	 cool, terrific
guay 	 interjection 	 cool 	 cool, terrific
guay 	 adjective 	 terrific 	 cool  cool, terrific
guay 	 adjective 	 cool 	 cool  cool, terrific
guay 	 adverb 	 terrific 	 cool, terrific
guay 	 adverb 	 cool 	 cool, terrific
verso 	 adjective 	 versed 	 versed
verso 	 noun 	 poem 	 verse, poem
verso 	 noun 	 verse 	 verse, poem
verso 	 noun 	 line 	 verse, line '
verso 	 noun 	 verse 	 verse, line '
verso 	 noun 	 overleaf 	 verso, reverse, back, overleaf '
verso 	 noun 	 reverse 	 verso, reverse, back, overleaf '
verso 	 noun 	 back 	 verso, reverse, back, overleaf '
verso 	 noun 	 page 	 verso, left-hand page
verso 	 noun 	 left-hand 	 verso, left-hand page
verso 	 noun 	 culverin 	 small culverin '
verso 	 noun 	 lie 	 lie, story, porky
verso 	 noun 	 story 	 lie, story, porky
verso 	 noun 	 porky 	 lie, story, porky
sed 	 noun 	 thirst 	 thirst
sed 	 noun 	 tengo 	 * Tengo sed
restaurante 	 noun 	 restaurant 	 restaurant
restorán 	 noun 	 restaurant 	 restaurant
pillar 	 verb 	 get 	 to catch, get, to grab
pillar 	 verb 	 grab 	 to catch, get, to grab
pillar 	 verb 	 catch 	 to catch, get, to grab
pillar 	 verb 	 pilfer 	 to pilfer, steal
pillar 	 verb 	 steal 	 to pilfer, steal
pillar 	 verb 	 tag 	 to tag
pillar 	 verb 	 get 	 to get
pillar 	 verb 	 catch up 	 to catch, to catch up to
pillar 	 verb 	 catch 	 to catch, to catch up to
pillar 	 verb 	 pick up 	 to catch, to pick up, to bust, to nab
pillar 	 verb 	 bust 	 to catch, to pick up, to bust, to nab
pillar 	 verb 	 nab 	 to catch, to pick up, to bust, to nab
pillar 	 verb 	 catch 	 to catch, to pick up, to bust, to nab
pillar 	 verb 	 pick up 	 to come down with, catch, to pick up
pillar 	 verb 	 catch 	 to come down with, catch, to pick up
pillar 	 verb 	 come down with 	 to come down with, catch, to pick up
pillar 	 verb 	 pick up on 	 to pick up on, to take
pillar 	 verb 	 take 	 to pick up on, to take
pillar 	 verb 	 score 	 to score
pillar 	 verb 	 jam 	 to jam
pillar 	 verb 	 crush on 	 to fall in love, to crush on someone
pillar 	 verb 	 fall in love 	 to fall in love, to crush on someone
béisbol 	 noun 	 baseball 	 baseball
semana 	 noun 	 week 	 week
esfera 	 noun 	 sphere 	 sphere
esfera 	 noun 	 realm 	 sphere, area, realm
esfera 	 noun 	 area 	 sphere, area, realm
esfera 	 noun 	 sphere 	 sphere, area, realm
esfera 	 noun 	 clock face 	 clock face
polilla 	 noun 	 moth 	 moth
polilla 	 noun 	 woodworm 	 grub, woodworm, bookworm
polilla 	 noun 	 bookworm 	 grub, woodworm, bookworm
polilla 	 noun 	 grub 	 grub, woodworm, bookworm
puta 	 noun 	 whore 	 whore, slut, prostitute
puta 	 noun 	 prostitute 	 whore, slut, prostitute
puta 	 noun 	 slut 	 whore, slut, prostitute
puta 	 noun 	 bitch 	 bitch
zodiacal 	 adjective 	 English 	 zodiacal
fragor 	 noun 	 clamour 	 clamour, din
fragor 	 noun 	 din 	 clamour, din
fragor 	 noun 	 heat 	 heat
cras 	 adverb 	 tomorrow 	 tomorrow
chofer 	 noun 	 driver 	 chauffeur, driver
chofer 	 noun 	 chauffeur 	 chauffeur, driver
pudin 	 noun 	 pudding 	 pudding
pudín 	 noun 	 pudding 	 pudding
alfombra 	 noun 	 rug 	 carpet, rug
alfombra 	 noun 	 carpet 	 carpet, rug
alfombra 	 noun 	 mat 	 mat
cero 	 numeral 	 zero 	 cardinal numbers zero
cero 	 noun 	 zero 	 zero
rincón 	 noun 	 corner 	 corner ', angle
rincón 	 noun 	 angle 	 corner ', angle
rincón 	 noun 	 cosy 	 nook, cosy corner
rincón 	 noun 	 nook 	 nook, cosy corner
rincón 	 noun 	 haven 	 haven, retreat
rincón 	 noun 	 retreat 	 haven, retreat
rincón 	 noun 	 patch 	 patch, small piece '
rincón 	 noun 	 piece 	 patch, small piece '
rincón 	 noun 	 bit 	 bit, end
rincón 	 noun 	 end 	 bit, end
esquina 	 noun 	 corner 	 corner
esquina 	 noun 	 corner 	 corner
judicial 	 adjective 	 English 	 judicial
bolos 	 noun 	 bowling 	 bowling
cachorro 	 noun 	 puppy 	 puppy
cachorro 	 noun 	 cub 	 cub
cachorro 	 noun 	 pup 	 pup
abrelatas 	 noun 	 tin opener 	 can opener, tin opener
abrelatas 	 noun 	 can opener 	 can opener, tin opener
zine 	 noun 	 English 	 A zine
producir 	 verb 	 produce 	 to produce
producir 	 verb 	 arise 	 to occur, to be there, to take place, to happen, to arise, to come about
producir 	 verb 	 be there 	 to occur, to be there, to take place, to happen, to arise, to come about
producir 	 verb 	 occur 	 to occur, to be there, to take place, to happen, to arise, to come about
producir 	 verb 	 take place 	 to occur, to be there, to take place, to happen, to arise, to come about
producir 	 verb 	 happen 	 to occur, to be there, to take place, to happen, to arise, to come about
producir 	 verb 	 come about 	 to occur, to be there, to take place, to happen, to arise, to come about
cepa 	 noun 	 variety 	 variety
cepa 	 noun 	 strain 	 strain
cepa 	 noun 	 rhizome 	 rootstalk, rhizome
cepa 	 noun 	 rootstalk 	 rootstalk, rhizome
cepa 	 noun 	 grapevine 	 grapevine stock, grapevine
cepa 	 noun 	 stock 	 grapevine stock, grapevine
cepa 	 noun 	 stump 	 stub, stump
cepa 	 noun 	 stub 	 stub, stump
cepa 	 noun 	 root 	 root
cepa 	 noun 	 ancestry 	 ancestry, stock, origin
cepa 	 noun 	 origin 	 ancestry, stock, origin
cepa 	 noun 	 stock 	 ancestry, stock, origin
cepa 	 noun 	 pier 	 pier
cepa 	 noun 	 nucleus 	 nucleus
soñar 	 verb 	 dream 	 intr=1|qual1=of|qual2=about to dream
sueno 	 noun 	 sound 	 sound
sonido 	 noun 	 noise 	 sound, noise
sonido 	 noun 	 sound 	 sound, noise
sonido 	 noun 	 tone 	 tone
dólar 	 noun 	 dollar 	 dollar
fila 	 noun 	 line 	 line, row, rank, file
fila 	 noun 	 file 	 line, row, rank, file
fila 	 noun 	 rank 	 line, row, rank, file
fila 	 noun 	 row 	 line, row, rank, file
fila 	 noun 	 line 	 queue British, line US
fila 	 noun 	 queue 	 queue British, line US
fila 	 noun 	 rank 	 rank
echar 	 verb 	 cast 	 to throw, toss, cast, jettison
echar 	 verb 	 jettison 	 to throw, toss, cast, jettison
echar 	 verb 	 throw 	 to throw, toss, cast, jettison
echar 	 verb 	 toss 	 to throw, toss, cast, jettison
echar 	 verb 	 pour 	 to pour
echar 	 verb 	 put in 	 to put in, add
echar 	 verb 	 add 	 to put in, add
echar 	 verb 	 let out 	 to let out
echar 	 verb 	 dump 	 to dump
echar 	 verb 	 give off 	 to emit, give off, send out
echar 	 verb 	 send out 	 to emit, give off, send out
echar 	 verb 	 emit 	 to emit, give off, send out
echar 	 verb 	 send packing 	 to kick out, expel, throw out, to send packing
echar 	 verb 	 expel 	 to kick out, expel, throw out, to send packing
echar 	 verb 	 kick out 	 to kick out, expel, throw out, to send packing
echar 	 verb 	 throw out 	 to kick out, expel, throw out, to send packing
echar 	 verb 	 dismiss 	 to fire, dismiss
echar 	 verb 	 fire 	 to fire, dismiss
echar 	 verb 	 play 	 to play
echar 	 verb 	 sprout 	 to sprout
echar 	 verb 	 have 	 to take, have
echar 	 verb 	 take 	 to take, have
echar 	 verb 	 post 	 to mail, post
echar 	 verb 	 mail 	 to mail, post
echar 	 verb 	 give 	 to give, bestow ; to put  on
echar 	 verb 	 put 	 to give, bestow ; to put  on
echar 	 verb 	 bestow 	 to give, bestow ; to put  on
echar 	 verb 	 turn 	 to turn ; to slide
echar 	 verb 	 slide 	 to turn ; to slide
echar 	 verb 	 start off 	 to start off, begin
echar 	 verb 	 begin 	 to start off, begin
echar 	 verb 	 oneself 	 to throw oneself
echar 	 verb 	 throw 	 to throw oneself
echar 	 verb 	 lie down 	 to lie down
echar 	 verb 	 put on 	 to put on
diversión 	 noun 	 fun 	 fun, entertainment, levity
diversión 	 noun 	 entertainment 	 fun, entertainment, levity
diversión 	 noun 	 levity 	 fun, entertainment, levity
nombre 	 noun 	 name 	 name
nombre 	 noun 	 noun 	 noun
labrador 	 noun 	 husbandman 	 farmer, husbandman
labrador 	 noun 	 farmer 	 farmer, husbandman
labrador 	 noun 	 Labrador 	 Labrador
labrador 	 noun 	 worker 	 worker, laborer
labrador 	 noun 	 laborer 	 worker, laborer
implacable 	 adjective 	 unrelenting 	 implacable, harsh, unrelenting
implacable 	 adjective 	 implacableEnglish 	 implacable, harsh, unrelenting
implacable 	 adjective 	 harsh 	 implacable, harsh, unrelenting
impermeable 	 noun 	 raincoat 	 raincoat
lavandería 	 noun 	 laundry 	 laundry, laundromat
lavandería 	 noun 	 laundromat 	 laundry, laundromat
autoclave 	 noun 	 autoclaveEnglish 	 autoclave
finlandés 	 adjective 	 Finnish 	 Finnish
finlandés 	 adjective 	 Finnish 	 Finnish
finlandés 	 noun 	 Finn 	 a Finn
finlandés 	 noun 	 Finnish 	 the Finnish language
ayudar 	 verb 	 help 	 to help
rapaz 	 adjective 	 rapacious 	 rapacious
rapaz 	 adjective 	 prey 	 of prey
rapaz 	 noun 	 bird of prey 	 bird of prey
rapaz 	 noun 	 kiddo 	 lad; kiddo
rapaz 	 noun 	 lad 	 lad; kiddo
suspense 	 noun 	 English 	 suspense
suspense 	 noun 	 thriller 	 thriller
levitar 	 verb 	 levitate 	 to levitate
cincuenta 	 numeral 	 fifty 	 cardinal numbers fifty
sesenta 	 numeral 	 sixty 	 cardinal numbers sixty
setenta 	 numeral 	 seventy 	 cardinal numbers seventy
ochenta 	 numeral 	 eighty 	 cardinal numbers eighty; fourscore
ochenta 	 numeral 	 fourscore 	 cardinal numbers eighty; fourscore
pared 	 noun 	 wall 	 wall, especially of a house or room
perceptible 	 adjective 	 English 	 perceptible
tique 	 noun 	 ticket 	 ticket
tique 	 noun 	 receipt 	 receipt
esperar 	 verb 	 hope 	 to hope for, hope to often with a verb in the subjunctive
esperar 	 verb 	 look for 	 to expect, look for often with a verb in the indicative
esperar 	 verb 	 expect 	 to expect, look for often with a verb in the indicative
esperar 	 verb 	 wait 	 to wait to, wait for, await
esperar 	 verb 	 await 	 to wait to, wait for, await
esperar 	 verb 	 wait for 	 to wait to, wait for, await
esperar 	 verb 	 wait 	 to wait, to hold on
esperar 	 verb 	 hold on 	 to wait, to hold on
esperar 	 verb 	 hope 	 to hope
esperar 	 verb 	 expect 	 to expect a baby
esperar 	 verb 	 expected 	 to be expected, to expect impersonal use
esperar 	 verb 	 expect 	 to be expected, to expect impersonal use
esperanza 	 noun 	 hope 	 hope
esperanza 	 noun 	 expectation 	 expectation, expectancy
esperanza 	 noun 	 expectancy 	 expectation, expectancy
mostrar 	 verb 	 show 	 to show
pigmeo 	 adjective 	 pygmy 	 pygmy
pigmeo 	 noun 	 pygmy 	 pygmy
cabello 	 noun 	 hair 	 hair
bigote 	 noun 	 mustaches 	 moustache, mustache; moustaches, mustaches
bigote 	 noun 	 mustache 	 moustache, mustache; moustaches, mustaches
bigote 	 noun 	 moustaches 	 moustache, mustache; moustaches, mustaches
bigote 	 noun 	 moustache 	 moustache, mustache; moustaches, mustaches
bigote 	 noun 	 whisker 	 whisker, whiskers  often in plural
bigote 	 noun 	 whiskers 	 whisker, whiskers  often in plural
extensor 	 adjective 	 extending 	 extending; that which extends
extensor 	 adjective 	 extend 	 extending; that which extends
extensor 	 noun 	 English 	 extensor
hoja 	 noun 	 leaf 	 leaf
hoja 	 noun 	 petal 	 petal
hoja 	 noun 	 blade 	 blade
hoja 	 noun 	 pad 	 pad
hoja 	 noun 	 sheet 	 sheet, leaf
hoja 	 noun 	 page 	 page
hoja 	 noun 	 form 	 form
hoja 	 noun 	 foil 	 foil
hoja 	 noun 	 blade 	 blade
hoja 	 noun 	 pane 	 pane
hoja 	 noun 	 side of bacon 	 side
mota 	 noun 	 speck 	 speck
mota 	 noun 	 marijuana 	 marijuana
mota 	 noun 	 fluff 	 fluff, pill
mota 	 noun 	 pill 	 fluff, pill
crónica 	 noun 	 chronicle 	 chronicle
sensor 	 adjective 	 sensor 	 acting as a sensor
grava 	 noun 	 gravel 	 gravel
jaro 	 adjective 	 reddish 	 reddish, ruddy
jaro 	 adjective 	 ruddy 	 reddish, ruddy
granular 	 adjective 	 English 	 granular
granular 	 verb 	 granulate 	 to granulate
cuando 	 adverb 	 when 	 when
cuando 	 conjunction 	 when 	 when
salmo 	 noun 	 psalm 	 psalm
soledad 	 noun 	 solitude 	 solitude
autobús 	 noun 	 coach 	 bus, coach
autobús 	 noun 	 bus 	 bus, coach
hongo 	 noun 	 mushroom 	 mushroom
hongo 	 noun 	 fungus 	 fungus
hongo 	 noun 	 bowler hat 	 bowler hat, derby
hongo 	 noun 	 derby 	 bowler hat, derby
seta 	 noun 	 mushroom 	 mushroom
nieve 	 noun 	 snow 	 snow
nieve 	 noun 	 ice cream 	 ice cream
velo 	 noun 	 veil 	 veil
donde 	 adverb 	 what 	 where, in what place
donde 	 adverb 	 place 	 where, in what place
donde 	 adverb 	 where 	 where, in what place
donde 	 conjunction 	 because 	 because
donde 	 conjunction 	 if 	 if
donde 	 pronoun 	 what 	 where, in what place
donde 	 pronoun 	 place 	 where, in what place
donde 	 pronoun 	 where 	 where, in what place
troy 	 adjective 	 troyEnglish 	 troy
ey 	 interjection 	 hey 	 hey!
sector 	 noun 	 section 	 section
sector 	 noun 	 zone 	 zone
sector 	 noun 	 branch 	 branch
ambos 	 adjective 	 both 	 both
ambos 	 adjective 	 las 	 los dos, las dos
ambos 	 adjective 	 los 	 los dos, las dos
ambos 	 adjective 	 dos 	 los dos, las dos
ambos 	 numeral 	 both 	 both
ambos 	 pronoun 	 both 	 both
lugar 	 noun 	 place 	 place
tero 	 noun 	 teru-tero 	 teru-tero
talar 	 adjective 	 heel 	 covering or reaching the heel
talar 	 verb 	 cut down 	 to cut, cut down particularly a tree, forest
talar 	 verb 	 cut 	 to cut, cut down particularly a tree, forest
talar 	 noun 	 grove 	 tala grove
talar 	 noun 	 tala 	 tala grove
porque 	 conjunction 	 because 	 because
halda 	 noun 	 skirt 	 skirt
halda 	 noun 	 sack 	 a kind of sack
debutante 	 adjective 	 novice 	 novice, first-time
debutante 	 adjective 	 first-time 	 novice, first-time
debutante 	 noun 	 beginner 	 debutant, beginner, first-timer
debutante 	 noun 	 first-timer 	 debutant, beginner, first-timer
debutante 	 noun 	 debutant 	 debutant, beginner, first-timer
enseñar 	 verb 	 teach 	 to teach
enseñar 	 verb 	 show 	 to show
sorprender 	 verb 	 surprise 	 to surprise
escuela 	 noun 	 school 	 school
