gratis 	 adverb 	 free 	 gratis, free
pietra 	 noun 	 stone 	 stone
macchia 	 noun 	 stain 	 stain or smear
macchia 	 noun 	 smear 	 stain or smear
macchia 	 noun 	 fleck 	 spot, fleck
macchia 	 noun 	 spot 	 spot, fleck
macchia 	 noun 	 blot 	 blot, speck, disgrace
macchia 	 noun 	 speck 	 blot, speck, disgrace
macchia 	 noun 	 disgrace 	 blot, speck, disgrace
macchia 	 noun 	 shrub 	 shrub, bush, brake
macchia 	 noun 	 brake 	 shrub, bush, brake
macchia 	 noun 	 bush 	 shrub, bush, brake
nuvola 	 noun 	 cloud 	 cloud
nuvola 	 noun 	 w:Purgatorio 	 * author=Dante Alighieri|authorlink=Dante Alighieri|title=La divina commedia: Purgatorio|trans-title=The Divine Comedy: Purgatory|format=paperback|publisher=Bompiani|year=1321|year_published=2001|page=459|section=Canto XXX|lines=28–33|passage=così dentro una nuvola di fiori ¶ che da le mani angeliche saliva ¶ e ricadeva in giù dentro e di fori, ¶ donna m’apparve, sotto verde manto ¶ vestita di color di fiamma viva.|translation=Thus in the bosom of a cloud of flowers which from those hands angelical ascended, and downward fell again inside and out, over her snow-white veil with olive cinct appeared a lady under a green mantle, vested in colour of the living flame
rosso 	 adjective 	 red 	 red
rosso 	 adjective 	 ginger 	 ginger, red
rosso 	 adjective 	 red 	 ginger, red
rosso 	 adjective 	 red hot 	 incandescent, red hot
rosso 	 adjective 	 incandescent 	 incandescent, red hot
rosso 	 adjective 	 w:Inferno  	 * author=Dante Alighieri|authorlink=Dante Alighieri|title=La divina commedia: Inferno|trans-title=The Divine Comedy: Hell|format=paperback|edition=12th|publisher=Le Monnier|year=1321|year_published=1994|page=124|section=Canto VIII|lines=73–75|passage=... Ed ei mi disse: «Il foco etterno ¶ ch'entro l'affoca le dimostra rosse, ¶ come tu vedi in questo basso inferno».|translation=And he to me: "The fire eternal ¶ that kindles them within makes them look red, ¶ as thou beholdest in this nether Hell&quot
rosso 	 noun 	 red 	 red
rosso 	 noun 	 w:Inferno  	 * author=Dante Alighieri|authorlink=Dante Alighieri|title=La divina commedia: Inferno|trans-title=The Divine Comedy: Hell|format=paperback|edition=12th|publisher=Le Monnier|year=1321|year_published=1994|page=158|section=Canto X|lines=85–87|passage=Ond' io a lui: «Lo strazio e 'l grande scempio ¶ che fece l'Arbia colorata in rosso, ¶ tal orazion fa far nel nostro tempio».|translation=Whence I to him: "The slaughter and great carnage ¶ which have with crimson stained the Arbia, cause ¶ such orisons in our temple to be made.&quot
rosso 	 noun 	 pigment 	 Any red pigment
rosso 	 noun 	 Socialist 	 A Socialist or Communist
rosso 	 noun 	 Communist 	 A Socialist or Communist
rosso 	 noun 	 gules 	 gules
brio 	 noun 	 liveliness 	 vivacity, liveliness
brio 	 noun 	 vivacity 	 vivacity, liveliness
viva 	 interjection 	 hooray 	 hooray!
viva 	 interjection 	 long live 	 long live ... !
periodo 	 noun 	 period 	 period, time, span, run
periodo 	 noun 	 time 	 period, time, span, run
periodo 	 noun 	 span 	 period, time, span, run
periodo 	 noun 	 run 	 period, time, span, run
periodo 	 noun 	 period 	 period
periodo 	 noun 	 sinusoidal 	 The time between successive peaks or troughs in a sinusoidal phenomenon
periodo 	 noun 	 year 	 The time taken for a planet to orbit its star; year
periodo 	 noun 	 star 	 The time taken for a planet to orbit its star; year
periodo 	 noun 	 orbit 	 The time taken for a planet to orbit its star; year
periodo 	 noun 	 moment 	 moment
periodo 	 noun 	 age 	 age, epoch
periodo 	 noun 	 epoch 	 age, epoch
periodo 	 noun 	 season 	 season
periodo 	 noun 	 compound sentence 	 complex or compound sentence
periodo 	 noun 	 complex sentence 	 complex or compound sentence
pericolo 	 noun 	 peril 	 peril, danger
pericolo 	 noun 	 danger 	 peril, danger
perfetto 	 adjective 	 perfect 	 perfect
cedro 	 noun 	 cedar 	 cedar
cedro 	 noun 	 citron 	 citron
va' 	 interjection 	 surprise 	 An expression of surprise, anger or resignation
va' 	 interjection 	 anger 	 An expression of surprise, anger or resignation
va' 	 interjection 	 resignation 	 An expression of surprise, anger or resignation
cemento 	 noun 	 cement 	 cement
cemento 	 noun 	 bond 	 link, bond
cemento 	 noun 	 link 	 link, bond
cervo 	 noun 	 deer 	 deer
cervo 	 noun 	 stag 	 stag
licantropo 	 noun 	 lycanthrope 	 lycanthrope
licantropo 	 noun 	 werewolf 	 werewolf
fisso 	 adjective 	 fixed 	 fixed
fisso 	 adjective 	 regular 	 regular, stable, steady
fisso 	 adjective 	 steady 	 regular, stable, steady
fisso 	 adjective 	 stable 	 regular, stable, steady
fisso 	 adverb 	 intently 	 fixedly, intently
fisso 	 adverb 	 fixedly 	 fixedly, intently
fisso 	 noun 	 allowance 	 fixed salary, fixed pay, fixed allowance
fisso 	 noun 	 pay 	 fixed salary, fixed pay, fixed allowance
fisso 	 noun 	 fixed 	 fixed salary, fixed pay, fixed allowance
fisso 	 noun 	 salary 	 fixed salary, fixed pay, fixed allowance
fisso 	 noun 	 phone 	 home phone
fisso 	 noun 	 home 	 home phone
buco 	 noun 	 hole 	 hole
buco 	 noun 	 w:Grazia Deledda 	 * 1911, Grazia Deledda, I giuochi della vita, Fratelli Treves , page
buco 	 noun 	 w:Stefano Benni 	 * 1984, Stefano Benni, Stranalandia, Feltrinelli , page
buco 	 noun 	 gap 	 gap
buco 	 noun 	 aperture 	 aperture
buco 	 noun 	 hovel 	 hovel
lucido 	 adjective 	 shiny 	 bright, shiny, glossy
lucido 	 adjective 	 bright 	 bright, shiny, glossy
lucido 	 adjective 	 glossy 	 bright, shiny, glossy
lucido 	 adjective 	 lucid 	 lucid
lucido 	 noun 	 lustre 	 lustre, polish
lucido 	 noun 	 polish 	 lustre, polish
lucido 	 noun 	 shoe polish 	 shoe polish
interessante 	 adjective 	 interesting 	 interesting
plebe 	 noun 	 riffraff 	 rabble, riffraff
plebe 	 noun 	 rabble 	 rabble, riffraff
aliante 	 noun 	 glider 	 glider
umano 	 adjective 	 human 	 human
umano 	 adjective 	 humane 	 humane, compassionate
umano 	 adjective 	 compassionate 	 humane, compassionate
umano 	 noun 	 human being 	 human being
umano 	 noun 	 human race 	 mankind, human race
umano 	 noun 	 mankind 	 mankind, human race
ultimo 	 adjective 	 last 	 last
ultimo 	 adjective 	 current 	 recent, current
ultimo 	 adjective 	 recent 	 recent, current
ultimo 	 adjective 	 month 	 pertaining to last month
ultimo 	 adjective 	 last 	 pertaining to last month
echidna 	 noun 	 English 	 echidna
virtù 	 noun 	 virtue 	 virtue
virtù 	 noun 	 power 	 power
pietà 	 noun 	 pity 	 pity, compassion, godliness
pietà 	 noun 	 godliness 	 pity, compassion, godliness
pietà 	 noun 	 compassion 	 pity, compassion, godliness
pietà 	 noun 	 piety 	 piety
piazza 	 noun 	 plaza 	 square, plaza
piazza 	 noun 	 square 	 square, plaza
piazza 	 noun 	 market 	 market
piazza 	 noun 	 space 	 space, post
piazza 	 noun 	 post 	 space, post
piazza 	 noun 	 area 	 A bald area on the scalp
piazza 	 noun 	 bald 	 A bald area on the scalp
piazza 	 noun 	 scalp 	 A bald area on the scalp
palla 	 noun 	 ball 	 ball
palla 	 noun 	 shot 	 bullet, shot
palla 	 noun 	 bullet 	 bullet, shot
palla 	 noun 	 testicle 	 testicles
palla 	 noun 	 arduous 	 an arduous and/or boring undertaking or event
fiato 	 noun 	 breath 	 breath
rumore 	 noun 	 sound 	 noise, sound
rumore 	 noun 	 noise 	 noise, sound
rumore 	 noun 	 repute 	 reputation, rumour, name, repute
rumore 	 noun 	 reputation 	 reputation, rumour, name, repute
rumore 	 noun 	 rumour 	 reputation, rumour, name, repute
rumore 	 noun 	 name 	 reputation, rumour, name, repute
psicologia 	 noun 	 psychology 	 psychology
trovare 	 verb 	 find 	 to find
trovare 	 verb 	 visit 	 to visit a friend, relative, etc
trovare 	 verb 	 get hold of 	 to contact or get hold of someone
trovare 	 verb 	 contact 	 to contact or get hold of someone
trovare 	 verb 	 come by 	 to come by; to come across
trovare 	 verb 	 come across 	 to come by; to come across
trovare 	 verb 	 believe 	 to think; to believe
trovare 	 verb 	 think 	 to think; to believe
trovare 	 verb 	 think up 	 to think up
trovare 	 verb 	 poetry 	 to compose poetry
trovare 	 verb 	 compose 	 to compose poetry
sfera 	 noun 	 sphere 	 sphere, ball, globe
sfera 	 noun 	 ball 	 sphere, ball, globe
sfera 	 noun 	 globe 	 sphere, ball, globe
sfera 	 noun 	 scope 	 scope, range
sfera 	 noun 	 range 	 scope, range
mondo 	 noun 	 world 	 world
mondo 	 noun 	 society 	 people; society
mondo 	 noun 	 people 	 people; society
mondo 	 noun 	 kingdom 	 kingdom
mondo 	 adjective 	 cleaned 	 cleaned
mondo 	 adjective 	 peeled 	 peeled
gerundio 	 noun 	 gerund 	 gerund mood
gerundio 	 noun 	 mood 	 gerund mood
gerundio 	 noun 	 passato 	 gerundio passato
gerundio 	 noun 	 gerundio 	 gerundio passato
animare 	 verb 	 animate 	 to animate
animare 	 verb 	 enliven 	 to enliven
animare 	 verb 	 encourage 	 to encourage
inglese 	 adjective 	 English 	 English
inglese 	 noun 	 Englishwoman 	 Englishman, Englishwoman
inglese 	 noun 	 Englishman 	 Englishman, Englishwoman
inglese 	 noun 	 English 	 English people, British people, the English, the British
inglese 	 noun 	 British 	 English people, British people, the English, the British
parere 	 verb 	 seem 	 to look, seem, appear
parere 	 verb 	 look 	 to look, seem, appear
parere 	 verb 	 appear 	 to look, seem, appear
parere 	 verb 	 think 	 to think
parere 	 verb 	 sound 	 to sound
parere 	 noun 	 opinion 	 opinion, view, comment
parere 	 noun 	 comment 	 opinion, view, comment
parere 	 noun 	 view 	 opinion, view, comment
parere 	 noun 	 judgment 	 estimate, judgment
parere 	 noun 	 estimate 	 estimate, judgment
alt 	 interjection 	 stop 	 stop!
missile 	 noun 	 English 	 missile
missile 	 adjective 	 English 	 missile
troupe 	 noun 	 English 	 troupe, company
troupe 	 noun 	 company 	 troupe, company
belare 	 verb 	 bleat 	 to bleat
belare 	 verb 	 sing 	 to sing in a whiny or mushy tone
belare 	 verb 	 mushy 	 to sing in a whiny or mushy tone
belare 	 verb 	 whiny 	 to sing in a whiny or mushy tone
belare 	 verb 	 recite 	 to recite annoyingly or affectedly slowly
belare 	 verb 	 annoying 	 to recite annoyingly or affectedly slowly
belare 	 verb 	 affected 	 to recite annoyingly or affectedly slowly
belare 	 verb 	 slow 	 to recite annoyingly or affectedly slowly
porporino 	 adjective 	 purple 	 purple
cloaca 	 noun 	 sewer 	 sewer
cloaca 	 noun 	 cesspit 	 cesspit, cesspool
cloaca 	 noun 	 cesspool 	 cesspit, cesspool
cloaca 	 noun 	 English 	 cloaca
sharia 	 noun 	 shari'a 	 shari'a
degno 	 adjective 	 deserving 	 worthy, deserving
degno 	 adjective 	 worthy 	 worthy, deserving
degno 	 adjective 	 suitable 	 eligible, suitable
degno 	 adjective 	 eligible 	 eligible, suitable
degno 	 adjective 	 admirable 	 admirable, respectable
degno 	 adjective 	 respectable 	 admirable, respectable
denaro 	 noun 	 money 	 money
denaro 	 noun 	 denier 	 denier
denaro 	 noun 	 coin 	 coin
luminoso 	 adjective 	 luminous 	 luminous, light attributive
luminoso 	 adjective 	 light 	 luminous, light attributive
luminoso 	 adjective 	 bright 	 bright
luminoso 	 adjective 	 clear 	 clear
convergere 	 verb 	 converge 	 to converge
fingere 	 verb 	 pretend 	 to pretend; to feign; to dissemble
fingere 	 verb 	 dissemble 	 to pretend; to feign; to dissemble
fingere 	 verb 	 feign 	 to pretend; to feign; to dissemble
fingere 	 verb 	 suppose 	 to pretend, imagine, or suppose
fingere 	 verb 	 imagine 	 to pretend, imagine, or suppose
fingere 	 verb 	 model 	 to shape or model
fingere 	 verb 	 shape 	 to shape or model
italiana 	 noun 	 Italy 	 t=a person from or an inhabitant of Italy
correre 	 verb 	 run 	 to run a race or a risk
correre 	 verb 	 run 	 to run
correre 	 verb 	 rush 	 to hurry, rush
correre 	 verb 	 hurry 	 to hurry, rush
console 	 noun 	 consul 	 consul
vittoria 	 noun 	 victory 	 victory
sbaglio 	 noun 	 goof 	 mistake, failure, goof
sbaglio 	 noun 	 mistake 	 mistake, failure, goof
sbaglio 	 noun 	 failure 	 mistake, failure, goof
sdegno 	 noun 	 indignation 	 indignation, resentment
sdegno 	 noun 	 resentment 	 indignation, resentment
sdegno 	 noun 	 enmity 	 enmity, animosity
sdegno 	 noun 	 animosity 	 enmity, animosity
tacere 	 verb 	 silent 	 to be silent
tacere 	 verb 	 dummy up 	 to dummy up
tacere 	 verb 	 quiet 	 to keep quiet
tacere 	 noun 	 silence 	 silence
libertà 	 noun 	 liberty 	 freedom; liberty
libertà 	 noun 	 freedom 	 freedom; liberty
orientale 	 adjective 	 oriental 	 oriental, eastern, east
orientale 	 adjective 	 east 	 oriental, eastern, east
orientale 	 adjective 	 eastern 	 oriental, eastern, east
orientale 	 adjective 	 Oriental 	 Oriental, Eastern, Asian
orientale 	 adjective 	 eastern 	 Oriental, Eastern, Asian
orientale 	 adjective 	 Asian 	 Oriental, Eastern, Asian
orientale 	 noun 	 Asiatic 	 Oriental, Asian, Asiatic
orientale 	 noun 	 Oriental 	 Oriental, Asian, Asiatic
orientale 	 noun 	 Asian 	 Oriental, Asian, Asiatic
origine 	 noun 	 origin 	 origin, derivation
origine 	 noun 	 derivation 	 origin, derivation
quasi 	 adverb 	 almost 	 almost, nearly
quasi 	 adverb 	 nearly 	 almost, nearly
quasi 	 conjunction 	 as if 	 as if
forma 	 noun 	 form 	 form
forma 	 noun 	 shape 	 shape
forma 	 noun 	 mould 	 mould
basic 	 noun 	 English 	 BASIC
balla 	 noun 	 reap 	 large bundle, torsello, bale, reap
balla 	 noun 	 bale 	 large bundle, torsello, bale, reap
balla 	 noun 	 torsello 	 large bundle, torsello, bale, reap
balla 	 noun 	 bundle 	 large bundle, torsello, bale, reap
balla 	 noun 	 lie 	 falsehood, lie, malarkey
balla 	 noun 	 falsehood 	 falsehood, lie, malarkey
balla 	 noun 	 malarkey 	 falsehood, lie, malarkey
balla 	 noun 	 bollock 	 testicle, bollock
balla 	 noun 	 testicle 	 testicle, bollock
hawaiano 	 adjective 	 Hawaiian 	 Hawaiian
hawaiano 	 noun 	 Hawaiian 	 Hawaiian
hawaiano 	 noun 	 Hawaiian 	 the Hawaiian language
severo 	 adjective 	 severe 	 severe
severo 	 adjective 	 strict 	 strict
baluba 	 noun 	 English 	 baluba
nero 	 adjective 	 black 	 black
nero 	 noun 	 black 	 black colour
nero 	 noun 	 fascist 	 fascist, the extreme right
nero 	 noun 	 right 	 fascist, the extreme right
nero 	 noun 	 ink 	 ink
nero 	 noun 	 black 	 a person of black skin
nero 	 noun 	 sable 	 sable
liberty 	 noun 	 art nouveau 	 art nouveau
miracolo 	 noun 	 miracle 	 miracle
miracolo 	 noun 	 wonder 	 marvel, wonder
miracolo 	 noun 	 marvel 	 marvel, wonder
patchwork 	 noun 	 English 	 patchwork
scorcio 	 noun 	 foreshortening 	 foreshortening
scorcio 	 noun 	 glimpse 	 glimpse; view
scorcio 	 noun 	 view 	 glimpse; view
pastorale 	 adjective 	 pastoral 	 pastoral
pastorale 	 adjective 	 bucolic 	 bucolic
pastorale 	 adjective 	 rural 	 rural
pastorale 	 noun 	 pastoral 	 pastoral
pastorale 	 noun 	 English 	 pastorale
pastorale 	 noun 	 crosier 	 crook, crosier
pastorale 	 noun 	 crook 	 crook, crosier
incline 	 adjective 	 inclined 	 inclined, prone
incline 	 adjective 	 prone 	 inclined, prone
furore 	 noun 	 violence 	 fury, violence
furore 	 noun 	 fury 	 fury, violence
furore 	 noun 	 frenzy 	 frenzy
furore 	 noun 	 excitement 	 excitement
morte 	 noun 	 death 	 death
maturo 	 adjective 	 mature 	 ripe, mature
maturo 	 adjective 	 ripe 	 ripe, mature
vocale 	 adjective 	 voice 	 vocal; voice attributive
vocale 	 adjective 	 vocal 	 vocal; voice attributive
vocale 	 noun 	 vowel 	 vowel
problema 	 noun 	 problem 	 problem
problema 	 noun 	 glitch 	 glitch, bug
problema 	 noun 	 bug 	 glitch, bug
ledere 	 verb 	 infringe 	 to hurt, infringe
ledere 	 verb 	 hurt 	 to hurt, infringe
ledere 	 verb 	 injure 	 to injure, damage
ledere 	 verb 	 damage 	 to injure, damage
rebus 	 noun 	 English 	 rebus
rebus 	 noun 	 enigma 	 enigma
rebus 	 noun 	 puzzle 	 puzzle
rebus 	 noun 	 conundrum 	 conundrum
coincidere 	 verb 	 coincide 	 to coincide
frutto 	 noun 	 harvest 	 an end result, effect, or consequence, harvest
frutto 	 noun 	 offspring 	 fruit offspring from a sexual union
edificio 	 noun 	 building 	 building
edificio 	 noun 	 organisation 	 organisation
rai 	 noun 	 ray 	 rays
rai 	 noun 	 look 	 looks
rai 	 noun 	 eye 	 eyes
diastema 	 noun 	 English 	 diastema
inutile 	 adjective 	 useless 	 useless, unnecessary, needless
inutile 	 adjective 	 unnecessary 	 useless, unnecessary, needless
inutile 	 adjective 	 needless 	 useless, unnecessary, needless
inutile 	 adjective 	 ineffective 	 ineffective
mina 	 noun 	 land mine 	 mine, land mine
mina 	 noun 	 mine 	 mine, land mine
mina 	 noun 	 lead 	 lead in pencils
grandine 	 noun 	 hail 	 hail
avaro 	 adjective 	 mean 	 mean, stingy
avaro 	 adjective 	 stingy 	 mean, stingy
avaro 	 noun 	 miser 	 miser
fuori 	 adverb 	 outside 	 out, outside
fuori 	 adverb 	 out 	 out, outside
fuori 	 adverb 	 outdoors 	 outdoors
impresa 	 noun 	 exploit 	 enterprise, undertaking, exploit, feat, endeavour
impresa 	 noun 	 feat 	 enterprise, undertaking, exploit, feat, endeavour
impresa 	 noun 	 undertaking 	 enterprise, undertaking, exploit, feat, endeavour
impresa 	 noun 	 endeavour 	 enterprise, undertaking, exploit, feat, endeavour
impresa 	 noun 	 enterprise 	 enterprise, undertaking, exploit, feat, endeavour
impresa 	 noun 	 concern 	 company, firm, business, concern
impresa 	 noun 	 business 	 company, firm, business, concern
impresa 	 noun 	 company 	 company, firm, business, concern
impresa 	 noun 	 firm 	 company, firm, business, concern
regalia 	 noun 	 gratuity 	 tip, gratuity
regalia 	 noun 	 tip 	 tip, gratuity
regalia 	 noun 	 English 	 regalia
regalia 	 noun 	 handout 	 handout
buio 	 adjective 	 dark 	 dark
buio 	 noun 	 darkness 	 darkness, dark
buio 	 noun 	 dark 	 darkness, dark
sostantivo 	 noun 	 noun 	 noun, substantive
sostantivo 	 noun 	 substantive 	 noun, substantive
sostantivo 	 adjective 	 nominal 	 nominal, substantive
sostantivo 	 adjective 	 substantive 	 nominal, substantive
comedone 	 noun 	 blackhead 	 comedo or blackhead
comedone 	 noun 	 comedo 	 comedo or blackhead
polio 	 noun 	 plant 	 The plant ver=190611
polio 	 noun 	 poliomyelitis 	 poliomyelitis, polio
vendere 	 verb 	 sell 	 to sell
stretto 	 adjective 	 narrow 	 narrow
stretto 	 adjective 	 tight 	 tight
stretto 	 adjective 	 strict 	 strict
stretto 	 adjective 	 close 	 close
stretto 	 noun 	 strait 	 strait
volley 	 noun 	 volleyball 	 volleyball
ieri 	 adverb 	 yesterday 	 yesterday
ieri 	 noun 	 yesterday 	 yesterday
ideale 	 adjective 	 ideal 	 ideal
ideale 	 noun 	 ideal 	 ideal
identico 	 adjective 	 identical 	 identical
isola 	 noun 	 isle 	 island, isle
isola 	 noun 	 island 	 island, isle
esperimento 	 noun 	 experiment 	 experiment
esperimento 	 noun 	 test 	 test, trial, examination
esperimento 	 noun 	 examination 	 test, trial, examination
esperimento 	 noun 	 trial 	 test, trial, examination
speranza 	 noun 	 hope 	 hope
spirito 	 noun 	 spirit 	 spirit, mind
spirito 	 noun 	 mind 	 spirit, mind
spirito 	 noun 	 esprit 	 sparkle, wit, esprit
spirito 	 noun 	 wit 	 sparkle, wit, esprit
spirito 	 noun 	 sparkle 	 sparkle, wit, esprit
spirito 	 noun 	 alcohol 	 alcohol
segreto 	 adjective 	 secret 	 secret
segreto 	 noun 	 secret 	 secret
fondo 	 adjective 	 deep 	 deep
fondo 	 noun 	 bottom 	 bottom
fondo 	 noun 	 fund 	 fund
fondo 	 noun 	 background 	 background
fondo 	 noun 	 estate 	 estate, farm
fondo 	 noun 	 farm 	 estate, farm
fondo 	 noun 	 cross-country 	 cross-country running
fondo 	 noun 	 seat 	 seat
fonema 	 noun 	 phoneme 	 phoneme
caldo 	 adjective 	 hot 	 warm, hot
caldo 	 adjective 	 warm 	 warm, hot
caldo 	 noun 	 heat 	 heat
caldo 	 noun 	 ardour 	 fervour, ardour
caldo 	 noun 	 fervour 	 fervour, ardour
lasso 	 adjective 	 weary 	 tired, weary, fatigued, weak
lasso 	 adjective 	 tired 	 tired, weary, fatigued, weak
lasso 	 adjective 	 fatigued 	 tired, weary, fatigued, weak
lasso 	 adjective 	 weak 	 tired, weary, fatigued, weak
lasso 	 adjective 	 w:Inferno  	 * 1321, Dante Alighieri, La divina commedia: Inferno, Le Monnier , Canto I, p. 8, vv. 28-30
lasso 	 adjective 	 w:Dante Alighieri 	 * 1321, Dante Alighieri, La divina commedia: Inferno, Le Monnier , Canto I, p. 8, vv. 28-30
lasso 	 adjective 	 unhappy 	 miserable, unhappy, bleak
lasso 	 adjective 	 miserable 	 miserable, unhappy, bleak
lasso 	 adjective 	 bleak 	 miserable, unhappy, bleak
lasso 	 adjective 	 lax 	 lax, loose
lasso 	 adjective 	 loose 	 lax, loose
lasso 	 adjective 	 lax 	 lax, lenient, permissive
lasso 	 adjective 	 permissive 	 lax, lenient, permissive
lasso 	 adjective 	 lenient 	 lax, lenient, permissive
lasso 	 noun 	 passage 	 flow, passage, period
lasso 	 noun 	 period 	 flow, passage, period
lasso 	 noun 	 flow 	 flow, passage, period
lasso 	 noun 	 lariat 	 lariat, lasso
lasso 	 noun 	 lassoEnglish 	 lariat, lasso
dazibao 	 noun 	 English 	 dazibao
preterito 	 noun 	 past 	 past
preterito 	 noun 	 preterite 	 preterite/preterit, past tense
preterito 	 noun 	 past tense 	 preterite/preterit, past tense
preterito 	 noun 	 preterit 	 preterite/preterit, past tense
energia 	 noun 	 energy 	 energy
giro 	 noun 	 rotation 	 turn, twist, rotation, revolution
giro 	 noun 	 turn 	 turn, twist, rotation, revolution
giro 	 noun 	 revolution 	 turn, twist, rotation, revolution
giro 	 noun 	 twist 	 turn, twist, rotation, revolution
giro 	 noun 	 detour 	 detour
giro 	 noun 	 lap 	 lap
giro 	 noun 	 tour 	 tour, trip, stroll
giro 	 noun 	 trip 	 tour, trip, stroll
giro 	 noun 	 stroll 	 tour, trip, stroll
giro 	 noun 	 rounds 	 rounds
giro 	 noun 	 course 	 period, space, course, time, run
giro 	 noun 	 space 	 period, space, course, time, run
giro 	 noun 	 period 	 period, space, course, time, run
giro 	 noun 	 run 	 period, space, course, time, run
giro 	 noun 	 time 	 period, space, course, time, run
giro 	 noun 	 ring 	 ring
giro 	 noun 	 turn 	 turn, round
giro 	 noun 	 round 	 turn, round
giro 	 noun 	 circulation 	 circulation
giro 	 noun 	 row 	 row
pongo 	 noun 	 genus 	 Any member of the Pongo taxonomic genus
pongo 	 noun 	 Pongo 	 Any member of the Pongo taxonomic genus
pongo 	 noun 	 taxonomic 	 Any member of the Pongo taxonomic genus
pongo 	 noun 	 genus 	 The Pongo taxonomic genus
pongo 	 noun 	 Pongo 	 The Pongo taxonomic genus
pongo 	 noun 	 taxonomic 	 The Pongo taxonomic genus
pongo 	 noun 	 coloured 	 A kind of coloured plasticine
pongo 	 noun 	 plasticine 	 A kind of coloured plasticine
chino 	 adjective 	 bent 	 lowered, bent, bowed
chino 	 adjective 	 lowered 	 lowered, bent, bowed
chino 	 adjective 	 bowed 	 lowered, bent, bowed
stria 	 noun 	 channel 	 stria, channel
stria 	 noun 	 streak 	 streak, stria
pena 	 noun 	 sorrow 	 sorrow
pena 	 noun 	 trouble 	 trouble
pena 	 noun 	 anxiety 	 worry, anxiety
pena 	 noun 	 worry 	 worry, anxiety
pena 	 noun 	 pity 	 pity
pena 	 noun 	 penalty 	 sentence, penalty, punishment
pena 	 noun 	 sentence 	 sentence, penalty, punishment
pena 	 noun 	 punishment 	 sentence, penalty, punishment
pena 	 noun 	 pain 	 pain
casino 	 noun 	 brothel 	 brothel
casino 	 noun 	 mess 	 mess
casino 	 noun 	 hunting lodge 	 hunting lodge
casino 	 noun 	 English 	 casino
casino 	 noun 	 card game 	 a particular card game
notturno 	 noun 	 nocturne 	 nocturne, notturno
notturno 	 noun 	 notturno 	 nocturne, notturno
boga 	 noun 	 boxfish 	 boxfish
credenza 	 noun 	 credit 	 belief, credit
credenza 	 noun 	 belief 	 belief, credit
credenza 	 noun 	 cupboard 	 sideboard, cupboard, hutch, abacus
credenza 	 noun 	 sideboard 	 sideboard, cupboard, hutch, abacus
credenza 	 noun 	 hutch 	 sideboard, cupboard, hutch, abacus
credenza 	 noun 	 abacus 	 sideboard, cupboard, hutch, abacus
credenza 	 noun 	 madia 	 madia
credenza 	 noun 	 dispensa 	 dispensa
nausea 	 noun 	 English 	 nausea
oligozoospermia 	 noun 	 English 	 oligozoospermia
comprimario 	 noun 	 costar 	 costar
revolver 	 noun 	 English 	 revolver
quad 	 noun 	 quad bike 	 quad bike
territorio 	 noun 	 territory 	 territory
territorio 	 noun 	 precinct 	 precinct
territorio 	 noun 	 jurisdiction 	 jurisdiction
sereno 	 adjective 	 serene 	 serene, calm
sereno 	 adjective 	 calm 	 serene, calm
sereno 	 adjective 	 serene 	 clear, serene, calm, cloudless, fair
sereno 	 adjective 	 cloudless 	 clear, serene, calm, cloudless, fair
sereno 	 adjective 	 calm 	 clear, serene, calm, cloudless, fair
sereno 	 adjective 	 clear 	 clear, serene, calm, cloudless, fair
sereno 	 adjective 	 fair 	 clear, serene, calm, cloudless, fair
sereno 	 adjective 	 objective 	 impartial, objective, unbiased
sereno 	 adjective 	 unbiased 	 impartial, objective, unbiased
sereno 	 adjective 	 impartial 	 impartial, objective, unbiased
sereno 	 noun 	 sky 	 clear sky, fair weather
sereno 	 noun 	 clear 	 clear sky, fair weather
sereno 	 noun 	 fair 	 clear sky, fair weather
sereno 	 noun 	 weather 	 clear sky, fair weather
sereno 	 noun 	 calm 	 calm
sereno 	 noun 	 air 	 open air
sereno 	 noun 	 open 	 open air
cosa 	 noun 	 matter 	 thing, matter
cosa 	 noun 	 thing 	 thing, matter
operetta 	 noun 	 English 	 operetta
habitué 	 noun 	 regular 	 regular
dopo 	 adverb 	 later 	 after, later
dopo 	 adverb 	 after 	 after, later
dopo 	 conjunction 	 then 	 then
umido 	 adjective 	 humid 	 humid, damp, wet
umido 	 adjective 	 damp 	 humid, damp, wet
umido 	 adjective 	 wet 	 humid, damp, wet
umido 	 noun 	 damp 	 damp, humidity
umido 	 noun 	 humidity 	 damp, humidity
umido 	 noun 	 cooked 	 a sauce in which a food is cooked and served, especially one made from the food's own juices
umido 	 noun 	 sauce 	 a sauce in which a food is cooked and served, especially one made from the food's own juices
umido 	 noun 	 food 	 a sauce in which a food is cooked and served, especially one made from the food's own juices
umido 	 noun 	 juice 	 a sauce in which a food is cooked and served, especially one made from the food's own juices
umido 	 noun 	 served 	 a sauce in which a food is cooked and served, especially one made from the food's own juices
optional 	 noun 	 optional 	 optional accessory
optional 	 noun 	 accessory 	 optional accessory
optional 	 noun 	 handicap 	 handicap
oratorio 	 adjective 	 oratorical 	 oratorical
oratorio 	 adjective 	 solemn 	 solemn
oratorio 	 noun 	 oratory 	 oratory
oratorio 	 noun 	 English 	 oratorio
camerlengo 	 noun 	 chamberlain 	 chamberlain
papabile 	 adjective 	 likely 	 likely to be elected Pope
papabile 	 adjective 	 Pope 	 likely to be elected Pope
