animal			singular		plural		archaic plural	
animal	nominative		ცხოველი ()	cxoveli	ცხოველები ()	cxovelebi	ცხოველნი ()	cxovelni
animal	ergative		ცხოველმა ()	cxovelma	ცხოველებმა ()	cxovelebma	ცხოველთ(ა) ()	cxovelt(a)
animal	dative		ცხოველს(ა) ()	cxovels(a)	ცხოველებს(ა) ()	cxovelebs(a)	ცხოველთ(ა) ()	cxovelt(a)
animal	genitive		ცხოველის(ა) ()	cxovelis(a)	ცხოველების(ა) ()	cxovelebis(a)	ცხოველთ(ა) ()	cxovelt(a)
animal	instrumental		ცხოველით(ა) ()	cxovelit(a)	ცხოველებით(ა) ()	cxovelebit(a)		
animal	adverbial		ცხოველად(ა) ()	cxovelad(a)	ცხოველებად(ა) ()	cxovelebad(a)		
animal	vocative		ცხოველო ()	cxovelo	ცხოველებო ()	cxovelebo	ცხოველნო ()	cxovelno
animal	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
food	-დან (from / since - )		საკვებიდან ()	saḳvebidan		
food	-ურთ (together with - )		საკვებითურთ ()	saḳvebiturt		
food	postpositions taking an adverbial case		singular		plural	
food	-მდე (up to - )		საკვებამდე ()	saḳvebamde		
gift			singular		plural		archaic plural	
gift	nominative		საჩუქარი ()	sačukari	საჩუქრები ()	sačukrebi	საჩუქარნი ()	sačukarni
gift	ergative		საჩუქარმა ()	sačukarma	საჩუქრებმა ()	sačukrebma	საჩუქართ(ა) ()	sačukart(a)
gift	dative		საჩუქარს(ა) ()	sačukars(a)	საჩუქრებს(ა) ()	sačukrebs(a)	საჩუქართ(ა) ()	sačukart(a)
gift	genitive		საჩუქრის(ა) ()	sačukris(a)	საჩუქრების(ა) ()	sačukrebis(a)	საჩუქართ(ა) ()	sačukart(a)
gift	instrumental		საჩუქრით(ა) ()	sačukrit(a)	საჩუქრებით(ა) ()	sačukrebit(a)		
gift	adverbial		საჩუქრად(ა) ()	sačukrad(a)	საჩუქრებად(ა) ()	sačukrebad(a)		
gift	vocative		საჩუქარო ()	sačukaro	საჩუქრებო ()	sačukrebo	საჩუქარნო ()	sačukarno
gift	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
gift	postpositions taking a dative case		singular		plural	
gift	-ზე (on - )		საჩუქარზე ()	sačukarze	საჩუქრებზე ()	sačukrebze
gift	-თან (near - )		საჩუქართან ()	sačukartan	საჩუქრებთან ()	sačukrebtan
gift	-ში (in - )		საჩუქარში ()	sačukarši	საჩუქრებში ()	sačukrebši
gift	-ვით (like a - )		საჩუქარივით ()	sačukarivit	საჩუქრებივით ()	sačukrebivit
gift	postpositions taking a genitive case		singular		plural	
gift	-თვის (for - )		საჩუქრისთვის ()	sačukristvis	საჩუქრებისთვის ()	sačukrebistvis
gift	-ებრ (like a - )		საჩუქრისებრ ()	sačukrisebr	საჩუქრებისებრ ()	sačukrebisebr
gift	-კენ (towards - )		საჩუქრისკენ ()	sačukrisḳen	საჩუქრებისკენ ()	sačukrebisḳen
gift	-გან (from/of - )		საჩუქრისგან ()	sačukrisgan	საჩუქრებისგან ()	sačukrebisgan
gift	postpositions taking an instrumental case		singular		plural	
gift	-დან (from / since - )		საჩუქრიდან ()	sačukridan	საჩუქრებიდან ()	sačukrebidan
gift	-ურთ (together with - )		საჩუქრითურთ ()	sačukriturt	საჩუქრებითურთ ()	sačukrebiturt
gift	postpositions taking an adverbial case		singular		plural	
gift	-მდე (up to - )		საჩუქრამდე ()	sačukramde	საჩუქრებამდე ()	sačukrebamde
horse			singular		plural		archaic plural	
horse	nominative		ცხენი ()	cxeni	ცხენები ()	cxenebi	ცხენნი ()	cxenni
horse	ergative		ცხენმა ()	cxenma	ცხენებმა ()	cxenebma	ცხენთ(ა) ()	cxent(a)
horse	dative		ცხენს(ა) ()	cxens(a)	ცხენებს(ა) ()	cxenebs(a)	ცხენთ(ა) ()	cxent(a)
horse	genitive		ცხენის(ა) ()	cxenis(a)	ცხენების(ა) ()	cxenebis(a)	ცხენთ(ა) ()	cxent(a)
horse	instrumental		ცხენით(ა) ()	cxenit(a)	ცხენებით(ა) ()	cxenebit(a)		
horse	adverbial		ცხენად(ა) ()	cxenad(a)	ცხენებად(ა) ()	cxenebad(a)		
horse	vocative		ცხენო ()	cxeno	ცხენებო ()	cxenebo	ცხენნო ()	cxenno
horse	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
horse	postpositions taking a dative case		singular		plural	
horse	-ზე (on - )		ცხენზე ()	cxenze	ცხენებზე ()	cxenebze
horse	-თან (near - )		ცხენთან ()	cxentan	ცხენებთან ()	cxenebtan
horse	-ში (in - )		ცხენში ()	cxenši	ცხენებში ()	cxenebši
horse	-ვით (like a - )		ცხენივით ()	cxenivit	ცხენებივით ()	cxenebivit
horse	postpositions taking a genitive case		singular		plural	
horse	-თვის (for - )		ცხენისთვის ()	cxenistvis	ცხენებისთვის ()	cxenebistvis
horse	-ებრ (like a - )		ცხენისებრ ()	cxenisebr	ცხენებისებრ ()	cxenebisebr
horse	-კენ (towards - )		ცხენისკენ ()	cxenisḳen	ცხენებისკენ ()	cxenebisḳen
horse	-გან (from/of - )		ცხენისგან ()	cxenisgan	ცხენებისგან ()	cxenebisgan
horse	postpositions taking an instrumental case		singular		plural	
horse	-დან (from / since - )		ცხენიდან ()	cxenidan	ცხენებიდან ()	cxenebidan
horse	-ურთ (together with - )		ცხენითურთ ()	cxeniturt	ცხენებითურთ ()	cxenebiturt
horse	postpositions taking an adverbial case		singular		plural	
horse	-მდე (up to - )		ცხენამდე ()	cxenamde	ცხენებამდე ()	cxenebamde
house			singular		plural		archaic plural	
house	nominative		სახლი ()	saxli	სახლები ()	saxlebi	სახლნი ()	saxlni
house	ergative		სახლმა ()	saxlma	სახლებმა ()	saxlebma	სახლთ(ა) ()	saxlt(a)
house	dative		სახლს(ა) ()	saxls(a)	სახლებს(ა) ()	saxlebs(a)	სახლთ(ა) ()	saxlt(a)
house	genitive		სახლის(ა) ()	saxlis(a)	სახლების(ა) ()	saxlebis(a)	სახლთ(ა) ()	saxlt(a)
house	instrumental		სახლით(ა) ()	saxlit(a)	სახლებით(ა) ()	saxlebit(a)		
house	adverbial		სახლად(ა) ()	saxlad(a)	სახლებად(ა) ()	saxlebad(a)		
house	vocative		სახლო ()	saxlo	სახლებო ()	saxlebo	სახლნო ()	saxlno
house	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
house	postpositions taking a dative case		singular		plural	
house	-ზე (on - )		სახლზე ()	saxlze	სახლებზე ()	saxlebze
house	-თან (near - )		სახლთან ()	saxltan	სახლებთან ()	saxlebtan
house	-ში (in - )		სახლში ()	saxlši	სახლებში ()	saxlebši
house	-ვით (like a - )		სახლივით ()	saxlivit	სახლებივით ()	saxlebivit
house	postpositions taking a genitive case		singular		plural	
house	-თვის (for - )		სახლისთვის ()	saxlistvis	სახლებისთვის ()	saxlebistvis
house	-ებრ (like a - )		სახლისებრ ()	saxlisebr	სახლებისებრ ()	saxlebisebr
house	-კენ (towards - )		სახლისკენ ()	saxlisḳen	სახლებისკენ ()	saxlebisḳen
house	-გან (from/of - )		სახლისგან ()	saxlisgan	სახლებისგან ()	saxlebisgan
house	postpositions taking an instrumental case		singular		plural	
house	-დან (from / since - )		სახლიდან ()	saxlidan	სახლებიდან ()	saxlebidan
house	-ურთ (together with - )		სახლითურთ ()	saxliturt	სახლებითურთ ()	saxlebiturt
house	postpositions taking an adverbial case		singular		plural	
house	-მდე (up to - )		სახლამდე ()	saxlamde	სახლებამდე ()	saxlebamde
livestock			singular		plural		archaic plural	
livestock	nominative		პირუტყვი ()	ṗiruṭq̇vi	პირუტყვები ()	ṗiruṭq̇vebi	პირუტყვნი ()	ṗiruṭq̇vni
livestock	ergative		პირუტყვმა ()	ṗiruṭq̇vma	პირუტყვებმა ()	ṗiruṭq̇vebma	პირუტყვთ(ა) ()	ṗiruṭq̇vt(a)
livestock	dative		პირუტყვს(ა) ()	ṗiruṭq̇vs(a)	პირუტყვებს(ა) ()	ṗiruṭq̇vebs(a)	პირუტყვთ(ა) ()	ṗiruṭq̇vt(a)
livestock	genitive		პირუტყვის(ა) ()	ṗiruṭq̇vis(a)	პირუტყვების(ა) ()	ṗiruṭq̇vebis(a)	პირუტყვთ(ა) ()	ṗiruṭq̇vt(a)
livestock	instrumental		პირუტყვით(ა) ()	ṗiruṭq̇vit(a)	პირუტყვებით(ა) ()	ṗiruṭq̇vebit(a)		
livestock	adverbial		პირუტყვად(ა) ()	ṗiruṭq̇vad(a)	პირუტყვებად(ა) ()	ṗiruṭq̇vebad(a)		
livestock	vocative		პირუტყვო ()	ṗiruṭq̇vo	პირუტყვებო ()	ṗiruṭq̇vebo	პირუტყვნო ()	ṗiruṭq̇vno
livestock	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
livestock	postpositions taking a dative case		singular		plural	
livestock	-ზე (on - )		პირუტყვზე ()	ṗiruṭq̇vze	პირუტყვებზე ()	ṗiruṭq̇vebze
livestock	-თან (near - )		პირუტყვთან ()	ṗiruṭq̇vtan	პირუტყვებთან ()	ṗiruṭq̇vebtan
livestock	-ში (in - )		პირუტყვში ()	ṗiruṭq̇vši	პირუტყვებში ()	ṗiruṭq̇vebši
livestock	-ვით (like a - )		პირუტყვივით ()	ṗiruṭq̇vivit	პირუტყვებივით ()	ṗiruṭq̇vebivit
livestock	postpositions taking a genitive case		singular		plural	
livestock	-თვის (for - )		პირუტყვისთვის ()	ṗiruṭq̇vistvis	პირუტყვებისთვის ()	ṗiruṭq̇vebistvis
livestock	-ებრ (like a - )		პირუტყვისებრ ()	ṗiruṭq̇visebr	პირუტყვებისებრ ()	ṗiruṭq̇vebisebr
livestock	-კენ (towards - )		პირუტყვისკენ ()	ṗiruṭq̇visḳen	პირუტყვებისკენ ()	ṗiruṭq̇vebisḳen
livestock	-გან (from/of - )		პირუტყვისგან ()	ṗiruṭq̇visgan	პირუტყვებისგან ()	ṗiruṭq̇vebisgan
livestock	postpositions taking an instrumental case		singular		plural	
livestock	-დან (from / since - )		პირუტყვიდან ()	ṗiruṭq̇vidan	პირუტყვებიდან ()	ṗiruṭq̇vebidan
livestock	-ურთ (together with - )		პირუტყვითურთ ()	ṗiruṭq̇viturt	პირუტყვებითურთ ()	ṗiruṭq̇vebiturt
livestock	postpositions taking an adverbial case		singular		plural	
livestock	-მდე (up to - )		პირუტყვამდე ()	ṗiruṭq̇vamde	პირუტყვებამდე ()	ṗiruṭq̇vebamde
love			singular		plural		archaic plural	
love	nominative		სიყვარული ()	siq̇varuli				
love	ergative		სიყვარულმა ()	siq̇varulma				
love	dative		სიყვარულს(ა) ()	siq̇varuls(a)				
love	genitive		სიყვარულის(ა) ()	siq̇varulis(a)				
love	instrumental		სიყვარულით(ა) ()	siq̇varulit(a)				
love	adverbial		სიყვარულად(ა) ()	siq̇varulad(a)				
love	vocative		სიყვარულო ()	siq̇varulo				
love	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
love	postpositions taking a dative case		singular		plural	
love	-ზე (on - )		სიყვარულზე ()	siq̇varulze		
love	-თან (near - )		სიყვარულთან ()	siq̇varultan		
love	-ში (in - )		სიყვარულში ()	siq̇varulši		
love	-ვით (like a - )		სიყვარულივით ()	siq̇varulivit		
love	postpositions taking a genitive case		singular		plural	
love	-თვის (for - )		სიყვარულისთვის ()	siq̇varulistvis		
love	-ებრ (like a - )		სიყვარულისებრ ()	siq̇varulisebr		
love	-კენ (towards - )		სიყვარულისკენ ()	siq̇varulisḳen		
love	-გან (from/of - )		სიყვარულისგან ()	siq̇varulisgan		
love	postpositions taking an instrumental case		singular		plural	
love	-დან (from / since - )		სიყვარულიდან ()	siq̇varulidan		
love	-ურთ (together with - )		სიყვარულითურთ ()	siq̇varuliturt		
love	postpositions taking an adverbial case		singular		plural	
love	-მდე (up to - )		სიყვარულამდე ()	siq̇varulamde		
idea			singular		plural		archaic plural	
idea	nominative		იდეა ()	idea	იდეები ()	ideebi	იდეანი ()	ideani
idea	ergative		იდეამ ()	ideam	იდეებმა ()	ideebma	იდეათ(ა) ()	ideat(a)
idea	dative		იდეას(ა) ()	ideas(a)	იდეებს(ა) ()	ideebs(a)	იდეათ(ა) ()	ideat(a)
idea	genitive		იდეის(ა) ()	ideis(a)	იდეების(ა) ()	ideebis(a)	იდეათ(ა) ()	ideat(a)
idea	instrumental		იდეით(ა) ()	ideit(a)	იდეებით(ა) ()	ideebit(a)		
idea	adverbial		იდეად(ა) ()	idead(a)	იდეებად(ა) ()	ideebad(a)		
idea	vocative		იდეავ ()	ideav	იდეებო ()	ideebo	იდეანო ()	ideano
idea	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
idea	postpositions taking a dative case		singular		plural	
idea	-ზე (on - )		იდეაზე ()	ideaze	იდეებზე ()	ideebze
idea	-თან (near - )		იდეასთან ()	ideastan	იდეებთან ()	ideebtan
idea	-ში (in - )		იდეაში ()	ideaši	იდეებში ()	ideebši
idea	-ვით (like a - )		იდეასავით ()	ideasavit	იდეებივით ()	ideebivit
idea	postpositions taking a genitive case		singular		plural	
idea	-თვის (for - )		იდეისთვის ()	ideistvis	იდეებისთვის ()	ideebistvis
idea	-ებრ (like a - )		იდეისებრ ()	ideisebr	იდეებისებრ ()	ideebisebr
idea	-კენ (towards - )		იდეისკენ ()	ideisḳen	იდეებისკენ ()	ideebisḳen
idea	-გან (from/of - )		იდეისგან ()	ideisgan	იდეებისგან ()	ideebisgan
idea	postpositions taking an instrumental case		singular		plural	
idea	-დან (from / since - )		იდეიდან ()	ideidan	იდეებიდან ()	ideebidan
idea	-ურთ (together with - )		იდეითურთ ()	ideiturt	იდეებითურთ ()	ideebiturt
idea	postpositions taking an adverbial case		singular		plural	
idea	-მდე (up to - )		იდეამდე ()	ideamde	იდეებამდე ()	ideebamde
man			singular		plural		archaic plural	
man	nominative		კაცი ()	ḳaci	კაცები ()	ḳacebi	კაცნი ()	ḳacni
man	ergative		კაცმა ()	ḳacma	კაცებმა ()	ḳacebma	კაცთ(ა) ()	ḳact(a)
man	dative		კაცს(ა) ()	ḳacs(a)	კაცებს(ა) ()	ḳacebs(a)	კაცთ(ა) ()	ḳact(a)
man	genitive		კაცის(ა) ()	ḳacis(a)	კაცების(ა) ()	ḳacebis(a)	კაცთ(ა) ()	ḳact(a)
man	instrumental		კაცით(ა) ()	ḳacit(a)	კაცებით(ა) ()	ḳacebit(a)		
man	adverbial		კაცად(ა) ()	ḳacad(a)	კაცებად(ა) ()	ḳacebad(a)		
man	vocative		კაცო ()	ḳaco	კაცებო ()	ḳacebo	კაცნო ()	ḳacno
man	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
man	postpositions taking a dative case		singular		plural	
man	-ზე (on - )		კაცზე ()	ḳacze	კაცებზე ()	ḳacebze
man	-თან (near - )		კაცთან ()	ḳactan	კაცებთან ()	ḳacebtan
man	-ში (in - )		კაცში ()	ḳacši	კაცებში ()	ḳacebši
man	-ვით (like a - )		კაცივით ()	ḳacivit	კაცებივით ()	ḳacebivit
man	postpositions taking a genitive case		singular		plural	
man	-თვის (for - )		კაცისთვის ()	ḳacistvis	კაცებისთვის ()	ḳacebistvis
man	-ებრ (like a - )		კაცისებრ ()	ḳacisebr	კაცებისებრ ()	ḳacebisebr
man	-კენ (towards - )		კაცისკენ ()	ḳacisḳen	კაცებისკენ ()	ḳacebisḳen
man	-გან (from/of - )		კაცისგან ()	ḳacisgan	კაცებისგან ()	ḳacebisgan
man	postpositions taking an instrumental case		singular		plural	
man	-დან (from / since - )		კაციდან ()	ḳacidan	კაცებიდან ()	ḳacebidan
man	-ურთ (together with - )		კაცითურთ ()	ḳaciturt	კაცებითურთ ()	ḳacebiturt
man	postpositions taking an adverbial case		singular		plural	
man	-მდე (up to - )		კაცამდე ()	ḳacamde	კაცებამდე ()	ḳacebamde
money			singular		plural		archaic plural	
money	nominative		ფული ()	puli				
money	ergative		ფულმა ()	pulma				
money	dative		ფულს(ა) ()	puls(a)				
money	genitive		ფულის(ა) ()	pulis(a)				
money	instrumental		ფულით(ა) ()	pulit(a)				
money	adverbial		ფულად(ა) ()	pulad(a)				
money	vocative		ფულო ()	pulo				
money	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
money	postpositions taking a dative case		singular		plural	
money	-ზე (on - )		ფულზე ()	pulze		
money	-თან (near - )		ფულთან ()	pultan		
money	-ში (in - )		ფულში ()	pulši		
money	-ვით (like a - )		ფულივით ()	pulivit		
money	postpositions taking a genitive case		singular		plural	
money	-თვის (for - )		ფულისთვის ()	pulistvis		
money	-ებრ (like a - )		ფულისებრ ()	pulisebr		
money	-კენ (towards - )		ფულისკენ ()	pulisḳen		
money	-გან (from/of - )		ფულისგან ()	pulisgan		
money	postpositions taking an instrumental case		singular		plural	
money	-დან (from / since - )		ფულიდან ()	pulidan		
money	-ურთ (together with - )		ფულითურთ ()	puliturt		
money	postpositions taking an adverbial case		singular		plural	
money	-მდე (up to - )		ფულამდე ()	pulamde		
monster			singular		plural		archaic plural	
monster	nominative		ურჩხული ()	určxuli	ურჩხულები ()	určxulebi	ურჩხულნი ()	určxulni
monster	ergative		ურჩხულმა ()	určxulma	ურჩხულებმა ()	určxulebma	ურჩხულთ(ა) ()	určxult(a)
monster	dative		ურჩხულს(ა) ()	určxuls(a)	ურჩხულებს(ა) ()	určxulebs(a)	ურჩხულთ(ა) ()	určxult(a)
monster	genitive		ურჩხულის(ა) ()	určxulis(a)	ურჩხულების(ა) ()	určxulebis(a)	ურჩხულთ(ა) ()	určxult(a)
monster	instrumental		ურჩხულით(ა) ()	určxulit(a)	ურჩხულებით(ა) ()	určxulebit(a)		
monster	adverbial		ურჩხულად(ა) ()	určxulad(a)	ურჩხულებად(ა) ()	určxulebad(a)		
monster	vocative		ურჩხულო ()	určxulo	ურჩხულებო ()	určxulebo	ურჩხულნო ()	určxulno
monster	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
monster	postpositions taking a dative case		singular		plural	
monster	-ზე (on - )		ურჩხულზე ()	určxulze	ურჩხულებზე ()	určxulebze
monster	-თან (near - )		ურჩხულთან ()	určxultan	ურჩხულებთან ()	určxulebtan
monster	-ში (in - )		ურჩხულში ()	určxulši	ურჩხულებში ()	určxulebši
monster	-ვით (like a - )		ურჩხულივით ()	určxulivit	ურჩხულებივით ()	určxulebivit
monster	postpositions taking a genitive case		singular		plural	
monster	-თვის (for - )		ურჩხულისთვის ()	určxulistvis	ურჩხულებისთვის ()	určxulebistvis
monster	-ებრ (like a - )		ურჩხულისებრ ()	určxulisebr	ურჩხულებისებრ ()	určxulebisebr
monster	-კენ (towards - )		ურჩხულისკენ ()	určxulisḳen	ურჩხულებისკენ ()	určxulebisḳen
monster	-გან (from/of - )		ურჩხულისგან ()	určxulisgan	ურჩხულებისგან ()	určxulebisgan
monster	postpositions taking an instrumental case		singular		plural	
monster	-დან (from / since - )		ურჩხულიდან ()	určxulidan	ურჩხულებიდან ()	určxulebidan
monster	-ურთ (together with - )		ურჩხულითურთ ()	určxuliturt	ურჩხულებითურთ ()	určxulebiturt
monster	postpositions taking an adverbial case		singular		plural	
monster	-მდე (up to - )		ურჩხულამდე ()	určxulamde	ურჩხულებამდე ()	určxulebamde
name			singular		plural		archaic plural	
name	nominative		დასახელება ()	dasaxeleba	დასახელებები ()	dasaxelebebi	დასახელებანი ()	dasaxelebani
name	ergative		დასახელებამ ()	dasaxelebam	დასახელებებმა ()	dasaxelebebma	დასახელებათ(ა) ()	dasaxelebat(a)
name	dative		დასახელებას(ა) ()	dasaxelebas(a)	დასახელებებს(ა) ()	dasaxelebebs(a)	დასახელებათ(ა) ()	dasaxelebat(a)
name	genitive		დასახელების(ა) ()	dasaxelebis(a)	დასახელებების(ა) ()	dasaxelebebis(a)	დასახელებათ(ა) ()	dasaxelebat(a)
name	instrumental		დასახელებით(ა) ()	dasaxelebit(a)	დასახელებებით(ა) ()	dasaxelebebit(a)		
name	adverbial		დასახელებად(ა) ()	dasaxelebad(a)	დასახელებებად(ა) ()	dasaxelebebad(a)		
name	vocative		დასახელებავ ()	dasaxelebav	დასახელებებო ()	dasaxelebebo	დასახელებანო ()	dasaxelebano
name	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
name	postpositions taking a dative case		singular		plural	
name	-ზე (on - )		დასახელებაზე ()	dasaxelebaze	დასახელებებზე ()	dasaxelebebze
name	-თან (near - )		დასახელებასთან ()	dasaxelebastan	დასახელებებთან ()	dasaxelebebtan
name	-ში (in - )		დასახელებაში ()	dasaxelebaši	დასახელებებში ()	dasaxelebebši
name	-ვით (like a - )		დასახელებასავით ()	dasaxelebasavit	დასახელებებივით ()	dasaxelebebivit
name	postpositions taking a genitive case		singular		plural	
name	-თვის (for - )		დასახელებისთვის ()	dasaxelebistvis	დასახელებებისთვის ()	dasaxelebebistvis
name	-ებრ (like a - )		დასახელებისებრ ()	dasaxelebisebr	დასახელებებისებრ ()	dasaxelebebisebr
name	-კენ (towards - )		დასახელებისკენ ()	dasaxelebisḳen	დასახელებებისკენ ()	dasaxelebebisḳen
name	-გან (from/of - )		დასახელებისგან ()	dasaxelebisgan	დასახელებებისგან ()	dasaxelebebisgan
name	postpositions taking an instrumental case		singular		plural	
name	-დან (from / since - )		დასახელებიდან ()	dasaxelebidan	დასახელებებიდან ()	dasaxelebebidan
name	-ურთ (together with - )		დასახელებითურთ ()	dasaxelebiturt	დასახელებებითურთ ()	dasaxelebebiturt
name	postpositions taking an adverbial case		singular		plural	
name	-მდე (up to - )		დასახელებამდე ()	dasaxelebamde	დასახელებებამდე ()	dasaxelebebamde
rock			singular		plural		archaic plural	
rock	nominative		ქვა ()	kva	ქვები ()	kvebi	ქვანი ()	kvani
rock	ergative		ქვამ ()	kvam	ქვებმა ()	kvebma	ქვათ(ა) ()	kvat(a)
rock	dative		ქვას(ა) ()	kvas(a)	ქვებს(ა) ()	kvebs(a)	ქვათ(ა) ()	kvat(a)
rock	genitive		ქვის(ა) ()	kvis(a)	ქვების(ა) ()	kvebis(a)	ქვათ(ა) ()	kvat(a)
rock	instrumental		ქვით(ა) ()	kvit(a)	ქვებით(ა) ()	kvebit(a)		
rock	adverbial		ქვად(ა) ()	kvad(a)	ქვებად(ა) ()	kvebad(a)		
rock	vocative		ქვავ ()	kvav	ქვებო ()	kvebo	ქვანო ()	kvano
rock	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
rock	postpositions taking a dative case		singular		plural	
rock	-ზე (on - )		ქვაზე ()	kvaze	ქვებზე ()	kvebze
rock	-თან (near - )		ქვასთან ()	kvastan	ქვებთან ()	kvebtan
rock	-ში (in - )		ქვაში ()	kvaši	ქვებში ()	kvebši
rock	-ვით (like a - )		ქვასავით ()	kvasavit	ქვებივით ()	kvebivit
rock	postpositions taking a genitive case		singular		plural	
rock	-თვის (for - )		ქვისთვის ()	kvistvis	ქვებისთვის ()	kvebistvis
rock	-ებრ (like a - )		ქვისებრ ()	kvisebr	ქვებისებრ ()	kvebisebr
rock	-კენ (towards - )		ქვისკენ ()	kvisḳen	ქვებისკენ ()	kvebisḳen
rock	-გან (from/of - )		ქვისგან ()	kvisgan	ქვებისგან ()	kvebisgan
rock	postpositions taking an instrumental case		singular		plural	
rock	-დან (from / since - )		ქვიდან ()	kvidan	ქვებიდან ()	kvebidan
rock	-ურთ (together with - )		ქვითურთ ()	kviturt	ქვებითურთ ()	kvebiturt
rock	postpositions taking an adverbial case		singular		plural	
rock	-მდე (up to - )		ქვამდე ()	kvamde	ქვებამდე ()	kvebamde
rope			singular		plural		archaic plural	
rope	nominative		თოკი ()	toḳi	თოკები ()	toḳebi	თოკნი ()	toḳni
rope	ergative		თოკმა ()	toḳma	თოკებმა ()	toḳebma	თოკთ(ა) ()	toḳt(a)
rope	dative		თოკს(ა) ()	toḳs(a)	თოკებს(ა) ()	toḳebs(a)	თოკთ(ა) ()	toḳt(a)
rope	genitive		თოკის(ა) ()	toḳis(a)	თოკების(ა) ()	toḳebis(a)	თოკთ(ა) ()	toḳt(a)
rope	instrumental		თოკით(ა) ()	toḳit(a)	თოკებით(ა) ()	toḳebit(a)		
rope	adverbial		თოკად(ა) ()	toḳad(a)	თოკებად(ა) ()	toḳebad(a)		
rope	vocative		თოკო ()	toḳo	თოკებო ()	toḳebo	თოკნო ()	toḳno
rope	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
rope	postpositions taking a dative case		singular		plural	
rope	-ზე (on - )		თოკზე ()	toḳze	თოკებზე ()	toḳebze
rope	-თან (near - )		თოკთან ()	toḳtan	თოკებთან ()	toḳebtan
rope	-ში (in - )		თოკში ()	toḳši	თოკებში ()	toḳebši
rope	-ვით (like a - )		თოკივით ()	toḳivit	თოკებივით ()	toḳebivit
rope	postpositions taking a genitive case		singular		plural	
rope	-თვის (for - )		თოკისთვის ()	toḳistvis	თოკებისთვის ()	toḳebistvis
rope	-ებრ (like a - )		თოკისებრ ()	toḳisebr	თოკებისებრ ()	toḳebisebr
rope	-კენ (towards - )		თოკისკენ ()	toḳisḳen	თოკებისკენ ()	toḳebisḳen
rope	-გან (from/of - )		თოკისგან ()	toḳisgan	თოკებისგან ()	toḳebisgan
rope	postpositions taking an instrumental case		singular		plural	
rope	-დან (from / since - )		თოკიდან ()	toḳidan	თოკებიდან ()	toḳebidan
rope	-ურთ (together with - )		თოკითურთ ()	toḳiturt	თოკებითურთ ()	toḳebiturt
rope	postpositions taking an adverbial case		singular		plural	
rope	-მდე (up to - )		თოკამდე ()	toḳamde	თოკებამდე ()	toḳebamde
size			singular		plural		archaic plural	
size	nominative		ზომა ()	zoma				
size	ergative		ზომამ ()	zomam				
size	dative		ზომას(ა) ()	zomas(a)				
size	genitive		ზომის(ა) ()	zomis(a)				
size	instrumental		ზომით(ა) ()	zomit(a)				
size	adverbial		ზომად(ა) ()	zomad(a)				
size	vocative		ზომავ ()	zomav				
size	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
size	postpositions taking a dative case		singular		plural	
size	-ზე (on - )		ზომაზე ()	zomaze		
size	-თან (near - )		ზომასთან ()	zomastan		
size	-ში (in - )		ზომაში ()	zomaši		
size	-ვით (like a - )		ზომასავით ()	zomasavit		
size	postpositions taking a genitive case		singular		plural	
size	-თვის (for - )		ზომისთვის ()	zomistvis		
size	-ებრ (like a - )		ზომისებრ ()	zomisebr		
size	-კენ (towards - )		ზომისკენ ()	zomisḳen		
size	-გან (from/of - )		ზომისგან ()	zomisgan		
size	postpositions taking an instrumental case		singular		plural	
size	-დან (from / since - )		ზომიდან ()	zomidan		
size	-ურთ (together with - )		ზომითურთ ()	zomiturt		
size	postpositions taking an adverbial case		singular		plural	
size	-მდე (up to - )		ზომამდე ()	zomamde		
son			singular		plural		archaic plural	
son	nominative		ძე ()	ʒe	ძეები ()	ʒeebi	ძენი ()	ʒeni
