appear	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only
appear	3rd singular	*h₁ludʰét			
appear	3rd plural	*h₁ludʰónt			
appear	active voice	indicative	imperative	subjunctive	optative
appear	1st singular	*h₁ludʰóm	—	*h₁ludʰṓh₂	*h₁ludʰóyh₁m̥
appear	2nd singular	*h₁ludʰés	*h₁ludʰé	*h₁ludʰḗsi	*h₁ludʰóys
appear	3rd singular	*h₁ludʰét	*h₁ludʰétu	*h₁ludʰḗti	*h₁ludʰóyt
appear	1st dual	*h₁ludʰówe	—	*h₁ludʰṓwos	*h₁ludʰóywe
appear	2nd dual	*h₁ludʰétom	*h₁ludʰétom	*h₁ludʰḗtes	*h₁ludʰóytom
appear	3rd dual	*h₁ludʰétām	*h₁ludʰétām	*h₁ludʰḗtes	*h₁ludʰóytām
appear	1st plural	*h₁ludʰóme	—	*h₁ludʰṓmos	*h₁ludʰóyme
appear	2nd plural	*h₁ludʰéte	*h₁ludʰéte	*h₁ludʰḗte	*h₁ludʰóyte
appear	3rd plural	*h₁ludʰónt	*h₁ludʰóntu	*h₁ludʰṓnti	*h₁ludʰóyh₁n̥t
appear					
appear	participle	*h₁ludʰónts			
walk	3rd plural	*stéygʰonti				
walk	active voice	present indicative	past indicative	imperative	subjunctive	optative
walk	1st singular	*stéygʰoh₂	*stéygʰom	—	*stéygʰōh₂	*stéygʰoyh₁m̥
walk	2nd singular	*stéygʰesi	*stéygʰes	*stéygʰe	*stéygʰēsi	*stéygʰoys
walk	3rd singular	*stéygʰeti	*stéygʰet	*stéygʰetu	*stéygʰēti	*stéygʰoyt
walk	1st dual	*stéygʰowos	*stéygʰowe	—	*stéygʰōwos	*stéygʰoywe
walk	2nd dual	*stéygʰetes	*stéygʰetom	*stéygʰetom	*stéygʰētes	*stéygʰoytom
walk	3rd dual	*stéygʰetes	*stéygʰetām	*stéygʰetām	*stéygʰētes	*stéygʰoytām
walk	1st plural	*stéygʰomos	*stéygʰome	—	*stéygʰōmos	*stéygʰoyme
walk	2nd plural	*stéygʰete	*stéygʰete	*stéygʰete	*stéygʰēte	*stéygʰoyte
walk	3rd plural	*stéygʰonti	*stéygʰont	*stéygʰontu	*stéygʰōnti	*stéygʰoyh₁n̥t
walk						
walk	participle	*stéygʰonts				
warm	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
warm	3rd singular	*gʷʰoréyeti				
warm	3rd plural	*gʷʰoréyonti				
warm	active voice	present indicative	past indicative	imperative	subjunctive	optative
warm	1st singular	*gʷʰoréyoh₂	*gʷʰoréyom	—	*gʷʰoréyōh₂	*gʷʰoréyoyh₁m̥
warm	2nd singular	*gʷʰoréyesi	*gʷʰoréyes	*gʷʰoréye	*gʷʰoréyēsi	*gʷʰoréyoys
warm	3rd singular	*gʷʰoréyeti	*gʷʰoréyet	*gʷʰoréyetu	*gʷʰoréyēti	*gʷʰoréyoyt
warm	1st dual	*gʷʰoréyowos	*gʷʰoréyowe	—	*gʷʰoréyōwos	*gʷʰoréyoywe
warm	2nd dual	*gʷʰoréyetes	*gʷʰoréyetom	*gʷʰoréyetom	*gʷʰoréyētes	*gʷʰoréyoytom
warm	3rd dual	*gʷʰoréyetes	*gʷʰoréyetām	*gʷʰoréyetām	*gʷʰoréyētes	*gʷʰoréyoytām
warm	1st plural	*gʷʰoréyomos	*gʷʰoréyome	—	*gʷʰoréyōmos	*gʷʰoréyoyme
warm	2nd plural	*gʷʰoréyete	*gʷʰoréyete	*gʷʰoréyete	*gʷʰoréyēte	*gʷʰoréyoyte
warm	3rd plural	*gʷʰoréyonti	*gʷʰoréyont	*gʷʰoréyontu	*gʷʰoréyōnti	*gʷʰoréyoyh₁n̥t
warm						
warm	participle	*gʷʰoréyonts				
warm	middle voice	present indicative	past indicative	imperative	subjunctive	optative
warm	1st singular	*gʷʰoréyoh₂er	*gʷʰoréyoh₂e	—	*gʷʰoréyōh₂er	*gʷʰoréyoyh₂e
warm	2nd singular	*gʷʰoréyeth₂er	*gʷʰoréyeth₂e	*gʷʰoréyeso	*gʷʰoréyēth₂er	*gʷʰoréyoyth₂e
warm	3rd singular	*gʷʰoréyetor	*gʷʰoréyeto	*?	*gʷʰoréyētor	*gʷʰoréyoyto, *gʷʰoréyoyh₁o
warm	1st dual	*gʷʰoréyowosdʰh₂	*gʷʰoréyowedʰh₂	—	*gʷʰoréyōwosdʰh₂	*gʷʰoréyoywedʰh₂
warm	2nd dual	*?	*?	*?	*?	*?
warm	3rd dual	*?	*?	*?	*?	*?
warm	1st plural	*gʷʰoréyomosdʰh₂	*gʷʰoréyomedʰh₂	—	*gʷʰoréyōmosdʰh₂	*gʷʰoréyoymedʰh₂
warm	2nd plural	*gʷʰoréyedʰh₂we	*gʷʰoréyedʰh₂we	*gʷʰoréyedʰh₂we	*gʷʰoréyēdʰh₂we	*gʷʰoréyoydʰh₂we
warm	3rd plural	*gʷʰoréyoror, *gʷʰoréyontor	*gʷʰoréyoro, *gʷʰoréyonto	*?	*gʷʰoréyōror, *gʷʰoréyōntor	*gʷʰoréyoyro, *gʷʰoréyoyh₁n̥to
warm						
warm	participle	*gʷʰoréyomnos				
work	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
work	3rd singular	*wr̥ǵyéti				
work	3rd plural	*wr̥ǵyónti				
work	active voice	present indicative	past indicative	imperative	subjunctive	optative
work	1st singular	*wr̥ǵyóh₂	*wr̥ǵyóm	—	*wr̥ǵyṓh₂	*wr̥ǵyóyh₁m̥
work	2nd singular	*wr̥ǵyési	*wr̥ǵyés	*wr̥ǵyé	*wr̥ǵyḗsi	*wr̥ǵyóys
work	3rd singular	*wr̥ǵyéti	*wr̥ǵyét	*wr̥ǵyétu	*wr̥ǵyḗti	*wr̥ǵyóyt
work	1st dual	*wr̥ǵyówos	*wr̥ǵyówe	—	*wr̥ǵyṓwos	*wr̥ǵyóywe
work	2nd dual	*wr̥ǵyétes	*wr̥ǵyétom	*wr̥ǵyétom	*wr̥ǵyḗtes	*wr̥ǵyóytom
work	3rd dual	*wr̥ǵyétes	*wr̥ǵyétām	*wr̥ǵyétām	*wr̥ǵyḗtes	*wr̥ǵyóytām
work	1st plural	*wr̥ǵyómos	*wr̥ǵyóme	—	*wr̥ǵyṓmos	*wr̥ǵyóyme
work	2nd plural	*wr̥ǵyéte	*wr̥ǵyéte	*wr̥ǵyéte	*wr̥ǵyḗte	*wr̥ǵyóyte
work	3rd plural	*wr̥ǵyónti	*wr̥ǵyónt	*wr̥ǵyóntu	*wr̥ǵyṓnti	*wr̥ǵyóyh₁n̥t
work						
work	participle	*wr̥ǵyónts				
work	middle voice	present indicative	past indicative	imperative	subjunctive	optative
work	1st singular	*wr̥ǵyóh₂er	*wr̥ǵyóh₂e	—	*wr̥ǵyṓh₂er	*wr̥ǵyóyh₂e
work	2nd singular	*wr̥ǵyéth₂er	*wr̥ǵyéth₂e	*wr̥ǵyéso	*wr̥ǵyḗth₂er	*wr̥ǵyóyth₂e
work	3rd singular	*wr̥ǵyétor	*wr̥ǵyéto	*?	*wr̥ǵyḗtor	*wr̥ǵyóyto, *wr̥ǵyóyh₁o
work	1st dual	*wr̥ǵyówosdʰh₂	*wr̥ǵyówedʰh₂	—	*wr̥ǵyṓwosdʰh₂	*wr̥ǵyóywedʰh₂
work	2nd dual	*?	*?	*?	*?	*?
work	3rd dual	*?	*?	*?	*?	*?
work	1st plural	*wr̥ǵyómosdʰh₂	*wr̥ǵyómedʰh₂	—	*wr̥ǵyṓmosdʰh₂	*wr̥ǵyóymedʰh₂
work	2nd plural	*wr̥ǵyédʰh₂we	*wr̥ǵyédʰh₂we	*wr̥ǵyédʰh₂we	*wr̥ǵyḗdʰh₂we	*wr̥ǵyóydʰh₂we
work	3rd plural	*wr̥ǵyóror, *wr̥ǵyóntor	*wr̥ǵyóro, *wr̥ǵyónto	*?	*wr̥ǵyṓror, *wr̥ǵyṓntor	*wr̥ǵyóyro, *wr̥ǵyóyh₁n̥to
work						
work	participle	*wr̥ǵyómnos				
be	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only
be	3rd singular	*h₁ésti				
be	3rd plural	*h₁sénti				
be	active voice	present indicative	past indicative	imperative	subjunctive	optative
be	1st singular	*h₁ésmi	*h₁ésm̥	—	*h₁ésoh₂	*h₁syéh₁m̥
be	2nd singular	*h₁ési	*h₁és	*h₁és, *h₁sdʰí	*h₁ésesi	*h₁syéh₁s
be	3rd singular	*h₁ésti	*h₁ést	*h₁éstu	*h₁éseti	*h₁syéh₁t
be	1st dual	*h₁swós	*h₁swé	—	*h₁ésowos	*h₁sih₁wé
be	2nd dual	*h₁stés	*h₁stóm	*h₁stóm	*h₁ésetes	*h₁sih₁tóm
be	3rd dual	*h₁stés	*h₁stā́m	*h₁stā́m	*h₁ésetes	*h₁sih₁tā́m
be	1st plural	*h₁smós	*h₁smé	—	*h₁ésomos	*h₁sih₁mé
be	2nd plural	*h₁sté	*h₁sté	*h₁sté	*h₁ésete	*h₁sih₁té
be	3rd plural	*h₁sénti	*h₁sént	*h₁séntu	*h₁ésonti	*h₁sih₁ént
be						
be	participle	*h₁sónts				
become	perfective, athematic, active only	perfective, athematic, active only	perfective, athematic, active only	perfective, athematic, active only	perfective, athematic, active only
become	3rd singular	*bʰúHt			
become	3rd plural	*?ént			
become	active voice	indicative	imperative	subjunctive	optative
become	1st singular	*bʰúHm̥	—	*bʰúHoh₂	*?yéh₁m̥
become	2nd singular	*bʰúHs	*bʰúH, *?dʰí	*bʰúHesi	*?yéh₁s
become	3rd singular	*bʰúHt	*bʰúHtu	*bʰúHeti	*?yéh₁t
become	1st dual	*?wé	—	*bʰúHowos	*?ih₁wé
become	2nd dual	*?tóm	*?tóm	*bʰúHetes	*?ih₁tóm
become	3rd dual	*?tā́m	*?tā́m	*bʰúHetes	*?ih₁tā́m
become	1st plural	*?mé	—	*bʰúHomos	*?ih₁mé
become	2nd plural	*?té	*?té	*bʰúHete	*?ih₁té
become	3rd plural	*?ént	*?éntu	*bʰúHonti	*?ih₁ént
become					
become	participle	*?ónts			
leave	perfective, athematic	perfective, athematic	perfective, athematic	perfective, athematic	perfective, athematic
leave	3rd singular	*léykʷt			
leave	3rd plural	*likʷént			
leave	active voice	indicative	imperative	subjunctive	optative
leave	1st singular	*léykʷm̥	—	*léykʷoh₂	*likʷyéh₁m̥
leave	2nd singular	*léykʷs	*léykʷ, *likʷdʰí	*léykʷesi	*likʷyéh₁s
leave	3rd singular	*léykʷt	*léykʷtu	*léykʷeti	*likʷyéh₁t
leave	1st dual	*likwé	—	*léykʷowos	*likʷih₁wé
leave	2nd dual	*likʷtóm	*likʷtóm	*léykʷetes	*likʷih₁tóm
leave	3rd dual	*likʷtā́m	*likʷtā́m	*léykʷetes	*likʷih₁tā́m
leave	1st plural	*likʷmé	—	*léykʷomos	*likʷih₁mé
leave	2nd plural	*likʷté	*likʷté	*léykʷete	*likʷih₁té
leave	3rd plural	*likʷént	*likʷéntu	*léykʷonti	*likʷih₁ént
leave					
leave	participle	*likʷónts			
leave	middle voice	indicative	imperative	subjunctive	optative
leave	1st singular	*likʷh₂é	—	*léykʷoh₂er	*likʷih₁h₂é
leave	2nd singular	*likʷth₂é	*likʷsó	*léykʷeth₂er	*likʷih₁th₂é
leave	3rd singular	*likʷtó, *likʷó	*?	*léykʷetor	*likʷih₁tó, *likʷih₁ó
leave	1st dual	*likwédʰh₂	—	*léykʷowosdʰh₂	*likʷih₁wédʰh₂
leave	2nd dual	*?	*?	*?	*?
leave	3rd dual	*?	*?	*?	*?
leave	1st plural	*likʷmédʰh₂	—	*léykʷomosdʰh₂	*likʷih₁médʰh₂
leave	2nd plural	*likʷdʰh₂wé	*likʷdʰh₂wé	*léykʷedʰh₂we	*likʷih₁dʰh₂wé
leave	3rd plural	*likʷró, *likʷn̥tó	*?	*léykʷoror, *léykʷontor	*likʷih₁ró, *likʷih₁n̥tó
leave					
leave	participle	*likʷm̥h₁nós			
carry	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
carry	3rd singular	*bʰéreti				
carry	3rd plural	*bʰéronti				
carry	active voice	present indicative	past indicative	imperative	subjunctive	optative
carry	1st singular	*bʰéroh₂	*bʰérom	—	*bʰérōh₂	*bʰéroyh₁m̥
carry	2nd singular	*bʰéresi	*bʰéres	*bʰére	*bʰérēsi	*bʰéroys
carry	3rd singular	*bʰéreti	*bʰéret	*bʰéretu	*bʰérēti	*bʰéroyt
carry	1st dual	*bʰérowos	*bʰérowe	—	*bʰérōwos	*bʰéroywe
carry	2nd dual	*bʰéretes	*bʰéretom	*bʰéretom	*bʰérētes	*bʰéroytom
carry	3rd dual	*bʰéretes	*bʰéretām	*bʰéretām	*bʰérētes	*bʰéroytām
carry	1st plural	*bʰéromos	*bʰérome	—	*bʰérōmos	*bʰéroyme
carry	2nd plural	*bʰérete	*bʰérete	*bʰérete	*bʰérēte	*bʰéroyte
carry	3rd plural	*bʰéronti	*bʰéront	*bʰérontu	*bʰérōnti	*bʰéroyh₁n̥t
carry						
carry	participle	*bʰéronts				
carry	middle voice	present indicative	past indicative	imperative	subjunctive	optative
carry	1st singular	*bʰéroh₂er	*bʰéroh₂e	—	*bʰérōh₂er	*bʰéroyh₂e
carry	2nd singular	*bʰéreth₂er	*bʰéreth₂e	*bʰéreso	*bʰérēth₂er	*bʰéroyth₂e
carry	3rd singular	*bʰéretor	*bʰéreto	*?	*bʰérētor	*bʰéroyto, *bʰéroyh₁o
carry	1st dual	*bʰérowosdʰh₂	*bʰérowedʰh₂	—	*bʰérōwosdʰh₂	*bʰéroywedʰh₂
carry	2nd dual	*?	*?	*?	*?	*?
carry	3rd dual	*?	*?	*?	*?	*?
carry	1st plural	*bʰéromosdʰh₂	*bʰéromedʰh₂	—	*bʰérōmosdʰh₂	*bʰéroymedʰh₂
carry	2nd plural	*bʰéredʰh₂we	*bʰéredʰh₂we	*bʰéredʰh₂we	*bʰérēdʰh₂we	*bʰéroydʰh₂we
carry	3rd plural	*bʰéroror, *bʰérontor	*bʰéroro, *bʰéronto	*?	*bʰérōror, *bʰérōntor	*bʰéroyro, *bʰéroyh₁n̥to
carry						
carry	participle	*bʰéromnos				
do	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic
do	3rd singular	*dʰédʰeh₁ti				
do	3rd plural	*dʰédʰh₁n̥ti				
do	active voice	present indicative	past indicative	imperative	subjunctive	optative
do	1st singular	*dʰédʰeh₁mi	*dʰédʰeh₁m̥	—	*dʰédʰeh₁oh₂	*dʰédʰh₁yeh₁m̥
do	2nd singular	*dʰédʰeh₁si	*dʰédʰeh₁s	*dʰédʰeh₁, *dʰédʰh₁dʰi	*dʰédʰeh₁esi	*dʰédʰh₁yeh₁s
do	3rd singular	*dʰédʰeh₁ti	*dʰédʰeh₁t	*dʰédʰeh₁tu	*dʰédʰeh₁eti	*dʰédʰh₁yeh₁t
do	1st dual	*dʰédʰh₁wos	*dʰédʰh₁we	—	*dʰédʰeh₁owos	*dʰédʰh₁ih₁we
do	2nd dual	*dʰédʰh₁tes	*dʰédʰh₁tom	*dʰédʰh₁tom	*dʰédʰeh₁etes	*dʰédʰh₁ih₁tom
do	3rd dual	*dʰédʰh₁tes	*dʰédʰh₁tām	*dʰédʰh₁tām	*dʰédʰeh₁etes	*dʰédʰh₁ih₁tām
do	1st plural	*dʰédʰh₁mos	*dʰédʰh₁me	—	*dʰédʰeh₁omos	*dʰédʰh₁ih₁me
do	2nd plural	*dʰédʰh₁te	*dʰédʰh₁te	*dʰédʰh₁te	*dʰédʰeh₁ete	*dʰédʰh₁ih₁te
do	3rd plural	*dʰédʰh₁n̥ti	*dʰédʰh₁n̥t	*dʰédʰh₁n̥tu	*dʰédʰeh₁onti	*dʰédʰh₁ih₁n̥t
do						
do	participle	*dʰédʰh₁n̥ts				
do	middle voice	present indicative	past indicative	imperative	subjunctive	optative
do	1st singular	*dʰédʰh₁h₂er	*dʰédʰh₁h₂e	—	*dʰédʰeh₁oh₂er	*dʰédʰh₁ih₁h₂e
do	2nd singular	*dʰédʰh₁th₂er	*dʰédʰh₁th₂e	*dʰédʰh₁so	*dʰédʰeh₁eth₂er	*dʰédʰh₁ih₁th₂e
do	3rd singular	*dʰédʰh₁tor, *dʰédʰh₁or	*dʰédʰh₁to, *dʰédʰh₁o	*?	*dʰédʰeh₁etor	*dʰédʰh₁ih₁to, *dʰédʰh₁ih₁o
do	1st dual	*dʰédʰh₁wosdʰh₂	*dʰédʰh₁wedʰh₂	—	*dʰédʰeh₁owosdʰh₂	*dʰédʰh₁ih₁wedʰh₂
do	2nd dual	*?	*?	*?	*?	*?
do	3rd dual	*?	*?	*?	*?	*?
do	1st plural	*dʰédʰh₁mosdʰh₂	*dʰédʰh₁medʰh₂	—	*dʰédʰeh₁omosdʰh₂	*dʰédʰh₁ih₁medʰh₂
do	2nd plural	*dʰédʰh₁dʰh₂we	*dʰédʰh₁dʰh₂we	*dʰédʰh₁dʰh₂we	*dʰédʰeh₁edʰh₂we	*dʰédʰh₁ih₁dʰh₂we
do	3rd plural	*dʰédʰh₁ror, *dʰédʰh₁n̥tor	*dʰédʰh₁ro, *dʰédʰh₁n̥to	*?	*dʰédʰeh₁oror, *dʰédʰeh₁ontor	*dʰédʰh₁ih₁ro, *dʰédʰh₁ih₁n̥to
do						
do	participle	*dʰédʰh₁m̥h₁nos				
ask	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
ask	3rd singular	*pr̥sḱéti				
ask	3rd plural	*pr̥sḱónti				
ask	active voice	present indicative	past indicative	imperative	subjunctive	optative
ask	1st singular	*pr̥sḱóh₂	*pr̥sḱóm	—	*pr̥sḱṓh₂	*pr̥sḱóyh₁m̥
ask	2nd singular	*pr̥sḱési	*pr̥sḱés	*pr̥sḱé	*pr̥sḱḗsi	*pr̥sḱóys
ask	3rd singular	*pr̥sḱéti	*pr̥sḱét	*pr̥sḱétu	*pr̥sḱḗti	*pr̥sḱóyt
ask	1st dual	*pr̥sḱówos	*pr̥sḱówe	—	*pr̥sḱṓwos	*pr̥sḱóywe
ask	2nd dual	*pr̥sḱétes	*pr̥sḱétom	*pr̥sḱétom	*pr̥sḱḗtes	*pr̥sḱóytom
ask	3rd dual	*pr̥sḱétes	*pr̥sḱétām	*pr̥sḱétām	*pr̥sḱḗtes	*pr̥sḱóytām
ask	1st plural	*pr̥sḱómos	*pr̥sḱóme	—	*pr̥sḱṓmos	*pr̥sḱóyme
ask	2nd plural	*pr̥sḱéte	*pr̥sḱéte	*pr̥sḱéte	*pr̥sḱḗte	*pr̥sḱóyte
ask	3rd plural	*pr̥sḱónti	*pr̥sḱónt	*pr̥sḱóntu	*pr̥sḱṓnti	*pr̥sḱóyh₁n̥t
ask						
ask	participle	*pr̥sḱónts				
ask	middle voice	present indicative	past indicative	imperative	subjunctive	optative
ask	1st singular	*pr̥sḱóh₂er	*pr̥sḱóh₂e	—	*pr̥sḱṓh₂er	*pr̥sḱóyh₂e
ask	2nd singular	*pr̥sḱéth₂er	*pr̥sḱéth₂e	*pr̥sḱéso	*pr̥sḱḗth₂er	*pr̥sḱóyth₂e
ask	3rd singular	*pr̥sḱétor	*pr̥sḱéto	*?	*pr̥sḱḗtor	*pr̥sḱóyto, *pr̥sḱóyh₁o
ask	1st dual	*pr̥sḱówosdʰh₂	*pr̥sḱówedʰh₂	—	*pr̥sḱṓwosdʰh₂	*pr̥sḱóywedʰh₂
ask	2nd dual	*?	*?	*?	*?	*?
ask	3rd dual	*?	*?	*?	*?	*?
ask	1st plural	*pr̥sḱómosdʰh₂	*pr̥sḱómedʰh₂	—	*pr̥sḱṓmosdʰh₂	*pr̥sḱóymedʰh₂
ask	2nd plural	*pr̥sḱédʰh₂we	*pr̥sḱédʰh₂we	*pr̥sḱédʰh₂we	*pr̥sḱḗdʰh₂we	*pr̥sḱóydʰh₂we
ask	3rd plural	*pr̥sḱóror, *pr̥sḱóntor	*pr̥sḱóro, *pr̥sḱónto	*?	*pr̥sḱṓror, *pr̥sḱṓntor	*pr̥sḱóyro, *pr̥sḱóyh₁n̥to
ask						
ask	participle	*pr̥sḱómnos				
stretch	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic
stretch	3rd singular	*tn̥néwti				
stretch	3rd plural	*tnn̥wénti				
stretch	active voice	present indicative	past indicative	imperative	subjunctive	optative
stretch	1st singular	*tn̥néwmi	*tn̥nḗm	—	*tn̥néwoh₂	*tn̥nuyéh₁m̥
stretch	2nd singular	*tn̥néwsi	*tn̥néws	*tn̥néw, *tn̥nudʰí	*tn̥néwesi	*tn̥nuyéh₁s
stretch	3rd singular	*tn̥néwti	*tn̥néwt	*tn̥néwtu	*tn̥néweti	*tn̥nuyéh₁t
stretch	1st dual	*tn̥nuwós	*tn̥nuwé	—	*tn̥néwowos	*tnn̥wih₁wé
stretch	2nd dual	*tn̥nutés	*tn̥nutóm	*tn̥nutóm	*tn̥néwetes	*tnn̥wih₁tóm
stretch	3rd dual	*tn̥nutés	*tn̥nutā́m	*tn̥nutā́m	*tn̥néwetes	*tnn̥wih₁tā́m
stretch	1st plural	*tn̥numós	*tn̥numé	—	*tn̥néwomos	*tnn̥wih₁mé
stretch	2nd plural	*tn̥nuté	*tn̥nuté	*tn̥nuté	*tn̥néwete	*tnn̥wih₁té
stretch	3rd plural	*tnn̥wénti	*tnn̥wént	*tnn̥wéntu	*tn̥néwonti	*tnn̥wih₁ént
stretch						
stretch	participle	*tnn̥wónts				
stretch	middle voice	present indicative	past indicative	imperative	subjunctive	optative
stretch	1st singular	*tn̥nuh₂ér	*tn̥nuh₂é	—	*tn̥néwoh₂er	*tnn̥wih₁h₂é
stretch	2nd singular	*tn̥nuth₂ér	*tn̥nuth₂é	*tn̥nusó	*tn̥néweth₂er	*tnn̥wih₁th₂é
stretch	3rd singular	*tn̥nutór, *tnn̥wór	*tn̥nutó, *tnn̥wó	*?	*tn̥néwetor	*tnn̥wih₁tó, *tnn̥wih₁ó
stretch	1st dual	*tn̥nuwósdʰh₂	*tn̥nuwédʰh₂	—	*tn̥néwowosdʰh₂	*tnn̥wih₁wédʰh₂
stretch	2nd dual	*?	*?	*?	*?	*?
stretch	3rd dual	*?	*?	*?	*?	*?
stretch	1st plural	*tn̥numósdʰh₂	*tn̥numédʰh₂	—	*tn̥néwomosdʰh₂	*tnn̥wih₁médʰh₂
stretch	2nd plural	*tn̥nudʰh₂wé	*tn̥nudʰh₂wé	*tn̥nudʰh₂wé	*tn̥néwedʰh₂we	*tnn̥wih₁dʰh₂wé
stretch	3rd plural	*tn̥nurór, *tnn̥wn̥tór	*tn̥nuró, *tnn̥wn̥tó	*?	*tn̥néworor, *tn̥néwontor	*tnn̥wih₁ró, *tnn̥wih₁n̥tó
stretch						
stretch	participle	*tnn̥wm̥h₁nós				
know	stative	stative	stative	stative	stative
know	3rd singular	*wóyde			
know	3rd plural	*widḗr			
know	active voice	indicative	imperative	subjunctive	optative
know	1st singular	*wóydh₂e	—	*wéydoh₂	*widyéh₁m̥
know	2nd singular	*wóydth₂e	*wóyd, *widdʰí	*wéydesi	*widyéh₁s
know	3rd singular	*wóyde	*wóydtu	*wéydeti	*widyéh₁t
know	1st dual	*widwé	—	*wéydowos	*widih₁wé
know	2nd dual	*?	*widtóm	*wéydetes	*widih₁tóm
know	3rd dual	*?	*widtā́m	*wéydetes	*widih₁tā́m
know	1st plural	*widmé	—	*wéydomos	*widih₁mé
know	2nd plural	*widé	*widté	*wéydete	*widih₁té
know	3rd plural	*widḗr	*widéntu	*wéydonti	*widih₁ént
know					
know	participle	*widwṓs			
sit	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only
sit	3rd singular	*sísdeti				
sit	3rd plural	*sísdonti				
sit	active voice	present indicative	past indicative	imperative	subjunctive	optative
sit	1st singular	*sísdoh₂	*sísdom	—	*sísdōh₂	*sísdoyh₁m̥
sit	2nd singular	*sísdesi	*sísdes	*sísde	*sísdēsi	*sísdoys
sit	3rd singular	*sísdeti	*sísdet	*sísdetu	*sísdēti	*sísdoyt
sit	1st dual	*sísdowos	*sísdowe	—	*sísdōwos	*sísdoywe
sit	2nd dual	*sísdetes	*sísdetom	*sísdetom	*sísdētes	*sísdoytom
sit	3rd dual	*sísdetes	*sísdetām	*sísdetām	*sísdētes	*sísdoytām
sit	1st plural	*sísdomos	*sísdome	—	*sísdōmos	*sísdoyme
sit	2nd plural	*sísdete	*sísdete	*sísdete	*sísdēte	*sísdoyte
sit	3rd plural	*sísdonti	*sísdont	*sísdontu	*sísdōnti	*sísdoyh₁n̥t
sit						
sit	participle	*sísdonts				
protect	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
protect	3rd singular	*h₂lékseti				
protect	3rd plural	*h₂léksonti				
protect	active voice	present indicative	past indicative	imperative	subjunctive	optative
protect	1st singular	*h₂léksoh₂	*h₂léksom	—	*h₂léksōh₂	*h₂léksoyh₁m̥
protect	2nd singular	*h₂léksesi	*h₂lékses	*h₂lékse	*h₂léksēsi	*h₂léksoys
protect	3rd singular	*h₂lékseti	*h₂lékset	*h₂léksetu	*h₂léksēti	*h₂léksoyt
protect	1st dual	*h₂léksowos	*h₂léksowe	—	*h₂léksōwos	*h₂léksoywe
protect	2nd dual	*h₂léksetes	*h₂léksetom	*h₂léksetom	*h₂léksētes	*h₂léksoytom
protect	3rd dual	*h₂léksetes	*h₂léksetām	*h₂léksetām	*h₂léksētes	*h₂léksoytām
protect	1st plural	*h₂léksomos	*h₂léksome	—	*h₂léksōmos	*h₂léksoyme
protect	2nd plural	*h₂léksete	*h₂léksete	*h₂léksete	*h₂léksēte	*h₂léksoyte
protect	3rd plural	*h₂léksonti	*h₂léksont	*h₂léksontu	*h₂léksōnti	*h₂léksoyh₁n̥t
protect						
protect	participle	*h₂léksonts				
protect	middle voice	present indicative	past indicative	imperative	subjunctive	optative
protect	1st singular	*h₂léksoh₂er	*h₂léksoh₂e	—	*h₂léksōh₂er	*h₂léksoyh₂e
protect	2nd singular	*h₂lékseth₂er	*h₂lékseth₂e	*h₂lékseso	*h₂léksēth₂er	*h₂léksoyth₂e
protect	3rd singular	*h₂léksetor	*h₂lékseto	*?	*h₂léksētor	*h₂léksoyto, *h₂léksoyh₁o
protect	1st dual	*h₂léksowosdʰh₂	*h₂léksowedʰh₂	—	*h₂léksōwosdʰh₂	*h₂léksoywedʰh₂
protect	2nd dual	*?	*?	*?	*?	*?
protect	3rd dual	*?	*?	*?	*?	*?
protect	1st plural	*h₂léksomosdʰh₂	*h₂léksomedʰh₂	—	*h₂léksōmosdʰh₂	*h₂léksoymedʰh₂
protect	2nd plural	*h₂léksedʰh₂we	*h₂léksedʰh₂we	*h₂léksedʰh₂we	*h₂léksēdʰh₂we	*h₂léksoydʰh₂we
protect	3rd plural	*h₂léksoror, *h₂léksontor	*h₂léksoro, *h₂léksonto	*?	*h₂léksōror, *h₂léksōntor	*h₂léksoyro, *h₂léksoyh₁n̥to
protect						
protect	participle	*h₂léksomnos				
be-red	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only
be-red	3rd singular	*h₁rudʰéh₁ti				
