chapter_id	entry_id	meaning	Tocharian B_Phonemic	comment
16	670	lie, tell lies	waike	Noun forms.
16	680	deceit	tserekwa	Plural.
16	690	forgive	kṣānti; kṣantiɲɲe	Both forms are nouns; Indic loanwords.; Both forms are nouns; Indic loanwords.
16	710	good	kartse	
16	720	bad	yolo	
16	740	wrong	appamāt	Indic loanwords.
16	760	fault	nāki	
16	770	mistake, error	triśalɲe	
16	780	blame	nāki	
16	790	praise	päl-	
16	810	beautiful	ersnāssu	
16	820	ugly	yolai-erepate; yolo-pilkotstse	Respectively: lit. 'of bad appearance; bad-looking'.; Respectively: lit. 'of bad appearance; bad-looking'.
16	830	greedy	entseṣṣe	
16	840	clever	maimantstse	
17	110	mind	palsko	
17	130	think (= reflect)	pälsk-	GSL B maim-palsko; A mnu-päktsäk means 'reflection, consideration', lit. 'measuring + thinking'. Also GSL B pälskonta; A pälskant 'thoughts'; and palskosa 'by thought'.
17	140	think (= be of the opinion)	pälsk-	GSL B maim-palsko; A mnu-päktsäk means 'reflection, consideration', lit. 'measuring + thinking'. Also GSL B pälskonta; A pälskant 'thoughts'; and palskosa 'by thought'.
17	150	believe	takarṣkaɲɲe	Noun form.
17	160	understand	kärs-	
17	170	know	kärs-	GSL B aik-; A knān- 'know, recognize'.
17	190	idea, notion	palskalɲe; pälskālune	
17	210	wise	aiśamo	
17	220	foolish, stupid	aknātsa	
17	240	learn	ākl-	
17	242	study	ākl-	
17	250	teach	ṣärp-	
17	260	pupil	akalṣälle	
17	270	teacher	käṣṣi	Iranian loanwords.
17	310	remember	epiyac käl-	First forms of B and A are Iranian loanwords.
17	320	forget	märs-	
17	340	clear, plain	astare; takarṣke	
17	360	secret	enestai	'Secretly'.
17	380	explain	ṣärp-	
17	410	intention, purpose	päknālɲe	
17	420	cause	ṣarm	
17	430	doubt	sklok	
17	440	suspect	ersankäɲɲe	Noun form.
17	450	need, necessity	ɲyātse	
17	460	easy	olank	
17	470	difficult	amāsko; waimene	
17	480	try, attempt	skai-	
17	490	way, manner	yakne	
17	510	and	ṣap; wai	ṣäp conjoins clauses + words; wai conjoins only words.; ṣäp conjoins clauses + words; wai conjoins only words.
17	520	because	kùce	
17	530	if	kwri	
17	540	or	epe; wat	
17	560	no, negative	mā	
17	610	how?	mäkte	
17	620	how many?	kos	
17	630	how much?	BA kos	
17	640	what?	kùse	Same as 'who' 17.680.
17	650	when?	ente	
17	660	where?	ente; kùtameṃ	Second B form: 'from where'.; Second B form: 'from where'.
17	670	which?	intsu	
17	680	who?	kùse	
17	690	why?	kā; kāttsi	
18	110	voice	weśeɲɲa; wek	
18	120	sing	pi-	
18	130	shout, cry out	nu-; kuk-	
18	150	whisper	pās-	(?)
18	210	speak, talk	wesk-	
18	220	say	wesk-	
18	221	tell story	wesk-	
18	230	silent (be)	stināsk-	
18	240	language	kantwo	Lit. 'tongue' 04.260.
18	260	word	reki	
18	280	name	ɲem	GSL B ɲem-kälywe; A ɲom-klyu 'fame', lit. 'name + report'; cf. 'announce, call' 18.430.
18	310	ask (question, inquire)	pärk-	
18	320	answer	wrattsai wesk-	
18	330	admit, confess	teśit yām-	'Make a confession'; Indic loanword.
18	340	deny	mäl-	
18	350	ask, request	pärk-	
18	390	rebuke, scold	nāk-	
18	410	call (=summon)	kwā-; kāk-	First form is suppletive verb.; First form is suppletive verb.
18	420	call (=name)	ɲem tā-	'Name' lit. 'set name' 18.280.
18	430	announce	klāw-	
18	440	threaten	nu-; skär-	
18	510	write	pik-	
18	610	book	postak	Iranian loanwords.
18	720	drum	kerū	
19	110	country	yapoy	
19	150	city, town	riye	Respectively: 'nom.; oblique'.
19	160	village	kuṣai	A and B forms are 'oblique'.
19	170	boundary	totteɲɲe	
19	210	people (populace)	śaiṣṣe	
19	230	tribe, clan	kottär	Indic loanwords.
19	240	chief, chieftain	saswe	Mean 'lord'.
19	320	king, ruler	walo; lāɲc	Second forms are plural.; Second forms are plural.
19	330	queen	lāntsa	
19	410	master	saswe	'Master, lord'.
19	430	servant	maɲiye	Iranian loanwords.
19	450	command, order	wätk-	
19	470	let, permit	kälm-	
19	510	friend, companion	waṣamo	
19	520	enemy	sāṃ	Second A form is plural.
19	550	stranger	laukito	
19	580	help, aid	ekito yām-	
19	590	hinder, prevent	krämp-; tänk-	
19	610	custom	yakne	Also 'way, manner'.
19	620	strife, quarrel	śalna	
20	110	fight (vb)	wät-	
20	130	war, battle	weta	
20	140	peace	āɲu	
20	150	army	retke	
20	170	soldier	wetāu	
20	210	weapons, arms	yepe	Singular form. Also means 'knife' 09.230.
20	220	club	śakāto	
20	222	battle-ax	peret	Iranian loanwords.
20	240	bow	wäntalye	
20	250	arrow	prere; tsain	Second B form is Iranian loanword. Cf. Av. zaēna- 'weapon'.; Second B form is Iranian loanword. Cf. Av. zaēna- 'weapon'.
20	270	sword	apsāl; kertte	Second B form prob. Iranian loanword.; Second B form prob. Iranian loanword.
20	360	tower	kucatāk	Indic loanword.
20	471	guard, sentinel	pāsk-	
20	540	fishnet	sopi	
20	610	hunt	śer-	
20	620	shoot	kärsk-	
21	110	law	pelaikne	
21	180	judge (noun)	prekṣenta	Noun (agent), derivative of prek- 'ask'.
21	230	witness	reme	
21	310	accuse	kuts-	(?)
21	320	condemn	nāk-	Also 'blame'.
21	390	prison, jail	pele; prautke	
21	420	murder	kauṣenta	Means 'murderer', lit. 'killer'.
21	510	steal	kälyp-; kärk-	
21	520	thief	lyak	Lit. 'one who lies (in wait)'; cf. 'lie down' 12.140.
22	120	God	ɲakte	
22	130	temple, church	devakul	Indic loanword.
22	150	sacrifice, offering	telki	
22	160	worship	wināsk-	
22	180	priest	ṣamāne	Indic loanwords, 'monk'. B aśiya; A aśi 'nun'.
22	220	preach	āks-	Lit. 'announce'.
22	240	curse	śāp	Noun, Indic loanword.
22	260	fast (vb)	anahār	Noun, Indic loanword.
22	320	hell	nrai	Indic loanwords.
22	350	demon (evil spirit)	yolo	A forms are adj. and sb., and adj., respectively.
22	420	magic, witchcraft, sorcery	raddhi; wic	Indic loanwords.; Indic loanwords.
22	450	ghost, phantom	prete; yākṣe	Indic loanwords.; Indic loanwords.
