#swadesh 207 id	part-of-speech	English	Proto-Germanic	Old English	Old English IPA	Scots 	West Frisian 	Dutch 	Afrikaans 	Low Saxon 	Limburgish 	Central Franconian 	Luxembourgish 	German 	Yiddish 	Old Norse	Danish 	Swedish 	Faroese 	Icelandic 	Norwegian (bokmål) 	Norwegian (nynorsk) 	Gothic
77	noun	tooth	*tanþs	tōþ m 	/toːθ/	tuith 	tosk 	tand 	tand 	Tähn 	tandj 	Zand, Zank, Zahnd 	Zant 	Zahn 	צאָן‎ (tson) 	tǫnn	tand 	tand 	tonn 	tönn 	tann 	tann, tonn 	𐍄𐌿𐌽𐌸𐌿𐍃 (tunþus)
78	noun	tongue	*tungǭ	tunge f 	/ˈtuŋɡe/	tongue 	tonge 	tong 	tong 	Tung 	tóng 	Zong, Zung 	Zong 	Zunge 	צונג‎ (tsung) 	tunga	tunge 	tunga 	tunga 	tunga 	tunge 	tunge, tunga 	𐍄𐌿𐌲𐌲𐍉 (tuggō)
79	noun	fingernail	*naglaz	fingernæġl m 	/ˈfiŋɡerˠnæjl̩/	fingernail 	fingerneil, neil 	vingernagel, nagel 	nael, vingernael 	Fingernagel 	nagel 	Nääl, Naal, Nool (and Fenger-) 	Nol, (Fangernol) 	Fingernagel 	נאָגל‎ (nogl) 	nagl	negl 	nagel 	negl 	nögl 	negl 	nagl 	(possibly *𐌽𐌰𐌲𐌻𐍃 (*nagls), in 𐌲𐌰𐌽𐌰𐌲𐌻𐌾𐌰𐌽 (ganagljan))
80	noun	foot	*fōts	fōt m 	/foːt/	fit 	foet 	voet 	voet 	Foot 	voot 	Foß, Fuß 	Fouss 	Fuß 	פֿוס‎ (fus) 	fótr	fod 	fot 	fótur 	fótur 	fot 	fot 	𐍆𐍉𐍄𐌿𐍃 (fōtus)
81	noun	leg	*lagjaz, *bainą	sċanca m 	/ˈʃɒŋkɑ/	leg, shank 	skonk 	been 	been 	Been 	bein 	Been, Bään, Bein 	Been 	Bein 	פֿוס‎ (fus) 	leggr	ben, leg (shin) 	ben 	bein, leggur 	fótleggur 	bein, legg (shin) 	bein, legg (shin) 	[Term?]
82	noun	knee	*knewą	cnēow n 	/kneːo̯w/	knee 	knibbel 	knie 	knie 	Knee 	knee 	Knee, Knie 	Knéi 	Knie 	קני‎ (kni) 	kné	knæ 	knä 	knæ 	hné 	kne 	kne 	𐌺𐌽𐌹𐌿 (kniu)
83	noun	hand	*handuz	hand f 	/hɒnd/	haund 	hân 	hand 	hand 	Hand 	handj 	Hand, Hank 	Hand 	Hand 	האַנט‎ (hant) 	hǫnd	hånd 	hand 	hond 	hönd 	hånd, hand 	hand 	𐌷𐌰𐌽𐌳𐌿𐍃 (handus)
84	noun	wing	*wēingaz, *flugilaz, *fiþriją	fiþre n 	/ˈfiðre/	weeng 	flerk, wjuk 	vleugel 	vlerk 	Flögel, Flunk, Flücht 	vleugel 	Flüjjel, Flijjel, Flöjel 	Flillek 	Flügel 	פֿליגל‎ (fligl) 	vængr	vinge 	vinge 	vongur 	vængur 	vinge 	veng, vengje 	[Term?]
85	noun	belly	*būkaz	wamb f 	/wɒmb/	belly 	búk 	buik 	maag 	Buuk 	boek 	Buch, Bouch 	Bauch 	Bauch 	בויך‎ (boykh) 	magi	mave 	mage 	magi, búkur 	magi / kviður / búkur 	mage, buk 	mage, buk (animal belly) 	𐍅𐌰𐌼𐌱𐌰 (wamba)
86	noun	guts	*garnō, *þarmaz	þearmas m pl 	/ˈθæɑ̯rˠmɑs/	guts, thairms 	termen 	ingewanden, darmen 	ingewande 	Darm, Gedärm 	derm 	Därm, Darm 	Träipen 	Eingeweide, Gedärme 	געדערעם‎ (gederem), קישקע‎ (kishke) 	þarmar	tarm 	inälvor 	tarmur, gørn 	innyfli 	innvoller 	innvolar 	[Term?]
87	noun	neck	*hnakkô, *halsaz	swēora m 	/ˈsweːo̯rɑ/	neck, hause 	nekke 	nek (back), hals (front) 	nek 	Nack (back), Hals (front) 	nak 	Hals 	Hals 	Hals 	האַלדז‎ (haldz) 	hals	hals (front), nakke (back) 	hals (front), nacke (back) 	hálsur, nakki 	háls 	nakke (back), hals (front) 	nakke (back), hals (front) 	𐌷𐌰𐌻𐍃 (hals)
88	noun	back	*baką	hryċġ m 	/hr̥ydd͡ʒ/	back, rig 	rêch, tebek 	rug 	rug 	Back, Rüch 	rök 	Rögge, Röck, Reck 	Réck 	Rücken 	פּלייצע‎ (pleytse), רוקן‎ (rukn) 	bak	ryg 	rygg 	ryggur 	bak 	rygg, bak (rare) 	rygg, bak (rare) 	[Term?]
89	noun	breast	*breustą, *brusts	brēost n 	/breːo̯st/	breest 	boarst 	borst 	bors 	Bost 	bórs 	Brost, Bross, Bosch 	Broscht 	Brust 	ברוסט‎ (brust) 	brjóst	bryst 	bröst 	bróst 	brjóst 	bryst 	bryst 	𐌱𐍂𐌿𐍃𐍄𐍃 (brusts)
90	noun	heart	*hertô	heorte f 	/ˈheo̯rˠte/	hert 	hert(e) 	hart 	hart 	Hart 	hert 	Hätz, Herz 	Häerz 	Herz 	האַרץ‎ (harts) 	hjarta	hjerte 	hjärta 	hjarta 	hjarta 	hjerte 	hjarta 	𐌷𐌰𐌹𐍂𐍄𐍉 (hairtō)
91	noun	liver	*librō	lifer f 	/ˈliver/	liver 	lever 	lever 	lewer 	Lever 	laever 	Levver, Läver 	Liewer 	Leber 	לעבער‎ (leber) 	lifr	lever 	lever 	livur 	lifur 	lever 	lever 	[Term?]
92	verb	drink	*drinkaną	drincan 	/ˈdriŋkɑn/	drink 	drinke 	drinken 	drink 	drinken 	drinke 	drenke, drinke 	drénken 	trinken 	טרינקעּן‎ (trinkeּn) 	drekka	drikke 	dricka 	drekka 	drekka 	drikke 	drikka 	𐌳𐍂𐌹𐌲𐌺𐌰𐌽 (drigkan)
93	verb	eat	*etaną	etan 	/ˈetɑn/	eat 	ite 	eten 	eet 	eten 	aete 	äße, esse 	iessen 	essen 	עסן‎ (esn) 	eta	spise, æde 	äta 	eta 	borða, éta 	spise, ete 	eta, spisa 	𐌹𐍄𐌰𐌽 (itan), 𐌼𐌰𐍄𐌾𐌰𐌽 (matjan)
94	verb	bite	*bītaną	bītan 	/ˈbiːtɑn/	bite 	bite 	bijten 	byt 	bieten 	biete 	bieße, beiße 	bäissen 	beissen 	בײַסן‎ (baysn) 	bíta	bide 	bita 	bíta 	bíta 	bite 	bita 	𐌱𐌴𐌹𐍄𐌰𐌽 (beitan)
95	verb	suck	*sūganą	sūcan 	/ˈsuːkɑn/	souk 	sûgje 	zuigen 	suig 	sugen 	zókke 	nüggele, suge( g pronounced as Voiced velar fricative) 	suckelen 	saugen 	זויגן‎ (zoygn) 	súga	sutte, suge 	suga 	súgva 	sjúga, soga 	suge 	suga 	[Term?]
96	verb	spit	*spīwaną	spǣtan 	/ˈspæːtɑn/	spit 	spuie 	spuwen 	spoeg 	spütten 	sjpieje 	speie, speue, spouze, späue, spöye 	späizen 	spucken 	שפּײַען‎ (shpayen) 	spýta	spytte 	spotta 	spýta 	skyrpa, spýta, hrækja 	spytte 	spytta 	𐍃𐍀𐌴𐌹𐍅𐌰𐌽 (speiwan)
97	verb	vomit	*spīwaną	spīwan 	/ˈspiːwɑn/	bowk, spew 	koarje, oerjaan, spuie 	braken, overgeven 	kots, opgooi, braak 	(sik) övergeven, (sik) breken 	göbbele (sjpieje, euvergaeve) 	kotze, jöbbele 	katzen 	erbrechen 	ברעכן‎ (brekhn), אויסברעכן‎ (oysbrekhn) 	spýja	kaste op 	spy, kräkas 	spýggja 	kasta upp, æla 	spy, kaste opp 	spy, kasta opp 	[Term?]
98	verb	blow	*wēaną	blāwan 	/ˈblɑːwɑn/	blaw 	blaze 	blazen 	waai, blaas 	blasen, puusten, püüstern, weihen 	blaoze 	blose 	blosen 	blasen 	בלאָזן‎ (blozn) 	blása	blæse 	blåsa 	blása 	blása 	blåse 	blåsa 	(possibly *𐌱𐌻𐌴𐍃𐌰𐌽 (*blēsan), in 𐌿𐍆𐌱𐌻𐌴𐍃𐌰𐌽 (ufblēsan))
99	verb	breathe	*anþijaną	ēþian 	/ˈeːðiɑn/	braithe 	azemje, sykhelje 	ademen 	asemhaal 	aten 	aome 	ödeme, ädeme, odme 	otmen 	atmen 	אָטעמען‎ (otemen) 	anda	ånde 	andas 	anda 	anda 	puste, ånde 	anda, pusta 	*𐌰𐌽𐌰𐌽 (*anan) (in 𐌿𐌶𐌰𐌽𐌰𐌽 (uzanan))
100	verb	laugh	*hlahjaną	hliehhan 	/ˈhl̥iy̯ç.çɑn/	lauch 	laitsje 	lachen 	lag 	lachen 	lache 	laache 	laachen 	lachen 	לאַכן‎ (lakhn) 	hlæja	le, grine 	skratta 	læa, grína, flenna 	hlæja 	le 	le 	𐌷𐌻𐌰𐌷𐌾𐌰𐌽 (hlahjan)
101	verb	see	*sehwaną	ġesēon 	/jeˈseːo̯n/	see 	sjen 	zien 	sien 	sehn 	zeen 	sehn, siehn, sinn 	gesinn, kucken 	sehen 	זען‎ (zen) 	sjá	se 	se 	síggja 	sjá 	se 	sjå 	𐍃𐌰𐌹𐍈𐌰𐌽 (saiƕan)
102	verb	hear	*hauzijaną	ġehīeran 	/jeˈhiːy̯rɑn/	hear 	hearre 	horen 	hoor 	hören 	hure 	hüre, hiere 	héieren 	hören 	הערן‎ (hern) 	heyra	høre 	höra 	hoyra 	heyra 	høre 	høyra 	𐌷𐌰𐌿𐍃𐌾𐌰𐌽 (hausjan)
103	verb	know	*knēaną, *kunnaną, *witaną	witan (be aware of), cunnan (be familiar with) 	/ˈwitɑn/, /ˈkun.nɑn/	knaw, ken, wat 	witte 	weten 	weet 	weten 	weite 	wesse; kenne 	wëssen; kennen 	wissen; kennen 	וויסן‎ (visn); קענען‎ (kenen) 	vita	vide 	veta 	vita 	vita, þekkja, kunna 	vite 	veta 	𐍅𐌹𐍄𐌰𐌽 (witan)
104	verb	think	*þankijaną, *þunkijaną, *munaną	þenċan 	/ˈθent͡ʃɑn/	think 	tinke 	denken 	dink 	denken 	dinke 	denke 	denken 	denken 	טראַכטן‎ (trakhtn); דענקען‎ (denken) 	þekkja	tænke 	tänka 	hugsa 	hugsa 	tenke 	tenkja 	𐌸𐌰𐌲𐌺𐌾𐌰𐌽 (þagkjan)
105	verb	smell	*smuljaną, *reukaną	ġestincan (sense with the nose), stincan (give off a scent) 	/jeˈstiŋkɑn/, /ˈstiŋkɑn/	smell 	rûke 	ruiken 	ruik 	rüken 	roeke 	ruche, reeche, rieche 	richen 	riechen 	שמעקן‎ (shmekn) 	þefa	lugte 	lukta 	lukta 	lykta, þefa 	lukte 	lukta 	[Term?]
106	verb	fear	*aganą	ondrǣdan 	/ondˈræːdɑn/	fear 	bang wêze 	vrezen 	vrees 	früchten 	vreize 	bang sinn 	fäerten 	fürchten 	מורא האָבן‎ (moyre hobn) 	ugga	frygte, være bange for 	frukta, rädas 	ræðast 	óttast, hræðast 	frykte, være redd for 	ottast, vera redd for 	𐍆𐌰𐌿𐍂𐌷𐍄𐌾𐌰𐌽 (faurhtjan)
107	verb	sleep	*slēpaną	slǣpan 	/ˈslæːpɑn/	sleep 	sliepe 	slapen 	slaap 	slapen 	sjlape 	schlofe 	schlofen 	schlafen 	שלאָפֿן‎ (shlofn) 	sofa	sove 	sova 	sova 	sofa 	sove 	sova 	𐍃𐌻𐌴𐍀𐌰𐌽 (slēpan)
108	verb	live	*libjaną	libban 	/ˈlib.bɑn/	leeve 	libje 	leven 	lewe 	leven 	laeve 	levve, läve 	liewen 	leben 	לעבן‎ (lebn) 	lifa	leve 	leva 	liva 	lifa 	leve 	leva 	𐌻𐌹𐌱𐌰𐌽 (liban)
109	verb	die	*dawjaną	sweltan 	/ˈsweltɑn/	dee 	stjerre, deagean 	sterven 	sterf, doodgaan 	starven, dootblieven 	sjterve 	sterve 	stierwen 	sterben 	שטאַרבן‎ (shtarbn) 	deyja	dø 	dö 	doyggja 	deyja 	dø 	døy 	*𐌳𐌰𐌿𐌸𐌽𐌰𐌽 (*dauþnan)
110	verb	kill	*daudijaną	ofslēan 	/ofˈslæːɑ̯n/	kill, fell 	deadzje, deadwaan 	doden 	doodmaak 	dootslaan, dootmaken 	vermaorde 	dut maache, ömbrenge, düde 	dout maachen 	töten, umbringen 	טייטן‎ (teytn), אומברענגען‎ (umbrengen) 	drepa	dræbe 	döda 	drepa 	drepa 	drepe 	drepa 	𐌳𐌰𐌿𐌸𐌾𐌰𐌽 (dauþjan)
111	verb	fight	*fehtaną	feohtan 	/ˈfeo̯xtɑn/	fecht 	fjochtsje 	vechten 	veg 	fechten 	vlöchte 	kämpfe 	streiden 	kämpfen 	קעמפֿן‎ (kemfn) 	hals	slås, kæmpe 	strida 	stríða 	slást, berjast 	slåss 	slåst 	[Term?]
112	verb	hunt	*huntōną, *jakkōną	huntian 	/ˈhuntiɑn/	hunt 	jeie 	jagen 	jag 	jagen 	jaoge 	jage (g pronounced as Voiced velar fricative), jaan 	joen 	jagen 	יאָגן‎ (yogn) 	bak	jage 	jaga 	jaga, veiða 	veiða 	jakte, jage 	jakta, jaga, veida 	[Term?]
113	verb	hit	*slahaną	slēan 	/slæːɑ̯n/	hit 	slaan, reitsje 	slaan, raken 	slaan, tref 	slaan 	sjlaon 	schlonn, schloge ( g pronounced asVoiced velar fricative) 	schloen 	schlagen 	שלאָגן‎ (shlogn) 	berja	slå 	slå 	sláa 	slá, berja 	slå 	slå 	𐍃𐌻𐌰𐌷𐌰𐌽 (slahan)
114	verb	cut	*maitaną, *snīþaną	snīþan 	/ˈsniːðɑn/	cut, sned 	snije 	knippen, snijden 	knip, sny 	snieden 	sjnieje 	schnegge, schnigge, schneide 	schneiden 	schneiden 	שנײַדן‎ (shnaydn) 	skera	skære 	skära 	skera 	skera 	skjære, kutte 	skjera 	𐍃𐌽𐌴𐌹𐌸𐌰𐌽 (sneiþan)
115	verb	split	*splītaną, *dailijaną	tōclēofan 	/toːˈkleːo̯vɑn/	spleet, speld 	splite, spjalte 	splijten 	kloof 	splieten, klöven 	sjpliete 	deele, dääle, deile 	deelen 	teilen, spalten 	טיילן‎ (teyln), שפּאַלטן‎ (shpaltn) 	kljúfa	dele, skille, splitte, kløve 	dela, klyva 	klúgva 	kljúfa, skipta 	dele, kløyve, skille 	kløyva, skilja, dela 	[Term?]
116	verb	stab	*stikaną	stingan, stician 	/ˈstiŋɡɑn/, /ˈstikiɑn/	stob, stick 	stekke 	steken 	steek 	steken 	doorbaore 	stääche, steche 	stiechen 	stechen 	שטעכן‎ (shtekhn) 	stinga	stikke 	sticka 	stinga 	stinga 	stikke 	stikka, stinga 	[Term?]
117	verb	scratch	*krattōną, *hrībaną	clawian 	/ˈklɑwiɑn/	scart, scrab 	skrabje 	krabben 	krap 	kleien 	kretsje 	jöcke, kratze 	krazen 	kratzen 	קראַצן‎ (kratsn) 	kleyja (uncertain, related to kló)	kradse 	klia 	klóra 	klóra 	klø, klore (inflict pain) 	kleia, klå, klora (inflict pain) 	[Term?]
118	verb	dig	*grabaną	delfan 	/ˈdelvɑn/	dig, del, howk 	grave 	graven 	grawe 	graven, buddeln 	grave 	jrave, grave, buddele 	buddelen 	graben 	גראָבן‎ (grobn) 	grafa	grave 	gräva 	grava 	grafa 	grave 	grava 	𐌲𐍂𐌰𐌱𐌰𐌽 (graban)
119	verb	swim	*swimmaną	swimman 	/ˈswim.mɑn/	soum 	swimme 	zwemmen 	swem 	swemmen 	zjwumme 	schwemme, schwomme 	schwammen 	schwimmen 	שווימען‎ (shvimen) 	svimma	svømme 	simma 	svimja 	synda 	svømme 	symja 	[Term?]
120	verb	fly	*fleuganą	flēogan 	/ˈfleːo̯ɣɑn/	flee 	fleane 	vliegen 	vlieg 	flegen 	vlege 	fleeje, flieje 	fléien 	fliegen 	פֿליִען‎ (flien) 	fljúga	flyve 	flyga 	flúgva, fljúgva, fljúga 	fljúga 	fly 	fly, flyga 	[Term?]
121	verb	walk	*walkaną, *gāną, *līþaną, *ganganą	gān 	/ɣɑːn/	walk 	rinne, kuierje 	lopen, stappen 	loop, stap, wandel 	gahn, lopen, wanneln, wannern 	loupe 	jonn, john, gohn, giehn 	goen 	gehen 	גיין‎ (geyn) 	ganga	gå 	gå 	ganga 	ganga 	gå 	gå, ganga (poetic/archaic) 	𐌲𐌰𐌲𐌲𐌰𐌽 (gaggan) (approx.)
122	verb	come	*kwemaną	cuman 	/ˈkumɑn/	come 	komme 	komen 	kom 	kamen 	kómme 	komme, kumme, kunn 	kommen 	kommen 	קומען‎ (kumen) 	koma	komme 	komma 	koma 	koma 	komme 	koma 	𐌵𐌹𐌼𐌰𐌽 (qiman)
123	verb	lay	*ligjaną	liċġan 	/ˈlid.d͡ʒɑn/	lig 	lizze 	liggen 	lê 	liggen (passive), leggen (active) 	ligke 	lijje, leie 	leien 	liegen (passive), legen (active) 	ליגן‎ (lign) 	liggja	lægge sig (action), ligge (state) 	ligga 	liggja (state), leggja seg (action) 	liggja 	ligge 	liggja 	𐌻𐌹𐌲𐌰𐌽 (ligan)
124	verb	sit	*sitjaną	sittan 	/ˈsit.tɑn/	sit 	sitte 	zitten 	sit 	sitten 	zitte 	setze 	sëtzen 	sitzen 	זיצן‎ (zitsn) 	sitja	sidde 	sitta 	sita 	sitja 	sitte 	sitja 	𐍃𐌹𐍄𐌰𐌽 (sitan)
125	verb	stand	*standaną, *stāną	standan 	/ˈstɒndɑn/	staund 	stean 	staan 	staan, opstaan (action) 	stahn 	sjtaon 	stonn, stohn, stiehn 	stoen 	stehen 	שטיין‎ (shteyn) 	standa	rejse sig, stå op (action), stå (state) 	stå 	standa 	standa 	stå 	stå, standa 	𐍃𐍄𐌰𐌽𐌳𐌰𐌽 (standan)
126	verb	turn	*þrēaną	wendan 	/ˈwendɑn/	turn 	draaie 	draaien 	draai 	dreihen 	drejje 	driehe, drähe, drähne 	dréinen 	drehen 	דרייען‎ (dreyen) 	hverfa, vinda, snúa	vende, dreje 	svänga 	snúgva, venda, snara 	snúa, beygja 	snu, vende 	snu, venda 	𐍅𐌰𐌽𐌳𐌾𐌰𐌽 (wandjan)
127	verb	fall	*fallaną	feallan 	/ˈfæɑ̯ɫ.ɫɑn/	faw 	falle 	vallen 	val 	fallen 	valle 	falle 	falen 	fallen 	פֿאַלן‎ (faln) 	falla	falde 	falla 	fella, detta 	detta, falla 	falle, dette 	falla, detta 	𐌳𐍂𐌹𐌿𐍃𐌰𐌽 (driusan)
128	verb	give	*gebaną	sellan 	/ˈsel.lɑn/	gie 	jaan 	geven 	gee 	geven 	gaeve 	jevve, gäve, genn 	ginn 	geben 	געבן‎ (gebn) 	gefa	give 	ge 	geva 	gefa 	gi 	gje, gjeva 	𐌲𐌹𐌱𐌰𐌽 (giban)
129	verb	hold	*haldaną	healdan 	/ˈhæɑ̯ɫdɑn/	haud 	hâlde 	houden 	hou 	holen 	hawte 	hale, halde 	halen 	halten 	האַלטן‎ (haltn) 	halda	holde 	hålla 	halda 	halda 	holde 	halda 	𐌷𐌰𐌻𐌳𐌰𐌽 (haldan)
130	verb	squeeze	*hnīpaną	twenġan 	/ˈtwend͡ʒɑn/	nip, knidge , chirt 	knipe 	knijpen 	druk 	quettern, drücken, drüüschen 	pitse 	quetsche, petsche 	drécken 	quetschen 	קוועטשן‎ (kvetshn) 	þrýsta	klemme, presse 	klämma 	kroysta 	kreista 	klemme, presse, trykke 	klemma, trykkja 	[Term?]
131	verb	rub	*nū(w)aną	gnīdan 	/ˈɣniːdɑn/	rub, chaff 	rosse 	wrijven 	vryf 	wrieven, rieven, wribbeln 	vrieve 	rieve, reive 	reiwen 	reiben 	רײַבן‎ (raybn) 	gniða, gnúa	gnide 	gnida, gnugga 	gníggja 	nudda, núa 	gni, gnu 	gnida, gni, gnu 	[Term?]
132	verb	wash	*waskaną, *þwahaną	þwēan, wascan 	/θwæːɑ̯n/, /ˈwɑskɑn/	wash 	waskje 	wassen 	was 	waschen 	wesje 	wäsche 	wäschen 	waschen 	וואַשן‎ (vashn) 	vaska, þvá	vaske 	tvätta 	vaska, tváa 	þvo 	vaske 	vaska, två 	𐌸𐍅𐌰𐌷𐌰𐌽 (þwahan)
133	verb	wipe	*wīpōną	wīpian 	/ˈwiːpiɑn/	wipe, dicht 	feie 	vegen 	vee 	wischen 	vaege 	wesche 	wëschen 	wischen 	ווישן‎ (vishn) 	strjúka, þurka	tørre, viske 	rensa 	turka 	þurrka 	tørke 	tørka, turka 	[Term?]
134	verb	pull	*tugōną	tēon 	/ˈteːo̯n/	pull, pou 	lûke 	trekken 	trek 	trecken, tehn 	trèkke 	trecke, zehje, ziehe 	zéien 	ziehen 	ציִען‎ (tsien) 	draga	trække 	dra 	toga 	toga, draga 	dra, trekke 	dra, draga 	𐍄𐌹𐌿𐌷𐌰𐌽 (tiuhan)
135	verb	push	*þrukkijaną, *skeubaną	sċūfan 	/ˈʃuːvɑn/	pouss 	triuwe 	duwen 	stoot 	drücken 	duje 	deue, dröcke, drecke 	drécken 	drücken 	שטופּן‎ (shtupn) 	hrinda, bægja, ýta	skubbe, trykke 	trycka 	skumpa 	ýta 	dytte, skyve 	dytta, skuva, skumpa 	[Term?]
136	verb	throw	*werpaną	weorpan 	/ˈweo̯rˠpɑn/	thraw, cast 	goaie, smite 	werpen, gooien 	gooi 	smieten 	werpe, goeje 	schmieße, werpe, werfe 	schéissen 	werfen 	וואַרפֿן‎ (varfn) 	kasta	kaste 	kasta 	kasta, blaka, tveita 	kasta, henda 	kaste, slenge, hive 	kasta, slengja, hiva 	𐍅𐌰𐌹𐍂𐍀𐌰𐌽 (wairpan)
137	verb	tie	*bindaną	tīeġan 	/ˈtiːy̯jɑn/	tie, bind 	bine 	vastmaken, binden 	bind, knoop 	binnen 	aantrèkke 	benge, binge, benne, bonne 	bannen 	binden 	בינדן‎ (bindn) 	binda	binde 	knyta, binda 	binda, knýta 	binda 	binde, knyte 	binda, knyta 	𐌱𐌹𐌽𐌳𐌰𐌽 (bindan)
138	verb	sew	*siwjaną, *nēaną	sīewian 	/ˈsiːy̯wiɑn/	shew 	naaie 	naaien 	naai 	neihen 	nejje 	niehe, nähe 	bitzen 	nähen 	נייען‎ (neyen) 	sýja	sy 	sy 	seyma 	sauma 	sy 	sy, sauma 	[Term?]
139	verb	count	*raþjaną	tellan 	/ˈtel.lɑn/	coont 	telle 	tellen 	tel 	tellen 	tèlle 	zälle, zähle 	zielen 	zählen 	ציילן‎ (tseyln) 	telja	tælle 	räkna 	telja 	telja 	telle 	telja 	[Term?]
140	verb	say	*kweþaną, *sagjaną	cweþan, seċġan 	/ˈkweðɑn/, /ˈsed.d͡ʒɑn/	say 	sizze 	zeggen 	sê 	seggen 	zègke 	sage, san 	soen 	sagen 	זאָגן‎ (zogn) 	segja	sige 	säga 	siga 	segja 	si 	seia 	𐌵𐌹𐌸𐌰𐌽 (qiþan)
141	verb	sing	*singwaną	singan 	/ˈsiŋɡɑn/	sing 	sjonge 	zingen 	sing 	singen 	zinge 	senge, songe 	sangen 	singen 	זינגען‎ (zingen) 	syngva, syngja	synge 	sjunga 	syngja 	syngja 	synge 	syngja 	𐍃𐌹𐌲𐌲𐍅𐌰𐌽 (siggwan)
142	verb	play	*laikaną	plegian 	/ˈpleɣiɑn/	play 	spylje, boartsje 	spelen 	speel 	spelen 	sjpaele 	spille 	spillen 	spielen 	שפּילן‎ (shpiln) 	leika	lege, spille 	leka 	spæla, leika 	leika 	leke, leike 	leika 	[Term?]
143	verb	float	*flutōną, *fleutaną	flēotan 	/ˈfleːo̯tɑn/	fleet, flotter 	driuwe 	drijven (water), zweven (air) 	dryf (water), sweef (air) 	sweven (air), swemmen (water), glieden (surface of something) 	zjwaeve 	schwevve (air), schwemme (water) 	schwiewen (air), schwammen (water) 	schweben (air), schwimmen (water), gleiten (surface of something) 	שוועבן‎ (shvebn) 	fljóta	flyde 	flyta 	flóta 	fljóta 	flyte 	flyta 	[Term?]
144	verb	flow	*flōaną	flōwan 	/ˈfloːwɑn/	flowe 	floeie 	vloeien 	vloei 	fleten, strömen 	vleuje 	fleeße, fließe 	fléissen 	fließen 	פֿליסן (flisn), שטראָמען (shtromen), לויפֿן (loyfn) 	streyma	strømme 	rinna 	streyma, floyma 	streyma, renna 	flomme, renne, strømme, flyte 	fløyma, renna, strøyma, flyta 	[Term?]
145	verb	freeze	*freusaną	frēosan 	/ˈfreːo̯zɑn/	freeze 	frieze 	vriezen 	vries 	freren, fresen 	vrere 	friere 	fréieren 	frieren 	פֿרירן (frirn) 	frjósa, kala	fryse 	frysa 	frysta 	frjósa 	fryse 	frysa 	[Term?]
146	verb	swell	*swellaną	swellan 	/ˈswel.lɑn/	swall 	swolgje 	zwellen 	swel 	swellen 	zjwelle 	schwelle 	schwëllen 	schwellen 	געשוואָלן ווערן (geshvoln vern) 	svella	svulme 	svälla 	bólgna, hovna, trútna 	þrútna, bólgna, ólga 	hovne, svulme, svelle 	hovna, svella, trutna 	[Term?]
147	noun	sun	*sunnǭ, *sōwulō	sunne f 	/ˈsun.ne/	sun 	sinne 	zon 	son 	Sünn 	zon 	Sonn 	Sonn 	Sonne 	זון (zun) 	sól, sunna (poetic), rǫðull (poetic)	sol 	sol 	sól 	sól 	sol 	sol 	𐍃𐌰𐌿𐌹𐌻 (sauil)
148	noun	moon	*mēnô	mōna m 	/ˈmoːnɑ/	muin 	moanne 	maan 	maan 	Maan 	maon 	Mond 	Mound 	Mond 	לבֿנה (levone) 	tungl, máni (poetic)	måne 	måne 	máni, tungl 	tungl, máni 	måne 	måne 	𐌼𐌴𐌽𐌰 (mēna)
149	noun	star	*sternǭ	steorra m 	/ˈsteo̯rˠ.rˠɑ/	starn 	stjer 	ster 	ster 	Steern 	sjter 	Stään, Stär 	Stär 	Stern 	שטערן (shtern) 	stjarna	stjerne 	stjärna 	stjørna 	stjarna 	stjerne 	stjerne, stjerna 	𐍃𐍄𐌰𐌹𐍂𐌽𐍉 (stairnō)
150	noun	water	*watōr	wæter n 	/ˈwæter/	watter 	wetter 	water 	water 	Water 	water 	Waßer, Wasser 	Waasser 	Wasser 	וואַסער (vaser) 	vatn, lǫgr	vand 	vatten 	vatn 	vatn 	vann 	vatn 	𐍅𐌰𐍄𐍉 (watō)
151	noun	rain	*regną	reġn m 	/ˈrejn̩/	rain 	rein 	regen 	reën 	Regen 	rege 	Rään 	Reen 	Regen 	רעגן (regn) 	regn	regne 	regn 	regna 	rigning, regn 	regne 	regna 	𐍂𐌹𐌲𐌽 (rign)
152	noun	river	*ahwō	ēa f 	/æːɑ̯/	river 	rivier 	rivier 	rivier 	Stroom 	reveer 	Floss 	Floss 	Fluß 	טײַך (taykh) 	á, elfr, fljót	flod 	flod, älv 	á, løkur, áarløkur 	á, fljót 	elv 	elv, å (small) 	𐌰𐍈𐌰 (aƕa)
153	noun	lake	*lakō	mere m 	/ˈmere/	loch 	mar 	meer 	meer 	Meer, See 	maer 	See 	Séi 	See 	אָזערע (ozere) 	vatn, lǫgr	sø 	sjö, tjärn (dialectal, a small lake) 	vatn, tjørn 	vatn, stöðuvatn 	innsjø, vann, tjern 	innsjø, vatn, tjørn, tjern 	𐍃𐌰𐌹𐍅𐍃 (saiws)
154	noun	sea	*mari, *saiwiz	sǣ f 	/sæː/	sea 	see 	zee 	see 	See 	zie 	Meer, Mier 	Mier 	Meer 	ים (yam) 	haf, sær, sjór (late), sjár (late), ægir, lǫgr	hav 	hav 	sjógvur, hav 	sjór 	hav, sjø 	hav, sjø 	𐌼𐌰𐍂𐌴𐌹 (marei)
