犬 	 noun 	 canine 	 dog; canine
一流 	 noun 	 characteristic 	 unique, peculiar  characteristic
一流 	 noun 	 unique 	 unique, peculiar  characteristic
一家 	 noun 	 family 	 a family
一種 	 noun 	 kind 	 kind; type; species
一種 	 noun 	 type 	 kind; type; species
一種 	 noun 	 species 	 kind; type; species
漢文 	 noun 	 Classical Chinese 	 Literary Chinese; Classical Chinese
漢文 	 noun 	 Literary Chinese 	 Literary Chinese; Classical Chinese
半角 	 noun 	 halfwidth 	 halfwidth characters
一瞬 	 noun 	 instant 	 an instant
一瞬 	 noun 	 moment 	 moment
いっしょ 	 adverb 	 with 	 一緒 together, with
いっしょ 	 adverb 	 together 	 一緒 together, with
一生 	 noun 	 lifetime 	 a lifetime, one's whole life
一生 	 noun 	 仕事 	 * 一生の仕事
一生 	 noun 	 送る 	 * 汚れた一生を送る
一生 	 noun 	 汚れる 	 * 汚れた一生を送る
一致 	 noun 	 harmony 	 agreement, harmony, unity
一致 	 noun 	 unity 	 agreement, harmony, unity
一致 	 noun 	 agreement 	 agreement, harmony, unity
一致 	 noun 	 cooperation 	 cooperation
一致 	 verb 	 unison 	 to agree, to be in unison
一致 	 verb 	 agree 	 to agree, to be in unison
一致 	 verb 	 cooperate 	 to cooperate
一方 	 noun 	 one 	 one side
一方 	 noun 	 side 	 one side
一方 	 noun 	 on the one hand 	 on the one hand
遺伝子 	 noun 	 gene 	 gene
移動 	 noun 	 transfer 	 a transfer
移動 	 noun 	 migration 	 migration
移動 	 verb 	 move 	 to transfer, to move
移動 	 verb 	 migrate 	 to migrate
田舎 	 noun 	 country 	 the country rural area, countryside
田舎 	 noun 	 countryside 	 the country rural area, countryside
田舎 	 noun 	 area 	 the country rural area, countryside
田舎 	 noun 	 rural 	 the country rural area, countryside
田舎 	 noun 	 population 	 a remote area with a small population
田舎 	 noun 	 small 	 a remote area with a small population
田舎 	 noun 	 area 	 a remote area with a small population
田舎 	 noun 	 remote 	 a remote area with a small population
田舎 	 noun 	 hometown 	 a hometown
田舎 	 noun 	 crude 	 something crude or unrefined
田舎 	 noun 	 unrefined 	 something crude or unrefined
田舎 	 noun 	 sakeNoun 	 tr=inaka otaru|dot=:|sort=いなか unrefined sake
田舎 	 noun 	 unrefined 	 tr=inaka otaru|dot=:|sort=いなか unrefined sake
田舎 	 noun 	 make 	 tr=inakazake|dot=: sake made in the countryside; local sake
田舎 	 noun 	 local 	 tr=inakazake|dot=: sake made in the countryside; local sake
田舎 	 noun 	 sake 	 tr=inakazake|dot=: sake made in the countryside; local sake
田舎 	 noun 	 paste 	 tr=inaka-jiruko|dot=: a red bean soup made with slightly crushed red bean paste
田舎 	 noun 	 red bean 	 tr=inaka-jiruko|dot=: a red bean soup made with slightly crushed red bean paste
田舎 	 noun 	 soup 	 tr=inaka-jiruko|dot=: a red bean soup made with slightly crushed red bean paste
田舎 	 noun 	 crush 	 tr=inaka-jiruko|dot=: a red bean soup made with slightly crushed red bean paste
田舎 	 noun 	 area 	 the country rural area, countryside; a house in the countryside
田舎 	 noun 	 country 	 the country rural area, countryside; a house in the countryside
田舎 	 noun 	 rural 	 the country rural area, countryside; a house in the countryside
田舎 	 noun 	 countryside 	 the country rural area, countryside; a house in the countryside
田舎 	 noun 	 house 	 the country rural area, countryside; a house in the countryside
違反 	 noun 	 violation 	 violation
違反 	 verb 	 violate 	 violate a law
衣服 	 noun 	 clothes 	 clothing, clothes
衣服 	 noun 	 clothing 	 clothing, clothes
居間 	 noun 	 living room 	 living room
平仮名 	 noun 	 hiragana 	 hiragana, a Japanese syllabary script
意味 	 noun 	 meaning 	 a meaning; a significance; a point
意味 	 noun 	 significance 	 a meaning; a significance; a point
意味 	 noun 	 point 	 a meaning; a significance; a point
意味 	 noun 	 definition 	 meaning; definition
意味 	 noun 	 meaning 	 meaning; definition
意味 	 verb 	 mean 	 to mean, signify, imply
意味 	 verb 	 signify 	 to mean, signify, imply
意味 	 verb 	 imply 	 to mean, signify, imply
ハート 	 noun 	 heart 	 tr=shinzō||heart
ハート 	 noun 	 heart 	 tr=kokoro||heart emotions or kindness
ハート 	 noun 	 hearts 	 hearts
以来 	 noun 	 since 	 since
医療 	 noun 	 treatment 	 medical treatment
医療 	 noun 	 medical 	 medical treatment
大家 	 noun 	 landlord 	 landlord or landlady, the owner of a rented apartment
大家 	 noun 	 landlady 	 landlord or landlady, the owner of a rented apartment
大家 	 noun 	 expert 	 expert
大家 	 noun 	 specialist 	 specialist
大家 	 noun 	 rich 	 rich family
大家 	 noun 	 family 	 rich family
点心 	 noun 	 snack 	 snack
点心 	 noun 	 dim sum 	 dim sum
打算 	 noun 	 calculation 	 calculation
打算 	 verb 	 calculate 	 calculate
打算 	 verb 	 estimate 	 estimate intrests
容易 	 noun 	 simplicity 	 ease, simplicity
容易 	 noun 	 ease 	 ease, simplicity
清楚 	 noun 	 neatness 	 neatness and cleanliness
清楚 	 noun 	 cleanliness 	 neatness and cleanliness
清楚 	 noun 	 tidiness 	 tidiness
にんしん 	 noun 	 conception 	 妊娠 pregnancy, conception
にんしん 	 noun 	 pregnancy 	 妊娠 pregnancy, conception
妊娠 	 noun 	 conception 	 pregnancy, conception
妊娠 	 noun 	 pregnancy 	 pregnancy, conception
医院 	 noun 	 hospital 	 clinic, hospital
医院 	 noun 	 clinic 	 clinic, hospital
印刷 	 noun 	 printing 	 printing
印刷 	 verb 	 print 	 print
印象 	 noun 	 impression 	 impression
印象 	 verb 	 leave 	 leave an impression
引用 	 noun 	 quotation 	 quotation
引用 	 noun 	 citation 	 citation
引用 	 verb 	 quote 	 quote, cite
引用 	 verb 	 cite 	 quote, cite
勉強 	 noun 	 studies 	 studying, studies, study
勉強 	 noun 	 study 	 studying, studies, study
勉強 	 noun 	 studying 	 studying, studies, study
勉強 	 verb 	 study 	 to study
勉強 	 verb 	 price 	 to discount, to reduce the price of something
勉強 	 verb 	 discount 	 to discount, to reduce the price of something
勉強 	 verb 	 reduce 	 to discount, to reduce the price of something
目次 	 noun 	 table of contents 	 contents, table of contents
目次 	 noun 	 contents 	 contents, table of contents
もじ 	 noun 	 character 	 文字 letter, character, script
もじ 	 noun 	 script 	 文字 letter, character, script
もじ 	 noun 	 letter 	 文字 letter, character, script
はしる 	 verb 	 run 	 走る to run
温度 	 noun 	 temperature 	 temperature a measure of cold or heat
非常 	 noun 	 emergency 	 emergency
普通 	 adjective 	 common 	 common, ordinary
普通 	 adjective 	 ordinary 	 common, ordinary
普通 	 noun 	 common 	 the common, the ordinary, nothing special
普通 	 noun 	 nothing special 	 the common, the ordinary, nothing special
普通 	 noun 	 ordinary 	 the common, the ordinary, nothing special
同学 	 noun 	 schoolmate 	 a schoolmate
同学 	 noun 	 classmate 	 a classmate
信号 	 noun 	 signal 	 a signal
信号 	 noun 	 traffic light 	 traffic lights
数字 	 noun 	 digit 	 a digit numeral
数字 	 noun 	 numeral 	 a numeral
数字 	 noun 	 figure 	 a figure, a thing expressed as a number
曜日 	 noun 	 week 	 day of the week
曜日 	 noun 	 day 	 day of the week
アイ 	 noun 	 eye 	 tr=me||eye
アイ 	 noun 	 Chinese indigo 	 藍 Chinese indigo
藍色 	 noun 	 indigo 	 indigo
雨水 	 noun 	 rainwater 	 rainwater
さけ 	 noun 	 beverage 	 酒 sake, alcohol-based beverage
さけ 	 noun 	 alcohol 	 酒 sake, alcohol-based beverage
さけ 	 noun 	 salmon 	 鮏 salmon
左手 	 noun 	 hand 	 the left hand
左手 	 noun 	 left 	 the left hand
左手 	 noun 	 side 	 the left-hand side, left side
左手 	 noun 	 left-hand 	 the left-hand side, left side
左手 	 noun 	 left 	 the left-hand side, left side
左手 	 noun 	 hand 	 the left hand
左手 	 noun 	 left 	 the left hand
左側 	 noun 	 left-hand 	 left-hand side
桂花 	 noun 	 sweet osmanthus 	 sweet osmanthus
桂花 	 noun 	 sweet osmanthus 	 the flowers of the sweet osmanthus
桂花 	 noun 	 moon 	 the moon
紅茶 	 noun 	 black tea 	 black tea
炭素 	 noun 	 carbon 	 carbon chemical element
窒素 	 noun 	 nitrogen 	 nitrogen
酸素 	 noun 	 oxygen 	 oxygen chemical element
酸素 	 noun 	 oxygen 	 oxygen molecular oxygen
菊花 	 noun 	 chrysanthemum 	 chrysanthemum flower
菊花 	 noun 	 flower 	 chrysanthemum flower
菊花 	 noun 	 chrysanthemum 	 chrysanthemum flower
菊花 	 noun 	 flower 	 chrysanthemum flower
茄子 	 noun 	 Solanum melongena 	 Solanum melongena, the eggplant or aubergine
茄子 	 noun 	 eggplant 	 Solanum melongena, the eggplant or aubergine
茄子 	 noun 	 aubergine 	 Solanum melongena, the eggplant or aubergine
茄子 	 noun 	 tea 	 a tr=chaire||tea container in the shape of an eggplant
茄子 	 noun 	 shape 	 a tr=chaire||tea container in the shape of an eggplant
茄子 	 noun 	 container 	 a tr=chaire||tea container in the shape of an eggplant
茄子 	 noun 	 Solanum melongena 	 Solanum melongena, the eggplant or aubergine
茄子 	 noun 	 eggplant 	 Solanum melongena, the eggplant or aubergine
茄子 	 noun 	 aubergine 	 Solanum melongena, the eggplant or aubergine
茄子 	 noun 	 tea 	 a tr=chaire||tea container in the shape of an eggplant
茄子 	 noun 	 shape 	 a tr=chaire||tea container in the shape of an eggplant
茄子 	 noun 	 container 	 a tr=chaire||tea container in the shape of an eggplant
茄子 	 noun 	 destitution 	 poverty, destitution
茄子 	 noun 	 poverty 	 poverty, destitution
茄子 	 noun 	 inexpensive 	 from the inexpensiveness of eggplants even the impoverished can eat
茄子 	 noun 	 eat 	 from the inexpensiveness of eggplants even the impoverished can eat
茄子 	 noun 	 impoverished 	 from the inexpensiveness of eggplants even the impoverished can eat
茄子 	 noun 	 leaf 	 a tr=kamon||family crest with designs of eggplant fruits, flowers, and leaves
茄子 	 noun 	 family 	 a tr=kamon||family crest with designs of eggplant fruits, flowers, and leaves
茄子 	 noun 	 design 	 a tr=kamon||family crest with designs of eggplant fruits, flowers, and leaves
茄子 	 noun 	 crest 	 a tr=kamon||family crest with designs of eggplant fruits, flowers, and leaves
茄子 	 noun 	 flower 	 a tr=kamon||family crest with designs of eggplant fruits, flowers, and leaves
茄子 	 noun 	 fruit 	 a tr=kamon||family crest with designs of eggplant fruits, flowers, and leaves
柚子 	 noun 	 citrus fruit 	 yuzu or Japanese citron, a citrus fruit similar to a grapefruit, ver=201128
柚子 	 noun 	 yuzu 	 yuzu or Japanese citron, a citrus fruit similar to a grapefruit, ver=201128
時間 	 noun 	 time 	 time
時間 	 noun 	 hour 	 hour
時間 	 noun 	 time 	 the hours or time when something happens
時間 	 noun 	 hour 	 the hours or time when something happens
じかん 	 noun 	 time 	 時間 time
じかん 	 noun 	 space 	 くうかん : lit. " space&quot
じかん 	 noun 	 time 	 じくう : lit. "time-space&quot
じかん 	 noun 	 space 	 じくう : lit. "time-space&quot
じかん 	 noun 	 spacetime 	 じくうかん : lit. " spacetime&quot
がいど 	 noun 	 guide 	 ガイド guide
街灯 	 noun 	 street light 	 street light
木耳 	 noun 	 Auriculariaceae 	 a type of fungi belonging to the Auriculariaceae family; noshow=1|ver=161017
卵白 	 noun 	 albumen 	 egg white, albumen
卵白 	 noun 	 egg white 	 egg white, albumen
卵白 	 noun 	 egg yolk 	 egg yolk
ちち 	 noun 	 substance 	 乳 milk; breast; latex milky substance in plants
ちち 	 noun 	 milk 	 乳 milk; breast; latex milky substance in plants
ちち 	 noun 	 latex 	 乳 milk; breast; latex milky substance in plants
ちち 	 noun 	 plant 	 乳 milk; breast; latex milky substance in plants
ちち 	 noun 	 breast 	 乳 milk; breast; latex milky substance in plants
ちち 	 noun 	 Christian 	 父 one's own father; a father figure; the Christian God
ちち 	 noun 	 father figure 	 父 one's own father; a father figure; the Christian God
ちち 	 noun 	 one 	 父 one's own father; a father figure; the Christian God
ちち 	 noun 	 father 	 父 one's own father; a father figure; the Christian God
ちち 	 noun 	 own 	 父 one's own father; a father figure; the Christian God
ちち 	 noun 	 God 	 父 one's own father; a father figure; the Christian God
ちち 	 noun 	 knowledge 	 致知 the pursuit of knowledge
ちち 	 noun 	 pursuit 	 致知 the pursuit of knowledge
ちち 	 noun 	 long 	 遅々 slowness, tardiness; a long day
ちち 	 noun 	 day 	 遅々 slowness, tardiness; a long day
ちち 	 noun 	 tardiness 	 遅々 slowness, tardiness; a long day
ちち 	 noun 	 slowness 	 遅々 slowness, tardiness; a long day
ちち 	 verb 	 be late 	 遅々 to be late
周期 	 noun 	 cycle 	 period of time, cycle
周期 	 noun 	 time 	 period of time, cycle
周期 	 noun 	 period 	 period of time, cycle
元素 	 noun 	 chemical element 	 element, chemical element
元素 	 noun 	 element 	 element, chemical element
元素 	 noun 	 原素 	 原素
硫黄 	 noun 	 sulfur 	 sulfur element
硫黄 	 noun 	 sulfur 	 sulfur element
番号 	 noun 	 number 	 number
マンガン 	 noun 	 manganese 	 manganese
ガリウム 	 noun 	 gallium 	 gallium
貴金属 	 noun 	 precious metal 	 a precious metal
貴金属 	 noun 	 noble metal 	 a noble metal
金属 	 noun 	 metal 	 metal
沸点 	 noun 	 boiling point 	 the boiling point
固体 	 noun 	 solid 	 a solid
液体 	 noun 	 liquid 	 a liquid
気体 	 noun 	 gas 	 a gas
プラズマ 	 noun 	 plasma 	 plasma
プラズマ 	 noun 	 blood plasma 	 tr=kesshō||blood plasma
プラズマ 	 noun 	 protoplasm 	 tr=genkei-shitsu||protoplasm
力学 	 noun 	 mechanics 	 mechanics a branch of physics
熱力学 	 noun 	 thermodynamics 	 thermodynamics
量子力学 	 noun 	 quantum mechanics 	 quantum mechanics branch of physics
光学 	 noun 	 optics 	 optics physics of light and vision
統計 	 noun 	 statistics 	 statistics
解析 	 noun 	 analysis 	 the action of taking something apart in order to study it; analysis
解析 	 noun 	 analysis 	 analysis
解析 	 verb 	 analyze 	 analyze
量子 	 noun 	 quantum 	 quantum
カー 	 noun 	 car 	 car
カー 	 interjection 	 caw 	 caw the sound a crow makes
温室 	 noun 	 greenhouse 	 a greenhouse building in which plants are grown more quickly than outside
温室 	 noun 	 bathhouse 	 a hot bathhouse in a Buddhist temple
温室 	 noun 	 temple 	 a hot bathhouse in a Buddhist temple
温室 	 noun 	 hot 	 a hot bathhouse in a Buddhist temple
温室 	 noun 	 Buddhist 	 a hot bathhouse in a Buddhist temple
恩恵 	 noun 	 favour 	 favour
恩恵 	 noun 	 blessing 	 blessings
愛護 	 noun 	 kind 	 protection, kind treatment
愛護 	 noun 	 protection 	 protection, kind treatment
愛護 	 noun 	 treatment 	 protection, kind treatment
愛護 	 verb 	 protect 	 to be kind to, give tender care, protect
愛護 	 verb 	 kind 	 to be kind to, give tender care, protect
愛護 	 verb 	 care 	 to be kind to, give tender care, protect
動物 	 noun 	 animal 	 animal
スズ 	 noun 	 Sn 	 錫 tin, Sn
スズ 	 noun 	 tin 	 錫 tin, Sn
遷移 	 noun 	 transition 	 a transition
遷移 	 verb 	 transit 	 transit, undergo transition, such as phase transition
遷移 	 verb 	 transition 	 transit, undergo transition, such as phase transition
問答 	 noun 	 dialogue 	 questions and answers; dialogue
問答 	 noun 	 questions 	 questions and answers; dialogue
問答 	 noun 	 answers 	 questions and answers; dialogue
問答 	 verb 	 hold 	 hold a dialogue
無用 	 noun 	 uselessness 	 uselessness
無用 	 noun 	 needlessness 	 needlessness
こい 	 pronoun 	 thing 	 this thing
こい 	 pronoun 	 this 	 this thing
精神 	 noun 	 will 	 psyche; spirit; soul; mind; will
精神 	 noun 	 mind 	 psyche; spirit; soul; mind; will
精神 	 noun 	 soul 	 psyche; spirit; soul; mind; will
精神 	 noun 	 spirit 	 psyche; spirit; soul; mind; will
精神 	 noun 	 psyche 	 psyche; spirit; soul; mind; will
あいご 	 noun 	 go 	 相碁 A match, as when two go players are evenly matched in ability
あいご 	 noun 	 match 	 相碁 A match, as when two go players are evenly matched in ability
あいご 	 noun 	 rabbitfish 	 藍子 A rabbitfish
あいご 	 noun 	 brahmavihara 	 愛語 Buddhism One of the four brahmaviharas. Specifically, metta : loving kindness towards all; the hope that a person will be well
あいご 	 noun 	 metta 	 愛語 Buddhism One of the four brahmaviharas. Specifically, metta : loving kindness towards all; the hope that a person will be well
あいご 	 noun 	 protection 	 愛護 Loving protection
あいご 	 noun 	 wig 	 愛護 In kabuki, a type of wig worn as part of the costume for a child character
あいご 	 noun 	 kabuki 	 愛護 In kabuki, a type of wig worn as part of the costume for a child character
証明 	 noun 	 proof 	 proof; evidence; verification
証明 	 noun 	 verification 	 proof; evidence; verification
証明 	 noun 	 evidence 	 proof; evidence; verification
証明 	 noun 	 proof 	 proof
証明 	 verb 	 prove 	 to prove; to confirm
証明 	 verb 	 confirm 	 to prove; to confirm
証明 	 verb 	 prove 	 to prove
言語 	 noun 	 speech 	 language, speech
言語 	 noun 	 language 	 language, speech
げんご 	 noun 	 language 	 言語 language
げんご 	 noun 	 original 	 原語 the original language
げんご 	 noun 	 language 	 原語 the original language
恋愛 	 noun 	 romantic 	 love, especially romantic or erotic love
恋愛 	 noun 	 love 	 love, especially romantic or erotic love
恋愛 	 noun 	 erotic 	 love, especially romantic or erotic love
恋愛 	 verb 	 fall in love 	 to fall in love
好物 	 noun 	 food 	 one's favorite food
有効 	 adjective 	 effective 	 effective
有効 	 adjective 	 valid 	 valid
有効 	 adjective 	 available 	 available
有効 	 noun 	 effectiveness 	 effectiveness
有効 	 noun 	 validity 	 validity
有効 	 noun 	 availability 	 availability
有効 	 noun 	 yuko 	 yuko, the points awarded for a type of move in a judo match or the judge's call of yuko
有効 	 noun 	 judo 	 yuko, the points awarded for a type of move in a judo match or the judge's call of yuko
喜劇 	 noun 	 comedy 	 comedy; farce
喜劇 	 noun 	 farce 	 comedy; farce
悲喜 	 noun 	 joys 	 joys and sorrows
悲喜 	 noun 	 sorrows 	 joys and sorrows
白金 	 noun 	 platinum 	 platinum
白金 	 noun 	 powder 	 silver, particularly silver powder used as a pigment
白金 	 noun 	 pigment 	 silver, particularly silver powder used as a pigment
白金 	 noun 	 silver 	 silver, particularly silver powder used as a pigment
白金 	 noun 	 white gold 	 white gold
水銀 	 noun 	 mercury 	 mercury; quicksilver
水銀 	 noun 	 quicksilver 	 mercury; quicksilver
水銀 	 noun 	 mercury 	 mercury; quicksilver
水銀 	 noun 	 quicksilver 	 mercury; quicksilver
ずい 	 adverb 	 wholeheartedly 	 straightforwardly, wholeheartedly, unreservedly, directly, immediately, all at once, in one go
ずい 	 adverb 	 unreservedly 	 straightforwardly, wholeheartedly, unreservedly, directly, immediately, all at once, in one go
ずい 	 adverb 	 in one go 	 straightforwardly, wholeheartedly, unreservedly, directly, immediately, all at once, in one go
ずい 	 adverb 	 immediately 	 straightforwardly, wholeheartedly, unreservedly, directly, immediately, all at once, in one go
ずい 	 adverb 	 at once 	 straightforwardly, wholeheartedly, unreservedly, directly, immediately, all at once, in one go
ずい 	 adverb 	 directly 	 straightforwardly, wholeheartedly, unreservedly, directly, immediately, all at once, in one go
ずい 	 adverb 	 straightforwardly 	 straightforwardly, wholeheartedly, unreservedly, directly, immediately, all at once, in one go
げい 	 noun 	 performance 	 芸 art; craft; technique; performance; trick of animals
げい 	 noun 	 art 	 芸 art; craft; technique; performance; trick of animals
げい 	 noun 	 trick 	 芸 art; craft; technique; performance; trick of animals
げい 	 noun 	 craft 	 芸 art; craft; technique; performance; trick of animals
げい 	 noun 	 technique 	 芸 art; craft; technique; performance; trick of animals
しつ 	 noun 	 quality 	 質 quality
しつ 	 noun 	 room 	 室 room
しつ 	 noun 	 loss 	 失 mistake, loss
しつ 	 noun 	 mistake 	 失 mistake, loss
じゃく 	 noun 	 weakness 	 弱 weakness
じゃく 	 noun 	 nirvana 	 寂 entering nirvana
じゃく 	 adverb 	 silent 	 寂 silent
ぶん 	 noun 	 portion 	 分 a part, a portion, a share
ぶん 	 noun 	 part 	 分 a part, a portion, a share
ぶん 	 noun 	 share 	 分 a part, a portion, a share
ぶん 	 noun 	 pattern 	 文 a pattern; text; a document; literature; a sentence
ぶん 	 noun 	 text 	 文 a pattern; text; a document; literature; a sentence
ぶん 	 noun 	 literature 	 文 a pattern; text; a document; literature; a sentence
ぶん 	 noun 	 document 	 文 a pattern; text; a document; literature; a sentence
ぶん 	 noun 	 sentence 	 文 a pattern; text; a document; literature; a sentence
ぶん 	 noun 	 hearing 	 聞 the act of hearing something
まん 	 noun 	 ten thousand 	 萬 ten thousand
しゅく 	 noun 	 shuku 	 shuku, a class of outcast in medieval and pre-modern Kinki region
外国人 	 noun 	 foreigner 	 a foreigner, a person from a foreign country; an alien, a foreign national
ぎん 	 noun 	 silver 	 銀 silver
ざん 	 noun 	 remainder 	 残 the remainder, leftover, residue
ざん 	 noun 	 residue 	 残 the remainder, leftover, residue
ざん 	 noun 	 leftover 	 残 the remainder, leftover, residue
ざん 	 noun 	 beheading 	 斬 beheading
ざん 	 noun 	 slander 	 讒 slander
たま 	 noun 	 ball 	 玉 ball; jewel
たま 	 noun 	 jewel 	 玉 ball; jewel
たま 	 noun 	 bullet 	 弾 bullet
たま 	 noun 	 globe 	 球 globe
たま 	 noun 	 soul 	 魂 soul
つく 	 verb 	 stick 	 付く to stick, to adhere
つく 	 verb 	 adhere 	 付く to stick, to adhere
つく 	 verb 	 arrive 	 着く to arrive
つく 	 verb 	 thrust 	 突く to thrust
つく 	 verb 	 lie 	 吐く  to breathe, to tell lies , to vomit, to disgorge
つく 	 verb 	 vomit 	 吐く  to breathe, to tell lies , to vomit, to disgorge
つく 	 verb 	 disgorge 	 吐く  to breathe, to tell lies , to vomit, to disgorge
つく 	 verb 	 breathe 	 吐く  to breathe, to tell lies , to vomit, to disgorge
くらい 	 adjective 	 dark 	 dark; dim
くらい 	 adjective 	 dim 	 dark; dim
くらい 	 adjective 	 sombre 	 sombre; gloomy
くらい 	 adjective 	 gloomy 	 sombre; gloomy
くらい 	 adverb 	 about 	 about, approximately
くらい 	 adverb 	 approximately 	 about, approximately
くらい 	 adverb 	 minute 	 It takes about ten minutes
くらい 	 adverb 	 take 	 It takes about ten minutes
くらい 	 adverb 	 ten 	 It takes about ten minutes
くらい 	 adverb 	 if anything 	 at least, if anything
くらい 	 adverb 	 at least 	 at least, if anything
くらい 	 noun 	 standing 	 grade, rank, standing
くらい 	 noun 	 rank 	 grade, rank, standing
くらい 	 noun 	 grade 	 grade, rank, standing
くらい 	 noun 	 throne 	 the throne, the crown
くらい 	 noun 	 crown 	 the throne, the crown
くらい 	 noun 	 position 	 place, position
くらい 	 noun 	 place 	 place, position
くらい 	 noun 	 eating 	 eating
すき 	 noun 	 gap 	 gap; space
すき 	 noun 	 space 	 gap; space
すき 	 noun 	 gap 	 gap in defenses
すき 	 noun 	 defenses 	 gap in defenses
すき 	 noun 	 open 	 You're open!
すき 	 noun 	 spade 	 spade
天女 	 noun 	 celestial 	 heavenly nymph, celestial maiden
天女 	 noun 	 nymph 	 heavenly nymph, celestial maiden
天女 	 noun 	 heavenly 	 heavenly nymph, celestial maiden
天女 	 noun 	 maiden 	 heavenly nymph, celestial maiden
こつ 	 noun 	 ashes 	 骨 remains, ashes; knack
こつ 	 noun 	 knack 	 骨 remains, ashes; knack
こつ 	 noun 	 remains 	 骨 remains, ashes; knack
ぼん 	 noun 	 mediocrity 	 凡 mediocrity
ぼん 	 noun 	 monk 	 坊 monk
かち 	 noun 	 on foot 	 徒歩  walking, going on foot
かち 	 noun 	 walking 	 徒歩  walking, going on foot
かち 	 noun 	 going 	 徒歩  walking, going on foot
かち 	 noun 	 samurai 	 徒士  a lower-level samurai who accompanies with the master in walking and goes on the beginning of the parade
かま 	 noun 	 sickle 	 a sickle
かま 	 noun 	 sickle 	 a sickle-shaped weapon, such as a polearm with a sickle-shaped blade, or a tr=kusarigama
かま 	 noun 	 polearm 	 a sickle-shaped weapon, such as a polearm with a sickle-shaped blade, or a tr=kusarigama
かま 	 noun 	 weapon 	 a sickle-shaped weapon, such as a polearm with a sickle-shaped blade, or a tr=kusarigama
かま 	 noun 	 striker 	 short for tr=hiuchigama: a striker for lighting fires from the way that pieces of a broken kama blade were used for this purpose
かま 	 noun 	 fire 	 short for tr=hiuchigama: a striker for lighting fires from the way that pieces of a broken kama blade were used for this purpose
かま 	 noun 	 tendency 	 a perverse or bent tendency or way of thinking from the way a kama blade bends
かま 	 noun 	 perverse 	 a perverse or bent tendency or way of thinking from the way a kama blade bends
かま 	 noun 	 thinking 	 a perverse or bent tendency or way of thinking from the way a kama blade bends
かま 	 noun 	 bent 	 a perverse or bent tendency or way of thinking from the way a kama blade bends
かま 	 noun 	 tendency 	 a person with a perverse or bent tendency or way of thinking
かま 	 noun 	 thinking 	 a person with a perverse or bent tendency or way of thinking
かま 	 noun 	 perverse 	 a person with a perverse or bent tendency or way of thinking
かま 	 noun 	 person 	 a person with a perverse or bent tendency or way of thinking
かま 	 noun 	 bent 	 a person with a perverse or bent tendency or way of thinking
かま 	 noun 	 w:Hammer-headed tenon 	 short for tr=kamatsugi: a hammer-headed tenon from the way the sickle blade sticks out perpendicular to the handle, similar to the sides of the hammer head on this kind of tenon
かま 	 noun 	 sickle 	 short for tr=kamatsugi: a hammer-headed tenon from the way the sickle blade sticks out perpendicular to the handle, similar to the sides of the hammer head on this kind of tenon
かま 	 noun 	 tenon 	 short for tr=kamatsugi: a hammer-headed tenon from the way the sickle blade sticks out perpendicular to the handle, similar to the sides of the hammer head on this kind of tenon
かま 	 noun 	 talkativeness 	 excessive talkativeness tr=yakamashii||noisy
かま 	 noun 	 excessive 	 excessive talkativeness tr=yakamashii||noisy
かま 	 noun 	 talkative 	 an excessively talkative person
かま 	 noun 	 penis 	 a penis probably from the way that a sickle blade sticks out perpendicular to the handle
かま 	 noun 	 gills 	 area of a fish around the gills
かま 	 noun 	 cooker 	 釜 a rice-cooker
かま 	 noun 	 rice 	 釜 a rice-cooker
かま 	 noun 	 kiln 	 窯 a kiln, an oven
かま 	 noun 	 oven 	 窯 a kiln, an oven
かま 	 noun 	 kitchen 	 竈 a kitchen range
かま 	 noun 	 range 	 竈 a kitchen range
かま 	 noun 	 boiler 	 缶 a boiler, as for a steam engine
かま 	 noun 	 steam engine 	 缶 a boiler, as for a steam engine
粒子 	 noun 	 particle 	 a particle body with very small size
粒子 	 noun 	 particle 	 a particle elementary particle or subatomic particle
ベータ 	 noun 	 beta 	 beta
ばつ 	 noun 	 penalty 	 罰 a penalty
ばつ 	 noun 	 faction 	 閥 clan, faction
ばつ 	 noun 	 clan 	 閥 clan, faction
ばつ 	 noun 	 epilogue 	 跋 epilogue
他意 	 noun 	 intention 	 other intention
他意 	 noun 	 ulterior motive 	 ulterior motive
はち 	 noun 	 bee 	 蜂 bee
はち 	 noun 	 pot 	 鉢 bowl, basin; pot; skull
はち 	 noun 	 bowl 	 鉢 bowl, basin; pot; skull
はち 	 noun 	 skull 	 鉢 bowl, basin; pot; skull
はち 	 noun 	 basin 	 鉢 bowl, basin; pot; skull
はち 	 noun 	 Buddhist 	 鈸 Buddhist cymbals
はち 	 noun 	 cymbal 	 鈸 Buddhist cymbals
ヘルツ 	 noun 	 hertz 	 hertz
ああ 	 adverb 	 that 	 in that other way
ああ 	 adverb 	 way 	 in that other way
ああ 	 adverb 	 other 	 in that other way
ああ 	 interjection 	 ah 	 oh!, ah!
ああ 	 interjection 	 oh 	 oh!, ah!
ああ 	 interjection 	 surprise 	 expresses surprise
ああ 	 interjection 	 affirmation 	 expresses affirmation
ああ 	 interjection 	 attention 	 used to call attention
ああ 	 interjection 	 call 	 used to call attention
ああ 	 interjection 	 pain 	 expresses a grunt or pain
ああ 	 interjection 	 grunt 	 expresses a grunt or pain
ああ 	 interjection 	 response 	 expresses a calm positive response: yeah
ああ 	 interjection 	 yeah 	 expresses a calm positive response: yeah
