𓀀	A1 	seated man
𓋵	S30 	combination of folded cloth and horned viper 
𓋶	S31 	combination of folded cloth and sickle 
𓋷	S32 	cloth with fringe on the side 
𓋸	S33 	sandal 
𓋹	S34 	life ankh, possibly representing a sandal-strap
𓋺	S35 	sunshade 
𓋻	S35A 	sunshade 
𓋼	S36 	sunshade 
𓋽	S37 	fan 
𓋾	S38 	crook
𓋿	S39 	shepherd's crook 
𓌀	S40 	wꜣssceptre (uꜣs)
𓌁	S41 	sceptre 
𓌂	S42 	sekhem scepter
𓌃	S43 	walking stick 
𓌄	S44 	walking stick with flagellum 
𓌅	S45 	flagellum 
𓌆	S46 	covering for head and neck 
𓌇	T1 	mace with flat head 
𓌈	T2 	mace with round head 
𓌉	T3 	mace with round head 
𓌊	T3A 	combination of mace with round head and two hills 
𓌋	T4 	mace with strap 
𓌌	T5 	combination of mace with round head and cobra 
𓌍	T6 	combination of mace with round head and two cobras 
𓌎	T7 	axe 
𓌏	T7A 	axe 
𓌐	T8 	dagger
𓌑	T8A 	dagger 
𓌒	T9 	bow
𓌓	T9A 	bow 
𓌔	T10 	composite bow 
𓌕	T11 	arrow 
𓌖	T11A 	two crossed arrows 
𓌗	T12 	bowstring 
𓌘	T13 	joined pieces of wood
𓌙	T14 	throw stick vertically 
𓌚	T15 	throw stick slanted 
𓌛	T16 	scimitar 
𓌜	T16A 	scimitar 
𓌝	T17 	chariot
𓌞	T18 	crook with package attached
𓌟	T19 	harpoon head
𓌠	T20 	harpoon head 
𓌡	T21 	harpoon 
𓌢	T22 	arrowhead
𓌣	T23 	arrowhead 
𓌤	T24 	fishingnet
𓌥	T25 	float
𓌦	T26 	birdtrap 
𓌧	T27 	trap
𓌨	T28 	butcher's block
𓌩	T29 	butcher's block with knife 
𓌪	T30 	knife
𓌫	T31 	knife-sharpener 
𓌬	T32 	combination of knife-sharpener and legs 
𓌭	T32A 	combination of knife and folded cloth 
𓌮	T33 	knife-sharpener of butcher 
𓌯	T33A 	combination of knife-sharpener and folded cloth 
𓌰	T34 	butcher's knife 
𓌱	T35 	butcher's knife 
𓌲	T36 	shield 
𓌳	U1 	sickle 
𓌴	U2 	sickle 
𓌵	U3 	
𓌶	U4 	
𓌷	U5 	
𓌸	U6 	
𓌹	U6A 	
𓌺	U6B 	
𓌻	U7 	hoe
𓌼	U8 	
𓌽	U9 	
𓌾	U10 	grain measure (with plural, for grain particles)
𓌿	U11 	
𓍀	U12 	
𓍁	U13 	
𓍂	U14 	
𓍃	U15 	sled (sledge)
𓍄	U16 	sled with jackal head
𓍅	U17 	Pick, opening earth
𓍆	U18 	
𓍇	U19 	
𓍈	U20 	
𓍉	U21 	adze- on-block
𓍊	U22 	clapper-(of-bell) tool/instrument forked-staff, etc.
𓍋	U23 	chisel
𓍌	U23A 	
𓍍	U24 	hand drill 
𓍎	U25 	
𓍏	U26 	
𓍐	U27 	
𓍑	U28 	fire-drill
𓍒	U29 	
𓍓	U29A 	
𓍔	U30 	kiln 
𓍕	U31 	
𓍖	U32 	
𓍗	U32A 	
𓍘	U33 	'pestle'-(curved top)
𓍙	U34 	
𓍚	U35 	
𓍛	U36 	fuller's-club
𓍜	U37 	
𓍝	U38 	scale
𓍞	U39 	
𓍟	U40 	a support-(to lift)
𓍠	U41 	plummet 
𓍡	U42 	pitchfork 
𓍢	V1 	
𓍣	V1A 	Egyptian numeral 200
𓍤	V1B 	Egyptian numeral 300
𓍥	V1C 	Egyptian numeral 400
𓍦	V1D 	Egyptian numeral 500
𓍧	V1E 	Egyptian numeral 600
𓍨	V1F 	Egyptian numeral 700
𓍩	V1G 	Egyptian numeral 800
𓍪	V1H 	Egyptian numeral 900
𓍫	V1I 	Egyptian numeral 500
𓍬	V2 	
𓍭	V2A 	
𓍮	V3 	
𓍯	V4 	lasso
𓍰	V5 	
𓍱	V6 	rope
𓍲	V7 	rope
𓍳	V7A 	
𓍴	V7B 	
𓍵	V8 	
𓍶	V9 	shen ring 
𓍷	V10 	cartouche 
𓍸	V11 	cartouche-(divided) 
𓍹	V11A 	
𓍺	V11B 	
𓍻	V11C 	
𓍼	V12 	
𓍽	V12A 	
𓍾	V12B 	
𓍿	V13 	tethering rope
𓎀	V14 	
𓎁	V15 	tethering rope w/ walking legs
𓎂	V16 	cattle hobble
𓎃	V17 	lifesaver
𓎄	V18 	
𓎅	V19 	
𓎆	V20 	Egyptian numeral 10
𓎇	V20A 	Egyptian numeral 20
𓎈	V20B 	Egyptian numeral 30
𓎉	V20C 	Egyptian numeral 40
𓎊	V20D 	Egyptian numeral 50
𓎋	V20E 	Egyptian numeral 60
𓎌	V20F 	Egyptian numeral 70
𓎍	V20G 	Egyptian numeral 80
𓎎	V20H 	Egyptian numeral 90
𓎏	V20I 	Egyptian numeral 20
𓎐	V20J 	Egyptian numeral 30
𓎑	V20K 	Egyptian numeral 40
𓎒	V20L 	Egyptian numeral 50
𓎓	V21 	Fetter + Cobra
𓎔	V22 	whip
𓎕	V23 	
𓎖	V23A 	
𓎗	V24 	
𓎘	V25 	"""command staff"""
𓎙	V26 	
𓎚	V27 	
𓎛	V28 	a twisted wick
𓎜	V28A 	
𓎝	V29 	(fiber) swab (straw broom)
𓎞	V29A 	
𓎟	V30 	basket 
𓎠	V30A 	
𓎡	V31 	basket-with-handle 
𓎢	V31A 	
𓎣	V32 	
𓎤	V33 	
𓎥	V33A 	
𓎦	V34 	
𓎧	V35 	
𓎨	V36 	doubled container (or-added-glyphs) many spellings
𓎩	V37 	
𓎪	V37A 	
𓎫	V38 	
𓎬	V39 	?stylized ankh (for Isis)(?)
𓎭	V40 	
𓎮	V40A 	
𓎯	W1 	Oil jar 
𓎰	W2 	Oil-jar without ties 
𓎱	W3 	alabaster basin
𓎲	W3A 	alabaster basin 
𓎳	W4 	festival chamber, (the tail is also vertical 'Great': '''ꜥꜣ''')
𓎴	W5 	
𓎵	W6 	Metal vessel 
𓎶	W7 	Granite Bowl 
𓎷	W8 	Granite Bowl 
𓎸	W9 	stone jug 
𓎹	W9A 	
𓎺	W10 	cup
𓎻	W10A 	Pot 
𓎼	W11 	Jar stand 
𓎽	W12 	Jar stand 
𓎾	W13 	pot 
𓎿	W14 	water jar
𓏀	W14A 	water jar with water 
𓏁	W15 	water jar with rack 
𓏂	W16 	water jar with rack 
𓏃	W17 	water jar with rack 
𓏄	W17A 	
𓏅	W18 	water jar with rack 
𓏆	W18A 	
𓏇	W19 	Milk jug with handle
𓏈	W20 	Milk jug with cover 
𓏉	W21 	Wine jars
𓏊	W22 	Beer jug 
𓏋	W23 	Beer jug 
𓏌	W24 	Pot
𓏍	W24A 	three pots 
𓏎	W25 	Pot with legs 
𓏏	X1 	loaf of bread 
𓏐	X2 	
𓏑	X3 	
𓏒	X4 	
𓏓	X4A 	
𓏔	X4B 	
𓏕	X5 	
𓏖	X6 	loaf-with-decoration
𓏗	X6A 	
𓏘	X7 	
𓏙	X8 	cone- shaped bread
𓏚	X8A 	
𓏛	Y1 	Papyrus roll-tied 
𓏜	Y1A 	
𓏝	Y2 	
𓏞	Y3 	Scribe equipment 
𓏟	Y4 	Scribe's equipment 
𓏠	Y5 	Senet board 
𓏡	Y6 	game piece 
𓏢	Y7 	harp
𓏣	Y8 	Sistrum 
𓏤	Z1 	Single stroke 
𓏥	Z2 	Plural stroke (horizontal) 
𓏦	Z2A 	
𓏧	Z2B 	
𓏨	Z2C 	
𓏩	Z2D 	
𓏪	Z3 	plural strokes (vertical)
𓏫	Z3A 	
𓏬	Z3B 	
𓏭	Z4 	Dual stroke 
𓏮	Z4A 	
𓏯	Z5 	Diagonal stroke (from hieratic) 
𓏰	Z5A 	
𓏱	Z6 	Substitute for various human figures 
𓏲	Z7 	coil 
𓏳	Z8 	Oval 
𓏴	Z9 	Crossed diagonal sticks 
𓏵	Z10 	Crossed diagonal sticks 
𓏶	Z11 	two planks crossed and joined
𓏷	Z12 	
𓏸	Z13 	
𓏹	Z14 	
𓏺	Z15 	Egyptian numeral 1
𓏻	Z15A 	Egyptian numeral 2
𓏼	Z15B 	Egyptian numeral 3
𓏽	Z15C 	Egyptian numeral 4
𓏾	Z15D 	Egyptian numeral 5
𓏿	Z15E 	Egyptian numeral 6
𓐀	Z15F 	Egyptian numeral 7
𓐁	Z15G 	Egyptian numeral 8
𓐂	Z15H 	Egyptian numeral 9
𓐃	Z15I 	Egyptian numeral 5
𓐄	Z16 	Numeral 1 in dates
𓐅	Z16A 	Numeral 2 in dates
𓐆	Z16B 	Numeral 3 in dates
𓐇	Z16C 	Numeral 4 in dates
𓐈	Z16D 	Numeral 5 in dates
𓐉	Z16E 	Numeral 6 in dates
𓐊	Z16F 	Numeral 7 in dates
𓐋	Z16G 	Numeral 8 in dates
𓐌	Z16H 	Numeral 9 in dates
𓐍	Aa1 	Placenta or sieve 
𓐎	Aa2 	Pustule 
𓐏	Aa3 	Pustule with liquid issuing from it 
𓐐	Aa4 	
𓐑	Aa5 	Part of steering gear of a ship 
𓐒	Aa6 	
𓐓	Aa7 	A Smiting-blade symbol 
𓐔	Aa7A 	
𓐕	Aa7B 	
𓐖	Aa8 	Irrigation tunnels 
𓐗	Aa9 	rich (ḫwd)
𓐘	Aa10 	drf
𓐙	Aa11 	Raised platform (ṯntt), platform abbreviation for mꜣꜥ in (mꜣꜥ-ḫrw)
𓐚	Aa12 	Raised platform (ṯntt), platform abbreviation for mꜣꜥ in (mꜣꜥ-ḫrw)
𓐛	Aa13 	side area (jmw), side (gs)
𓐜	Aa14 	side area (jmw), side (gs)
𓐝	Aa15 	
𓐞	Aa16 	side (gs)
𓐟	Aa17 	back ''(sꜣ)''
𓐠	Aa18 	back ''(sꜣ)''
𓐡	Aa19 	
𓐢	Aa20 	
𓐣	Aa21 	Abbreviation for Set (mythology)
𓐤	Aa22 	Abbreviation for Set (mythology)
𓐥	Aa23 	Often instead of U35
𓐦	Aa24 	Often instead of U35
𓐧	Aa25 	garment priest (smꜣ)
𓐨	Aa26 	
𓐩	Aa27 	
𓐪	Aa28 	
𓐫	Aa29 	
𓐬	Aa30 	
𓐭	Aa31 	
𓐮	Aa32 	
		
