                                            
I am                                        	ego sum           
[may it be that] I was hearing              	ego audīrem       
[may it be that] you were hearing           	tū audīrēs        
[may it be that] it was hearing             	id audīret        
[may it be that] we were hearing             	nōs audīrēmus     
[may it be that] you all were hearing       	vōs audīrētis     
[may it be that] they♂ were hearing         	eī audīrent       
[may it be that] they♀ were hearing         	eae audīrent      
[may it be that] they⚲ were hearing         	ea audīrent       
                                            
[may it be that] I heard                    	ego audierim      
[may it be that] you heard                  	tū audierīs       
[may it be that] it heard                   	id audierit       
[may it be that] we heard                   	nōs audierīmus    
[may it be that] you all heard              	vōs audierītis    
[may it be that] they♂ heard                	eī audierint      
[may it be that] they♀ heard                	eae audierint     
[may it be that] they⚲ heard                	ea audierint      
                                            
[may it be that] I had heard                	ego audīssem      
[may it be that] you had heard              	tū audīssēs       
[may it be that] it had heard               	id audīsset       
[may it be that] we had heard               	nōs audīssēmus    
[may it be that] you all had heard          	vōs audīssētis    
[may it be that] they♂ had heard            	eī audīssent      
[may it be that] they♀ had heard            	eae audīssent     
[may it be that] they⚲ had heard            	ea audīssent      
                                            
I am heard                                  	ego audior        
you are heard                               	tū audīris        
it is heard                                 	id audītur        
we are heard                                	nōs audīmur       
you all are heard                           	vōs audīminī      
they are heard                              	ea audiuntur      
                                            
I will be heard                             	ego audiar        
you will be heard                           	tū audiēris       
it will be heard                            	id audiētur       
we will be heard                            	nōs audiēmur      
you all will be heard                       	vōs audiēminī     
they will be heard                          	ea audientur      
                                            
I was being heard                           	ego audiēbar      
you were being heard                        	tū audiēbāris     
it was being heard                          	id audiēbātur     
we were being heard                          	nōs audiēbāmur    
you all were being heard                    	vōs audiēbāminī   
they were being heard                       	ea audiēbantur    
                                            
I was heard                                 	ego audītus sum   
you were heard                              	tū audītus es     
it was heard                                	id audītus est    
we were heard                                	nōs audītī sumus  
you all were heard                          	vōs audītī estis  
they were heard                             	ea audītī sunt    
                                            
I will have been heard                      	ego audītus erō   
you will have been heard                    	tū audītus eris   
it will have been heard                     	id audītus erit   
we will have been heard                     	nōs audītī erimus 
you all will have been heard                	vōs audītī eritis 
they will have been heard                   	ea audītī erunt   
                                            
I had been heard                            	ego audītus eram  
you had been heard                          	tū audītus erās   
it had been heard                           	id audītus erat   
we had been heard                           	nōs audītī erāmus 
you all had been heard                      	vōs audītī erātis 
they had been heard                         	ea audītī erant   
                                            
[may it be that] I am heard                 	ego audiar        
[may it be that] you are heard              	tū audiāris       
[may it be that] it is heard                	id audiātur       
[may it be that] we are heard               	nōs audiāmur      
[may it be that] you all are heard          	vōs audiāminī     
[may it be that] they♂ are heard            	eī audiantur      
[may it be that] they♀ are heard            	eae audiantur     
[may it be that] they⚲ are heard            	ea audiantur      
                                            
[may it be that] I was being heard          	ego audīrer       
[may it be that] you were being heard       	tū audīrēris      
[may it be that] it was being heard         	id audīrētur      
[may it be that] we were being heard         	nōs audīrēmur     
[may it be that] you all were being heard   	vōs audīrēminī    
[may it be that] they♂ were being heard     	eī audīrentur     
[may it be that] they♀ were being heard     	eae audīrentur    
[may it be that] they⚲ were being heard     	ea audīrentur     
                                            
[may it be that] I was heard                	ego audītus sim   
[may it be that] you were heard             	tū audītus sīs    
[may it be that] it was heard               	id audītus sit    
[may it be that] we were heard               	nōs audītī sīmus  
[may it be that] you all were heard         	vōs audītī sītis  
[may it be that] they♂ were heard           	eī audītī sint    
[may it be that] they♀ were heard           	eae audītī sint   
[may it be that] they⚲ were heard           	ea audītī sint    
                                            
[may it be that] I had been heard           	ego audītus essem 
[may it be that] you had been heard         	tū audītus essēs  
[may it be that] it had been heard          	id audītus esset  
[may it be that] we had been heard          	nōs audītī essēmus
[may it be that] you all had been heard     	vōs audītī essētis
[may it be that] they♂ had been heard       	eī audītī essent  
[may it be that] they♀ had been heard       	eae audītī essent 
[may it be that] they⚲ had been heard       	ea audītī essent  
