a 	 interjection 	 hah 	 hah!
trường 	 noun 	 purpose 	 A place&amp;nbsp;– typically a large, open area&amp;nbsp;– with a well-defined purpose: field
trường 	 noun 	 well-defined 	 A place&amp;nbsp;– typically a large, open area&amp;nbsp;– with a well-defined purpose: field
trường 	 noun 	 typically 	 A place&amp;nbsp;– typically a large, open area&amp;nbsp;– with a well-defined purpose: field
trường 	 noun 	 battlefield 	 battlefield
trường 	 noun 	 airfield 	 airport, airfield
trường 	 noun 	 airport 	 airport, airfield
trường 	 noun 	 domain 	 a domain; an area; a field
trường 	 noun 	 area 	 a domain; an area; a field
trường 	 noun 	 field 	 a domain; an area; a field
trường 	 noun 	 school 	 school
trường 	 noun 	 schoolhouse 	 a school, schoolhouse
trường 	 noun 	 field 	 A region affected by a particular force: field
trường 	 noun 	 affected 	 A region affected by a particular force: field
trường 	 noun 	 region 	 A region affected by a particular force: field
trường 	 noun 	 particular 	 A region affected by a particular force: field
trường 	 noun 	 force 	 A region affected by a particular force: field
trường 	 noun 	 magnetic 	 magnetic field
trường 	 adjective 	 long 	 long
餓鬼 	 noun 	 preta 	 preta
男女 	 noun 	 woman 	 man and woman
男女 	 noun 	 man 	 man and woman
chen 	 verb 	 crowd 	 to get into a crowd, to elbow into, to jostle
chen 	 verb 	 jostle 	 to get into a crowd, to elbow into, to jostle
chen 	 verb 	 elbow 	 to get into a crowd, to elbow into, to jostle
chen 	 verb 	 get into 	 to get into a crowd, to elbow into, to jostle
可愛 	 adjective 	 lovable 	 lovable, likable, nice
首都 	 noun 	 capital city 	 capital, capital city
首都 	 noun 	 capital 	 capital, capital city
農村 	 noun 	 country 	 countryside; country; rural areas
農村 	 noun 	 rural 	 countryside; country; rural areas
農村 	 noun 	 countryside 	 countryside; country; rural areas
農村 	 noun 	 area 	 countryside; country; rural areas
部長 	 noun 	 minister 	 minister
市長 	 noun 	 mayor 	 mayor
消化 	 verb 	 digest 	 to digest
包子 	 noun 	 stomach 	 stomach
運動 	 verb 	 motion 	 to move; to be in motion
運動 	 verb 	 move 	 to move; to be in motion
抗體 	 noun 	 antibody 	 antibody
出口 	 verb 	 export 	 to export
唯一 	 adjective 	 only 	 only
magie 	 noun 	 magnesium 	 magnesium
進行 	 verb 	 proceed 	 to proceed
自動詞 	 noun 	 intransitive verb 	 intransitive verb
他動詞 	 noun 	 transitive verb 	 transitive verb
幾何 	 adjective 	 geometric 	 geometric
興奮 	 adjective 	 excited 	 excited; aroused
興奮 	 adjective 	 aroused 	 excited; aroused
聖歌 	 noun 	 hymn 	 hymn
命令 	 verb 	 command 	 to command
命令 	 noun 	 command 	 command; order
命令 	 noun 	 order 	 command; order
怪物 	 noun 	 monster 	 monster
機會 	 noun 	 opportunity 	 opportunity
疾病 	 noun 	 disease 	 disease
練習 	 verb 	 practice 	 to practice
連絡 	 verb 	 communicate 	 to connect; to communicate
連絡 	 verb 	 connect 	 to connect; to communicate
大腸 	 noun 	 large intestine 	 large intestine
木琴 	 noun 	 xylophone 	 xylophone
青年 	 adjective 	 young 	 related to young
cho 	 verb 	 give 	 to give
cho 	 verb 	 let 	 to let; to make; to cause
cho 	 verb 	 make 	 to let; to make; to cause
cho 	 verb 	 cause 	 to let; to make; to cause
cho 	 verb 	 allow 	 to let; to allow; to permit
cho 	 verb 	 let 	 to let; to allow; to permit
cho 	 verb 	 permit 	 to let; to allow; to permit
cho 	 verb 	 put 	 to put; to add
cho 	 verb 	 add 	 to put; to add
cho 	 verb 	 think 	 to think; to consider
cho 	 verb 	 consider 	 to think; to consider
cho 	 verb 	 suppose 	 to suppose
cho 	 particle 	 để 	 Used to emphasize để
cho 	 particle 	 marker 	 Dative marker
資本 	 noun 	 capital 	 capital
憲法 	 noun 	 constitution 	 constitution
刑法 	 noun 	 criminal law 	 criminal law
分子 	 noun 	 molecule 	 molecule, element
分子 	 noun 	 element 	 molecule, element
大洋 	 noun 	 ocean 	 ocean
石英 	 noun 	 quartz 	 quartz
小腸 	 noun 	 small intestine 	 small intestine
武道 	 noun 	 martial arts 	 martial arts
元旦 	 noun 	 Vietnamese New Year 	 Vietnamese New Year
認識 	 noun 	 awareness 	 awareness
免疫 	 noun 	 immunity 	 immunity
航空母艦 	 noun 	 aircraft carrier 	 aircraft carrier
主語 	 noun 	 subject 	 subject
主題 	 noun 	 subject 	 subject
動脈 	 noun 	 artery 	 artery
基礎 	 noun 	 foundation 	 foundation, basis
基礎 	 noun 	 basis 	 foundation, basis
料理 	 verb 	 arrange 	 to arrange
集合 	 noun 	 set 	 set
結果 	 noun 	 result 	 result
程度 	 noun 	 standard 	 level ; standard
程度 	 noun 	 level 	 level ; standard
程度 	 adjective 	 talented 	 talented; skilled
程度 	 adjective 	 skilled 	 talented; skilled
幼稚園 	 noun 	 kindergarten 	 kindergarten
現在分詞 	 noun 	 present participle 	 present participle
過去分詞 	 noun 	 past participle 	 past participle
分詞 	 noun 	 participle 	 participle
業務 	 noun 	 business 	 business
管理 	 noun 	 administer 	 to manage, to administer
管理 	 noun 	 manage 	 to manage, to administer
危機 	 noun 	 danger 	 danger; hazard
危機 	 noun 	 hazard 	 danger; hazard
十分 	 adjective 	 decimal 	 decimal
繼續 	 verb 	 continue 	 to continue; to succeed
繼續 	 verb 	 succeed 	 to continue; to succeed
家庭 	 noun 	 family 	 family
檢查 	 noun 	 test 	 test inspect; examine
檢查 	 noun 	 examine 	 test inspect; examine
檢查 	 noun 	 inspect 	 test inspect; examine
簡單 	 adjective 	 simple 	 simple
將來 	 noun 	 future 	 the future
theo 	 verb 	 follow 	 to follow
theo 	 verb 	 accompany 	 to accompany, come with, follow
theo 	 verb 	 follow 	 to accompany, come with, follow
theo 	 verb 	 come 	 to accompany, come with, follow
theo 	 verb 	 obey 	 to obey
theo 	 verb 	 believe 	 to believe in, follow
theo 	 verb 	 follow 	 to believe in, follow
antimon 	 noun 	 antimony 	 antimony
質問 	 verb 	 question 	 to question
疑問 	 noun 	 doubt 	 doubt
疑問 	 adjective 	 doubtful 	 doubtful
博物館 	 noun 	 museum 	 museum
電報 	 noun 	 telegram 	 telegram
民主主義 	 noun 	 democracy 	 democracy
忠義 	 noun 	 loyalty 	 loyalty
文章 	 noun 	 literature 	 literature
平均 	 adjective 	 average 	 average
慢性 	 adjective 	 chronic 	 chronic
感情 	 noun 	 fondness 	 fondness
青少年 	 noun 	 adolescent 	 youth; adolescents
青少年 	 noun 	 youth 	 youth; adolescents
勢力 	 noun 	 power 	 influence, power
勢力 	 noun 	 influence 	 influence, power
交換 	 verb 	 swap 	 to exchange, to swap
交換 	 verb 	 exchange 	 to exchange, to swap
結合 	 verb 	 combine 	 to combine, to link up, to coordinate
結合 	 verb 	 coordinate 	 to combine, to link up, to coordinate
分配 	 verb 	 allocate 	 to distribute; to allocate
分配 	 verb 	 distribute 	 to distribute; to allocate
緊張 	 adjective 	 urgent 	 urgent
農業 	 noun 	 agriculture 	 agriculture
經驗 	 noun 	 experience 	 experience
政治家 	 noun 	 politician 	 politician
緯度 	 noun 	 latitude 	 latitude
北極 	 noun 	 north pole 	 north pole
家禽 	 noun 	 poultry 	 poultry
博士 	 noun 	 medical 	 medical doctor; physician
博士 	 noun 	 doctor 	 medical doctor; physician
博士 	 noun 	 physician 	 medical doctor; physician
論文 	 noun 	 essay 	 essay; thesis
論文 	 noun 	 thesis 	 essay; thesis
迷惑 	 verb 	 charm 	 to charm; to enchant; to bewitch
迷惑 	 verb 	 enchant 	 to charm; to enchant; to bewitch
迷惑 	 verb 	 bewitch 	 to charm; to enchant; to bewitch
迷惑 	 adjective 	 mesmerizing 	 mesmerizing; entrancing
迷惑 	 adjective 	 entrancing 	 mesmerizing; entrancing
感覺 	 noun 	 feeling 	 feeling
力士 	 noun 	 strong 	 strong person
力士 	 noun 	 person 	 strong person
mìn 	 noun 	 dynamite 	 mine; dynamite
mìn 	 noun 	 mine 	 mine; dynamite
困難 	 adjective 	 difficult 	 difficult
勞動 	 noun 	 labour 	 labour
妖精 	 noun 	 spirit 	 evil spirit
妖精 	 noun 	 evil 	 evil spirit
禮物 	 noun 	 offering 	 offering
hao 	 verb 	 consume 	 to greatly consume
聯繫 	 noun 	 association 	 association; relationship
聯繫 	 noun 	 relationship 	 association; relationship
聯繫 	 verb 	 relate 	 to relate to
連結 	 verb 	 link 	 to link, to join, to unite, to associate
連結 	 verb 	 join 	 to link, to join, to unite, to associate
連結 	 verb 	 unite 	 to link, to join, to unite, to associate
連結 	 verb 	 associate 	 to link, to join, to unite, to associate
cùm 	 noun 	 fetters 	 fetters
mang 	 verb 	 carry 	 to carry
mang 	 verb 	 wear 	 to wear footwear
mang 	 verb 	 footwear 	 to wear footwear
mang 	 verb 	 pregnant 	 to be pregnant
mang 	 noun 	 gill 	 gill
mang 	 noun 	 hood 	 hood
mang 	 noun 	 muntjac 	 muntjac
máy 	 noun 	 machine 	 machine
máy 	 noun 	 engine 	 engine
máy 	 noun 	 internal combustion engine 	 internal combustion engine
máy 	 noun 	 mobile phone 	 phone, mobile phone
máy 	 noun 	 phone 	 phone, mobile phone
小便 	 verb 	 urinate 	 to urinate
留學生 	 noun 	 international 	 international student, student studying abroad,  exchange student
留學生 	 noun 	 student 	 international student, student studying abroad,  exchange student
民族 	 noun 	 ethnic 	 ethnic group, nationality, race
民族 	 noun 	 nationality 	 ethnic group, nationality, race
民族 	 noun 	 race 	 ethnic group, nationality, race
高速 	 noun 	 speed 	 high speed
高速 	 noun 	 high 	 high speed
內容 	 noun 	 content 	 content
thô 	 adjective 	 coarse 	 coarse, husky
thô 	 adjective 	 husky 	 coarse, husky
thô 	 adjective 	 crude 	 crude
議員 	 noun 	 parliamentarian 	 parliamentarian
農民 	 noun 	 farmer 	 peasant, farmer
農民 	 noun 	 peasant 	 peasant, farmer
努力 	 noun 	 endeavor 	 great effort; endeavor
努力 	 noun 	 great 	 great effort; endeavor
努力 	 noun 	 effort 	 great effort; endeavor
努力 	 verb 	 endeavor 	 to strive; to endeavor
努力 	 verb 	 strive 	 to strive; to endeavor
出血 	 verb 	 bleed 	 to bleed
cháu 	 noun 	 grandchild 	 a grandchild
cháu 	 noun 	 niece 	 a nephew, a niece
cháu 	 noun 	 nephew 	 a nephew, a niece
cháu 	 pronoun 	 me 	 /me, your nephew, niece or grandchild
cháu 	 pronoun 	 you 	 you, my nephew, niece or grandchild
cháu 	 pronoun 	 cháu 	 cháu nó
cháu 	 pronoun 	 nó 	 cháu nó
批評 	 verb 	 criticize 	 to criticize
mía 	 noun 	 sugar cane 	 sugar cane
全體 	 noun 	 all 	 all; the whole
全體 	 noun 	 whole 	 all; the whole
熱情 	 noun 	 fervour 	 enthusiasm; zeal; fervour
熱情 	 noun 	 enthusiasm 	 enthusiasm; zeal; fervour
熱情 	 noun 	 zeal 	 enthusiasm; zeal; fervour
熱情 	 adjective 	 enthusiastic 	 enthusiastic; zealous; fervent
熱情 	 adjective 	 zealous 	 enthusiastic; zealous; fervent
熱情 	 adjective 	 fervent 	 enthusiastic; zealous; fervent
記者 	 noun 	 journalist 	 journalist
軍事 	 adjective 	 military 	 military
大多數 	 noun 	 majority 	 great majority
大多數 	 noun 	 great 	 great majority
ràn 	 noun 	 stable 	 stable
衛生 	 noun 	 hygiene 	 hygiene
人力 	 noun 	 manpower 	 manpower; human resources
人力 	 noun 	 human resources 	 manpower; human resources
海軍 	 noun 	 navy 	 navy
陸軍 	 noun 	 army 	 army
身體 	 noun 	 body 	 body
半島 	 noun 	 peninsula 	 peninsula
學校 	 noun 	 school 	 school
實現 	 verb 	 implement 	 to realize; to carry out; to bring about; to implement
實現 	 verb 	 realize 	 to realize; to carry out; to bring about; to implement
實現 	 verb 	 carry out 	 to realize; to carry out; to bring about; to implement
實現 	 verb 	 bring about 	 to realize; to carry out; to bring about; to implement
使用 	 verb 	 use 	 to use; to utilize; to employ
使用 	 verb 	 utilize 	 to use; to utilize; to employ
使用 	 verb 	 employ 	 to use; to utilize; to employ
pháp 	 adjective 	 French 	 French
說明 	 verb 	 explain 	 to explain
plutoni 	 noun 	 plutonium 	 plutonium
微分 	 noun 	 differential 	 differential
思想 	 noun 	 ideology 	 thought, ideology
思想 	 noun 	 thought 	 thought, ideology
戰士 	 noun 	 warrior 	 warrior
所有 	 noun 	 property 	 property
所有 	 verb 	 own 	 to own; to hold
所有 	 verb 	 hold 	 to own; to hold
討論 	 verb 	 discuss 	 to discuss
體育 	 noun 	 physical education 	 physical education
注意 	 verb 	 pay attention 	 to pay attention to
指事 	 noun 	 idea 	 Chinese character classification) One of the types of Han characters, containing those characters such as 上  above and 上  below that indicate an abstract idea with a non-arbitrary logogram
指事 	 noun 	 indicate 	 Chinese character classification) One of the types of Han characters, containing those characters such as 上  above and 上  below that indicate an abstract idea with a non-arbitrary logogram
指事 	 noun 	 character 	 Chinese character classification) One of the types of Han characters, containing those characters such as 上  above and 上  below that indicate an abstract idea with a non-arbitrary logogram
指事 	 noun 	 logogram 	 Chinese character classification) One of the types of Han characters, containing those characters such as 上  above and 上  below that indicate an abstract idea with a non-arbitrary logogram
離婚 	 verb 	 divorce 	 to divorce
ghì 	 verb 	 tightly 	 to hold tightly, to tightly embrace
ghì 	 verb 	 embrace 	 to hold tightly, to tightly embrace
ghì 	 verb 	 hold 	 to hold tightly, to tightly embrace
chu 	 verb 	 protrude 	 to protrude
chu 	 adjective 	 meticulous 	 thorough; meticulous
chu 	 adjective 	 thorough 	 thorough; meticulous
dao 	 noun 	 knife 	 knife
sao 	 adverb 	 why 	 why
sao 	 adjective 	 problematic 	 problematic, bad
sao 	 adjective 	 bad 	 problematic, bad
bao 	 noun 	 sack 	 bag; sack; pack
bao 	 noun 	 pack 	 bag; sack; pack
bao 	 noun 	 bag 	 bag; sack; pack
bao 	 noun 	 box 	 box; packet
bao 	 noun 	 packet 	 box; packet
bao 	 verb 	 cover 	 to enclose; to envelope; to cover
bao 	 verb 	 enclose 	 to enclose; to envelope; to cover
bao 	 verb 	 envelope 	 to enclose; to envelope; to cover
bao 	 verb 	 guarantee 	 to guarantee; to assure
bao 	 verb 	 assure 	 to guarantee; to assure
bao 	 verb 	 take on 	 to take on everything; to undertake  something as someone's proxy
bao 	 verb 	 proxy 	 to take on everything; to undertake  something as someone's proxy
bao 	 verb 	 undertake 	 to take on everything; to undertake  something as someone's proxy
bao 	 verb 	 pay 	 to treat; to pay ; to foot the bill; to cover ; to stand
bao 	 verb 	 cover 	 to treat; to pay ; to foot the bill; to cover ; to stand
bao 	 verb 	 bill 	 to treat; to pay ; to foot the bill; to cover ; to stand
bao 	 verb 	 foot 	 to treat; to pay ; to foot the bill; to cover ; to stand
bao 	 verb 	 treat 	 to treat; to pay ; to foot the bill; to cover ; to stand
bao 	 verb 	 stand 	 to treat; to pay ; to foot the bill; to cover ; to stand
cai 	 noun 	 corporal 	 corporal
cai 	 noun 	 supervisor 	 overseer; foreman; supervisor
cai 	 noun 	 foreman 	 overseer; foreman; supervisor
cai 	 noun 	 overseer 	 overseer; foreman; supervisor
cai 	 noun 	 chief 	 |district chief
cai 	 noun 	 district 	 |district chief
cai 	 verb 	 break 	 to break ; to grow out of ; to give up
cai 	 verb 	 grow out of 	 to break ; to grow out of ; to give up
cai 	 verb 	 give up 	 to break ; to grow out of ; to give up
pao 	 noun 	 pound 	 pound
chua 	 adjective 	 vinegary 	 sour; acid; vinegary
chua 	 adjective 	 sour 	 sour; acid; vinegary
chua 	 adjective 	 acid 	 sour; acid; vinegary
chua 	 adjective 	 acidic 	 having acidic soil
chua 	 adjective 	 soil 	 having acidic soil
chua 	 adjective 	 vinegar 	 sour-smelling; smelling of acid or vinegar
chua 	 adjective 	 sour 	 sour-smelling; smelling of acid or vinegar
chua 	 adjective 	 acid 	 sour-smelling; smelling of acid or vinegar
chua 	 adjective 	 shrill 	 shrill
chua 	 verb 	 note 	 to make clear with a note; to note; to annotate
chua 	 verb 	 clear 	 to make clear with a note; to note; to annotate
chua 	 verb 	 annotate 	 to make clear with a note; to note; to annotate
chua 	 verb 	 make 	 to make clear with a note; to note; to annotate
nai 	 noun 	 sambar 	 a sambar deer
nai 	 noun 	 deer 	 a sambar deer
nai 	 noun 	 deer 	 any species of deer
nai 	 adjective 	 innocent 	 innocent; naive
nai 	 adjective 	 naive 	 innocent; naive
cao 	 noun 	 bone 	 a tonic made from animal flesh or bone
cao 	 noun 	 animal 	 a tonic made from animal flesh or bone
cao 	 noun 	 tonic 	 a tonic made from animal flesh or bone
cao 	 noun 	 flesh 	 a tonic made from animal flesh or bone
chao 	 noun 	 pickled 	 pickled tofu
chao 	 noun 	 tofu 	 pickled tofu
chao 	 verb 	 glide 	 to glide
màng 	 noun 	 coat 	 membrane; film; coat
màng 	 noun 	 film 	 membrane; film; coat
màng 	 noun 	 membrane 	 membrane; film; coat
màng 	 noun 	 web 	 web
màng 	 verb 	 concerned 	 to take interest in ; to be concerned
màng 	 verb 	 interest 	 to take interest in ; to be concerned
囚人 	 noun 	 prisoner 	 prisoner
海賊 	 noun 	 pirate 	 pirate
規則 	 noun 	 rule 	 rule; code; principle
規則 	 noun 	 principle 	 rule; code; principle
規則 	 noun 	 code 	 rule; code; principle
手術 	 noun 	 trick 	 tip; trick
手術 	 noun 	 tip 	 tip; trick
ô 	 adjective 	 black 	 black
ô 	 noun 	 umbrella 	 umbrella
ê 	 interjection 	 hey 	 hey
ê 	 interjection 	 hey 	 hey
ê 	 verb 	 unceasingly 	 to read loudly and unceasingly
ê 	 verb 	 read 	 to read loudly and unceasingly
ê 	 verb 	 loudly 	 to read loudly and unceasingly
ê 	 adjective 	 numb 	 be numb
暴力 	 noun 	 violence 	 violence
keng 	 interjection 	 clank 	 clank; clang; clink
keng 	 interjection 	 clang 	 clank; clang; clink
keng 	 interjection 	 clink 	 clank; clang; clink
chui 	 verb 	 creep 	 to creep
xin 	 verb 	 beg 	 to ask ; to beg; to request; to apply
xin 	 verb 	 ask 	 to ask ; to beg; to request; to apply
xin 	 verb 	 request 	 to ask ; to beg; to request; to apply
xin 	 verb 	 apply 	 to ask ; to beg; to request; to apply
xin 	 verb 	 beginning 	 Used at the beginning of a request to convey a sense of humility and politeness
xin 	 verb 	 humility 	 Used at the beginning of a request to convey a sense of humility and politeness
xin 	 verb 	 request 	 Used at the beginning of a request to convey a sense of humility and politeness
xin 	 verb 	 sense 	 Used at the beginning of a request to convey a sense of humility and politeness
xin 	 verb 	 convey 	 Used at the beginning of a request to convey a sense of humility and politeness
xin 	 verb 	 politeness 	 Used at the beginning of a request to convey a sense of humility and politeness
xin 	 verb 	 greeting 	 Used in greetings, thanks, etc. as a polite particle
xin 	 verb 	 particle 	 Used in greetings, thanks, etc. as a polite particle
xin 	 verb 	 thanks 	 Used in greetings, thanks, etc. as a polite particle
xin 	 verb 	 polite 	 Used in greetings, thanks, etc. as a polite particle
ù 	 verb 	 tinnitus 	 to have tinnitus
ù 	 adjective 	 tinnitus 	 having tinnitus
ù 	 adverb 	 fast 	 swiftly; fast
ù 	 adverb 	 swiftly 	 swiftly; fast
hít 	 verb 	 breathe in 	 to breathe in; to inhale
hít 	 verb 	 inhale 	 to breathe in; to inhale
楊梅 	 noun 	 yangmei 	 yangmei
語源 	 noun 	 etymology 	 etymology
皇帝 	 noun 	 emperor 	 emperor
委員長 	 noun 	 committee 	 committee chairman
委員長 	 noun 	 chairman 	 committee chairman
飲食 	 noun 	 gastronomy 	 cuisine; gastronomy
飲食 	 noun 	 cuisine 	 cuisine; gastronomy
無神論 	 noun 	 atheism 	 atheism
暴政 	 adjective 	 tyranny 	 tyranny
正式 	 adjective 	 official 	 official
海洋 	 adjective 	 oceanic 	 oceanic
發明 	 noun 	 invention 	 invention
發明 	 verb 	 invent 	 to invent
屏風 	 noun 	 blind 	 screen; blind
屏風 	 noun 	 screen 	 screen; blind
時代 	 noun 	 period 	 age, era, period
時代 	 noun 	 age 	 age, era, period
時代 	 noun 	 era 	 age, era, period
昆蟲 	 noun 	 insect 	 insect
高級 	 adjective 	 superior 	 superior
光學 	 noun 	 optics 	 optics
小麥 	 noun 	 wheat 	 wheat
brom 	 noun 	 bromine 	 bromine
selen 	 noun 	 selenium 	 selenium
動機 	 noun 	 motive 	 motive
利益 	 noun 	 interest 	 benefit; interest
利益 	 noun 	 benefit 	 benefit; interest
種族 	 noun 	 ethnicity 	 race; ethnicity
種族 	 noun 	 race 	 race; ethnicity
同意 	 verb 	 agree 	 to agree, to consent
同意 	 verb 	 consent 	 to agree, to consent
同志 	 noun 	 comrade 	 comrade
團結 	 verb 	 unite 	 to unite
協會 	 noun 	 association 	 association
外國 	 noun 	 foreign country 	 foreign country
技能 	 noun 	 skill 	 technical skill
技能 	 noun 	 technical 	 technical skill
對流 	 noun 	 convection 	 convection
chay 	 adjective 	 vegan 	 vegan
chay 	 adjective 	 veganism 	 to practise veganism; to go vegan
chay 	 adverb 	 equipment 	 in an ordinary, even lackluster, way; without special aids or equipment
chay 	 adverb 	 ordinary 	 in an ordinary, even lackluster, way; without special aids or equipment
chay 	 adverb 	 aid 	 in an ordinary, even lackluster, way; without special aids or equipment
chay 	 adverb 	 lackluster 	 in an ordinary, even lackluster, way; without special aids or equipment
chay 	 adverb 	 special 	 in an ordinary, even lackluster, way; without special aids or equipment
chay 	 adverb 	 without 	 in an ordinary, even lackluster, way; without special aids or equipment
chay 	 adverb 	 way 	 in an ordinary, even lackluster, way; without special aids or equipment
發行 	 verb 	 publish 	 to publish; to release
發行 	 verb 	 release 	 to publish; to release
反應 	 noun 	 reaction 	 reaction
反應 	 verb 	 react 	 to react
檢疫 	 verb 	 quarantine 	 to quarantine
摩擦 	 noun 	 friction 	 friction
curi 	 noun 	 curium 	 curium
pho 	 noun 	 set 	 set
報應 	 noun 	 retribution 	 retribution; karma
報應 	 noun 	 karma 	 retribution; karma
幼蟲 	 noun 	 larva 	 larva
人參 	 noun 	 ginseng 	 ginseng
正統 	 adjective 	 orthodox 	 orthodox
明星 	 noun 	 movie star 	 movie star
食品 	 noun 	 food 	 food, foodstuff
食品 	 noun 	 foodstuff 	 food, foodstuff
中心 	 noun 	 center 	 center
親戚 	 noun 	 relatives 	 relatives
貿易 	 noun 	 trade 	 trade; commerce
貿易 	 noun 	 commerce 	 trade; commerce
夫婦 	 noun 	 couple 	 married couple
夫婦 	 noun 	 married 	 married couple
組織 	 noun 	 organization 	 organization()
組織 	 verb 	 organize 	 to organize
農夫 	 noun 	 farmer 	 peasant, farmer
農夫 	 noun 	 peasant 	 peasant, farmer
gã 	 noun 	 underdog 	 lad, bloke, underdog
gã 	 noun 	 lad 	 lad, bloke, underdog
gã 	 noun 	 bloke 	 lad, bloke, underdog
urani 	 noun 	 uranium 	 uranium
tân 	 adjective 	 virgin 	 virgin
xen 	 verb 	 edge 	 to edge oneself; to insert; to come between
xen 	 verb 	 insert 	 to edge oneself; to insert; to come between
xen 	 verb 	 come 	 to edge oneself; to insert; to come between
xen 	 verb 	 interfere 	 to interfere; to meddle; to intervene
xen 	 verb 	 meddle 	 to interfere; to meddle; to intervene
xen 	 verb 	 intervene 	 to interfere; to meddle; to intervene
nobeli 	 noun 	 nobelium 	 nobelium
reni 	 noun 	 rhenium 	 rhenium
兒童 	 noun 	 children 	 children
偽君子 	 noun 	 hypocrite 	 hypocrite
xã 	 noun 	 rural 	 Basic rural administrative unit in Vietnam, part of a district  and often composed of hamlets ; a commune
xã 	 noun 	 administrative 	 Basic rural administrative unit in Vietnam, part of a district  and often composed of hamlets ; a commune
xã 	 noun 	 hamlet 	 Basic rural administrative unit in Vietnam, part of a district  and often composed of hamlets ; a commune
xã 	 noun 	 unit 	 Basic rural administrative unit in Vietnam, part of a district  and often composed of hamlets ; a commune
xã 	 noun 	 commune 	 Basic rural administrative unit in Vietnam, part of a district  and often composed of hamlets ; a commune
xã 	 noun 	 district 	 Basic rural administrative unit in Vietnam, part of a district  and often composed of hamlets ; a commune
xã 	 noun 	 Vietnam 	 Basic rural administrative unit in Vietnam, part of a district  and often composed of hamlets ; a commune
xã 	 noun 	 elder 	 A male who resides in a village  and has slightly higher-than-average social status; a village elder
xã 	 noun 	 village 	 A male who resides in a village  and has slightly higher-than-average social status; a village elder
xã 	 noun 	 status 	 A male who resides in a village  and has slightly higher-than-average social status; a village elder
xã 	 noun 	 male 	 A male who resides in a village  and has slightly higher-than-average social status; a village elder
杏仁 	 noun 	 almond 	 almond
phà 	 verb 	 air 	 to blow air out
phà 	 verb 	 blow 	 to blow air out
phà 	 noun 	 ferry 	 ferry
sẽ 	 particle 	 shall 	 will; shall
sẽ 	 particle 	 will 	 will; shall
sẽ 	 particle 	 would 	 will; would
sẽ 	 particle 	 will 	 will; would
sẽ 	 particle 	 w:vi:Trương Quốc Khánh 	 * Tự nguyện, a song written by Trương Quốc Khánh
ché 	 noun 	 jar 	 big-bellied jar
ché 	 noun 	 bellied 	 big-bellied jar
ché 	 noun 	 big 	 big-bellied jar
đỉa 	 noun 	 leech 	 a leech
國際 	 adjective 	 international 	 international
日食 	 noun 	 solar eclipse 	 solar eclipse
dân 	 noun 	 citizen 	 people; citizen
dân 	 noun 	 people 	 people; citizen
dân 	 noun 	 ordinary 	 ordinary people; commoner; the masses
dân 	 noun 	 masses 	 ordinary people; commoner; the masses
dân 	 noun 	 people 	 ordinary people; commoner; the masses
dân 	 noun 	 commoner 	 ordinary people; commoner; the masses
浪人 	 noun 	 ronin 	 ronin
歌詞 	 noun 	 lyrics 	 lyrics
雜誌 	 noun 	 magazine 	 magazine
學習 	 noun 	 study 	 to study, to learn
學習 	 noun 	 learn 	 to study, to learn
學者 	 noun 	 scholar 	 scholar
lưỡi 	 noun 	 tongue 	 a tongue
lưỡi 	 noun 	 blade 	 a blade
lưỡi 	 noun 	 cutting edge 	 a cutting edge
giường 	 noun 	 bed 	 a bed
mũ 	 noun 	 helmet 	 hat; cap; helmet
mũ 	 noun 	 cap 	 hat; cap; helmet
mũ 	 noun 	 hat 	 hat; cap; helmet
mũ 	 noun 	 circumflex 	 circumflex
nón 	 noun 	 Asian conical hat 	 Asian conical hat
nón 	 noun 	 helmet 	 hat; cap; helmet
nón 	 noun 	 cap 	 hat; cap; helmet
nón 	 noun 	 hat 	 hat; cap; helmet
vàng 	 adjective 	 yellow 	 yellow
vàng 	 noun 	 gold 	 gold
cười 	 verb 	 grin 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 expression 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 mouth 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 corner 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 make 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 sneer 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 smirk 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 raise 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 smile 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
cười 	 verb 	 laugh 	 to make an expression whereby the corners of the mouth are raised; to smile, to grin, to laugh, to sneer, to smirk, etc
nó 	 pronoun 	 she 	 he; him; she; her
nó 	 pronoun 	 he 	 he; him; she; her
nó 	 pronoun 	 him 	 he; him; she; her
nó 	 pronoun 	 her 	 he; him; she; her
nó 	 pronoun 	 she 	 he; him; she; her  or a non-human animal)
