δύο 	 numeral 	 two 	 cardinal numbers : two
νομός 	 noun 	 herbage 	 herbage, food
νομός 	 noun 	 food 	 herbage, food
νομός 	 noun 	 distribution 	 division, distribution
νομός 	 noun 	 division 	 division, distribution
νομός 	 noun 	 residence 	 dwelling, residence
νομός 	 noun 	 dwelling 	 dwelling, residence
νομός 	 noun 	 district 	 district, region, province , satrapy
νομός 	 noun 	 region 	 district, region, province , satrapy
νομός 	 noun 	 province 	 district, region, province , satrapy
νομός 	 noun 	 satrapy 	 district, region, province , satrapy
λύγξ 	 noun 	 lynx 	 lynx
λύγξ 	 noun 	 hiccup 	 hiccup
οἶνος 	 noun 	 wine 	 wine
ἱερός 	 adjective 	 supernatural 	 connected with the gods, supernatural
ἱερός 	 adjective 	 sacred 	 holy, sacred, consecrated
ἱερός 	 adjective 	 holy 	 holy, sacred, consecrated
ἱερός 	 adjective 	 consecrated 	 holy, sacred, consecrated
ἱερός 	 adjective 	 divine 	 under divine protection
ἱερός 	 adjective 	 protection 	 under divine protection
ὕω 	 verb 	 rain 	 I rain
ὕω 	 verb 	 drenched 	 I am drenched with rain
ὀρθός 	 adjective 	 upright 	 straight, upright, erect
ὀρθός 	 adjective 	 straight 	 straight, upright, erect
ὀρθός 	 adjective 	 erect 	 straight, upright, erect
ὀρθός 	 adjective 	 forward 	 straight forward, in a straight line
ὀρθός 	 adjective 	 straight 	 straight forward, in a straight line
ὀρθός 	 adjective 	 safe 	 unharmed, safe
ὀρθός 	 adjective 	 unharmed 	 unharmed, safe
ὀρθός 	 adjective 	 prosperous 	 prosperous
ὀρθός 	 adjective 	 attentive 	 attentive, expecting
ὀρθός 	 adjective 	 expecting 	 attentive, expecting
ὀρθός 	 adjective 	 upright 	 right, just, righteous, upright
ὀρθός 	 adjective 	 just 	 right, just, righteous, upright
ὀρθός 	 adjective 	 right 	 right, just, righteous, upright
ὀρθός 	 adjective 	 righteous 	 right, just, righteous, upright
ὀρθός 	 adjective 	 genuine 	 true, correct, genuine, exact
ὀρθός 	 adjective 	 true 	 true, correct, genuine, exact
ὀρθός 	 adjective 	 exact 	 true, correct, genuine, exact
ὀρθός 	 adjective 	 correct 	 true, correct, genuine, exact
ὀρθός 	 adjective 	 decent 	 decent
ὀρθός 	 adjective 	 right angle 	 right angle
ὀρθός 	 adjective 	 nominative 	 nominative
ὄχλος 	 noun 	 mob 	 multitude, crowd, mob
ὄχλος 	 noun 	 crowd 	 multitude, crowd, mob
ὄχλος 	 noun 	 multitude 	 multitude, crowd, mob
ὄχλος 	 noun 	 mass 	 mass, multitude
ὄχλος 	 noun 	 multitude 	 mass, multitude
ὄχλος 	 noun 	 trouble 	 riot, tumult, disturbance, trouble
ὄχλος 	 noun 	 riot 	 riot, tumult, disturbance, trouble
ὄχλος 	 noun 	 tumult 	 riot, tumult, disturbance, trouble
ὄχλος 	 noun 	 disturbance 	 riot, tumult, disturbance, trouble
ὤρα 	 noun 	 care 	 care, concern
ὤρα 	 noun 	 concern 	 care, concern
χείρ 	 noun 	 hand 	 hand
τίγρις 	 noun 	 tiger 	 tiger
ὕαινα 	 noun 	 hyena 	 hyena
ἀλώπηξ 	 noun 	 fox 	 fox
κῆτος 	 noun 	 whale 	 whale, sea monster
κῆτος 	 noun 	 sea monster 	 whale, sea monster
κῆτος 	 noun 	 Cetus 	 the constellation Cetus
κῆτος 	 noun 	 constellation 	 the constellation Cetus
κῆτος 	 noun 	 abyss 	 abyss
ἄω 	 verb 	 blow 	 to blow
ἄω 	 verb 	 sleep 	 to sleep
ἄω 	 verb 	 satiate 	 to satiate
ἰά 	 noun 	 clamor 	 clamor, shout, cry
ἰά 	 noun 	 shout 	 clamor, shout, cry
ἰά 	 noun 	 cry 	 clamor, shout, cry
ἰά 	 noun 	 sound 	 sound, roar
ἰά 	 noun 	 roar 	 sound, roar
θέω 	 verb 	 run 	 I run
θέω 	 verb 	 fly 	 I fly
πέμπτος 	 adjective 	 fifth 	 ordinal numbers fifth
πέμπτος 	 adjective 	 via quintana 	 via quintana, one of the lanes in the Roman camp
ἴς 	 noun 	 power 	 force, power
ἴς 	 noun 	 force 	 force, power
ἴς 	 noun 	 muscle 	 muscle
κρίνω 	 verb 	 divide 	 To separate, divide, part, distinguish between two things or people or among a group of things or people
κρίνω 	 verb 	 separate 	 To separate, divide, part, distinguish between two things or people or among a group of things or people
κρίνω 	 verb 	 distinguish 	 To separate, divide, part, distinguish between two things or people or among a group of things or people
κρίνω 	 verb 	 part 	 To separate, divide, part, distinguish between two things or people or among a group of things or people
κρίνω 	 verb 	 order 	 To order, arrange
κρίνω 	 verb 	 arrange 	 To order, arrange
κρίνω 	 verb 	 inquire 	 To inquire, investigate
κρίνω 	 verb 	 investigate 	 To inquire, investigate
κρίνω 	 verb 	 prefer 	 To select, choose, prefer
κρίνω 	 verb 	 select 	 To select, choose, prefer
κρίνω 	 verb 	 choose 	 To select, choose, prefer
κρίνω 	 verb 	 dispute 	 To decide a dispute or contest, with accusative of the contest or dispute, or accusative of a person involved in the contest or dispute;  to pass judgement, come to a decision
κρίνω 	 verb 	 decision 	 To decide a dispute or contest, with accusative of the contest or dispute, or accusative of a person involved in the contest or dispute;  to pass judgement, come to a decision
κρίνω 	 verb 	 contest 	 To decide a dispute or contest, with accusative of the contest or dispute, or accusative of a person involved in the contest or dispute;  to pass judgement, come to a decision
κρίνω 	 verb 	 pass 	 To decide a dispute or contest, with accusative of the contest or dispute, or accusative of a person involved in the contest or dispute;  to pass judgement, come to a decision
κρίνω 	 verb 	 judgement 	 To decide a dispute or contest, with accusative of the contest or dispute, or accusative of a person involved in the contest or dispute;  to pass judgement, come to a decision
κρίνω 	 verb 	 decide 	 To decide a dispute or contest, with accusative of the contest or dispute, or accusative of a person involved in the contest or dispute;  to pass judgement, come to a decision
κρίνω 	 verb 	 contend 	 To contend, dispute, quarrel
κρίνω 	 verb 	 dispute 	 To contend, dispute, quarrel
κρίνω 	 verb 	 quarrel 	 To contend, dispute, quarrel
κρίνω 	 verb 	 judge 	 To decide or judge means=that something does something, means=that something is something
κρίνω 	 verb 	 decide 	 To decide or judge means=that something does something, means=that something is something
κρίνω 	 verb 	 discern 	 To discern between good and bad
κρίνω 	 verb 	 judge 	 To judge, pronounce
κρίνω 	 verb 	 pronounce 	 To judge, pronounce
κρίνω 	 verb 	 accuse 	 To bring to court, accuse
κρίνω 	 verb 	 criticize 	 To pass sentence on, condemn, criticize
κρίνω 	 verb 	 condemn 	 To pass sentence on, condemn, criticize
μήνη 	 noun 	 moon 	 moon
κωμῳδία 	 noun 	 comedy 	 comedy
κωμῳδία 	 noun 	 play 	 play
ᾠδή 	 noun 	 ode 	 song, ode
ᾠδή 	 noun 	 song 	 song, ode
ᾠδή 	 noun 	 tale 	 legend, tale, story
ᾠδή 	 noun 	 legend 	 legend, tale, story
ᾠδή 	 noun 	 story 	 legend, tale, story
ἰδιοσυγκρασία 	 noun 	 temperament 	 peculiar temperament or habit, idiosyncrasy
ἰδιοσυγκρασία 	 noun 	 habit 	 peculiar temperament or habit, idiosyncrasy
ἰδιοσυγκρασία 	 noun 	 idiosyncrasy 	 peculiar temperament or habit, idiosyncrasy
ἰδιοσυγκρασία 	 noun 	 peculiar 	 peculiar temperament or habit, idiosyncrasy
λιμός 	 noun 	 starvation 	 famine, hunger, starvation
λιμός 	 noun 	 hunger 	 famine, hunger, starvation
λιμός 	 noun 	 famine 	 famine, hunger, starvation
ἄκμων 	 noun 	 meteoric 	 meteoric stone
ἄκμων 	 noun 	 stone 	 meteoric stone
ἄκμων 	 noun 	 anvil 	 anvil
ἄκμων 	 noun 	 pestle 	 pestle
ἄκμων 	 noun 	 battering ram 	 head of a battering ram
ἄκμων 	 noun 	 head 	 head of a battering ram
ἄκμων 	 noun 	 wolf 	 kind of wolf
ἄκμων 	 noun 	 eagle 	 kind of eagle
κῦδος 	 noun 	 renown 	 renown, glory
κῦδος 	 noun 	 glory 	 renown, glory
δρῦς 	 noun 	 timber 	 tree, timber
δρῦς 	 noun 	 tree 	 tree, timber
δρῦς 	 noun 	 oak 	 oak
ᾠόν 	 noun 	 egg 	 egg
ᾠόν 	 noun 	 seed 	 seed
βακτηρία 	 noun 	 rod 	 rod, staff, cane
βακτηρία 	 noun 	 staff 	 rod, staff, cane
βακτηρία 	 noun 	 cane 	 rod, staff, cane
βακτηρία 	 noun 	 w:Septuagint 	 ref=Septuagint, Proverbs 13:24
βακτηρία 	 noun 	 baton 	 baton
φαλός 	 adjective 	 white 	 white
παχύς 	 adjective 	 large 	 thick, large, stout
παχύς 	 adjective 	 stout 	 thick, large, stout
παχύς 	 adjective 	 thick 	 thick, large, stout
παχύς 	 adjective 	 coarse 	 coarse
παχύς 	 adjective 	 clotted 	 curdled, clotted
παχύς 	 adjective 	 curdled 	 curdled, clotted
παχύς 	 adjective 	 fat 	 fat
παχύς 	 adjective 	 great 	 great
παχύς 	 adjective 	 dull 	 thick-witted, dull, stupid
παχύς 	 adjective 	 stupid 	 thick-witted, dull, stupid
ψιλός 	 adjective 	 naked 	 naked, bare
ψιλός 	 adjective 	 bare 	 naked, bare
ψιλός 	 adjective 	 bald 	 bald, smooth
ψιλός 	 adjective 	 smooth 	 bald, smooth
ψιλός 	 adjective 	 unclad 	 unclad, uncovered
ψιλός 	 adjective 	 uncovered 	 unclad, uncovered
ψιλός 	 adjective 	 small 	 small, frail, delicate
ψιλός 	 adjective 	 frail 	 small, frail, delicate
ψιλός 	 adjective 	 delicate 	 small, frail, delicate
ψιλός 	 adjective 	 plain 	 simple, plain
ψιλός 	 adjective 	 simple 	 simple, plain
ψιλός 	 adjective 	 unarmed 	 unarmed
ψιλός 	 adjective 	 music 	 without music
ψιλός 	 adjective 	 singing 	 without singing
ψιλός 	 adjective 	 rough breathing 	 without the rough breathing
ψιλός 	 adjective 	 unaspirated 	 describing the unaspirated voiceless stops, π, τ, κ, as opposed to the aspirated voiceless stops, φ, χ, θ
ψιλός 	 adjective 	 stops 	 describing the unaspirated voiceless stops, π, τ, κ, as opposed to the aspirated voiceless stops, φ, χ, θ
ψιλός 	 adjective 	 voiceless 	 describing the unaspirated voiceless stops, π, τ, κ, as opposed to the aspirated voiceless stops, φ, χ, θ
ψιλός 	 adjective 	 aspirated 	 describing the unaspirated voiceless stops, π, τ, κ, as opposed to the aspirated voiceless stops, φ, χ, θ
κύδος 	 noun 	 taunt 	 taunt
εἰρωνεία 	 noun 	 ignorance 	 hypocrisy, deception, especially a feigned ignorance
εἰρωνεία 	 noun 	 deception 	 hypocrisy, deception, especially a feigned ignorance
εἰρωνεία 	 noun 	 feigned 	 hypocrisy, deception, especially a feigned ignorance
εἰρωνεία 	 noun 	 hypocrisy 	 hypocrisy, deception, especially a feigned ignorance
εἰρωνεία 	 noun 	 appearance 	 An assumed appearance, pretext
εἰρωνεία 	 noun 	 pretext 	 An assumed appearance, pretext
ῥάβδος 	 noun 	 rod 	 rod, wand, stick
ῥάβδος 	 noun 	 stick 	 rod, wand, stick
ῥάβδος 	 noun 	 wand 	 rod, wand, stick
ῥάβδος 	 noun 	 scepter 	 magic wand, scepter
ῥάβδος 	 noun 	 magic wand 	 magic wand, scepter
ῥάβδος 	 noun 	 shaft 	 shaft of a spear
ῥάβδος 	 noun 	 spear 	 shaft of a spear
ῥάβδος 	 noun 	 strip 	 stripe, strip, streak
ῥάβδος 	 noun 	 stripe 	 stripe, strip, streak
ῥάβδος 	 noun 	 streak 	 stripe, strip, streak
ῥάβδος 	 noun 	 verse 	 line, verse
ῥάβδος 	 noun 	 line 	 line, verse
μαντεία 	 noun 	 divination 	 prophecy, divination, oracle
μαντεία 	 noun 	 prophecy 	 prophecy, divination, oracle
μαντεία 	 noun 	 oracle 	 prophecy, divination, oracle
μαντεία 	 noun 	 power 	 The power to prophesy or divine
μαντεία 	 noun 	 divine 	 The power to prophesy or divine
μαντεία 	 noun 	 prophesy 	 The power to prophesy or divine
μένω 	 verb 	 wait 	 I stay, wait
μένω 	 verb 	 stay 	 I stay, wait
μένω 	 verb 	 lodge 	 I lodge
μένω 	 verb 	 idle 	 I tarry; I loiter, am idle
μένω 	 verb 	 loiter 	 I tarry; I loiter, am idle
μένω 	 verb 	 tarry 	 I tarry; I loiter, am idle
μένω 	 verb 	 remain 	 I am lasting; I remain, stand
μένω 	 verb 	 stand 	 I am lasting; I remain, stand
μένω 	 verb 	 lasting 	 I am lasting; I remain, stand
μένω 	 verb 	 remain 	 I remain
μένω 	 verb 	 abide by 	 I abide by
μένω 	 verb 	 remain 	 it remains
μένω 	 verb 	 expect 	 I await, expect
μένω 	 verb 	 await 	 I await, expect
unsupported titles/ancient greek dish 	 noun 	 dish 	 A dish created with the ingredients which make up its name
αἶθος 	 noun 	 fire 	 heat, fire
αἶθος 	 noun 	 heat 	 heat, fire
γε 	 particle 	 only 	 at least, at any rate, only
γε 	 particle 	 at least 	 at least, at any rate, only
γε 	 particle 	 at any rate 	 at least, at any rate, only
γε 	 particle 	 in fact 	 in fact
ἄρα 	 conjunction 	 consequently 	 so, then, therefore, consequently
ἄρα 	 conjunction 	 so 	 so, then, therefore, consequently
ἄρα 	 conjunction 	 then 	 so, then, therefore, consequently
ἄρα 	 conjunction 	 therefore 	 so, then, therefore, consequently
ὕδρος 	 noun 	 serpent 	 water serpent
ὕδρος 	 noun 	 water 	 water serpent
ὕδρος 	 noun 	 fish 	 A smaller water animal, such as a spider, fish, or lizard
ὕδρος 	 noun 	 lizard 	 A smaller water animal, such as a spider, fish, or lizard
ὕδρος 	 noun 	 spider 	 A smaller water animal, such as a spider, fish, or lizard
ὕδρα 	 noun 	 serpent 	 sea serpent
ὕδρα 	 noun 	 sea 	 sea serpent
ὕδρα 	 noun 	 Hydra 	 the constellation Hydra
ὕδρα 	 noun 	 constellation 	 the constellation Hydra
ὅτι 	 conjunction 	 that 	 expressing a fact: that
ὅτι 	 conjunction 	 that 	 after verbs of perception, emotion, saying, or hearing, introducing an indirect statement: that
ὅτι 	 conjunction 	 seeing that 	 introducing a causal clause expressing a reason: because, seeing that
ὅτι 	 conjunction 	 because 	 introducing a causal clause expressing a reason: because, seeing that
μῦς 	 noun 	 mouse 	 mouse
μῦς 	 noun 	 mussel 	 A type of mussel
μῦς 	 noun 	 whale 	 A type of whale
μῦς 	 noun 	 muscle 	 muscle
ἤπειρος 	 noun 	 mainland 	 mainland, land
ἤπειρος 	 noun 	 land 	 mainland, land
ἤπειρος 	 noun 	 Greece 	 The mainland of Greece
ἤπειρος 	 noun 	 continent 	 continent
ἤπειρος 	 noun 	 inland 	 inland areas
ἔκτασις 	 noun 	 stretching 	 A stretching out, extension
ἔκτασις 	 noun 	 extension 	 A stretching out, extension
ἔκτασις 	 noun 	 lengthening 	 lengthening of a syllable
μανία 	 noun 	 enthusiasm 	 madness, frenzy, enthusiasm
μανία 	 noun 	 madness 	 madness, frenzy, enthusiasm
μανία 	 noun 	 frenzy 	 madness, frenzy, enthusiasm
μανία 	 noun 	 mad 	 mad desire, compulsion
μανία 	 noun 	 compulsion 	 mad desire, compulsion
μανία 	 noun 	 desire 	 mad desire, compulsion
ἁρμονία 	 noun 	 joint 	 A fitting together, joint
ἁρμονία 	 noun 	 fitting 	 A fitting together, joint
ἁρμονία 	 noun 	 league 	 union, league
ἁρμονία 	 noun 	 union 	 union, league
ἁρμονία 	 noun 	 decree 	 ordinance, decree
ἁρμονία 	 noun 	 ordinance 	 ordinance, decree
ἁρμονία 	 noun 	 harmony 	 A relation of sounds: harmony
πορνογράφος 	 noun 	 pornographic 	 A pornographic author
πορνογράφος 	 noun 	 author 	 A pornographic author
ἀκτή 	 noun 	 headland 	 headland, cape, promontory
ἀκτή 	 noun 	 promontory 	 headland, cape, promontory
ἀκτή 	 noun 	 cape 	 headland, cape, promontory
ἀκτή 	 noun 	 raised 	 any raised place
ἀκτή 	 noun 	 corn 	 corn
ἰλλυριός 	 noun 	 Illyrian 	 an Illyrian
ἀμαυρός 	 adjective 	 dim 	 barely seen, dim, faint, shadowy
ἀμαυρός 	 adjective 	 faint 	 barely seen, dim, faint, shadowy
ἀμαυρός 	 adjective 	 shadowy 	 barely seen, dim, faint, shadowy
ἀμαυρός 	 adjective 	 dark 	 dark
ἀμαυρός 	 adjective 	 blind 	 sightless, blind
ἀμαυρός 	 adjective 	 sightless 	 sightless, blind
ἀμαυρός 	 adjective 	 uncertain 	 unknown, uncertain, obscure
ἀμαυρός 	 adjective 	 unknown 	 unknown, uncertain, obscure
ἀμαυρός 	 adjective 	 obscure 	 unknown, uncertain, obscure
ἀμαυρός 	 adjective 	 inconspicuous 	 inconspicuous
ἀμαυρός 	 adjective 	 feeble 	 weak, feeble
ἀμαυρός 	 adjective 	 weak 	 weak, feeble
μαυρός 	 adjective 	 dim 	 barely seen, dim, faint, shadowy
μαυρός 	 adjective 	 faint 	 barely seen, dim, faint, shadowy
μαυρός 	 adjective 	 shadowy 	 barely seen, dim, faint, shadowy
μαυρός 	 adjective 	 dark 	 dark
μαυρός 	 adjective 	 blind 	 sightless, blind
μαυρός 	 adjective 	 sightless 	 sightless, blind
μαυρός 	 adjective 	 uncertain 	 unknown, uncertain, obscure
μαυρός 	 adjective 	 unknown 	 unknown, uncertain, obscure
μαυρός 	 adjective 	 obscure 	 unknown, uncertain, obscure
μαυρός 	 adjective 	 inconspicuous 	 inconspicuous
μαυρός 	 adjective 	 feeble 	 weak, feeble
μαυρός 	 adjective 	 weak 	 weak, feeble
ἀμέλγω 	 verb 	 milk 	 I milk
ἀμέλγω 	 verb 	 suck 	 I press out, squeeze out, suck
ἀμέλγω 	 verb 	 sip 	 I drink, sip, imbibe
ἀμέλγω 	 verb 	 imbibe 	 I drink, sip, imbibe
ἀμέλγω 	 verb 	 drink 	 I drink, sip, imbibe
φωτεινός 	 adjective 	 shining 	 shining, bright
φωτεινός 	 adjective 	 bright 	 shining, bright
φωτεινός 	 adjective 	 clear 	 clear, distinct
φωτεινός 	 adjective 	 distinct 	 clear, distinct
κῆρ 	 noun 	 heart 	 heart
κῆρ 	 noun 	 will 	 The seat of the will
κῆρ 	 noun 	 passion 	 The seat of the passions
κρόκος 	 noun 	 Crocus sativus 	 saffron, Crocus sativus
κρόκος 	 noun 	 saffron 	 saffron, Crocus sativus
κρόκος 	 noun 	 yolk 	 yolk
ἀπορία 	 noun 	 difficulty 	 difficulty, impossibility
ἀπορία 	 noun 	 impossibility 	 difficulty, impossibility
ἀπορία 	 noun 	 doubt 	 embarrassment, doubt, uncertainty, anxiety
ἀπορία 	 noun 	 anxiety 	 embarrassment, doubt, uncertainty, anxiety
ἀπορία 	 noun 	 uncertainty 	 embarrassment, doubt, uncertainty, anxiety
ἀπορία 	 noun 	 embarrassment 	 embarrassment, doubt, uncertainty, anxiety
ἀπορία 	 noun 	 poverty 	 need, poverty
ἀπορία 	 noun 	 need 	 need, poverty
ἀπορία 	 noun 	 puzzle 	 puzzle
πόρος 	 noun 	 opening 	 a means of passage, passageway, way, opening
πόρος 	 noun 	 way 	 a means of passage, passageway, way, opening
πόρος 	 noun 	 passage 	 a means of passage, passageway, way, opening
πόρος 	 noun 	 passageway 	 a means of passage, passageway, way, opening
πόρος 	 noun 	 strait 	 especially passage over a body of water: ford, strait, ferry, bridge
πόρος 	 noun 	 bridge 	 especially passage over a body of water: ford, strait, ferry, bridge
πόρος 	 noun 	 ferry 	 especially passage over a body of water: ford, strait, ferry, bridge
πόρος 	 noun 	 ford 	 especially passage over a body of water: ford, strait, ferry, bridge
πόρος 	 noun 	 pore 	 a pore on the skin
πόρος 	 noun 	 means 	 a means to an end
πόρος 	 noun 	 filament 	 fiber, filament, thread
πόρος 	 noun 	 thread 	 fiber, filament, thread
πόρος 	 noun 	 fiber 	 fiber, filament, thread
πόρος 	 noun 	 journey 	 journey
κάραβος 	 noun 	 longhorn beetle 	 a kind of beetle, probably a longhorn beetle
κάραβος 	 noun 	 beetle 	 a kind of beetle, probably a longhorn beetle
κάραβος 	 noun 	 crustacean 	 a kind of crustacean, probably a crayfish
κάραβος 	 noun 	 crayfish 	 a kind of crustacean, probably a crayfish
κάραβος 	 noun 	 boat 	 a small boat
περιστερά 	 noun 	 dove 	 pigeon, dove
περιστερά 	 noun 	 pigeon 	 pigeon, dove
ἀλεκτρυών 	 noun 	 cock 	 a male chicken: cock, rooster
ἀλεκτρυών 	 noun 	 chicken 	 a male chicken: cock, rooster
ἀλεκτρυών 	 noun 	 rooster 	 a male chicken: cock, rooster
ἀλεκτρυών 	 noun 	 hen 	 a female chicken: hen
ἀλεκτρυών 	 noun 	 guinea fowl 	 guinea fowl
οὗτος 	 determiner 	 this 	 this
οὗτος 	 determiner 	 here 	 here
εἶμι 	 verb 	 go 	 I shall come, go
εἶμι 	 verb 	 come 	 I shall come, go
ὀρφανός 	 adjective 	 orphan 	 left orphan, without parents
ὀρφανός 	 adjective 	 parents 	 left orphan, without parents
ὀρφανός 	 adjective 	 childless 	 childless
ὀρφανός 	 adjective 	 bereft 	 destitute, bereft
ὀρφανός 	 adjective 	 destitute 	 destitute, bereft
μονή 	 noun 	 stay 	 stay
μονή 	 noun 	 abode 	 dwelling, abode
μονή 	 noun 	 dwelling 	 dwelling, abode
ἄργυρος 	 noun 	 silver 	 silver
ἄργυρος 	 noun 	 money 	 money
εἴκοσι 	 numeral 	 twenty 	 cardinal numbers twenty
αὐλή 	 noun 	 courtyard 	 open court, courtyard
αὐλή 	 noun 	 quadrangle 	 quadrangle
αὐλή 	 noun 	 chamber 	 hall, chamber
αὐλή 	 noun 	 hall 	 hall, chamber
αὐλή 	 noun 	 house 	 dwelling, house
αὐλή 	 noun 	 dwelling 	 dwelling, house
ἁγιασμός 	 noun 	 holiness 	 consecration, sanctification, holiness
ἁγιασμός 	 noun 	 consecration 	 consecration, sanctification, holiness
ἁγιασμός 	 noun 	 sanctification 	 consecration, sanctification, holiness
δολιχός 	 adjective 	 long 	 long
δολιχός 	 adjective 	 wearisome 	 protracted, wearisome
δολιχός 	 adjective 	 protracted 	 protracted, wearisome
ἀετός 	 noun 	 eagle 	 eagle
ἀετός 	 noun 	 Aquila 	 the constellation Aquila
ἀετός 	 noun 	 constellation 	 the constellation Aquila
ἀετός 	 noun 	 omen 	 omen
ἀετός 	 noun 	 gable 	 gable
τεῖχος 	 noun 	 mound 	 mound, earth works
τεῖχος 	 noun 	 wall 	 wall
τεῖχος 	 noun 	 fortified 	 fortified city
τεῖχος 	 noun 	 fortification 	 fortification, castle
τεῖχος 	 noun 	 castle 	 fortification, castle
ἐλευθερία 	 noun 	 liberty 	 freedom, liberty
ἐλευθερία 	 noun 	 freedom 	 freedom, liberty
ἐλευθερία 	 noun 	 manumission 	 manumission
ἐλευθερία 	 noun 	 license 	 license
ἐλεύθερος 	 adjective 	 free 	 free
ἐλεύθερος 	 adjective 	 freedom 	 freedom
ἐλεύθερος 	 adjective 	 freeman 	 fit for a freeman
βατταλογέω 	 verb 	 stammer 	 I stammer
βατταλογέω 	 verb 	 idly 	 I speak idly
βατταλογέω 	 verb 	 speak 	 I speak idly
βατταλογέω 	 verb 	 wikisource:el:Κατά Ματθαίονστ' 	 * Matthew 6:7
χθών 	 noun 	 soil 	 ground, soil, surface of the earth
χθών 	 noun 	 ground 	 ground, soil, surface of the earth
χθών 	 noun 	 earth 	 ground, soil, surface of the earth
χθών 	 noun 	 earth 	 earth, world
χθών 	 noun 	 world 	 earth, world
χθών 	 noun 	 land 	 land, country
χθών 	 noun 	 country 	 land, country
ὀσμή 	 noun 	 scent 	 smell, scent, odour
ὀσμή 	 noun 	 odour 	 smell, scent, odour
ὀσμή 	 noun 	 smell 	 smell, scent, odour
ὀσμή 	 noun 	 stench 	 stench, stink
ὀσμή 	 noun 	 stink 	 stench, stink
ὀσμή 	 noun 	 sense 	 the sense of smell
ὀσμή 	 noun 	 smell 	 the sense of smell
θυμός 	 noun 	 soul 	 soul, as the seat of emotion, feeling, and thought
θυμός 	 noun 	 life 	 soul, life, breath
θυμός 	 noun 	 soul 	 soul, life, breath
θυμός 	 noun 	 breath 	 soul, life, breath
θυμός 	 noun 	 heart 	 soul, heart
θυμός 	 noun 	 soul 	 soul, heart
θυμός 	 noun 	 will 	 desire, will
θυμός 	 noun 	 desire 	 desire, will
θυμός 	 noun 	 disposition 	 temper, passion, disposition
θυμός 	 noun 	 temper 	 temper, passion, disposition
θυμός 	 noun 	 passion 	 temper, passion, disposition
θυμός 	 noun 	 anger 	 anger, rage, wrath
θυμός 	 noun 	 rage 	 anger, rage, wrath
θυμός 	 noun 	 wrath 	 anger, rage, wrath
θυμός 	 noun 	 heart 	 heart, love
θυμός 	 noun 	 love 	 heart, love
θυμός 	 noun 	 thought 	 thought, mind
θυμός 	 noun 	 mind 	 thought, mind
ἴσος 	 adjective 	 equal 	 equal , equivalent , the same as means=something, someone
ἴσος 	 adjective 	 equivalent 	 equal , equivalent , the same as means=something, someone
ἴσος 	 adjective 	 like 	 like means=something, someone
ἴσος 	 adjective 	 similar 	 like, similar
ἴσος 	 adjective 	 like 	 like, similar
ἴσος 	 adjective 	 tit for tat 	 tit for tat
ἴσος 	 adjective 	 equal 	 equal to means=a number;  equal
ἴσος 	 adjective 	 congruent 	 of equal length;  congruent; of equal area
ἴσος 	 adjective 	 area 	 of equal length;  congruent; of equal area
ἴσος 	 adjective 	 length 	 of equal length;  congruent; of equal area
ἴσος 	 adjective 	 just 	 just, fair
ἴσος 	 adjective 	 fair 	 just, fair
ἴσος 	 adjective 	 right 	 equal in rights, based on equality of rights
ἴσος 	 adjective 	 impartial 	 impartial
ἴσος 	 adjective 	 equal rights 	 |τὰ ἴσα as substantive: equal rights, equality
ἴσος 	 adjective 	 equality 	 |τὰ ἴσα as substantive: equal rights, equality
ἴσος 	 adjective 	 adequate 	 adequate
ἴσος 	 adjective 	 flat 	 even, level, flat
ἴσος 	 adjective 	 level 	 even, level, flat
ἴσος 	 adjective 	 even 	 even, level, flat
ἴσος 	 adjective 	 ground 	 | ἴσον as substantive: level ground
ἴσος 	 adjective 	 equally 	 |ὡς ἰσαίτατα: as equally as possible
ἴσος 	 adjective 	 ἰσαίτατα 	 |ὡς ἰσαίτατα: as equally as possible
ἴσος 	 adjective 	 ὡς 	 |ὡς ἰσαίτατα: as equally as possible
ἴσος 	 adjective 	 possible 	 |ὡς ἰσαίτατα: as equally as possible
χεῖλος 	 noun 	 lip 	 lip
χεῖλος 	 noun 	 beak 	 mouth of any animal: snout, beak
χεῖλος 	 noun 	 snout 	 mouth of any animal: snout, beak
χεῖλος 	 noun 	 edge 	 edge, brink, brim, rim
χεῖλος 	 noun 	 rim 	 edge, brink, brim, rim
χεῖλος 	 noun 	 brim 	 edge, brink, brim, rim
χεῖλος 	 noun 	 brink 	 edge, brink, brim, rim
χεῖλος 	 noun 	 shore 	 shore, or a river or sea
χεῖλος 	 noun 	 river 	 shore, or a river or sea
χεῖλος 	 noun 	 sea 	 shore, or a river or sea
οἶς 	 noun 	 sheep 	 sheep
προσῳδία 	 noun 	 accompaniment 	 a song with an accompaniment
προσῳδία 	 noun 	 song 	 a song with an accompaniment
προσῳδία 	 noun 	 pitch 	 the tone or pitch of a word
προσῳδία 	 noun 	 tone 	 the tone or pitch of a word
προσῳδία 	 noun 	 diacritic 	 diacritic mark
μένος 	 noun 	 mind 	 mind
μένος 	 noun 	 ardor 	 desire, ardor, wish, purpose
μένος 	 noun 	 wish 	 desire, ardor, wish, purpose
μένος 	 noun 	 purpose 	 desire, ardor, wish, purpose
μένος 	 noun 	 desire 	 desire, ardor, wish, purpose
μένος 	 noun 	 anger 	 anger
μένος 	 noun 	 vigor 	 courage, spirit, vigor
μένος 	 noun 	 courage 	 courage, spirit, vigor
μένος 	 noun 	 spirit 	 courage, spirit, vigor
