gratis 	 adverb 	 free 	 free, without charge
ost 	 adverb 	 east 	 east
ost 	 noun 	 east 	 east
katt 	 noun 	 cat 	 cat
vann 	 noun 	 body of water 	 water; body of water
vann 	 noun 	 water 	 water; body of water
rede 	 noun 	 nest 	 A bird's nest
bibel 	 noun 	 Bible 	 a Bible, a bible
bibel 	 noun 	 bible 	 a Bible, a bible
basilika 	 noun 	 basil 	 basil
basilika 	 noun 	 basil 	 basil
basilika 	 noun 	 basilica 	 basilica
aula 	 noun 	 auditorium 	 an auditorium
lat 	 adjective 	 lazy 	 lazy
lat 	 noun 	 custom 	 A habit, custom
lat 	 noun 	 habit 	 A habit, custom
orkan 	 noun 	 hurricane 	 a hurricane
nationalist 	 noun 	 English 	 nationalist
stil 	 noun 	 style 	 a style
känna 	 verb 	 feel 	 to feel, to sense
känna 	 verb 	 sense 	 to feel, to sense
känna 	 verb 	 know 	 to know
fä 	 noun 	 cattle 	 creature, cattle
fä 	 noun 	 creature 	 creature, cattle
fä 	 noun 	 mindless 	 A mindlessly behaving animal
nöt 	 noun 	 seed 	 nut, a hard-shelled seed
nöt 	 noun 	 nut 	 nut, a hard-shelled seed
nöt 	 noun 	 problem 	 a difficult problem
nöt 	 noun 	 cattle 	 cattle, especially in compounds such as nötkreatur, "cattle animal", or nötkött, "beef&quot
nöt 	 noun 	 nötkreatur 	 cattle, especially in compounds such as nötkreatur, "cattle animal", or nötkött, "beef&quot
nöt 	 noun 	 nötkött 	 cattle, especially in compounds such as nötkreatur, "cattle animal", or nötkött, "beef&quot
nöt 	 noun 	 bull 	 bull
nöt 	 noun 	 stupid 	 a stupid or slow person
nöt 	 noun 	 slow 	 a stupid or slow person
väl 	 adverb 	 well 	 well; accurately, completely, to a significant degree
väl 	 noun 	 fortune 	 well-being, weal, health, welfare, wellness, luck, fortune
väl 	 noun 	 well-being 	 well-being, weal, health, welfare, wellness, luck, fortune
väl 	 noun 	 luck 	 well-being, weal, health, welfare, wellness, luck, fortune
väl 	 noun 	 health 	 well-being, weal, health, welfare, wellness, luck, fortune
väl 	 noun 	 wellness 	 well-being, weal, health, welfare, wellness, luck, fortune
väl 	 noun 	 weal 	 well-being, weal, health, welfare, wellness, luck, fortune
väl 	 noun 	 welfare 	 well-being, weal, health, welfare, wellness, luck, fortune
bäck 	 noun 	 stream 	 a small stream or brook
bäck 	 noun 	 brook 	 a small stream or brook
daglig 	 adjective 	 daily 	 daily
homogen 	 adjective 	 homogeneous 	 homogeneous
malm 	 noun 	 ore 	 ore
malm 	 noun 	 zinc 	 an alloy consisting of copper, zinc, lead and some tin
malm 	 noun 	 tin 	 an alloy consisting of copper, zinc, lead and some tin
malm 	 noun 	 lead 	 an alloy consisting of copper, zinc, lead and some tin
malm 	 noun 	 copper 	 an alloy consisting of copper, zinc, lead and some tin
malm 	 noun 	 period 	 the geological period of late Jurassic
malm 	 noun 	 geological 	 the geological period of late Jurassic
malm 	 noun 	 Jurassic 	 the geological period of late Jurassic
malm 	 noun 	 late 	 the geological period of late Jurassic
manad 	 adjective 	 urged 	 urged, encouraged
manad 	 adjective 	 encouraged 	 urged, encouraged
astronom 	 noun 	 astronomer 	 an astronomer
minne 	 noun 	 store 	 memory; component used in computers etc. store information
minne 	 noun 	 information 	 memory; component used in computers etc. store information
minne 	 noun 	 memory 	 memory; component used in computers etc. store information
minne 	 noun 	 remembering 	 the ability of an organism of remembering things, by storing them in the brain
minne 	 noun 	 brain 	 the ability of an organism of remembering things, by storing them in the brain
minne 	 noun 	 record 	 a record of a specific thing remembered
minne 	 noun 	 souvenir 	 remembrance; souvenir
minne 	 noun 	 remembrance 	 remembrance; souvenir
minne 	 noun 	 memorabilia 	 memorabilia
minne 	 noun 	 memoir 	 memoir
minne 	 noun 	 carry 	 carry
makt 	 noun 	 influence 	 power, influence
makt 	 noun 	 power 	 power, influence
kisa 	 verb 	 squint 	 to squint
låg 	 adjective 	 low 	 low; having a small height
låg 	 adjective 	 height 	 low; having a small height
låg 	 adjective 	 dirty trick 	 of low moral or ethics; such as a dirty trick
låg 	 adjective 	 ethics 	 of low moral or ethics; such as a dirty trick
låg 	 adjective 	 moral 	 of low moral or ethics; such as a dirty trick
låga 	 noun 	 flame 	 a flame , a blaze, a flare
låga 	 noun 	 flare 	 a flame , a blaze, a flare
låga 	 noun 	 blaze 	 a flame , a blaze, a flare
låga 	 noun 	 tree 	 a fallen tree lying on the ground
såga 	 verb 	 saw 	 to saw, to cut something with a saw
såga 	 verb 	 criticize 	 to criticize harshly
såg 	 noun 	 saw 	 saw; a tool with a toothed blade used for cutting hard substances, in particular wood or metal Saws
såg 	 noun 	 metal 	 saw; a tool with a toothed blade used for cutting hard substances, in particular wood or metal Saws
såg 	 noun 	 wood 	 saw; a tool with a toothed blade used for cutting hard substances, in particular wood or metal Saws
såg 	 noun 	 toothed 	 saw; a tool with a toothed blade used for cutting hard substances, in particular wood or metal Saws
såg 	 noun 	 sawmill 	 sawmill
hörn 	 noun 	 corner 	 a corner; the point where two converging lines meet; an angle, either external or internal
hörn 	 noun 	 vertex 	 a vertex
häst 	 noun 	 Equus caballus 	 a horse; a large mammal, Equus caballus
häst 	 noun 	 horse 	 a horse; a large mammal, Equus caballus
häst 	 noun 	 mammal 	 a horse; a large mammal, Equus caballus
häst 	 noun 	 knight 	 knight
måne 	 noun 	 moon 	 a moon
malayalam 	 noun 	 Malayalam 	 Malayalam
saldo 	 noun 	 balance 	 balance
fig. 	 noun 	 figure 	 figure
extremist 	 noun 	 English 	 an extremist
extremism 	 noun 	 English 	 extremism
liga 	 noun 	 league 	 a league, a gang
liga 	 noun 	 gang 	 a league, a gang
gira 	 verb 	 yaw 	 to yaw, turn
gira 	 verb 	 turn 	 to yaw, turn
gira 	 verb 	 swerve 	 swerve, an unplanned quick deviation to avoid impact
utrum 	 noun 	 common gender 	 common gender
utrum 	 noun 	 common 	 A word of common gender
hof 	 noun 	 court 	 royal court; hov
hof 	 noun 	 royal 	 royal court; hov
hof 	 noun 	 hoof 	 hoof; hov
pipa 	 noun 	 pipe 	 a pipe, a smoking tool
pipa 	 noun 	 barrel 	 the barrel of a gun
pipa 	 noun 	 organ pipe 	 an organ pipe
pipa 	 noun 	 flute 	 a small wind instrument; flute
pipa 	 noun 	 bone 	 the hollow tube of a bone
pipa 	 noun 	 voice 	 singing voice
pipa 	 noun 	 singing 	 singing voice
pipa 	 verb 	 beep 	 to yield a high sound or tone; squeak, beep
pipa 	 verb 	 squeak 	 to yield a high sound or tone; squeak, beep
pipa 	 verb 	 pip 	 pip
pipa 	 verb 	 pipare 	 pipare
pipa 	 verb 	 pipljud 	 pipljud
ukrainsk 	 adjective 	 Ukraine 	 Ukrainian; of or pertaining to Ukraine
ukrainsk 	 adjective 	 Ukrainian 	 Ukrainian; of or pertaining to Ukraine
lyft 	 adjective 	 lifted 	 lifted
lyft 	 noun 	 lift 	 a lift
lyft 	 noun 	 lifting 	 a lifting
turista 	 verb 	 tourist 	 to travel as a tourist
ve 	 interjection 	 woe 	 woe, pity you!
ve 	 noun 	 woe 	 woe, misery
ve 	 noun 	 misery 	 woe, misery
vide 	 noun 	 willow 	 willow
regla 	 verb 	 latch 	 to bolt, lock, to close with a latch
regla 	 verb 	 bolt 	 to bolt, lock, to close with a latch
regla 	 verb 	 lock 	 to bolt, lock, to close with a latch
tills 	 conjunction 	 until 	 until
tills 	 conjunction 	 w:Zacharias Topelius 	 *year=1875|author=Zacharias Topelius|chapter=Finska ödemarker|title=Boken om vårt land|text=Man går ditåt, man tycker sig vara helt nära och ser dock intet annat än den ljungbevuxna sandmon och stam vid stam av de furor, den bär, tills på ett käppkasts avstånd den motsatta stranden börjar röja topparna av sina björkar.|t=One goes there, one feels very close and yet see nothing but the heather-covered heath and trunk after trunk of the pines it carries, until at a distance the opposite beach begins to shed the crowns of its birches
tills 	 conjunction 	 w:Karl Fredrik Forsman 	 *year=1893|author=Karl Fredrik Forsman |title=Såpbubblor |text=Brister hastigt en för vindens pust
ej 	 adverb 	 not 	 not
bomba 	 verb 	 bomb 	 to bomb
examen 	 noun 	 exam 	 exam
examen 	 noun 	 graduation 	 graduation
examen 	 noun 	 degree 	 degree
basar 	 noun 	 bazaarEnglish 	 bazaar marketplace
örn 	 noun 	 eagle 	 eagle
örn 	 noun 	 eagle 	 eagle
dec 	 noun 	 December 	 December; december
passus 	 noun 	 oral 	 A short section  of a written or oral presentation; a "passage" ; an "item&quot
passus 	 noun 	 presentation 	 A short section  of a written or oral presentation; a "passage" ; an "item&quot
passus 	 noun 	 section 	 A short section  of a written or oral presentation; a "passage" ; an "item&quot
passus 	 noun 	 item 	 A short section  of a written or oral presentation; a "passage" ; an "item&quot
passus 	 noun 	 written 	 A short section  of a written or oral presentation; a "passage" ; an "item&quot
passus 	 noun 	 passage 	 A short section  of a written or oral presentation; a "passage" ; an "item&quot
passus 	 noun 	 presentation 	 A short elaboration on an item of a presentation not belonging to the main subject
passus 	 noun 	 item 	 A short elaboration on an item of a presentation not belonging to the main subject
passus 	 noun 	 elaboration 	 A short elaboration on an item of a presentation not belonging to the main subject
passus 	 noun 	 belonging 	 A short elaboration on an item of a presentation not belonging to the main subject
passus 	 noun 	 main 	 A short elaboration on an item of a presentation not belonging to the main subject
passus 	 noun 	 subject 	 A short elaboration on an item of a presentation not belonging to the main subject
dragen 	 adjective 	 intoxicated 	 noticeably intoxicated
nn 	 noun 	 anonymous 	 an anonymous person, from Latin nomen nescio
vada 	 verb 	 wade 	 to wade; to walk through  water
vada 	 verb 	 vadarfågel 	 vadarfågel
inferno 	 noun 	 English 	 an inferno; an extremely dangerous, chaotic and generally overwhelming situation
vek 	 adjective 	 weak 	 weak
fink 	 noun 	 finchEnglish 	 a finch
chanson 	 noun 	 hymn 	 chanson, hymn
balle 	 noun 	 penis 	 penis; shlong
balle 	 noun 	 shlong 	 penis; shlong
balle 	 noun 	 testicle 	 testicle
balle 	 noun 	 buttock 	 buttock
balle 	 noun 	 balcony 	 balcony
garn 	 noun 	 yarn 	 yarn; a twisted strand of fiber used for e.g. knitting
garn 	 noun 	 knitting 	 yarn; a twisted strand of fiber used for e.g. knitting
ger 	 verb 	 giver 	 ge, contracted from the archaic giver
procent 	 noun 	 percent 	 percent
stå 	 verb 	 stand 	 stand; be in an upright position
stå 	 verb 	 upright 	 stand; be in an upright position
stå 	 verb 	 w:Selma Lagerlöf 	 * 1904, Selma Lagerlöf
stå 	 verb 	 w:Agnes von Krusenstjerna 	 * 1930, Agnes von Krusenstjerna
stå 	 verb 	 standstill 	 be at a standstill, not be running
stå 	 verb 	 run 	 be at a standstill, not be running
stå 	 verb 	 held 	 be held, take place, happen
stå 	 verb 	 happen 	 be held, take place, happen
stå 	 verb 	 take place 	 be held, take place, happen
stå 	 verb 	 w:Selma Lagerlöf 	 * 1906, Selma Lagerlöf
stå 	 verb 	 written 	 be written down
stå 	 verb 	 w:August Strindberg 	 * 1912, August Strindberg
spela 	 verb 	 instrument 	 to play; a game, a tune, a melody, an instrument or a role
spela 	 verb 	 role 	 to play; a game, a tune, a melody, an instrument or a role
spela 	 verb 	 melody 	 to play; a game, a tune, a melody, an instrument or a role
spela 	 verb 	 play 	 to play; a game, a tune, a melody, an instrument or a role
spela 	 verb 	 tune 	 to play; a game, a tune, a melody, an instrument or a role
spela 	 verb 	 game 	 to play; a game, a tune, a melody, an instrument or a role
spela 	 verb 	 gamble 	 to gamble
spela 	 verb 	 wind 	 to wind
oss 	 pronoun 	 us 	 us
oss 	 pronoun 	 ourselves 	 reflexive case of vi; compare ourselves
mindre 	 adjective 	 smaller 	 smaller; liten
mindre 	 adjective 	 less 	 less
mindre 	 adverb 	 lite 	 Comparative of lite
pengar 	 noun 	 money 	 money
vår 	 pronoun 	 us 	 our; belonging to us
vår 	 pronoun 	 our 	 our; belonging to us
vår 	 noun 	 spring 	 spring; the season between winter and summer
vår 	 noun 	 season 	 spring; the season between winter and summer
bli 	 verb 	 stay 	 to remain, to stay
bli 	 verb 	 remain 	 to remain, to stay
bli 	 verb 	 become 	 to become; to turn into
bli 	 verb 	 turn into 	 to become; to turn into
nästan 	 adverb 	 almost 	 almost
exempel 	 noun 	 example 	 an example
före 	 noun 	 sleigh 	 ground surface conditions for skiing and sleigh transport, depending on temperature and crystal structure of the snow or ice
före 	 noun 	 skiing 	 ground surface conditions for skiing and sleigh transport, depending on temperature and crystal structure of the snow or ice
t.ex. 	 adverb 	 e.g. 	 for example, e.g.; till exempel
t.ex. 	 adverb 	 for example 	 for example, e.g.; till exempel
börja 	 verb 	 start 	 to begin; to start
börja 	 verb 	 begin 	 to begin; to start
ingen 	 determiner 	 no 	 no
ingen 	 pronoun 	 none 	 no one, nobody, none
ingen 	 pronoun 	 no one 	 no one, nobody, none
ingen 	 pronoun 	 nobody 	 no one, nobody, none
t. ex. 	 adverb 	 t.ex. 	 t.ex
tyst 	 adjective 	 sound 	 quiet; with little or no sound
tyst 	 adjective 	 quiet 	 quiet; with little or no sound
tyst 	 adjective 	 quiet 	 quiet; having the attribute of not talking much
tyst 	 adjective 	 talk 	 quiet; having the attribute of not talking much
tyst 	 adverb 	 sound 	 quietly; causing little or no sound
tyst 	 adverb 	 quietly 	 quietly; causing little or no sound
ozon 	 noun 	 ozone 	 ozone
kaffekopp 	 noun 	 coffee cup 	 coffee cup; a cup for drinking coffee from
kaffekopp 	 noun 	 deciliters 	 coffee cup; a measure of about 1.5 dl. As a kitchen measure somewhat less than an English cup
serin 	 noun 	 serine 	 serine
koppar 	 noun 	 copper 	 copper; a reddish-brown metal
algerier 	 noun 	 Algerian 	 Algerian; person from Algeria
algerier 	 noun 	 Algeria 	 Algerian; person from Algeria
andorran 	 noun 	 Andorran 	 Andorran; person, chiefly male, from Andorra
andorran 	 noun 	 Andorra 	 Andorran; person, chiefly male, from Andorra
angolan 	 noun 	 Angolia 	 Angolan; person, chiefly male, from Angolia
angolan 	 noun 	 Angolan 	 Angolan; person, chiefly male, from Angolia
antiguan 	 noun 	 Antigua 	 Antiguan; person, chiefly male, from Antigua
antiguan 	 noun 	 Antiguan 	 Antiguan; person, chiefly male, from Antigua
bulgar 	 noun 	 Bulgarian 	 a Bulgarian, a person from Bulgaria, chiefly male
bulgar 	 noun 	 Bulgaria 	 a Bulgarian, a person from Bulgaria, chiefly male
colombian 	 noun 	 Colombian 	 Colombian; a person from Colombia
colombian 	 noun 	 colombianska 	 colombianska
costarican 	 noun 	 Costa Rican 	 Costa Rican; a person from Costa Rica
etiopier 	 noun 	 Ethiopian 	 Ethiopian; person from Ethiopia
georgier 	 noun 	 Georgian 	 a Georgian
haitier 	 noun 	 Haitian 	 a Haitian
jamaican 	 noun 	 Jamaican 	 a Jamaican
kroat 	 noun 	 Croatian 	 Croatian; person from Croatia
litauer 	 noun 	 Lithuania 	 a Lithuanian, a person from Lithuania
litauer 	 noun 	 Lithuanian 	 a Lithuanian, a person from Lithuania
korean 	 noun 	 Korean 	 a Korean
korean 	 noun 	 sydkorean 	 sydkorean
korean 	 noun 	 nordkorean 	 nordkorean
nordkorean 	 noun 	 North Korean 	 North Korean
immigrant 	 noun 	 English 	 an immigrant
peruan 	 noun 	 Peruvian 	 a Peruvian
makedonier 	 noun 	 Republic of Macedonia 	 a Macedonian person from the Republic of Macedonia
somalier 	 noun 	 Somali 	 a Somali
tanzanier 	 noun 	 Tanzanian 	 a Tanzanian, a person from Tanzania
tanzanier 	 noun 	 Tanzania 	 a Tanzanian, a person from Tanzania
tips 	 noun 	 tip 	 a tip, as a small amount of information
tips 	 noun 	 football pools 	 football pools, betting
tips 	 noun 	 betting 	 football pools, betting
afghansk 	 adjective 	 Afghan 	 Afghan of or pertaining to Afghanistan or Afghan people
afghansk 	 adjective 	 Afghanistan 	 Afghan of or pertaining to Afghanistan or Afghan people
albansk 	 adjective 	 Albania 	 Albanian; of or pertaining to Albania
albansk 	 adjective 	 Albanian 	 Albanian; of or pertaining to Albania
algerisk 	 adjective 	 Algerian 	 Algerian; of or pertaining to Algeria
algerisk 	 adjective 	 Algeria 	 Algerian; of or pertaining to Algeria
andorransk 	 adjective 	 Andorra 	 Andorran of or pertaining to Andorra or Andorran people
angolansk 	 adjective 	 Angola 	 Angolan of or pertaining to Angola or Angolan people
antiguansk 	 adjective 	 Antigua 	 Antiguan of or pertaining to Antigua or Antiguan people
argentinsk 	 adjective 	 Argentina 	 Argentine of or pertaining to Argentina or Argentine people
admonition 	 noun 	 warning 	 an admonition, a warning
admonition 	 noun 	 English 	 an admonition, a warning
skog 	 noun 	 forest 	 forest, wood
skog 	 noun 	 wood 	 forest, wood
forn 	 adjective 	 old 	 ancient, very old
forn 	 adjective 	 ancient 	 ancient, very old
vilja 	 noun 	 intent 	 will; a person’s intent, volition, decision
vilja 	 noun 	 will 	 will; a person’s intent, volition, decision
vilja 	 verb 	 desire 	 to want, desire
vilja 	 verb 	 want 	 to want, desire
vilja 	 verb 	 be going to 	 to intend, be going to, will
vilja 	 verb 	 intend 	 to intend, be going to, will
vilja 	 verb 	 will 	 to intend, be going to, will
paleontolog 	 noun 	 paleontologist 	 a paleontologist
hud 	 noun 	 skin 	 skin
advokat 	 noun 	 advocate 	 a lawyer, an advocate, an attorney
advokat 	 noun 	 lawyer 	 a lawyer, an advocate, an attorney
advokat 	 noun 	 attorney 	 a lawyer, an advocate, an attorney
doktor 	 noun 	 doctor 	 doctor; physician
doktor 	 noun 	 physician 	 doctor; physician
doktor 	 noun 	 Th.D. 	 doctor; person who has achieved a graduate degree such as a Ph.D. or a Th.D
doktor 	 noun 	 graduate 	 doctor; person who has achieved a graduate degree such as a Ph.D. or a Th.D
doktor 	 noun 	 doctor 	 doctor; person who has achieved a graduate degree such as a Ph.D. or a Th.D
doktor 	 noun 	 Ph.D. 	 doctor; person who has achieved a graduate degree such as a Ph.D. or a Th.D
bror 	 noun 	 brother 	 a brother, a contracted form of broder
kista 	 noun 	 chest 	 box, chest
kista 	 noun 	 box 	 box, chest
kista 	 noun 	 casket 	 casket, coffin
kista 	 noun 	 coffin 	 casket, coffin
kista 	 noun 	 stomach 	 stomach
bak 	 adverb 	 back 	 behind, at the back
bak 	 adverb 	 behind 	 behind, at the back
bak 	 noun 	 backside 	 backside, bottom c
bak 	 noun 	 bottom 	 backside, bottom c
bak 	 noun 	 baking 	 baking n
vill 	 adjective 	 lost 	 lost
lind 	 noun 	 linden 	 linden tree
lund 	 noun 	 grove 	 a grove
bytta 	 noun 	 bowl 	 a bucket, a bowl
bytta 	 noun 	 bucket 	 a bucket, a bowl
hel 	 adjective 	 complete 	 whole; complete
hel 	 adjective 	 whole 	 whole; complete
hel 	 adjective 	 broken 	 not broken; in order
hel 	 adjective 	 luck 	 luck; happiness
hel 	 adjective 	 happiness 	 luck; happiness
skinn 	 noun 	 skin 	 skin
skinn 	 noun 	 fur 	 hide, fur
skinn 	 noun 	 hide 	 hide, fur
skinn 	 noun 	 leather 	 leather
hetta 	 noun 	 heat 	 heat
hetta 	 verb 	 heat 	 to heat
spanska 	 noun 	 Spanish 	 Spanish language
spanska 	 noun 	 Spaniard 	 a female Spanish or Spaniard, a woman from Spain
spanska 	 noun 	 Spanish 	 a female Spanish or Spaniard, a woman from Spain
spanska 	 noun 	 woman 	 a female Spanish or Spaniard, a woman from Spain
spanska 	 noun 	 female 	 a female Spanish or Spaniard, a woman from Spain
spanska 	 noun 	 Spain 	 a female Spanish or Spaniard, a woman from Spain
skuld 	 noun 	 debt 	 debt
skuld 	 noun 	 guilt 	 guilt
orka 	 verb 	 strength 	 to have strength, will or stamina enough
orka 	 verb 	 will 	 to have strength, will or stamina enough
svala 	 noun 	 swallow 	 swallow
korn 	 noun 	 grain 	 a seed of grain
korn 	 noun 	 seed 	 a seed of grain
korn 	 noun 	 genus 	 barley; the genus Hordeum
korn 	 noun 	 barley 	 barley; the genus Hordeum
korn 	 noun 	 gun 	 bead; front sight of a gun
korn 	 noun 	 bead 	 bead; front sight of a gun
korn 	 noun 	 sight 	 bead; front sight of a gun
sekt 	 noun 	 sect 	 sect
björk 	 noun 	 birch 	 birch tree
vagga 	 noun 	 cradle 	 a cradle; a bed for a baby that can be oscillating or swinging back and forth
vagga 	 verb 	 cradle 	 to cradle, to rock
vagga 	 verb 	 rock 	 to cradle, to rock
vagga 	 verb 	 rock 	 to rock, to move gently back and forth
barna 	 noun 	 w:Rabén &amp; Sjögren 	 * author=Roald Dahl|translator=Viveka Tunek|title=Kalle och chokladfabriken|trans-title=Charlie and the Chocolate Factory|edition=6th|publisher=Rabén &amp; Sjögren|page=170|isbn=978-91-29-67393-7|text=Men har du någon gång börjat fundera / och låtit det inom dig klarna / vad som sker med barna?|t=But have you ever wondered / and realized by yourself / what happens to the children?
barna 	 noun 	 w:Roald Dahl 	 * author=Roald Dahl|translator=Viveka Tunek|title=Kalle och chokladfabriken|trans-title=Charlie and the Chocolate Factory|edition=6th|publisher=Rabén &amp; Sjögren|page=170|isbn=978-91-29-67393-7|text=Men har du någon gång börjat fundera / och låtit det inom dig klarna / vad som sker med barna?|t=But have you ever wondered / and realized by yourself / what happens to the children?
barna 	 noun 	 w:Charlie and the Chocolate Factory 	 * author=Roald Dahl|translator=Viveka Tunek|title=Kalle och chokladfabriken|trans-title=Charlie and the Chocolate Factory|edition=6th|publisher=Rabén &amp; Sjögren|page=170|isbn=978-91-29-67393-7|text=Men har du någon gång börjat fundera / och låtit det inom dig klarna / vad som sker med barna?|t=But have you ever wondered / and realized by yourself / what happens to the children?
cheddar 	 noun 	 English 	 cheddar
hala 	 verb 	 haul 	 to haul
diametral 	 adjective 	 opposed 	 diametral, entirely opposed
diametral 	 adjective 	 English 	 diametral, entirely opposed
fission 	 noun 	 company 	 The process whereby a company splits to become two
avgas 	 noun 	 exhaust 	 exhaust gas
avgas 	 noun 	 gas 	 exhaust gas
avgas 	 noun 	 avgasrening 	 avgasrening
avgas 	 noun 	 avgasrör 	 avgasrör
sås 	 noun 	 gravy 	 gravy
sås 	 noun 	 sauce 	 sauce
sås 	 noun 	 semen 	 semen
romans 	 noun 	 romance 	 a romance
ding 	 adjective 	 mad 	 mad, crazy
ding 	 adjective 	 crazy 	 mad, crazy
ding 	 adjective 	 w:Claes-Göran Hederström 	 * year=1968 |author=Peter Himmelstrand |artist=Claes-Göran Hederström |title=Det börjar verka kärlek, banne mej |text= Jag fattar ingenting / jag är väl lite ding. |t=I just don’t get it / I guess I’m a little bit daft
ding 	 adjective 	 w:Peter Himmelstrand 	 * year=1968 |author=Peter Himmelstrand |artist=Claes-Göran Hederström |title=Det börjar verka kärlek, banne mej |text= Jag fattar ingenting / jag är väl lite ding. |t=I just don’t get it / I guess I’m a little bit daft
ding 	 adjective 	 w:Det börjar verka kärlek, banne mej 	 * year=1968 |author=Peter Himmelstrand |artist=Claes-Göran Hederström |title=Det börjar verka kärlek, banne mej |text= Jag fattar ingenting / jag är väl lite ding. |t=I just don’t get it / I guess I’m a little bit daft
lata 	 verb 	 lazy 	 to be lazy
sommelier 	 noun 	 English 	 a sommelier
sommelier 	 noun 	 somalier 	 somalier
svårt 	 adverb 	 severely 	 heavily, severely
svårt 	 adverb 	 heavily 	 heavily, severely
denna 	 determiner 	 this 	 this, that
denna 	 determiner 	 that 	 this, that
denna 	 pronoun 	 this one 	 this one, this , that one, that
denna 	 pronoun 	 this 	 this one, this , that one, that
denna 	 pronoun 	 that 	 this one, this , that one, that
denna 	 pronoun 	 that one 	 this one, this , that one, that
puts 	 noun 	 plaster 	 plaster
bebo 	 verb 	 inhabit 	 transitive inhabit
adjö 	 interjection 	 goodbye 	 goodbye
hjärter 	 noun 	 cards 	 hearts; a suit of cards with symbol
hjärter 	 noun 	 suit 	 hearts; a suit of cards with symbol
hjärter 	 noun 	 hearts 	 hearts; a suit of cards with symbol
hård 	 adjective 	 hard 	 hard; inflexible; rigid; unbending
hård 	 adjective 	 unbending 	 hard; inflexible; rigid; unbending
hård 	 adjective 	 inflexible 	 hard; inflexible; rigid; unbending
hård 	 adjective 	 rigid 	 hard; inflexible; rigid; unbending
hård 	 adjective 	 severe 	 severe; strict; unfriendly
hård 	 adjective 	 unfriendly 	 severe; strict; unfriendly
hård 	 adjective 	 strict 	 severe; strict; unfriendly
hård 	 adjective 	 intense 	 severe; very bad or intense
lång 	 adjective 	 long 	 long
lång 	 adjective 	 tall 	 tall
låta 	 verb 	 sound 	 to make sound
låta 	 verb 	 sound 	 to sound; to seem; to appear
låta 	 verb 	 seem 	 to sound; to seem; to appear
låta 	 verb 	 appear 	 to sound; to seem; to appear
låta 	 verb 	 let 	 to allow; to let
låta 	 verb 	 allow 	 to allow; to let
skarp 	 adjective 	 cutting 	 sharp, critical, cutting
skarp 	 adjective 	 critical 	 sharp, critical, cutting
skarp 	 adjective 	 sharp 	 sharp, critical, cutting
skarp 	 adjective 	 sharp 	 sharp; able to cut easily
skarp 	 adjective 	 strong 	 strong
skarp 	 adjective 	 pungent 	 poignant, pungent; such as the smell of ammonia
skarp 	 adjective 	 ammonia 	 poignant, pungent; such as the smell of ammonia
skarp 	 adjective 	 poignant 	 poignant, pungent; such as the smell of ammonia
fluor 	 noun 	 English 	 fluorine
rom 	 noun 	 roe 	 roe
rom 	 noun 	 rum 	 rum
rom 	 noun 	 Romani 	 a Romani person
pulsar 	 noun 	 neutron star 	 A rotating neutron star that emits radio pulses periodically
pulsar 	 noun 	 radio 	 A rotating neutron star that emits radio pulses periodically
tibetan 	 noun 	 Tibetan 	 Tibetan
masochist 	 noun 	 English 	 masochist
varm 	 adjective 	 hot 	 warm, hot; of high temperature
varm 	 adjective 	 warm 	 warm, hot; of high temperature
varm 	 adjective 	 caring 	 warm, caring
förlåt 	 interjection 	 excuse me 	 sorry, excuse me
förlåt 	 interjection 	 sorry 	 sorry, excuse me
förlåt 	 noun 	 curtain 	 a cover, a curtain
förlåt 	 noun 	 cover 	 a cover, a curtain
esperanto 	 noun 	 Esperanto 	 Esperanto
cheviot 	 noun 	 English 	 cheviot
rama 	 verb 	 frame 	 to frame
rama 	 verb 	 lift 	 to give somebody a lift on a bicycle
rama 	 verb 	 bicycle 	 to give somebody a lift on a bicycle
schack 	 noun 	 chess 	 chess; a game of strategy for two players
schack 	 noun 	 strategy 	 chess; a game of strategy for two players
schack 	 noun 	 check 	 check; a situation in which the king is directly threatened by enemy pieces
schack 	 interjection 	 chess 	 check; a claim used in chess to notify the opponent that his/her king is threatened
schack 	 interjection 	 king 	 check; a claim used in chess to notify the opponent that his/her king is threatened
schack 	 interjection 	 check 	 check; a claim used in chess to notify the opponent that his/her king is threatened
gyttja 	 noun 	 mud 	 watery mud, muck
gyttja 	 noun 	 muck 	 watery mud, muck
gyttja 	 noun 	 peat 	 a fine-grained, nutrient-rich organic mud, or peat, deposited in lakes and ponds
slips 	 noun 	 tie 	 tie; a type of neckwear
mening 	 noun 	 meaning 	 a meaning, a definition of a word
mening 	 noun 	 sentence 	 a sentence, a grammatical phrase
mening 	 noun 	 idea 	 an opinion, an idea
mening 	 noun 	 opinion 	 an opinion, an idea
emblem 	 noun 	 English 	 emblem
kasa 	 verb 	 halka 	 halka
kasa 	 verb 	 hasa 	 hasa
gosse 	 noun 	 boy 	 boy
pingvin 	 noun 	 penguin 	 penguin
liten 	 adjective 	 small 	 small, little; of small size
liten 	 adjective 	 little 	 small, little; of small size
matta 	 noun 	 carpet 	 a carpet, rug
matta 	 noun 	 rug 	 a carpet, rug
matta 	 noun 	 mat 	 a mat; a flat piece of coarse material for wiping one's feet
matta 	 verb 	 exhaust 	 to exhaust
matta 	 verb 	 checkmate 	 to checkmate
ung 	 adjective 	 young 	 young
kafé 	 noun 	 café 	 a café
halva 	 noun 	 English 	 halva
halva 	 noun 	 half 	 a half
