SortOrder,Egyptian,Transliteration,Translation,SignCodes,GroupWritingScore,Error
1003,𓇋𓏶𓅓𓆱𓐍𓏏𓂻,jmy ḫt,superintendent,M17-Z11-G17-M3-Aa1-X1-D54,0,0
1004,𓏶𓐝𓏲𓏥𓄡𓄹𓄹𓄹𓏏𓏥,jmyw ḫt,"innermost thoughts, intestines",Z11-Aa15-Z7-Z2-F32-F51B-F51B-F51B-X1-Z2,0,0
1005,𓏃𓅓,jmy ḫnt,chamberlain,W17-G17,0,0
1006,𓅓𓆱𓏏𓏤,jmy ḫt,member of the bodyguard,G17-M3-X1-Z1,0,0
1007,𓅓𓆱𓐍𓏏𓀎,jmy ḫt,member of the bodyguard,G17-M3-Aa1-X1-A12,0,0
1008,𓅓𓆱𓏏𓀀𓀀𓀀,jmyw ḫtw,"those of later times, posterity",G17-M3-X1-A1-A1-A1,0,0
1009,𓏶𓏥𓅱𓆱𓐍𓏏𓂻𓀀𓏪,jmyw ḫtw,"those of later times, posterity",Z11-Z2-G43-M3-Aa1-X1-D54-A1-Z3,0,0
1010,𓏶𓅓𓄡𓏏𓄹,jmy ẖt,viscera,Z11-G17-F32-X1-F51,0,0
1011,𓏶𓅓𓊨𓏏𓉐𓂝𓏤𓀀,jmy st ꜥ,"acolyte, helper",Z11-G17-Q1-X1-O1-D36-Z1-A1,0,0
1012,𓏶𓎃𓀀,jmy sꜣ,attendant,Z11-V17-A1,0,0
1013,𓇋𓏶𓅓𓅱𓏪𓇾𓈇𓏤,jmyw tꜣ,snakes,M17-Z11-G17-G43-Z3-N16-N23-Z1,0,0
1014,𓇋𓏶𓅓𓅱𓏪𓇾𓈇𓏤𓈗,jmyw tꜣ mw,of land and water,M17-Z11-G17-G43-Z3-N16-N23-Z1-N35A,0,0
1015,𓏶𓅓𓏏𓏤𓇾𓈇𓆰𓏥,jmyt tꜣ,herbs,Z11-G17-X1-Z1-N16-N23-M2-Z2,0,0
1016,𓏶𓈋𓅱𓏏𓀀𓁐𓏥,jmyw ḏw,mountain people,Z11-N26-G43-X1-A1-B1-Z2,0,0
1017,𓇋𓅓𓅓𓂝𓂧𓏏𓏤𓄹,jmj ḏrt,to assist,M17-G17-G17-D36-D46-X1-Z1-F51,0,0
1018,𓏶𓁶,jmytp,stern  post  (of boat),Z11-D1,0,0
1019,𓇋𓐝𓅓𓂝,jmj,"give !, place !, cause !",M17-Aa15-G17-D36,0,0
1020,𓇋𓅓𓐝𓂝,jmj,"give !, place !, cause !",M17-G17-Aa15-D36,0,0
1021,𓏶𓅓𓂜,jmj,'negates the verb',Z11-G17-D35,0,0
1022,𓇋𓅓𓂜,jmj,'negatives the  verb',M17-G17-D35,0,0
1023,𓈖𓀀𓇋𓅓,n.j jmy,"of (mine), belongs to (me)",N35-A1-M17-G17,0,0
1024,𓇋𓏶𓅱𓏏𓍘𓇋,jmjwtj,"between, among",M17-Z11-G43-X1-U33-M17,0,0
1025,𓇋𓏶𓅱𓏏,jmjwtj,among,M17-Z11-G43-X1,0,0
1026,𓏶𓅓𓏭𓏏𓏲,jmytw,"between, in the midst of",Z11-G17-Z4-X1-Z7,0,0
1027,𓏶𓅓𓏏,jmytw,"between, in the midst of",Z11-G17-X1,0,0
1028,𓇋𓏶𓏏𓅱,jmytw,"between, in the midst of",M17-Z11-X1-G43,0,0
1029,𓂋𓏶𓅓𓏭,r jmy,"between, in the midst of",D21-Z11-G17-Z4,0,0
1030,𓇋𓌳𓏏𓃵,jmꜣt,"female ibex, female (of any animal)",M17-U1-X1-E30,0,0
1031,𓇋𓌳𓆭,jmꜣ,a tree,M17-U1-M1,0,0
1032,𓆭𓅓𓆭,jmꜣ,a tree,M1-G17-M1,0,0
1033,𓇋𓌳𓄿𓆭,jmꜣ,a tree,M17-U1-G1-M1,0,0
1034,𓇋𓄿𓆭𓅓,jmꜣ,a tree,M17-G1-M1-G17,0,0
1035,𓇋𓌳𓆭,jmꜣ,"kind, gentle, well disposed, pleasing, be gracious",M17-U1-M1,0,0
1036,𓇋𓌳𓆭,jmꜣ,"be delighted, charmed",M17-U1-M1,0,0
1037,𓆭𓅓𓏛,jmꜣ,be gracious,M1-G17-Y1V,0,0
1038,𓇋𓄿𓅓𓆭,jmꜣ,pleasing (to),M17-G1-G17-M1,0,0
1039,𓇋𓄿𓌳𓆭𓅓,jmꜣ,pleasing (to),M17-G1-U1-M1-G17,0,0
1040,𓇋𓌳𓆭𓅓,jmꜣ,"be delighted (with), charmed (with)",M17-U1-M1-G17,0,0
1041,𓇋𓄿𓆭𓅓,jmꜣ,"be delighted (with), charmed (with)",M17-G1-M1-G17,0,0
1042,𓆭𓏛𓁷𓏤,jmꜣ ḥr,gracious of countenance,M1-Y1-D2-Z1,0,0
1043,𓇋𓌳𓅓𓏏𓆭𓏛,jmꜣt,"charm, kindliness, graciousness, favour",M17-U1-G17-X1-M1-Y1,0,0
1044,𓇋𓄿𓆭𓅓𓏏,jmꜣt,"charm, kindliness, graciousness",M17-G1-M1-G17-X1,0,0
1046,𓇋𓄿𓆭𓅓𓏏,jmꜣt,"charm, kindliness, graciousness",M17-G1-M1-G17-X1,0,0
1047,𓆭𓅓𓏏𓏛𓏥,jmꜣt,"charm, kindliness, graciousness",M1-G17-X1-Y1-Z2,0,0
1048,𓆭𓏏𓏛,jmꜣt,"charm, kindliness, graciousness",M1-X1-Y1,0,0
1049,𓆭𓏏𓏥,jmꜣt,"charm, kindliness, graciousness",M1-X1-Z2,0,0
1050,𓇋𓄿𓅓𓏏𓆭𓏛,jmꜣt,favour (toward someone),M17-G1-G17-X1-M1-Y1V,0,0
1051,𓆭𓅓𓅱𓇶𓏥,jmꜣw,"brilliance, splendour",M1-G17-G43-N8-Z2,0,0
1052,𓆭𓅱𓇶,jmꜣw,"brilliance, splendour",M1-G43-N8,0,0
1053,𓆭𓐝𓇶𓏥,jmꜣw,"brilliance, splendour",M1-Aa15-N8-Z2,0,0
1054,𓇋𓆭𓏥𓅱𓇳,jmꜣw,"brilliance, splendour",M17-M1-Z2-G43-N5,0,0
1055,𓆭𓅓𓅱𓐝𓇶,jmꜣw,"brilliance, splendour",M1-G17-G43-Aa15-N8,0,0
1056,𓆭𓅓𓅱𓉐,jmꜣw,"tent, hut",M1-G17-G43-O1,0,0
1057,𓆭𓅓𓉐,jmꜣw,tent,M1-G17-O1,0,0
1058,𓆭𓅱𓉐,jmꜣw,tent,M1-G43-O1,0,0
1059,𓇋𓆭𓐝𓅱𓉐,jmꜣw,tent,M17-M1-Aa15-G43-O1,0,0
1060,𓇋𓌳𓄿𓅓𓉐,jmꜣw,"tent, hut",M17-U1-G1-G17-O1,0,0
1061,𓇋𓄯𓄿𓇳𓏥,jmꜣw,"glow, light",M17-F44-G1-N5-Z2,0,0
1062,𓇋𓌳𓐍𓄪𓏤,jmꜣḫ,spinal cord,M17-U1-Aa1-F39A-Z1,0,0
1063,𓄪𓏤,jmꜣḫ,spinal cord,F39A-Z1,0,0
1064,𓇋𓌴𓐍𓄪𓏤,jmꜣḫ,"honour, veneration, the blessed state (of being dead)",M17-U2-Aa1-F39A-Z1,0,0
1065,𓄪𓏤,jmꜣḫ,"honour, veneration",F39A-Z1,0,0
1066,𓄪𓏏𓏤,jmꜣḫt,honour,F39A-X1-Z1,0,0
1067,𓇋𓌳𓄪𓐍𓇋𓇋,jmꜣḫy,be honoured,M17-U1-F39A-Aa1-M17-M17,0,0
1068,𓇋𓄪𓐍,jmꜣḫy,be honoured,M17-F39A-Aa1,0,0
1069,𓇋𓄪𓐍𓇋𓇋,jmꜣḫy,be honoured,M17-F39A-Aa1-M17-M17,0,0
1070,𓇋𓌳𓄪𓐍,jmꜣḫy,be honoured,M17-U1-F39A-Aa1,0,0
1071,𓇋𓌳𓄪𓐍𓅱𓅆,jmꜣḫw,revered one(of the blessed dead),M17-U1-F39A-Aa1-G43-G7,0,0
1072,𓇋𓄪𓐍,jmꜣḫw,revered one (of the blessed dead),M17-F39A-Aa1,0,0
1073,𓄪𓐍𓇋𓇋𓏏,jmꜣḫyt,revered one (of dead women),F39A-Aa1-M17-M17-X1,0,0
1074,𓄪𓇋𓇋𓅱𓀼𓏪,jmꜣḫyw,revered ones (of the aged living),F39A-M17-M17-G43-A51A-Z3,0,0
1075,𓇋𓌴𓐍𓇋𓇋𓄪𓏴𓏛𓀀,jmꜣḫyw,revered one (of the aged living),M17-U2-Aa1-M17-M17-F39A-Z9-Y1-A1,0,0
1076,𓇋𓌴𓐍𓄪𓏤𓇋𓇋𓏲𓀗𓀀𓏥,jmꜣḫyw,revered one (of the aged living),M17-U2-Aa1-F39A-Z1-M17-M17-Z7-A19-A1-Z2,0,0
1077,𓇋𓄪𓐍𓏏,jmꜣḫyt,revered one (of dead woman),M17-F39A-Aa1-X1,0,0
1078,𓇋𓐝𓅓𓅱𓊛,jmw,"ship, ship load",M17-Aa15-G17-G43-P1,0,0
1079,𓊛,jmw,ship load,P1,0,0
1080,𓇋𓐝𓅓𓏲𓊛𓆱,jmw,"ship, boat",M17-Aa15-G17-Z7-P1-M3,0,0
1081,𓇋𓐝𓅓𓊛,jmw,ship,M17-Aa15-G17-P1,0,0
1082,𓇋𓆭𓅓𓏲𓊛,jmw,ship,M17-M1-G17-Z7-P1,0,0
1083,𓇋𓆭𓐝𓇋𓆭𓐝𓏴𓂡,jmjm,effective,M17-M1-Aa15-M17-M1-Aa15-Z9-D40,0,0
1084,𓇋𓏠𓈖,jmn,create,M17-Y5-N35,0,0
1085,𓇋𓏠𓈖𓅆,jmn,Amun,M17-Y5-N35-G7,0,0
1086,𓇋𓏠𓈖𓏏𓁐,jmnt,Amaunet,M17-Y5-N35-X1-B1,0,0
1088,𓇋𓏠𓈖𓀀𓏛,jmn,"conceal, hide",M17-Y5-N35-A1-Y1,0,0
1089,𓇋𓏠𓈖𓂜,jmn,"secret, hidden",M17-Y5-N35-D35,0,0
1090,𓂝𓅓𓏛,jmn,hidden,D36-G17-Y1,0,0
1091,𓀃𓈙𓇾𓅱𓏧,jmn štꜣw,Hidden of Mysteries,A4-N37-N16-G43-Z2B,0,0
1094,𓇋𓏠𓈖𓏏𓉐,jmnt,secret place,M17-Y5-N35-X1-O1,0,0
1095,𓇋𓏠𓈖𓇋𓇋𓏏𓏛,jmnyt,secrets,M17-Y5-N35-M17-M17-X1-Y1,0,0
1096,𓇋𓏠𓈖𓇋𓇋𓏛𓏥,jmny,"(daily) service, offerings, portion, ration",M17-Y5-N35-M17-M17-Y1-Z2,0,0
1097,𓇋𓏠𓈖𓇋𓇋𓏏𓇳,jmny,"(daily) service, offerings, portion, ration",M17-Y5-N35-M17-M17-X1-N5,0,0
1098,𓇋𓏠𓈖𓏏𓂇,jmny,"(daily) service, offerings, portion, ration",M17-Y5-N35-X1-D17,0,0
1099,𓇋𓏠𓈖𓌙𓀀𓊅,jmn,"hidden, secret",M17-Y5-N35-T14-A1-O36,0,0
1100,𓋀𓏤,jmn,"right (hand), right side, the west",R14-Z1,0,0
1101,𓇋𓏠𓈖𓊿,jmn,"right (hand), right side, the West",M17-Y5-N35-R13,0,0
1102,𓊿,jmn,"right (hand), right side, the West",R13,0,0
1103,𓋀𓏏𓈉,jmnt,the West,R14-X1-N25,0,0
1104,𓋀,jmnt,the West,R14,0,0
1105,𓅆𓏏𓈉,jmnt,the West,G7C-X1-N25,0,0
1106,𓅆𓏏𓊖𓏏𓏤,jmnt,the West,G7C-X1-O49-X1-Z1,0,0
1107,𓇋𓏠𓈖𓏏𓈉,jmnt,the West,M17-Y5-N35-X1-N25,0,0
1108,𓀃𓍿,jmn.t,the West,A4C-V13,0,0
1109,𓄚𓍿𓍿,jmn.t,the West,F26-V13-V13,0,0
1110,𓇋𓄿𓈖𓍿𓈉,jmn.t,the West,M17-G1-N35-V13-N25,0,0
1111,𓂝𓋔𓍿𓏮,jmnty,He of the West,D36-S3-V13-Z4A,0,0
1112,𓋀𓏏𓏭𓈉,jmnty,"right (hand), western, the West",R14-X1-Z4-N25,0,0
1114,𓅆𓏏𓏭,jmnty,right (hand),G7-X1-Z4,0,0
1115,𓋀𓏏𓏭𓊡,jmnty,the west wind,R14-X1-Z4-P5,0,0
1116,𓊿𓊡,jmnty,the west wind,R13-P5,0,0
1117,𓊿𓏏𓊡,jmnty,the west wind,R13-X1-P5,0,0
1118,𓋀𓏏𓏏𓈉,jmntt,the West,R14-X1-X1-N25,0,0
1120,𓅆𓍘𓇋,jmntj,Westerner (used about  the dead),G7-U33-M17,0,0
1121,𓊿𓅂,jmntyw,Westerners,R13-G4,0,0
1122,𓆄𓏏𓅂,jmntyw,Westerners,H6-X1-G4,0,0
1123,𓇋𓏠𓈖𓅂,jmntyw,Westerners,M17-Y5-N35-G4,0,0
1124,𓋀𓅂𓏥,jmntyw,Westerners,R14-G4-Z2,0,0
1125,𓇋𓏠𓈖𓇋𓇋𓏏𓏛𓏥,jmnyt,daily offerings,M17-Y5-N35-M17-M17-X1-Y1-Z2,0,0
1126,𓇋𓏠𓈖𓏏𓏛𓏥,jmnyt,daily offerings,M17-Y5-N35-X1-Y1-Z2,0,0
1127,𓇋𓌻𓂋𓄔,jmr,be deaf,M17-U7-D21-F21,0,0
1128,𓇋𓐝𓐝𓎛𓀁,jmḥ,"to nurse (at breast, udder)",M17-Aa15-Aa15-V28-A2,0,0
1129,𓇋𓏶𓅓𓎛𓏭𓀁,jmḥ,"to nurse (at breast, udder)",M17-Z11-G17-V28-Z4-A2,0,0
1130,𓇋𓐝𓎛𓏏𓉐,jmḥt,netherworld,M17-Aa15-V28-X1-O1,0,0
1131,𓐝𓎛𓏏𓉐,jmḥt,netherworld,Aa15-V28-X1-O1,0,0
1132,𓇋𓄟𓋴𓀁𓄣𓏤,jms jb,"pleasant, kindly disposed",M17-F31-S29-A2-F34-Z1,0,0
1133,𓃛𓄣𓏤,jms jb,"kindly disposed, pleasant",E9-F34-Z1,0,0
1134,𓇋𓄟𓋴𓂓𓄿𓆛𓏲𓏥,jmskꜣ,"mullet (?), fish",M17-F31-S29-D28-G1-K1-Z7-Z2,0,0
1135,𓇋𓐝𓅓𓋴𓏏𓆰,jmst,dill,M17-Aa15-G17-S29-X1-M2,0,0
1136,𓇋𓅓𓐝𓋴𓍘𓅆,jmstj,Imseti (a son of Horus),M17-G17-Aa15-S29-U33-G7,0,0
1137,𓇋𓅓𓋴𓍘𓅆,jmstj,Imseti,M17-G17-S29-U33-G7,0,0
1138,𓇋𓅓𓋴𓏏𓅆,jmstj,Imseti,M17-G17-S29-X1-G7,0,0
1139,𓐝𓊃𓍘𓇋𓀭,jmstj,Imseti,Aa15-O34-U33-M17-A40,0,0
1140,𓇋𓐝𓅓𓇥𓂋𓊅,jmḏr,rampart,M17-Aa15-G17-M36-D21-O36,0,0
1141,𓇋𓈖,jn,"by, so says",M17-N35,0,0
1142,𓇋𓋔,jn,"by, so says",M17-S3,0,0
1143,𓏎𓈖,jnj,"bring, fetch, carry off, remove, overcome, reach",W25-N35,0,0
1144,𓏎𓈖,jnj,"attain, buy, appoint, use",W25-N35,0,0
1145,𓏎,jnj,"bring, fetch, carry off, bring away, bring about, remove (something)",W25,0,0
1146,𓏎,jnj,"overcome (trouble), reach, attain (a place), buy, appoint, use",W25,0,0
1147,𓏎𓈖𓎛𓁷𓂋𓏏𓈐𓅆,jn ḥrt,Onuris,W25-N35-V28-D2-D21-X1-N31-G7,0,0
1148,𓏎𓇯𓀭,jn ḥrt,Onuris,W25-N1-A40,0,0
1149,𓏎𓈐𓅆,jn ḥrt,Onuris,W25-N31-G7,0,0
1150,𓏎𓏌𓏥,jnw,"produce (of a region), tribute, dues, gifts, quarry",W25-W24-Z2,0,0
1151,𓏎𓈖𓏌𓅱𓏛𓏥,jnw,"tribute (of subject lands), gifts (from palace), dues (to be paid)",W25-N35-W24-G43-Y1-Z2,0,0
1152,𓏎𓈖𓏌𓅱𓏛𓏥,jnw,"produce (of region), quarry (of hunter)",W25-N35-W24-G43-Y1-Z2,0,0
1153,𓏎𓋔𓏌𓅱𓏌𓏥,jnw,"tribute, deliveries, gifts, contribution, impost, produce",W25-S3-W24-G43-W24-Z2,0,0
1154,𓏎𓇋𓇋𓏏𓀁,jnyt,refrain (of song) (?),W25-M17-M17-X1-A2,0,0
1155,𓏎𓈖𓏌𓅱𓎅𓏪,jnw,matting,W25-N35-W24-G43-V19-Z3,0,0
1156,𓇋𓆛𓈖𓏲𓎅,jnw,(roof) matting,M17-K1-N35-Z7-V19,0,0
1157,𓇋𓏎𓈖𓏌𓅱𓀁𓏪,jnw,"pattern, model",M17-W25-N35-W24-G43-A2-Z3,0,0
1158,𓇋𓆛𓈖𓁸,jnw,"complexion, hue, colour, nature, aspect, appearance, character",M17-K1-N35-D3,0,0
1159,𓇋𓆛𓈖𓏌𓏲𓁸𓏥,jnw,"complexion, hue, colour, nature, aspect, appearance, character",M17-K1-N35-W24-Z7-D3-Z2,0,0
1161,𓏎𓇋𓏎𓏎𓏏,jnwt,freight,W25-M17-W25-W25-X1,0,0
1162,𓇋𓆛𓈖𓆝,jn,bulti fish,M17-K1-N35-K3,0,0
1163,𓇋𓆛𓈖𓆛𓏤,jn,bulti fish,M17-K1-N35-K1-Z1,0,0
1164,𓇋𓆛𓈖𓏏𓆛,jnt,the bulti fish,M17-K1-N35-X1-K1,0,0
1165,𓇋𓈖𓏏𓆛,jnt,the bulti fish,M17-N35-X1-K1,0,0
1166,𓇋𓆛𓈖𓂻,jnj,"delay, hold (oneself aloof)",M17-K1-N35-D54,0,0
1167,𓇋𓆛𓈖𓂃𓏭,jn,eyebrows,M17-K1-N35-D13-Z4,0,0
1168,𓇋𓆛𓈖𓏏𓈉,jnt,valley,M17-K1-N35-X1-N25,0,0
1169,𓇋𓆛𓏏𓈉,jnt,valley,M17-K1-X1-N25,0,0
1170,𓇋𓆛𓈖𓆝𓈉,jnt,valley,M17-K1-N35-K3-N25,0,0
1171,𓏎𓈖𓏏𓏯𓍱𓏫,jnt,( a type of garment),W25-N35-X1-Z5-V6-Z3A,0,0
1172,𓇋𓆛𓈖𓍢𓏥,jn,cordage (of ship),M17-K1-N35-V1-Z2,0,0
1173,𓇋𓆛𓈖𓈖𓍢𓏥,jn,cordage (of ship),M17-K1-N35-N35-V1-Z2,0,0
1174,𓏎𓈖𓇋𓇋𓏏𓏥,jnyt,kernels,W25-N35-M17-M17-X1-Z2,0,0
1175,𓇋𓆛𓈖𓇋𓇋𓏏𓈒𓏫,jnyt,materials (for handicrafts ?),M17-K1-N35-M17-M17-X1-N33-Z3A,0,0
1176,𓇋𓆛𓈖𓏌𓏲𓈒𓏥,jnw,sugar (?),M17-K1-N35-W24-Z7-N33-Z2,0,0
1178,𓇋𓆛𓈖𓂝𓏏𓄹,jnꜥt,chin,M17-K1-N35-D36-X1-F51,0,0
1179,𓇋𓆛𓈖𓃀𓊅,jnb,wall,M17-K1-N35-D58-O36,0,0
1180,𓊅𓏤,jnb,wall,O36A-Z1,0,0
1181,𓊅𓈇𓏤𓉐,jnb,wall,O36A-N23-Z1-O1,0,0
1182,𓇋𓆛𓈖𓃀𓏲𓊅𓈇𓏤𓈉,jnb,watch post,M17-K1-N35-D58-Z7-O36A-N23-Z1-N25,0,0
1183,𓇋𓆛𓈖𓃀𓏲𓆰𓏥,jnb,hedge,M17-K1-N35-D58-Z7-M2-Z2,0,0
1184,𓇋𓆛𓈖𓃀𓏏𓈉,jnbt,"fort, fortification, guard house",M17-K1-N35-D58-X1-N25,0,0
1185,𓇋𓆛𓈖𓃀𓏲𓊅𓏏𓈇𓏤𓈉𓏥,jnbt,"fort, fortification, guard house",M17-K1-N35-D58-Z7-O36-X1-N23-Z1-N25-Z2,0,0
1186,𓇋𓆛𓈖𓃀𓏏𓆱𓏥,jnbt,"fence, stockade",M17-K1-N35-D58-X1-M3-Z2,0,0
1187,𓇋𓆛𓈖𓃀𓏏𓊅𓏪,jnbt,"fence, stockade",M17-K1-N35-D58-X1-O36-Z3,0,0
1188,𓇋𓆛𓈖𓃀𓊅𓂡,jnb,"wall off (a place), to fence in",M17-K1-N35-D58-O36-D40,0,0
1189,𓇋𓆛𓈖𓃀𓏲𓊅𓂷𓂡,jnb,"wall off (a place), to fence in",M17-K1-N35-D58-Z7-O36-D51-D40,0,0
1192,𓇋𓈖𓊪𓐎,jnp,decay,M17-N35-Q3-Aa2,0,0
1194,𓇋𓈖𓊪𓅱𓀰,jnpw,royal child,M17-N35-Q3-G43-A42,0,0
1195,𓃢,jnpw,royal child,E15,0,0
1196,𓇋𓈖𓊪𓀖,jnpw,royal child,M17-N35-Q3-A18,0,0
1197,𓇋𓈖𓊪𓅱𓃢,jnpw,royal child (of princess),M17-N35-Q3-G43-E15,0,0
1198,𓇋𓈖𓊪𓅱𓃢𓅆,jnpw,Anubis,M17-N35-Q3-G43-E15-G7,0,0
1199,𓇋𓈖𓊪𓁣,jnpw,Anubis,M17-N35-Q3-C7,0,0
1200,𓃤,jnpw,Anubis,E16A,0,0
1201,𓃢,jnpw,secrets,E15,0,0
1202,𓇋𓆛𓈖𓌰𓅓𓄛,jnm,"skin (of man or animal), hues (of sky), development, complexion",M17-K1-N35-T34-G17-F27,0,0
1203,𓇋𓆛𓈖𓌰𓅓𓁸,jnm,"skin (of man or animal), hues (of sky), development, complexion",M17-K1-N35-T34-G17-D3,0,0
1204,𓇋𓆛𓈖𓌰𓅓,jnm,skin,M17-K1-N35-T34-G17,0,0
1205,𓇋𓀁𓈖𓈖𓏥,jnn,we,M17-A2-N35-N35-Z2,0,0
1206,𓇋𓀁𓈖𓈖𓏥,jnn,if,M17-A2-N35-N35-Z2,0,0
1207,𓇋𓏌𓈖𓏥,jnn,we,M17-W24-N35-Z2,0,0
1208,𓇋𓀁𓏌𓈖𓈖𓏫,jnn,"we, of ours",M17-A2-W24-N35-N35-Z3A,0,0
1209,𓇋𓆛𓈖𓈖𓎡𓆰𓏥,jnnk,"thyme (?), water mint (?)",M17-K1-N35-N35-V31-M2-Z2,0,0
1210,𓇋𓈖𓂋𓊌,jnr,"stone, rock, slab, block",M17-N35-D21-O39,0,0
1211,𓊌,jnr,"stone, rock, slab, block",O39,0,0
1212,𓇋𓈖𓊌,jnr,"stone, rock, slab, block",M17-N35-O39,0,0
1213,𓇋𓈖𓊌,jnr,(bird's) shell,M17-N35-O39,0,0
1214,𓇋𓈖𓂋𓊌𓈖𓂋𓏤𓈗,jnr n r mw,seashell,M17-N35-D21-O39-N35-D21-Z1-N35A,0,0
1215,𓇋𓈖𓂋𓊌𓈖𓂋𓂧𓏲𓌗𓊌,jnr n rwḏ,sandstone,M17-N35-D21-O39-N35-D21-D46-Z7-T12-O39,0,0
1216,𓇋𓈖𓂋𓊌𓈖𓂣𓈖𓁼𓊌,jnr n ꜥjnw,limestone,M17-N35-D21-O39-N35-D42-N35-D7-O39,0,0
1217,𓇋𓈖𓂋𓊌𓏥𓈖𓂧𓅓𓏲𓌪𓂡,jnr n dm,whetstone,M17-N35-D21-O39-Z2-N35-D46-G17-Z7-T30-D40,0,0
1218,𓇋𓈖𓂋𓊌𓄥𓄿,jnr smꜣ,plinth,M17-N35-D21-O39-F36-G1,0,0
1219,𓀁𓇋𓈖𓂋𓇋𓇋𓏯𓀜,jnry,shudder,A2-M17-N35-D21-M17-M17-Z5-A24,0,0
1220,𓇋𓀁𓈖𓂋𓅐,jnry,shudder,M17-A2-N35-D21-G14,0,0
1221,𓇋𓏲𓈖𓂋𓏲𓏯,jnry,shudder,M17-Z7-N35-D21-Z7-Z5,0,0
1226,𓉺𓈖𓏥𓉔𓅱𓌴𓁹𓄿𓈒𓏥,jnhm,bead,O28-N35-Z2-O4-G43-U2-D4-G1-N33-Z2,0,0
1227,𓇋𓈖𓉔𓏠𓆭,jnhmn,pomegranate (tree and fruit),M17-N35-O4-Y5-M1,0,0
1228,𓇋𓆛𓈖𓉔𓅓𓂝𓈖𓏭𓆭,jnhmn,pomegranate (tree and fruit),M17-K1-N35-O4-G17-D36-N35-Z4-M1,0,0
1229,𓉺𓏤𓈖𓏥𓂋𓏤𓉔𓄿𓌴𓈒𓈒𓈒𓏥,jnhrmꜣ,pomegranate,O28-Z1-N35-Z2-D21-Z1-O4-G1-U2-N33-N33-N33-Z2,0,0
1230,𓉺𓏤𓈖𓏪𓉔𓄿𓏭𓂋𓏤𓌴𓁹𓄿𓄿𓆭𓏪,jnhrmꜣ,pomegranate,O28-Z1-N35-Z3-O4-G1-Z4-D21-Z1-U2-D4-G1-G1-M1-Z3,0,0
1231,𓇋𓆛𓈖𓎛𓂃𓂃,jnḥ,eyebrows,M17-K1-N35-V28-D13-D13,0,0
1232,𓆛𓈖𓎛𓏲𓂃𓂃𓂂𓄻,jnḥ,eyebrows,K1-N35-V28-Z7-D13-D13-D12-F51B,0,0
1233,𓇋𓆛𓈖𓎛𓁸,jnḥ,eyebrows,M17-K1-N35-V28-D3,0,0
1234,𓂃𓂃𓏮,jnḥ,eyebrows,D13-D13-Z4A,0,0
1235,𓇋𓆛𓈖𓎛𓍢𓂡,jnḥ,"surround, enclose, embrace, rim",M17-K1-N35-V28-V1-D40,0,0
1236,𓇋𓆛𓈖𓎛𓍢𓏭𓏛𓀜,jnḥ,"surround, enclose, embrace, rim",M17-K1-N35-V28-V1-Z4-Y1-A24,0,0
1237,𓇋𓆛𓈖𓎛𓅴,jnḥ,"surround, enclose, embrace, rim",M17-K1-N35-V28-G45,0,0
1238,𓇋𓆛𓈖𓎛𓄛𓏥,jnḥw,"mouse (?), rat (?)",M17-K1-N35-V28-F27-Z2,0,0
1239,𓇋𓆛𓈖𓎛𓏏𓂷𓂡𓊌,jnḥt,covers (?),M17-K1-N35-V28-X1-D51-D40-O39,0,0
1240,𓇋𓆛𓈖𓎛𓅭𓄜,jnḥ,lizard,M17-K1-N35-V28-G39-F28,0,0
1241,𓏎𓎛𓏏𓏋𓈗,jnḥt,(large jar for beer),W25-V28-X1-W23-N35A,0,0
1242,𓏎𓈖𓎛𓏏𓏋𓈗,jnḥt,jug (of water),W25-N35-V28-X1-W23-N35A,0,0
1243,𓏎𓈖𓇉𓄿𓋴𓏏𓈒𓏫,jnḥꜣst,lotus leaves (?),W25-N35-M16-G1-S29-X1-N33-Z3A,0,0
1244,𓇋𓆛𓈖𓋴𓏏𓂾,jnst,"calf (of leg), shank",M17-K1-N35-S29-X1-D56,0,0
1245,𓇋𓆛𓈖𓋴𓏏𓂾,jnst,"thigh, hind leg",M17-K1-N35-S29-X1-D56,0,0
1246,𓇋𓆛𓈖𓋴𓏏𓄙,jnst,"calf (of leg), shank",M17-K1-N35-S29-X1-F25,0,0
1247,𓇋𓆛𓈖𓋴𓏭𓋳,jnsy,bright red linen,M17-K1-N35-S29-Z4-S28,0,0
1248,𓇋𓆛𓈖𓋴𓏭𓍱𓏫,jnsy,bright red linen,M17-K1-N35-S29-Z4-V6-Z3A,0,0
1249,𓇋𓆛𓈖𓋴𓋳,jnsy,bright red linen,M17-K1-N35-S29-S28,0,0
1250,𓇋𓆛𓈖𓊃𓏭𓋳,jnsy,bright red linen,M17-K1-N35-O34-Z4-S28,0,0
1251,𓇋𓈖𓋴𓅱𓄹𓄹,jnswy,testicles,M17-N35-S29-G43-F51-F51,0,0
1252,𓇋𓆛𓈖𓈎𓂘𓂝,jnq,"come together, make strong (of limbs)",M17-K1-N35-N29-D32-D36,0,0
1253,𓇋𓆛𓈖𓈎𓂘𓀜,jnq,"to encompass, enclose",M17-K1-N35-N29-D32-A24,0,0
1254,𓇋𓆛𓈖𓈎𓂘𓂝,jnq,"unite, collect, gather together, embrace",M17-K1-N35-N29-D32-D36,0,0
1255,𓇋𓈖𓈎𓂘,jnq,"unite (the Two Lands), collect, gather together",M17-N35-N29-D32,0,0
