pie 	 adverb 	 piously 	 piously
tiel 	 adverb 	 as 	 as
tiel 	 adverb 	 as 	 as ADJ as
tiam 	 adverb 	 then 	 then, at that time
tial 	 conjunction 	 that 	 for that reason
hieraŭ 	 adverb 	 yesterday 	 yesterday
morgaŭ 	 adverb 	 tomorrow 	 tomorrow
morgaŭ 	 adverb 	 yesterday 	 gloss=yesterday
jes 	 adverb 	 yes 	 yes
meso 	 noun 	 mass 	 mass church service; music played at a church service
hodiaŭ 	 adverb 	 today 	 today
iu 	 determiner 	 some 	 some
iu 	 pronoun 	 somebody 	 someone, somebody
iu 	 pronoun 	 someone 	 someone, somebody
iel 	 adverb 	 somehow 	 somehow, in some way
iam 	 adverb 	 sometime 	 sometime, ever
iam 	 adverb 	 ever 	 sometime, ever
iam 	 adverb 	 once 	 once
iom 	 determiner 	 some 	 some of
ĉial 	 adverb 	 for 	 for every reason
ĉial 	 adverb 	 reason 	 for every reason
ĉial 	 adverb 	 every 	 for every reason
ĉies 	 determiner 	 everyone 	 belonging to everyone, everyone's
ruĝa 	 adjective 	 red 	 red F00
flava 	 adjective 	 yellow 	 yellow FF0
nigra 	 adjective 	 black 	 black black
griza 	 adjective 	 gray 	 grey gray
kato 	 noun 	 tom 	 gloss=a tom neologism
kato 	 noun 	 kitten 	 gloss=a kitten
kato 	 noun 	 female 	 gloss=a female cat
kato 	 noun 	 tom 	 gloss=a tom idiomatic
kato 	 noun 	 meat 	 gloss=cat meat
kato 	 noun 	 clowder 	 gloss=a clowder of cats
unu 	 numeral 	 one 	 cardinal numbers one
naŭ 	 numeral 	 nine 	 cardinal numbers nine
jen 	 interjection 	 lo 	 lo, behold
ĵus 	 adverb 	 just 	 just
kvazaŭ 	 conjunction 	 as if 	 as if, as though
kvazaŭ 	 conjunction 	 as though 	 as if, as though
fila 	 adjective 	 filial 	 filial
germane 	 adverb 	 language 	 in the German language
germane 	 adverb 	 German 	 in the German language
germane 	 adverb 	 German 	 Germanly; in the manner of a German
testudo 	 noun 	 tortoise 	 tortoise
testudo 	 noun 	 turtle 	 turtle
tuj 	 adverb 	 immediately 	 immediately
tro 	 adverb 	 too 	 too much
tamen 	 adverb 	 however 	 however, nevertheless
tamen 	 adverb 	 nevertheless 	 however, nevertheless
preskaŭ 	 adverb 	 nearly 	 almost, nearly
preskaŭ 	 adverb 	 almost 	 almost, nearly
pli 	 adverb 	 more 	 more
plej 	 adverb 	 most 	 most
eĉ 	 adverb 	 even 	 even
nek 	 conjunction 	 nor 	 neither, nor
nek 	 conjunction 	 neither 	 neither, nor
doni 	 verb 	 give 	 to give
doni 	 verb 	 w:L. L. Zamenhof 	 * 1915, L. L. Zamenhof , Malnova Testamento, Genezo 2:20
esti 	 verb 	 be 	 to be
fari 	 verb 	 do 	 to do
fari 	 verb 	 make 	 to make
feliĉa 	 adjective 	 happy 	 full of well-being, happy
feliĉa 	 adjective 	 happiness 	 providing happiness
feliĉa 	 adjective 	 fortunate 	 coming out well, fortunate
feliĉa 	 adjective 	 favorable 	 working out well, felicitous, favorable, successful
feliĉa 	 adjective 	 successful 	 working out well, felicitous, favorable, successful
feliĉa 	 adjective 	 felicitous 	 working out well, felicitous, favorable, successful
feliĉa 	 adjective 	 unhappy 	 t=unhappy; unfelicitous
feliĉa 	 adjective 	 unfelicitous 	 t=unhappy; unfelicitous
grava 	 adjective 	 important 	 important
grava 	 adjective 	 grave 	 serious, grave
grava 	 adjective 	 serious 	 serious, grave
grava 	 adjective 	 unimportant 	 gloss=unimportant, trivial
grava 	 adjective 	 trivial 	 gloss=unimportant, trivial
ĝoji 	 verb 	 joyful 	 to be glad, happy, or joyful; to rejoice
ĝoji 	 verb 	 rejoice 	 to be glad, happy, or joyful; to rejoice
ĝoji 	 verb 	 glad 	 to be glad, happy, or joyful; to rejoice
ĝoji 	 verb 	 happy 	 to be glad, happy, or joyful; to rejoice
havi 	 verb 	 have 	 to have
iri 	 verb 	 go 	 to go
jaro 	 noun 	 w:World Congress of Esperanto 	 * 1905, L. L. Zamenhof, speech at the first World Congress of Esperanto
jaro 	 noun 	 w:L. L. Zamenhof 	 * 1905, L. L. Zamenhof, speech at the first World Congress of Esperanto
kampo 	 noun 	 field 	 field
kapo 	 noun 	 head 	 head
kapo 	 noun 	 kappa 	 kappa
koni 	 verb 	 well 	 to be well acquainted with, be familiar with, know
koni 	 verb 	 acquainted 	 to be well acquainted with, be familiar with, know
koni 	 verb 	 know 	 to be well acquainted with, be familiar with, know
koni 	 verb 	 familiar 	 to be well acquainted with, be familiar with, know
koro 	 noun 	 heart 	 heart
koro 	 noun 	 clapper 	 clapper
labori 	 verb 	 work 	 to work
salmo 	 noun 	 salmon 	 salmon
moskito 	 noun 	 mosquito 	 mosquito
pako 	 noun 	 parcel 	 package, parcel
pako 	 noun 	 package 	 package, parcel
velo 	 noun 	 sail 	 sail
lasta 	 adjective 	 last 	 last
legi 	 verb 	 read 	 to read
levi 	 verb 	 lift 	 to lift, to raise
levi 	 verb 	 raise 	 to lift, to raise
meti 	 verb 	 place 	 to put, place
meti 	 verb 	 put 	 to put, place
militi 	 verb 	 war 	 to wage war
peti 	 verb 	 request 	 to ask for, request, beg, bid
peti 	 verb 	 beg 	 to ask for, request, beg, bid
peti 	 verb 	 ask 	 to ask for, request, beg, bid
peti 	 verb 	 bid 	 to ask for, request, beg, bid
porti 	 verb 	 carry 	 to carry
porti 	 verb 	 wear 	 to wear
preni 	 verb 	 seize 	 to take, get, seize, lay hold of, pick up
preni 	 verb 	 take 	 to take, get, seize, lay hold of, pick up
preni 	 verb 	 get 	 to take, get, seize, lay hold of, pick up
preni 	 verb 	 pick up 	 to take, get, seize, lay hold of, pick up
respondi 	 verb 	 answer 	 to reply, answer, respond
respondi 	 verb 	 reply 	 to reply, answer, respond
respondi 	 verb 	 respond 	 to reply, answer, respond
resti 	 verb 	 remain 	 to remain, to stay
resti 	 verb 	 stay 	 to remain, to stay
riĉa 	 adjective 	 rich 	 rich
riĉa 	 adjective 	 w:World Congress of Esperanto 	 * 1910, L. L. Zamenhof, speech at the sixth World Congress of Esperanto in Washington, D.C
riĉa 	 adjective 	 w:L. L. Zamenhof 	 * 1910, L. L. Zamenhof, speech at the sixth World Congress of Esperanto in Washington, D.C
ridi 	 verb 	 laugh 	 to laugh
sidi 	 verb 	 sit 	 to sit
stari 	 verb 	 stand 	 to be standing
stari 	 verb 	 w:L. L. Zamenhof 	 * 1915, L. L. Zamenhof , Malnova Testamento, Genezo 24:43
stari 	 verb 	 position 	 to take a position on an issue
teni 	 verb 	 hold 	 to hold, to keep
teni 	 verb 	 keep 	 to hold, to keep
teni 	 verb 	 w:L. L. Zamenhof 	 * 1932, L. L. Zamenhof , Fabeloj de Andersen
tero 	 noun 	 surface 	 the earth's surface
tero 	 noun 	 earth 	 the earth's surface
tero 	 noun 	 soil 	 soil, ground
tero 	 noun 	 ground 	 soil, ground
tero 	 noun 	 land 	 solid ground, land
tero 	 noun 	 ground 	 solid ground, land
tero 	 noun 	 planet 	 the planet Earth
tero 	 noun 	 Earth 	 the planet Earth
veni 	 verb 	 come 	 to come
vidi 	 verb 	 see 	 to see
voli 	 verb 	 wish 	 to wish, to want
voli 	 verb 	 want 	 to wish, to want
morti 	 verb 	 pass away 	 to die, pass away
morti 	 verb 	 die 	 to die, pass away
morti 	 verb 	 w:World Congress of Esperanto 	 * 1905, L. L. Zamenhof, speech at the first World Congress of Esperanto
morti 	 verb 	 w:L. L. Zamenhof 	 * 1905, L. L. Zamenhof, speech at the first World Congress of Esperanto
movi 	 verb 	 move 	 to move
nacio 	 noun 	 nation 	 nation
nacio 	 noun 	 w:World Congress of Esperanto 	 * 1905, L. L. Zamenhof, speech at the first World Congress of Esperanto
nacio 	 noun 	 w:L. L. Zamenhof 	 * 1905, L. L. Zamenhof, speech at the first World Congress of Esperanto
fundi 	 verb 	 found 	 to found
vika 	 adjective 	 Wiccan 	 Wiccan
kultura 	 adjective 	 cultural 	 cultural
kultura 	 adjective 	 cultured 	 cultured
bildo 	 noun 	 image 	 picture, image
bildo 	 noun 	 picture 	 picture, image
dormi 	 verb 	 sleep 	 to sleep
edzo 	 noun 	 husband 	 husband
fali 	 verb 	 fall 	 to fall
filo 	 noun 	 son 	 son
filo 	 noun 	 offspring 	 gloss=offspring
filo 	 noun 	 daughter 	 gloss=daughter
halti 	 verb 	 halt 	 to stop; to halt; to stall
halti 	 verb 	 stall 	 to stop; to halt; to stall
halti 	 verb 	 stop 	 to stop; to halt; to stall
halti 	 verb 	 w:Donald Broadribb 	 * 2000, Donald Broadribb , Platono, La Respubliko, Parto Ses
halti 	 verb 	 w:Plato 	 * 2000, Donald Broadribb , Platono, La Respubliko, Parto Ses
haro 	 noun 	 hair 	 hair
horo 	 noun 	 hour 	 hour, time
horo 	 noun 	 time 	 hour, time
intereso 	 noun 	 interest 	 interest
ĵeti 	 verb 	 fling 	 to throw, fling, lob, pitch
ĵeti 	 verb 	 pitch 	 to throw, fling, lob, pitch
ĵeti 	 verb 	 lob 	 to throw, fling, lob, pitch
ĵeti 	 verb 	 throw 	 to throw, fling, lob, pitch
kanti 	 verb 	 sing 	 to sing
kosti 	 verb 	 cost 	 to cost
lasi 	 verb 	 leave 	 to leave
lasi 	 verb 	 let 	 to let
lito 	 noun 	 bed 	 bed for sleeping
manĝi 	 verb 	 eat 	 to eat
manki 	 verb 	 lacking 	 to be lacking, be missing; to be wanting
manki 	 verb 	 missing 	 to be lacking, be missing; to be wanting
manki 	 verb 	 w:L. L. Zamenhof 	 * 1910, L. L. Zamenhof, Proverbaro Esperanta
manki 	 verb 	 w:L. L. Zamenhof 	 * 1915, L. L. Zamenhof , Malnova Testamento, Jesaja 34:16
maro 	 noun 	 sea 	 sea
cedo 	 noun 	 concession 	 abandonment, assignment, cession, compliance, concession
cedo 	 noun 	 abandonment 	 abandonment, assignment, cession, compliance, concession
cedo 	 noun 	 assignment 	 abandonment, assignment, cession, compliance, concession
cedo 	 noun 	 compliance 	 abandonment, assignment, cession, compliance, concession
cedo 	 noun 	 cession 	 abandonment, assignment, cession, compliance, concession
cedo 	 noun 	 fordono 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 forlaso 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 diboĉeco 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 abandono 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 diboĉado 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 dezerteco 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 delaso 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 senafekteco 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 translaso 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 forlasiteco 	 abandonment forlaso, diboĉeco, abandono, delaso, dezerteco, diboĉado, fordono, forlasiteco, translaso, senafekteco
cedo 	 noun 	 delego 	 assignment asigno, tasko, atribuo, alpostenigo, delego, engaĝo, valorizo
cedo 	 noun 	 tasko 	 assignment asigno, tasko, atribuo, alpostenigo, delego, engaĝo, valorizo
cedo 	 noun 	 valorizo 	 assignment asigno, tasko, atribuo, alpostenigo, delego, engaĝo, valorizo
cedo 	 noun 	 atribuo 	 assignment asigno, tasko, atribuo, alpostenigo, delego, engaĝo, valorizo
cedo 	 noun 	 alpostenigo 	 assignment asigno, tasko, atribuo, alpostenigo, delego, engaĝo, valorizo
cedo 	 noun 	 asigno 	 assignment asigno, tasko, atribuo, alpostenigo, delego, engaĝo, valorizo
cedo 	 noun 	 engaĝo 	 assignment asigno, tasko, atribuo, alpostenigo, delego, engaĝo, valorizo
cedo 	 noun 	 rezigno 	 cession rezigno
cedo 	 noun 	 observo 	 compliance obeo, cedada, ebeeco, observo, cedado, konformiĝo, obeado, observemo
cedo 	 noun 	 ebeeco 	 compliance obeo, cedada, ebeeco, observo, cedado, konformiĝo, obeado, observemo
cedo 	 noun 	 konformiĝo 	 compliance obeo, cedada, ebeeco, observo, cedado, konformiĝo, obeado, observemo
cedo 	 noun 	 observemo 	 compliance obeo, cedada, ebeeco, observo, cedado, konformiĝo, obeado, observemo
cedo 	 noun 	 obeado 	 compliance obeo, cedada, ebeeco, observo, cedado, konformiĝo, obeado, observemo
cedo 	 noun 	 cedada 	 compliance obeo, cedada, ebeeco, observo, cedado, konformiĝo, obeado, observemo
cedo 	 noun 	 obeo 	 compliance obeo, cedada, ebeeco, observo, cedado, konformiĝo, obeado, observemo
cedo 	 noun 	 cedado 	 compliance obeo, cedada, ebeeco, observo, cedado, konformiĝo, obeado, observemo
cedo 	 noun 	 cedemo 	 consession koncesio, cedaĵo, cedemo, koncedo
cedo 	 noun 	 cedaĵo 	 consession koncesio, cedaĵo, cedemo, koncedo
cedo 	 noun 	 koncesio 	 consession koncesio, cedaĵo, cedemo, koncedo
cedo 	 noun 	 koncedo 	 consession koncesio, cedaĵo, cedemo, koncedo
pika 	 adjective 	 suit 	 of the suit of spades
pika 	 adjective 	 spades 	 of the suit of spades
miri 	 verb 	 marvel 	 to be amazed, to marvel, to wonder
miri 	 verb 	 wonder 	 to be amazed, to marvel, to wonder
miri 	 verb 	 amazed 	 to be amazed, to marvel, to wonder
monto 	 noun 	 hill 	 mountain, hill
monto 	 noun 	 mountain 	 mountain, hill
naski 	 verb 	 give birth 	 to give birth to
paco 	 noun 	 peace 	 peace
pagi 	 verb 	 pay 	 to pay with
pagi 	 verb 	 pay for 	 to pay for
pagi 	 verb 	 pay 	 to pay to
pagi 	 verb 	 pay 	 to pay
pasi 	 verb 	 pass 	 to pass; to pass by
peco 	 noun 	 piece 	 piece
pensi 	 verb 	 think 	 to think
perdi 	 verb 	 lose 	 to lose
persono 	 noun 	 person 	 person
persono 	 noun 	 person 	 person
popolo 	 noun 	 people 	 people
popolo 	 noun 	 w:La Espero 	 * 1891, L. L. Zamenhof, "La Espero&quot
postuli 	 verb 	 require 	 to require, claim, demand
postuli 	 verb 	 demand 	 to require, claim, demand
postuli 	 verb 	 claim 	 to require, claim, demand
premi 	 verb 	 press 	 to press
provi 	 verb 	 attempt 	 to try, attempt
provi 	 verb 	 try 	 to try, attempt
provi 	 verb 	 test 	 to try out, test
regi 	 verb 	 rule 	 to rule, reign, govern, control
regi 	 verb 	 reign 	 to rule, reign, govern, control
regi 	 verb 	 control 	 to rule, reign, govern, control
regi 	 verb 	 govern 	 to rule, reign, govern, control
regi 	 verb 	 w:L. L. Zamenhof 	 * 1907, L. L. Zamenhof, speech at the Third World Congress of Esperanto
serĉi 	 verb 	 seek 	 to search, to seek, to look for
serĉi 	 verb 	 search 	 to search, to seek, to look for
serĉi 	 verb 	 look 	 to search, to seek, to look for
simpla 	 adjective 	 simple 	 simple
soni 	 verb 	 sound 	 to sound
soni 	 verb 	 noise 	 to make noise, make a sound
suno 	 noun 	 Sun 	 the Sun
ŝanĝi 	 verb 	 change 	 to change
timi 	 verb 	 fear 	 to fear
tiri 	 verb 	 pull 	 to drag, draw, pull
tiri 	 verb 	 drag 	 to drag, draw, pull
tiri 	 verb 	 draw 	 to drag, draw, pull
valoro 	 noun 	 value 	 worth, value
valoro 	 noun 	 worth 	 worth, value
vesto 	 noun 	 garment 	 garment
tipolo 	 noun 	 cranefly 	 a cranefly
abata 	 adjective 	 abbot 	 abbatial; belonging to, relating to, or pertaining to an abbey, abbot, or abbess
abata 	 adjective 	 abbatial 	 abbatial; belonging to, relating to, or pertaining to an abbey, abbot, or abbess
abata 	 adjective 	 abbess 	 abbatial; belonging to, relating to, or pertaining to an abbey, abbot, or abbess
abata 	 adjective 	 abbey 	 abbatial; belonging to, relating to, or pertaining to an abbey, abbot, or abbess
celo 	 noun 	 aim 	 goal, aim, purpose
celo 	 noun 	 purpose 	 goal, aim, purpose
celo 	 noun 	 goal 	 goal, aim, purpose
daŭro 	 noun 	 duration 	 duration
doloro 	 noun 	 pain 	 ache, pain
doloro 	 noun 	 ache 	 ache, pain
esperi 	 verb 	 hope 	 to hope
esperi 	 verb 	 despair 	 gloss=to despair
fiŝo 	 noun 	 fish 	 fish
gaja 	 adjective 	 glad 	 gay, merry, glad
gaja 	 adjective 	 gay 	 gay, merry, glad
gaja 	 adjective 	 merry 	 gay, merry, glad
ĝardeno 	 noun 	 garden 	 garden
ĝusta 	 adjective 	 correct 	 right, correct, exact
ĝusta 	 adjective 	 exact 	 right, correct, exact
ĝusta 	 adjective 	 right 	 right, correct, exact
hela 	 adjective 	 clear 	 clear, bright
hela 	 adjective 	 bright 	 clear, bright
interna 	 adjective 	 internal 	 inner, internal, inside
interna 	 adjective 	 inside 	 inner, internal, inside
interna 	 adjective 	 inner 	 inner, internal, inside
kaŝi 	 verb 	 conceal 	 to hide, to conceal
kaŝi 	 verb 	 hide 	 to hide, to conceal
tima 	 adjective 	 fearful 	 fearful
posta 	 adjective 	 posterior 	 later, posterior
posta 	 adjective 	 later 	 later, posterior
raviolo 	 noun 	 ravioli 	 ravioli
raviolo 	 noun 	 delicious 	 This pizzeria has the best pizza in town, but it also serves delicious spaghetti and ravioli
raviolo 	 noun 	 pizza 	 This pizzeria has the best pizza in town, but it also serves delicious spaghetti and ravioli
raviolo 	 noun 	 spaghetti 	 This pizzeria has the best pizza in town, but it also serves delicious spaghetti and ravioli
sati 	 verb 	 satiated 	 to be satiated
kaŭzo 	 noun 	 cause 	 cause
kolo 	 noun 	 neck 	 neck
kuŝi 	 verb 	 recline 	 to lie, to recline
kuŝi 	 verb 	 lie 	 to lie, to recline
kuŝi 	 verb 	 lie 	 to lie
kuŝi 	 verb 	 w:eo:La Mastro de l' Ringoj: La Kunularo de l' Ringo  	 * John Ronald Reuel Tolkien, La Mastro de l' Ringoj: La Kunularo de l' Ringo
kuŝi 	 verb 	 w:eo:John Ronald Reuel Tolkien 	 * John Ronald Reuel Tolkien, La Mastro de l' Ringoj: La Kunularo de l' Ringo
kuŝi 	 verb 	 die 	 to have died
laca 	 adjective 	 weary 	 tired, weary
laca 	 adjective 	 tired 	 tired, weary
larĝa 	 adjective 	 broad 	 broad, wide
larĝa 	 adjective 	 wide 	 broad, wide
larĝa 	 adjective 	 big 	 big
ligo 	 noun 	 league 	 league, connection
ligo 	 noun 	 connection 	 league, connection
ligno 	 noun 	 wood 	 wood
ligno 	 noun 	 tree 	 tree }
ludi 	 verb 	 play 	 to play
ludi 	 verb 	 play 	 to play
marko 	 noun 	 stamp 	 mark, stamp
marko 	 noun 	 mark 	 mark, stamp
marko 	 noun 	 brand 	 company brand
mezo 	 noun 	 middle 	 middle
neĝo 	 noun 	 snow 	 snow
nombro 	 noun 	 number 	 number abstract quantity, amount
nombro 	 noun 	 amount 	 number abstract quantity, amount
nombro 	 noun 	 number 	 grammatical number
nubo 	 noun 	 cloud 	 cloud
pano 	 noun 	 bread 	 bread
paŝi 	 verb 	 step 	 to step, to stride
paŝi 	 verb 	 stride 	 to step, to stride
peni 	 verb 	 make an effort 	 to endeavour, to make an effort, to try
peni 	 verb 	 endeavour 	 to endeavour, to make an effort, to try
peni 	 verb 	 try 	 to endeavour, to make an effort, to try
plori 	 verb 	 mourn 	 to cry, to weep, to mourn
plori 	 verb 	 weep 	 to cry, to weep, to mourn
plori 	 verb 	 cry 	 to cry, to weep, to mourn
hispano 	 noun 	 Spaniard 	 a Spaniard
brito 	 noun 	 United Kingdom of Great Britain and Northern Ireland 	 a person from the United Kingdom of Great Britain and Northern Ireland
brito 	 noun 	 Briton 	 Briton
foto 	 noun 	 photo 	 photo
provo 	 noun 	 attempt 	 attempt
abstrakta 	 adjective 	 abstract 	 abstract
historie 	 adverb 	 historically 	 historically
arteria 	 adjective 	 artery 	 arterial, relating to an artery
arteria 	 adjective 	 arterial 	 arterial, relating to an artery
kare 	 adverb 	 dearly 	 dearly
ete 	 adverb 	 slightly 	 slightly
taksi 	 verb 	 appraise 	 to appraise
laboro 	 noun 	 work 	 job, work
laboro 	 noun 	 job 	 job, work
oriente 	 adverb 	 easterly 	 easterly
proceso 	 noun 	 legal 	 a legal case, a trial, a lawsuit
proceso 	 noun 	 case 	 a legal case, a trial, a lawsuit
proceso 	 noun 	 lawsuit 	 a legal case, a trial, a lawsuit
proceso 	 noun 	 trial 	 a legal case, a trial, a lawsuit
ministro 	 noun 	 minister 	 minister
atena 	 adjective 	 Athenian 	 Athenian
seminario 	 noun 	 seminar 	 seminar
amari 	 verb 	 bitter 	 to be bitter
socio 	 noun 	 society 	 society
eco 	 noun 	 quality 	 quality, attribute
eco 	 noun 	 attribute 	 quality, attribute
certe 	 adverb 	 certainly 	 certainly; surely
certe 	 adverb 	 surely 	 certainly; surely
vere 	 adverb 	 truly 	 truly
parlamento 	 noun 	 parliament 	 parliament
duelo 	 noun 	 duel 	 duel
ve 	 interjection 	 alas 	 alas, woe
vide 	 adverb 	 visually 	 visually, by sight
vide 	 adverb 	 sight 	 visually, by sight
imperio 	 noun 	 empire 	 empire
tono 	 noun 	 tone 	 tone
iro 	 noun 	 going 	 trip, course, run, going
iro 	 noun 	 run 	 trip, course, run, going
iro 	 noun 	 course 	 trip, course, run, going
iro 	 noun 	 trip 	 trip, course, run, going
alero 	 noun 	 awning 	 awning, canopy
alero 	 noun 	 canopy 	 awning, canopy
anhelo 	 noun 	 breath 	 panting, puffing, gasping breath; hyperventilation
anhelo 	 noun 	 gasp 	 panting, puffing, gasping breath; hyperventilation
anhelo 	 noun 	 hyperventilation 	 panting, puffing, gasping breath; hyperventilation
anhelo 	 noun 	 pant 	 panting, puffing, gasping breath; hyperventilation
anhelo 	 noun 	 puff 	 panting, puffing, gasping breath; hyperventilation
argumento 	 noun 	 argument 	 argument
insulto 	 noun 	 affront 	 insult, affront
insulto 	 noun 	 insult 	 insult, affront
alternativa 	 adjective 	 alternative 	 alternative
individuo 	 noun 	 individual 	 individual
labio 	 noun 	 labium 	 labium
progreso 	 noun 	 progress 	 progress
mita 	 adjective 	 mythical 	 mythical
bento 	 noun 	 benthos 	 benthos
ministerio 	 noun 	 ministry 	 ministry
ceremonia 	 adjective 	 ceremonious 	 ceremonious, ceremonial
ceremonia 	 adjective 	 ceremonial 	 ceremonious, ceremonial
signo 	 noun 	 signal 	 sign, signal
signo 	 noun 	 sign 	 sign, signal
signo 	 noun 	 character 	 character, mark
signo 	 noun 	 mark 	 character, mark
modo 	 noun 	 mood 	 mood
modo 	 noun 	 style 	 fashion, style
modo 	 noun 	 fashion 	 fashion, style
trono 	 noun 	 throne 	 throne
foro 	 noun 	 distance 	 distance, a far place
bono 	 noun 	 goodness 	 goodness
sistema 	 adjective 	 systematic 	 systematic
modelo 	 noun 	 model 	 model
turismo 	 noun 	 tourism 	 tourism
mito 	 noun 	 myth 	 myth traditional story
mito 	 noun 	 myth 	 common false belief, myth
instrumento 	 noun 	 instrument 	 instrument
barba 	 adjective 	 beard 	 of or related to beards
barba 	 adjective 	 beardy 	 of people having a beard, beardy
narciso 	 noun 	 daffodil 	 daffodil
kore 	 adverb 	 cordially 	 cordially, heartily
kore 	 adverb 	 heartily 	 cordially, heartily
oceano 	 noun 	 ocean 	 ocean
imago 	 noun 	 imagination 	 imagination
umi 	 verb 	 perform 	 to do something, perform some sort of action
umi 	 verb 	 do 	 to do something, perform some sort of action
magneto 	 noun 	 magnet 	 magnet
ondo 	 noun 	 wave 	 wave
brite 	 adverb 	 by 	 by British
brite 	 adverb 	 British 	 by British
endi 	 verb 	 mandatory 	 to be required; to have to be done; to be mandatory
endi 	 verb 	 required 	 to be required; to have to be done; to be mandatory
definitive 	 adverb 	 definitively 	 definitively
kemia 	 adjective 	 chemical 	 chemical
folio 	 noun 	 leaf 	 leaf
folio 	 noun 	 sheet 	 sheet
honte 	 adverb 	 shamefully 	 shamefully
honte 	 adverb 	 ashamedly 	 ashamedly
fama 	 adjective 	 famous 	 famous
bebo 	 noun 	 baby 	 baby
dormo 	 noun 	 sleep 	 sleep
imperia 	 adjective 	 imperial 	 imperial
mtr 	 phrase 	 be right back 	 |be right back, BRB
mtr 	 phrase 	 BRB 	 |be right back, BRB
esperanto 	 noun 	 hopes 	 one who hopes/is hoping
pinto 	 noun 	 summit 	 peak, summit
pinto 	 noun 	 peak 	 peak, summit
pinto 	 noun 	 point 	 point
turbo 	 noun 	 spinning top 	 spinning top
ova 	 adjective 	 egg 	 related or pertaining to eggs
ova 	 adjective 	 egg 	 egg
diable 	 adverb 	 devilishly 	 devilishly
diable 	 adverb 	 terribly 	 terribly, awfully
diable 	 adverb 	 awfully 	 terribly, awfully
diable 	 interjection 	 damn 	 deuce, damn
diable 	 interjection 	 deuce 	 deuce, damn
ema 	 adjective 	 tending 	 tending to
sob 	 adverb 	 downwards 	 down, downwards
sob 	 adverb 	 down 	 down, downwards
morale 	 adverb 	 morally 	 morally
kubo 	 noun 	 cube 	 cube
lesbo 	 noun 	 lesbian 	 a lesbian
dana 	 adjective 	 Danish 	 Danish
biblia 	 adjective 	 biblical 	 biblical
etimologia 	 adjective 	 etymological 	 etymological
tako 	 noun 	 taco 	 taco
lanugo 	 noun 	 down 	 down
lanugo 	 noun 	 fluff 	 fluff
variola 	 adjective 	 variolous 	 variolous
oka 	 adjective 	 eighth 	 ordinal numbers eighth
eki 	 verb 	 start 	 to begin, start
eki 	 verb 	 begin 	 to begin, start
koto 	 noun 	 mud 	 mud
energie 	 adverb 	 energetically 	 energetically
vintre 	 adverb 	 winter 	 during winter
vintre 	 adverb 	 during 	 during winter
censo 	 noun 	 census 	 census
deke 	 adverb 	 tenthly 	 tenthly
ups 	 interjection 	 oops 	 oops
vado 	 noun 	 mudflat 	 mudflat
valida 	 adjective 	 valid 	 valid
kolombo 	 noun 	 Columba 	 bird of genus Columba, pigeon, dove
kolombo 	 noun 	 dove 	 bird of genus Columba, pigeon, dove
kolombo 	 noun 	 pigeon 	 bird of genus Columba, pigeon, dove
kolombo 	 noun 	 Columbidae 	 gloss=member of family Columbidae
kolombo 	 noun 	 cock dove 	 |cock pigeon , cock dove
kolombo 	 noun 	 cock pigeon 	 |cock pigeon , cock dove
kolombo 	 noun 	 squab 	 |squab
kolombo 	 noun 	 hen dove 	 |hen pigeon , hen dove
kolombo 	 noun 	 hen pigeon 	 |hen pigeon , hen dove
kolombo 	 noun 	 squab 	 |pigeon meat, dove meat, squab
kolombo 	 noun 	 meat 	 |pigeon meat, dove meat, squab
kolombo 	 noun 	 flock 	 |flock of pigeons
grasa 	 adjective 	 fatty 	 greasy, fatty
grasa 	 adjective 	 greasy 	 greasy, fatty
grasa 	 adjective 	 bold 	 bold
idioma 	 adjective 	 idiomatic 	 idiomatic
pavo 	 noun 	 peafowl 	 peafowl
pavo 	 noun 	 peacock 	 peacock
pavo 	 noun 	 peachick 	 |female peachick
pavo 	 noun 	 peahen 	 |peahen, female peafowl
regulo 	 noun 	 rule 	 rule
paso 	 noun 	 pass 	 pass
paso 	 noun 	 passing 	 passing
ringo 	 noun 	 ring 	 ring
garbo 	 noun 	 sheaf 	 sheaf
kripto 	 noun 	 crypt 	 crypt
jako 	 noun 	 jacket 	 jacket, coat
