wer- 	 burn 	 to burn
spend- 	 libate 	 to libate
(s)pend- 	 stretch 	 to stretch
peyh- 	 fat, milk 	 fat, milk
kwep- 	 smoke, steam 	 to smoke, to steam
kwep- 	 boil 	 to boil
kwep- 	 odor, aroma, strong 	 aroma, strong odor
tengʰ- 	 back, pull 	 to pull (back)
tengʰ- 	 difficult, heavy 	 to be heavy, difficult
mregʰ- 	 brain 	 brain
gewh- 	 call, name 	 to call, name
gewh- 	 call on, invoke 	 to invoke, call on
gewh- 	 cry out, cry 	 to cry, cry out
weyp- 	 agitate, shake, tremble 	 to shake, tremble, agitate
weyp- 	 swing, sway 	 to swing, sway
weyp- 	 wrap, turn, wind, rotate 	 to turn, wind, rotate, wrap (around)
ksweybʰ- 	 swift, make, movement, swiftly, move 	 to move swiftly, make a swift movement
ksweybʰ- 	 swing, shake, swinging 	 to swing, shake, to be swinging
ksweybʰ- 	 cast, whip, throw 	 to whip, cast, throw
weh₁y- 	 twist, weave, wind, plait 	 to twist, wind, weave, plait
weh₁y- 	 wrap, enclose, cover 	 to wrap, enclose, cover
pewḱ- 	 pine 	 pine
pewǵ- 	 punch, fist-fight 	 to punch, fist-fight
pewǵ- 	 stab, prick, poke 	 to prick, poke, stab
kl̥h- 	 naked, bald 	 bald, naked
bʰeyh₂- 	 fear, afraid 	 to fear, be afraid
bʰeyh₂- 	 hit, strike 	 to strike, hit
bʰeyh₂- 	 hew, cut 	 to hew, cut
ḱeyp- 	 anger, ridicule, mock 	 to ridicule, mock, anger
bʰers- 	 tip, top, point 	 top, tip, point
ǵʰreh₁d- 	 sound 	 to sound
seh₂k- 	 sacred 	 sacred
deh₂p- 	 sacrifice 	 to sacrifice
deh₂p- 	 lose 	 to lose
pers- 	 spatter, sprinkle 	 to sprinkle, to spatter
pes- 	 penis 	 penis
puh- 	 foul, rotten 	 rotten, foul
prep- 	 appear, visible 	 to appear, to be visible
prew- 	 jump 	 to jump
bʰrehg- 	 odour, smell 	 to smell, to have a strong odour
bʰreyh- 	 cut 	 to cut
twerḱ- 	 cut off, carve, trim 	 to carve, cut off, trim
ḱers- 	 run 	 to run
h₁eysh₂- 	 strengthen 	 to strengthen
h₁eysh₂- 	 propel 	 to propel
gʷelbʰ- 	 womb 	 the womb
ḱweyt- 	 shine 	 to shine
gʷet- 	 resin, gum 	 resin, gum
gʷet- 	 speak, say 	 to say, speak
kewh₂- 	 strike, hit 	 to hit, to strike
kewh₂- 	 forge 	 to forge
kʷeḱ- 	 see 	 to see
kʷeḱ- 	 look 	 to look
tr̥nós 	 sharp, stiff 	 sharp, stiff
neygʷ- 	 wash 	 to wash
h₂ger- 	 gather 	 to gather
h₂ger- 	 flock, herd 	 flock, herd
weyh₁- 	 pursue, chase 	 to chase, pursue
weyh₁- 	 persecute, suppress 	 to suppress, persecute
hrew- 	 tear, acquire, open, out, dig 	 to tear out, dig out, open, acquire
h₃rew- 	 hurry, run 	 to run, to hurry
(h)rewh- 	 root, dig, out 	 to dig out, to root
h₃rewk- 	 dig 	 to dig
h₃rewk- 	 till 	 to till (soil)
tyegʷ- 	 give, leave 	 to leave alone, give up
tyegʷ- 	 retreat 	 to retreat
welh₃- 	 strike, hit 	 to hit, to strike
yeh₂- 	 go 	 to go
yeh₂- 	 in, enter 	 to go in, enter
yeh₂- 	 travel, ride 	 to ride, to travel
yek- 	 utter 	 to utter
leh₁d- 	 tired 	 to be tired
nes- 	 home, return 	 to return home (safely)
krep- 	 body 	 body
lewg- 	 bend 	 to bend
neyk- 	 mill, swing, winnow, grains 	 to winnow, swing grains in a mill
tend- 	 extend, stretch 	 to stretch, to extend
tend- 	 split, cut 	 to split, cut off
tenh₂- 	 extend, stretch 	 to stretch, to extend
tens- 	 stretch 	 to stretch
kagʰ- 	 seize, take 	 to take, seize
h₁reyp- 	 tear down, tear 	 to tear, tear down
dʰerh₃- 	 spring, leap 	 to leap, spring
h₂reh₁- 	 think, reason 	 to think, reason
h₂reh₁- 	 arrange 	 to arrange
h₂rey- 	 count out, count 	 to count, count out
h₂rey- 	 arrange 	 to arrange
kʷey- 	 pay 	 to pay
kʷey- 	 avenge 	 to avenge
spewd- 	 press, push 	 to press, to push
stew- 	 laud, praise 	 to praise, laud
deh₂- 	 share 	 to share, divide
deh₂y- 	 share 	 to share, divide
ksnew- 	 sharpen, sc[[rapeseed 	 to scrapeseed, sharpen
kes- 	 sc[[rapeseed, comb 	 to scrapeseed, comb
ksew- 	 sharpen, sc[[rapeseed, shave 	 to scrapeseed, shave, sharpen
ksen- 	 card, scratch 	 to card, scratch
pleh₃(w)- 	 swim, flow 	 to swim, flow
tewk- 	 offspring, sprout, seed, germ 	 germ, seed, sprout, offspring
sperdʰ- 	 compete, struggle, contest 	 to compete, contest, struggle
ḱewh₁- 	 swell 	 to swell
ḱewh₁- 	 strong 	 to be strong
dʰǵʰyes- 	 yesterday 	 yesterday, the day before
h₁el- 	 brownish, greyish 	 greyish or brownish coloration
h₁el- 	 elk, deer 	 deer, elk
h₁el- 	 elephant 	 : → elephant
h₁el- 	 fir, alder, elm 	 various tree species with bright bark, e.g. alder, elm, fir
(s)poh(y)- 	  	 foam
dʰǵʰu- 	 fish 	 fish
ǵem- 	 marry 	 to marry
kyeh₂- 	 sieve 	 to sieve
h₁wed- 	 dowry 	 dowry
twerh- 	 enclose, fence 	 to enclose, fence in
twerh- 	 grab 	 to grab, seize
twerh- 	 stir 	 to stir
twerh- 	 hurry, hasten 	 to hurry, hasten
selǵ- 	 let go, send 	 to let go, send
pres- 	 press 	 to press
bʰenǵʰ- 	 thick 	 thick
hyewdʰ- 	 push, agitate, erect, upright, straight, move 	 moving erect, to be agitated or push forward in such a fashion that one is straight or upright (for example as walking into battle)
h₃neyd- 	 revile, insult 	 to revile, insult
sengʷ- 	 sink 	 to sink
sengʷ- 	 fall 	 to fall
sengʷ- 	 drop 	 to drop
heh₃s- 	 ash tree 	 ash tree
tews- 	 empty, drain 	 to be empty; to drain
tews- 	 happy 	 to be happy
pewh- 	 pure, clean 	 to be clean, pure
h₂eysd- 	 laud, honour 	 to laud, honour
p(t)erh- 	 fern 	 fern
h₁ers- 	 flow 	 to flow
tum- 	 swell 	 to swell
tum- 	 strong, big 	 to become big or strong
tum- 	 mound 	 mound
h₂sews- 	 dry 	 to be dry
serḱ- 	 make, good, recompense, emend 	 to emend, make good, recompense
mews- 	 moss 	 moss
wegʷ- 	 wet, moist 	 wet, moist
h₃meygʰ- 	 fog, cloud, mist 	 fog, mist, cloud
h₃meygʰ- 	 drizzle 	 to drizzle
h₁yaǵ- 	 sacrifice 	 to sacrifice
h₁yaǵ- 	 worship 	 to worship
sh₂ey- 	 bind, fetter 	 to bind, fetter
semh₂- 	 summer, year 	 summer, year 
mew- 	 move 	 to move
bʰey- 	 bee 	 bee
tpelh- 	 city, fortification 	 fortification, city
welg- 	 wet, damp 	 wet, damp
(s)mel- 	 erroneous, false 	 false, erroneous
(s)mel- 	 evil, bad 	 bad, evil
gʰrey- 	 smear 	 to smear
gʰrey- 	 paint 	 to paint
gʰrey- 	 streak 	 to streak
gʰer- 	 rub 	 to rub
gʰer- 	 stroke 	 to stroke
gʰer- 	 grind 	 to grind
gʰer- 	 remove 	 to remove
(s)mal- 	 small 	 small
(s)mal- 	 little 	 little
h₁em- 	 take 	 to take
h₁em- 	 distribute 	 to distribute
peh₁- 	 hurt, hate 	 to hate, hurt
h₂eh₃- 	 hot 	 to be hot
h₂eh₃- 	 burn 	 to burn
kakka- 	 defecate 	 to defecate
peg- 	 breast 	 breast
ḱlewh- 	 rinse, slide, clean 	 to clean, rinse, slide
(s)kewd- 	 advance, push 	 to advance, push
(s)kewd- 	 drive, propel 	 to drive, propel
kelh₂- 	 beat 	 to beat
kelh₂- 	 break 	 to break
(s)mewk- 	 let loose, release 	 to let loose, release
(s)mewk- 	 escape, flee, slip away 	 to slip away, escape, flee
ḱens- 	 announce, proclaim 	 to announce, to proclaim
ḱens- 	  	 to put in order
bʰelǵ- 	 balk, beam 	 to balk, beam
(s)h₁es- 	 fruit, crop, harvest 	 harvest, crop, fruit
dʰeygʷ- 	 pierce, stick 	 to stick into, pierce
dʰeygʷ- 	 ditch, dig 	 to dig; to ditch
dʰeygʷ- 	 set up, plant, fasten 	 to plant; to set up, fasten
h₂leg- 	 care 	 to care for
dʰenh₂- 	 set in motion 	 to set in motion
dʰenh₂- 	 flow 	 to flow
stebʰ- 	 stand still 	 to stand still
stebʰ- 	 harden 	 to harden
stegʷʰ- 	 enlace 	 to enlace
bʰrekʷ- 	 condense 	 to condense
bʰrekʷ- 	 crowd, together 	 to crowd together
streyg- 	 rub, strike, stroke 	 to stroke, rub, strike
streyg- 	 shear 	 to shear
kʷeyt- 	 notice 	 to notice
kʷeyt- 	 read 	 to read
sterbʰ- 	 exert 	 to exert (force, work, treatment)
sterbʰ- 	 stiff, become 	 to become stiff
derhgʰ- 	 tug, stretch 	 to tug, to stretch
derhgʰ- 	 pluck 	 to pluck
bak- 	 club, peg 	 peg, club
yem- 	 restrain, hold 	 to hold, restrain
yem- 	 seize, take 	 to take, seize
perkʷ- 	 oak 	 oak
ses- 	 rest, sleep 	 to rest, to sleep
weys- 	 increase, raise 	 to raise, increase
weys- 	 produce, procreate 	 to produce, procreate
bew- 	  	 ''low-pitch humming noise''
bʰed- 	 better, improve 	 to improve, make better
bʰedʰh₂- 	 burrow, dig 	 to dig, burrow
bʰedʰh₂- 	 stab, pierce 	 to pierce, stab
h₁engʷ- 	 burn 	 to burn
h₁engʷ- 	 fire 	 fire
meyk- 	 twinkle, blink 	 to twinkle, blink
bʰel- 	 speak, roar, sound, bark 	 to sound; to speak, roar, bark
bʰel- 	 shiny, white 	 shiny, white
bʰel- 	 blow, swell up 	 to blow, to swell up
bʰel- 	 henbane 	 henbane
(s)meh₂- 	 beckon, signal 	 to beckon, signal
gʰedʰ- 	 join 	 to join
gʰedʰ- 	 unite 	 to unite
gʰedʰ- 	 suit 	 to suit
kewk- 	 elevate 	 to elevate
kewk- 	 height 	 height
h₂meygʷ- 	 exchange, change 	 to change, exchange
h₂meygʷ- 	 wander 	 to change places → to wander
h₁eǵ- 	 say 	 to say
gelh- 	 naked 	 naked
gelh- 	 head 	 head
gnewh- 	 press 	 to press
seyt- 	 magic 	 magic
leg- 	 leak 	 to leak
h₂endʰ- 	 bloom 	 to bloom
meyth- 	 exchange 	 to exchange
swenh₂- 	 sound 	 to sound
leh₂w- 	 gain, seize 	 to seize, gain
leh₂w- 	 prize, benefit 	 benefit, prize
h₂meh₁- 	 mow, reap 	 to mow, reap
ken- 	 arise, begin 	 to arise, begin
steyh₂- 	 stiffen 	 to stiffen
serp- 	 creep, crawl 	 to creep, crawl
terkʷ- 	 spin, turn 	 to turn, spin
telkʷ- 	 talk 	 to talk
temh₁- 	 cut 	 to cut
selh₁- 	 take 	 to take
(s)telh- 	 still, silent 	 to be silent, be still
dʰelbʰ- 	 excavate, dig 	 to dig, excavate
yemh- 	 twin 	 twin
h₂eym- 	 copy, imitate 	 to copy, imitate
leh₁- 	 calm, soft 	 soft, calm
leh₁- 	 slow, lazy 	 lazy, slow
len- 	 soft 	 soft
weth₂- 	 say 	 to say
drem- 	 run 	 to run
h₂eng- 	 bend, curve 	 curve, bend
(s)leh₃y- 	 blueish 	 blueish
h₁eh₁t- 	 breathe 	 to breathe
h₁eh₁t- 	 breath 	 breath
(s)ḱeh₁y- 	 shimmer, shine 	 to shine, shimmer
(s)ḱeh₃- 	 darkness, shadow 	 darkness, shadow
(s)ḱeh₁w- 	 rainy, cold 	 cold, rainy
(s)ḱeh₁w- 	 north 	 north
bʰlewh- 	 overflow 	 to overflow
h₁weydʰh₁- 	 divide, separate 	 to separate, divide
stengʷ- 	 push 	 to push
h₂et- 	 grass 	 grass
(s)penh₁- 	 twist 	 to twist
(s)penh₁- 	 weave 	 to weave
h₂ems- 	 beget, give birth 	 to give birth, beget
sewh₁- 	 press, forth, push 	 to press, push (forth)
teh₁g- 	 touch 	 to touch
neyh- 	 lead 	 to lead
kʷeys- 	 see, heed 	 to see; to heed
wers- 	 wipe 	 to wipe
wers- 	 height, peak 	 peak, height
(s)keng- 	 hobble, limp 	 to limp, hobble
(s)keng- 	 askew, tilt 	 to tilt, be askew
dʰwes- 	 breathe 	 to breathe (in or out)
dʰwes- 	 breath 	 breath
dʰwes- 	 creature, spirit, soul 	 spirit, soul &gt; creature
(s)teyg- 	 sharp 	 to be sharp
(s)teyg- 	 sting 	 to sting
k⁽ʷ⁾sewd- 	 disperse, crush 	 to crush, disperse
k⁽ʷ⁾sewd- 	 disintegrate 	 to disintegrate
h₃neh₂- 	 enjoy 	 to enjoy
ster- 	 sterile, infertile 	 sterile, infertile
dweh₂- 	 far 	 far
dweh₂- 	 long 	 long
h₁wers- 	 rain 	 to rain
g⁽ʷ⁾eldʰ- 	 desire, wish 	 to wish for, to greedily desire
deyh₁- 	 hurtle, chase 	 to hurtle, to chase (away)
gem- 	 be, full, grab, grip 	 to grab, grip; be full
ǵeh₂r- 	 call, shout 	 to shout, call
