dictionary	dictiōnārium
medallion	medallionis
medal	medalis
demarcation	demarcatio
moral	probus
moral	mōrālitās
deft	dexter
demigod	semideus
annul	annūllō
in the flesh	in personam
in person	in personam
in person	cōram
ecclesiastical latin	lingua Latina Ecclesiastica
vulgar latin	sermo vulgaris
vulgar latin	lingua Latina vulgaris
martha	Martha
dust devil	vertigo
dust devil	vortex
devil	diabolus
devil	larva
devil	Diabolus
devil	Satanās
plurale tantum	plurale tantum
fireman	siphonarius
fireman	vigil
firewoman	vigil ignis
firewoman	vigilis ignis
honesty	honestas
honesty	probitās
edifice	aedificium
fixed	status
fixed	refectus
aeneas	Aenēās
paul	Paulus
decimal	decimalis
hexadecimal	sedecimalis
bonus	dōnātīvum
potsherd	testa
innkeeper	caupō
filter	liquatorium
filter	liquo
filter	sacco
snailery	cochlearium
morality	mōrālitās
yummy	sapidum
yummy	sapidus
wi-fi	Vi-Fi
wi-fi	cōnexiō computātrō sine fīlīs
fiancée	sponsa
spruce	picea
off	ex
sterilize	sterilizare
censorship	censura
censorship	literarum censura
vase	vāse
vase	vāsis
brave	animosus
brave	fortis
brave	magnanimus
bravery	mīlitia
much	multus
much	multum
much	puno
much	mnȍgo
pelican	pelecānus
wait	expectō
wait	exspectō
wait	opperior
wait	expectatio
wait on	ministrō
wait on	appāreō
manus	manus
quicksilver	argentum vivum
quicksilver	hydrargyrum
quicksilver	argentum liquidum
shut up	arceō
shut up	taceo
shut up	conticeo
shut up	tace
shut up	tacete
shut up	favete linguis
ubiquitous	ubique
ubiquitous	ens ubique
ubiquitous	omnipraesens
ubiquitous	ens undique
ubiquitous	ubiquitus
ubiquitous	visus simul ubique
epoch	epocha
romanize	Latinh hóa
romanize	Latinh hoá
romanize	La Mã hóa
fix	reficiō
fix	reconcinnō
fix	restituō
fix	sarciō
fix	pangō
fix	fīgō
great-grandfather	proavus
parsimony	parsimonia
take off	exuō
mendacious	mendax
genitalia	verenda
palindrome	palindromus
conclave	conclāve
senior	senior
junior	iūnior
coup d'état	eversio reipublicae
agitator	turbātor
agoraphobia	agoraphobia
jacket	chaqueta
jacket	saco
jacket	americana
jacket	gabán
jacket	colloquial
jacket	paltó
magus	magus
magus	maga
gnat	culex
gnat	alucita
get up	orior
get up	surgō
germanic	germanicus
germanic	germanica
dirt	caenum
dirt	sordēs
stain	macula
stain	polluo
stain	maculo
stain	maculare
filth	sordēs
filth	paedor
soldier	mīles
soldier	bellator
soldier	mīlitāre
bathe	lavo
bathe	alluo
bathe	perluo
enlarge	grandiō
blindness	caecitās
masturbate	masturbor
masturbate	glubo
great-grandson	pronepōs
well done	mactē
philosopher's stone	lapis philosophorum
surface	superficiēs
wolf down	tuburcinor
madam	lēna
senate	senātus
erection	erectio
erection	ērectiō
erection	tentīgō
erection	verpa
chamber	camera
chamber	cubiculum
enjoy	fruor
tempest	tempestas
tempest	procella
conspire	coniūrō
chaste	pudīcus
devon	Devōnia
student	studēns
student	discipulus
student	discipula
student	discipulum
student	discens
student	studens
papua	Papua
forebode	praesāgīo
forebode	portendō
forebode	polliceor
ready	parātus
ready	promptus
ready	preparatus
scatter	spargō
scatter	dissipō
enter	ineō
enter	intrō
enter	ingredior
enter	introeo
enter	invado
enter	imbitō
entropy	entropia
freedom	lībertās
chant	cano
eighty-eight	duedenonaginta
eighty-eight	duodēnōnāgintā
creature	creātūra
monster	bēlua
monster	mōnstrum
bulwark	agger
bullfighting	tauromachia
of course	quippe
of course	scilicet
of course	nempe
of course	sānē
soon	mox
soon	citō
bravo	mactē
sooner or later	serius aut citius
sooner or later	serius ocius
ego	idem
efficacious	efficax
vampire	sanguisūga
vampire	vampyrus
go off	abeo
go off	abscedo
donation	stips
donation	dōnātiō
donation	condonatio
pebble	calculus
pebble	lapillus
dismount	descendō
dine	cēnō
pernicious	perniciosus
forty-five	quadraginta quinque
hermit	inclūsus
friar	frater
celibate	caelebs
protest	reclāmō
royal	rēgius
royal	rēgālis
fleece	vellus
fleece	dēfloccō
bishopric	dioecēsis
bishopric	episcopātus
each other	se
each other	inter se
each other	alii alios
each other	alter alterum
each other	invicem
each other	ad invicem
rule	rēgula
rule	lēx
rule	norma
rule	praeceptum
rule	praescrīptum
rule	regimen
rule	regō
rule	imperō
into	in
goof	erro
gizzard	ingluviēs
gizzard	gigēria
gizzard	žèludac
palisade	vallum
palisade	vallus
palisade	sublica
vanquish	evinco
renegade	renegātus
renegade	renegāta
perineum	perineum
e pluribus unum	ē plūribus ūnum
e pluribus unum	e pluribus unum
rubble	strāgēs
rubble	rūdus
yokel	petrō
enormous	immānis
enormous	ingens
gigantic	colossēus
perform	fungor
govern	gubernō
govern	regō
exactly	ad unguem
exactly	adeō
exactly	examussim
virus	virus
deliver	trādō
roomy	capax
roomy	laxus
roomy	spatiōsus
abounding	abundans
abounding	largus
aah	hui
ess	es
refute	refellō
refute	refūtō
refute	redarguō
staircase	scalaria
transcend	supero
either	alteruter
confluence	confluens
sepulchral	sepulcralis
faroese	Faroensis
faroese	Færoensis
breve	signum correptionis
position	positiō
position	situs
position	status
position	gradus
byte	octetus
incursion	incursiō
spiral	helica
spiral	spirala
spiral	tortilis
hate	ōdī
hate	odiō
bacon	laridum
select	ēlectus
select	legō
select	sēligō
select	dēligō
select	optō
pick	carpō
option	optiō
rejoice	gaudeō
rejoice	laetor
rejoice	laetificō
fragment	fragmen
fragment	fragmentum
pardon	ignōscō
pardon	dono
pardon	condono
penetrate	intrō
penetrate	penetrō
portion	portiō
counsel	advocātiō
counsel	consilium
counsel	consilior
counselor	consiliātor
cult	cultus
foremost	antīcus
foremost	princeps
confirm	ratihabeo
confirm	confirmō
confirmation	confirmatiō
evolution	seriēs
evolution	prōgressus
evolution	ēvolūtiō vītae
transformation	mūtātiō
transformation	trānsfōrmātiō
auction	auctiō
auction	praeco
perceive	sāgiō
perceive	video
perceive	dispicio
perceive	dispecto
unequal	inīquus
mercenary	mercēnārius
mercenary	mercenarius
gentile	gens
foreign	extraneus
foreign	barbarus
foreign	peregrinus
foreign	alienus
foreign	externus
foreign	advena
native	indiges
native	indigenus
native	indigena
indigenous	indiges
indigenous	indigenus
babylon	Babylon
vast	effūsus
fetus	fētus
inn	dēverticulum
inn	caupōna
inn	hospitāculum
inn	hospitium
kumquat	kumkvat
superfluous	supervacuus
superfluous	superfluus
superfluous	supervacāneus
superfluous	superforāneus
caltrop	mūrex
caltrop	tribulus
wardrobe	vestiarium
wardrobe	òrmār
wardrobe	garderóba
wardrobe	armarium
tedious	taediōsus
trouble	aerumna
trouble	difficultās
trouble	opera
trouble	molimen
sue	lītigō
sue	lītem inferō
furniture	supellex
peter	Petrus
bachelor	baccalaureus
dough	farīna
dough	pasta
bake	torreō
bake	coquere
baked	torridus
chronic	chronicus
chronic	inveterātus
chronic	chronicum
tumor	tumor
take place	afitar
take place	subeo
take place	fiō
take place	accidō
await	opperior
await	expecto
await	exspecto
await	praestōlor
await	respecto
await	spero
monitor	monitor
mount everest	mons Everestis
coordinate	coōrdināta
nip	vellicō
skinflint	avarus
skinflint	avara
skinflint	parcēprōmus
joke	iocus
joke	facetia
joke	iocor
joke	ioculor
equine	equīnus
world war ii	secundum bellum mundiale
world war ii	secundum bellum mundanum
world war ii	Ikkinchi Jahon Urushi
nerve	nervus
werewolf	versipellis
werewolf	lycanthropus
werewolf	lupinotuum
onomatopoeic	onomatopoeticus
sheath	vāgīna
and/or	vel
diaeresis	diaeresis
past	praeteritum
past	praeteritus
circumference	circumferentia
cannibal	anthrōpophagus
cannibal	canibalus
principle	institūtum
positive	gradus positivus
positive	positivus
positive	gradus absolutus
elixir of life	elixir vitae
giblets	gigēria
giblets	gizeria
transcendentalism	transcendentalismus
vagina	vās muliebre
ouroboros	uroborus
obtain	potior
obtain	nanciscor
obtain	assequor
obtain	consequor
obtain	impetro
obtain	obtineo
obtain	teneo
obtain	succedo
ode	oda
odor	odor
offense	offensa
onager	onager
painful	dolens
painful	laboriosus
park	vivarium
park	hortus
park	viridarium
park	parkirati
professor	professor
perfidy	perfidia
convict	damnō
penitent	paenitens
performance	functiō
performance	exsecūtiō
personal	proprius
perspicacious	perspicax
pert	procax
petty	pusillus
petty	minutus
pious	pius
phlegm	pītuīta
taxi	taxiraeda
joyous	gaudibundus
originally	prīmitus
kitchen	coquīna
kitchen	culīna
mad	delirus
mad	vēcors
mad	insānus
mad	dēmens
mad	īrātus
paladin	pugnator
paladin	pugnatrix
belligerent	bellicus
perfect tense	perfectum
bosom	sinus
packed	condensus
packed	frequens
packed	refertus
adam	Adam
paste	agglūtinō
reaper	messor
giant	gigas
frigid	frīgidus
divulge	divulgō
onset	accessus
clown	sanniō
clown	balatrō
part	pars
litter	lectica
litter	feretrum
axiom	axiōma
axilla	axilla
award	addīcō
aware	cōnscius
awful	dīrus
awkward	inconcinnus
awl	subula
awn	arista
awning	vēlārium
awry	oblīquus
lurker	insidiātor
lurk	dēlitescō
avaricious	avārus
avenge	vindicō
avenge	ulcīscor
avenge	persequor
avenge	pūniō
avenge	vindico
avenge	ulciscor
avenge	punio
aversion	āversiō
aviary	aviārium
avoid	vītō
avoid	ēvītō
avoid	evado
avoidable	evitabilis
hurl	iaciō
below	subtus
below	infra
below	infrā
golf	pilamalleus
savage	silvestris
savage	barbarus
savage	ferus
savage	saevus
savage	crūdēlis
savage	immānis
savage	trux
savage	inhūmānus
savage	atrōx
to wit	id est
jazz	iazium
magic wand	virga
lair	lustrum
maker	factor
maker	fabricator
mary	Maria
brooch	fībula
forget-me-not	myosotis
archbishop	archepiscopus
archbishop	archiepiscopus
sauna	sūdātōrium
siege	obsidiō
siege	obsessiō
nutcracker	krcaljka
nutcracker	krckalica
nutcracker	krcalica
john the baptist	Ioannes Baptista
merry-go-round	caballitos
merry-go-round	calesita
merry-go-round	Paraguay
merry-go-round	carrusel
merry-go-round	tiovivo
shrine	aedicula
shrine	delubrum
shrine	sacellum
shrine	aedis
shrine	sacrarium
shrine	fanum
victim	victima
victim	hostia
murderess	interfectrīx
murderer	homicīda
murderer	occīsor
sup	cenō
godfather	patrinus
mathematics	mathēmatica
mirror	speculum
chez	apud
hill	collis
hill	mons
hill	clivus
bookcase	librarium
bookcase	librarius
bookcase	pluteus
bookseller	librārius
bookseller	bibliopola
merchant	mercator
merchant	negotiator
driver	auriga
driver's license	diploma gubernationis
lentil	lens
anniversary	natalis
preacher	praedicator
how much	quantus
biography	curriculum vitae
biography	biographia
how many	quot
circumcision	circumcīsiō
column	columna
alchemy	alchemia
richard	Richardus
precede	praecēdō
precede	praeveniō
armpit	āla
armpit	āxilla
nest	nīdus
enigma	aenigma
saga	saga
disappear	evanescō
disappear	vanescō
disappear	aborior
disappear	excidō
disappear	abolescō
disappear	pereō
disappear	vanesco
disappear	extiguor
porcupine	hystrix
mathematician	mathēmaticus
mathematician	mathēmatica
baker	pistor
baker	pānifex
bean	faba
bean	phaseolus
beech	fāgus
medieval	mediaevalis
equation	aequatio
spouse	coniūnx
spouse	marītus
spouse	marīta
spouse	uxor
piecemeal	carptim
piecemeal	intercīsē
deflate	exanimō
amphibian	amphibium
sodom	Sodoma
carnivore	carnivora
old english	lingua anglosaxonicus
finch	fringilla
osprey	ossifragus
necessary	necesse
cicada	cicada
cicada	chicharra
cicada	cigarra
cicada	coyuyo
crayfish	cancer
crayfish	carabus
lobster	cammarus
lobster	astacus
within	in
within	intra
within	intus
redeem	redimō
deaf	surdus
arab	Arabes
infamy	īnfāmia
gallon	congius
conjecture	coniectūra
conjecture	opīnor
conjecture	coniectō
slut	moecha
pod	siliqua
senator	senātor
four-legged	quadrupēs
atheist	atheos
equity	aequitās
prostitution	prostitutio
stake	tālea
stake	pālus
stake	stilus
stake	sudis
stake	ridica
ch.	cap.
stitch	sūtūra
lottery	sortītus
lottery	sortītiō
testament	testāmentum
proof	argūmentum
proof	indicium
liquor	tēmētum
liquor	ebriamen
chipmunk	tamias
cinderella	Cinerella
aitch	hā
oblique	oblīquus
great-great-grandmother	abavia
great-great-grandfather	abavus
romeo	Romaeus
kidney bean	phasēlus
keel	carīna
ice hockey	alsulegia glacialis
phobia	phobia
favor	venia
favor	faveō
favor	addīcō
presentiment	praesāgium
shoelace	corrigia
woodlouse	oniscus
woodlouse	tylos
demonstration	demonstratio
saul	Saul
saul	Saulus
seventy-five	septuaginta quinque
disco	discothēca
messenger	nūntius
messenger	nūntia
messenger	cursor
messenger	viator
messenger	viatrix
james	Iacobus
james	Jacomus
jacob	Jacobus
proto-indo-european	lingua indogermanica
proto-indo-european	lingua prisca indoeuropaea
sappho	Sapphō
togarmah	Thogorma
grace note	sonus tolerantiae
maternal uncle	avunculus
section	sectiō
foreskin	praepūtium
dagesh	Dagesch
twist	torqueō
shatter	frangō
shatter	comminuō
toy	lūdibrium
toy	crepundia
foolish	fatuus
foolish	stultus
foolish	mōrus
foolish	ineptus
dispatch	ablēgātiō
glove	manica
glove	chirotheca
boundary	terminus
boundary	finis
boundary	fines
blockade	obsidiō
blockade	obsessiō
blockade	circumsedeo
anglo-saxon	Anglosaxones
conspiracy	coniūrātiō
seat	sēdēs
seat	sedīle
lonely	sōlitārius
inter-	inter-
inter-	durch-
inter-	unter-
inter-	ver-
inter-	zwischen-
vineyard	vīnētum
vineyard	vīnea
vine	vītis
vine	vīnea
grapevine	vinea
ritual	rītuālis
ritual	ritus
ritual	caerimōnia
creator	creātor
creator	conditor
creative	ingeniosus
sponge	spongia
sponge	parasītor
foam	spūma
foam	spūmō
froth	spuma
froth	spūmō
garbage	purgamentum
garbage	quisquiliae
garbage	scrūta
seventy-eight	duodeoctoginta
pine	pīnus
normal	normalis
bleep censor	censor signalis
paternal uncle	patruus
uxorial	uxōrius
biological	biologicus
john doe	NN
taurophobia	taurophobia
medusa	Medūsa
doll	pūpa
dolphin	delphinus
mysterious	arcanus
mysterious	mysterius
mysterious	obscurus
mysterious	tectus
mysterious	mysticus
mysterious	secretus
mysterious	reconditus
mysterious	occultus
terse	adductus
terse	adducta
terse	adductum
terse	contractus
terse	contracta
terse	contractum
usurp	ūsurpō
cold war	Bellum Frigidum
shakespearean sonnet	sonētum Shākespēriānum
pouch	marsupium
pouch	sacculus
lugubrious	lūgubris
hearing	audientia
hearing	auditorium
denial	infitiae
denial	negātiō
citron	etrog
selection	sēlēctiō
serious	sērius
serious	gravis
serious	sevērus
serious	sonticus
shade	umbra
shade	umbrāculum
shade	umbrō
shade	opācō
fever	febris
cooked	coctus
wrist	carpus
wrist	wríst
headbutt	arietatio
resident	incola
united	ūnītus
store	condō
excited	excitātus
apocalypse	apocalypsis
petrarchan sonnet	sonētum Petrarchiānum
neighborhood	vicinitas
neighborhood	vīcīnia
amphibious	amphibius
affinity	affīnitās
contractor	redemptor
obey	audio
obey	obaudio
obey	oboedio
ill	īnfirmus
ill	aeger
ill	aegrōtus
pharyngeal	pharyngicus
tricky	dolōsus
harsh	asper
harsh	raucus
harsh	acerbus
harsh	inclēmēns
harsh	durus
murky	turbidus
hopeless	desperatus
silk	sēricum
silk	bombȳx
foamy	spumeus
adjust	accommodō
adjust	adapto
slander	calumnia
slander	blasphēmia
sophistry	argūtia
gypsy	gitana
let's go	eāmus
let's go	vādāmus
boxing glove	caestus
floppy	flaccidus
leah	Lia
boxer	pugil
bay leaf	laurus
inhale	inhālō
breathe in	inhālō
thigh	femur
loin	lumbus
exhale	exhālō
bakery	pistrīnum
birthmark	naevus
old church slavonic	starocrkvenoslovenski
old church slavonic	staroslovenski
old church slavonic	staroslavenski
old church slavonic	crkvenoslavenski
chickpea	cicer
obsequious	obsequiōsus
obsequious	vernīlis
cadaverous	cadāverōsus
garrulous	garrulus
dubious	dubius
grateful	gratus
black and blue	līvidus
nickname	agnomen
nickname	agnomentum
plot	argumentum
plot	coniūrātiō
plot	insidiae
plot	coniūrō
plot	contechnor
cereal	sacrificium
cereal	frūmentum
barley	hordeum
rye	secāle
fodder	cibus
fodder	pābulum
vetch	ervum
vetch	vicia
vetch	grȁhorica
vetch	grašica
vetch	grȁhor
vetch	grȁhorina
vetch	grȁhorika
virgin	virgō
virgin	virginālis
virgin	virgineus
virginity	virginitās
garment	vestīmentum
pomegranate	punica malus
pomegranate	malum granatum
pomegranate	mālogrānātum
pomegranate	grānātum
bilberry	vaccīnium
sickness	morbus
sickness	aegror
sickness	aegritudo
blackberry	rubus
blackberry	batus
blackberry	mōrum
mulberry	mōrus
mulberry	mōrum
nudity	nūditas
chestnut tree	castanea
chestnut tree	castaneārius
society	societās
society	sodālitās
watermelon	citrullus
purse	crumena
purse	bolsa
purse	bolso
purse	bulto
purse	cartera
soft	mollis
adjutant	optiō
terrorist	terrorista
stamp	imprimō
station	statio
station	locus
supreme	supremus
immortality	immortālitās
livestock	pecus
livestock	pecuāria
terror	terror
eyebrow	supercilium
postage stamp	estampilla
postage stamp	sello
postage stamp	timbre
thicken	lato
darken	nigresco
handbag	bolsa
handbag	bolso
handbag	bulto
handbag	cartera
pus	pūs
ideology	ideologia
newt	stelliō
plough	aratrum
plough	arō
sticky	viscidus
eternity	aeternitas
underground	subterrāneus
trepidation	trepidatio
despot	tyrannus
harbinger	praenuntius
barrel	cupa
barrel	dolium
measure	mēnsūra
measure	mētior
dovecote	columbārium
grope	depsō
grope	perdepsō
grope	subigitō
faith	fides
andiron	anderius
scab	crusta
kneecap	patella
acidulous	acidulus
laden	onustus
indeed	quidem
indeed	vere
-an	-ānus
-an	-āna
-an	-ānum
-like	-oides
acknowledgment	confessio
deed	āctiō
deed	āctus
charge	sumptus
charge	onus electricum
charge	tūtēla
editor	editor
woolen	lāneus
collier	carbōnārius
daddy	tata
set on fire	incendō
set on fire	igniō
set on fire	accendō
set on fire	flammō
firefly	cicindela
material	corporeus
material	māteria
material	verba scriptoris
reaction	reāctiō
fireplace	camīnus
fireplace	focus
chimney	camīnus
chimney	fūmārium
hearth	focus
dimple	gelasīnus
aquatic	aquāticus
strife	iūrgium
gratuity	dōnātīvum
jail	carcer
jail	ferriterium
sparkling	coruscus
sparkling	coruscans
sparkling	gaziran
limpet	mītulus
straw	stipula
stretch	tendo
stretch	extendo
bygone	praeteritus
delegation	dēlēgātiō
sexism	sexismus
style	stilus
style	modus
hairstyle	tōnsus
oats	avēna
disaster	calamitās
disaster	clādēs
disaster	perniciēs
waterfall	cataracta
aurora	aurora
kurdistan	Kurdistan
withhold	dētrāhō
knuckle	articulus digitus
joint	artus
joint	articulus
wooden	ligneus
visor	buccula
impulse	impulsus
impulse	citātus
late	tardus
late	tardatus
late	sērus
late	abortus
late	sērō
late	tarde
later	sētius
structure	compāgēs
throat	guttur
throat	gula
i think so	sic puto
i think so	sic censeo
i think so	sic cogito
i think so	id credo
loyal	fīdus
loyal	fīdēlis
teat	papilla
wig	capillamentum
wig	caliandrum
baldness	calvitium
ribbit	coax
oesophagus	fistula cibālis
oesophagus	oesophagus
industrious	sēdulus
industrious	industrius
industrious	labōriōsus
learning	doctrina
military	mīlitāris
military	mīlitia
property	bona
property	rēs
property	possessiō
property	proprietās
property	dominium
property	vīcus
such	talis
such	tālis
elute	eluo
roundel	parmula
orphan	orbus
orphan	orba
dire	dīrus
vortex	vortex
brazen	protervus
hacker	effractarius electronicus
level	plānus
level	libella
level	assolō
level	complānō
mist	cālīgō
mist	nebula
transfer	trānsferō
transfer	trānsmoveō
transfer	transferre
transference	transferentia
robert	Rupertus
robert	Robertus
black sea	Pontus Euxinus
black sea	Pontus
caucasus	Caucasus
sheaf	garba
sheaf	manipulus
sheaf	merges
pusillanimous	pusillanimis
rich	dīves
rich	dīs
rich	locuplēs
rich	dives
assent	assentiō
assent	assensio
mallet	malleus
mallet	tudes
morning star	lūcifer
morning star	phōsphorus
prose	prōsa
representative	succēdāneus
representative	repraesentātīvus
representative	repraesentātīva
sudden	subitus
sudden	repentinus
suddenly	repente
suddenly	subito
suddenly	derepente
newfoundland and labrador	Terra Nova et Terra Laboratoria
alps	Alpes
flavor	sapor
mixed	mixtus
mixed	miscellāneus
mixed	miscellus
owner	possessor
owner	dominus
suggest	suggerō
trick	dolus
trick	sūtēla
trick	captiō
trick	praestīgiae
trick	astus
trick	stropha
trick	techina
brightness	candor
fetter	vinculum
fetter	compēs
fetter	teneo
unite	nectō
unite	cōpulō
unite	aduno
unite	ġeānian
unite	ānlǣċan
unite	fēġan
unite	gadrian
unite	ġesamnian
unite	ġelōgian
unite	ġemengan
during	inter
considerable	aliquantus
consideration	consideratio
reconsider	recōgitō
illusion	praestīgiae
active voice	genus āctīvum
voluptuous	sūcidus
humanity	humanitas
metonymy	metonymia
preface	praefātiō
preface	prohoemium
statue	statua
colic	tormina
camomile	chamaemellum
fruitless	cassus
fruitless	cassa
fruitless	cassum
-less	sine
-less	in-
-less	ne-
-less	se-
omit	omittō
omit	praetermittō
justice	iūstitia
justice	iustitia
falsehood	falsitās
falsehood	perfidia
renown	fāma
renown	celebritas
fibre	fibra
storey	tabulātum
storey	piso
storey	planta
storey	nivel
en route	in itinere
tattletale	gestor
confine	compescō
confine	inclūdō
expulsion	expulsiō
expulsion	exactiō
guru	gurus
lance	lancea
tmesis	tmēsis
tmesis	diacopē
perspicacity	perspicācitās
oh my god	Deus meus
oh my god	heu parum pudici
oh my god	voy xudoyim-ey
dace	klenić
second fiddle	secundae
magnet	magnes
magnetic	magnēsius
ratline	a=aeilnrt
girlish	puellāris
sharpen	acuō
catapult	catapulta
clay	argilla
clay	lutum
principal	potissimus
principal	dominus negōtiī
principal	povèritelj
principal	povjèritelj
principal	sh
principal	povjèrilac
principal	princìpāl
hera	Hēra
midget	salapūtium
midget	nanus
midget	nana
dwarf	nanus
dwarf	nānus
dwarf	nana
dwarf	pūmiliō
dwarf	pūmilus
dwarf	pumilio
fetid	fetidus
ark	arca
behead	dēcollō
behead	dētruncō
behead	obtruncō
behead	decapito
grandnephew	nepos fratris
grandnephew	nepotis fratris
grandnephew	nepos sororis
grandnephew	nepotis sororis
hemp	cannabis
aramaic	aramaicus
bouquet	demet
recede	recēdō
meditation	meditātiō
meditation	meletemata
weaver	textor
weaver	textrīx
trickster	magus
trickster	trīcō
inexpensive	vīlis
royal jelly	mȁtična mlȇč
royal jelly	mȁtična mlijȇč
royal jelly	mȁtičnī mlȇč
royal jelly	mȁtičnī mlijȇč
airport	āëriportus
-graph	-graphus
miserable	miser
beryl	beryllus
excuse	īgnōscō
excuse	excūsō
excuse	excuso
excuse	utior
excuse	praetextum
often	saepe
often	saepenumerō
category	categoria
repeat	repetō
repeat	iterō
repeat	instaurō
observe	observo
observe	specto
observe	inspicio
observe	considero
observe	video
observe	specio
observe	speculor
observe	aspecto
observe	animadverto
observe	sequor
observe	obsequor
observe	persequor
observe	teneo
observe	inhaereo
observe	persevero
observe	servō
divorce	dīvortium
divorce	diverto
region	plaga
majority	majōritās
majority	plēritās
pleasant	amoenus
pleasant	bellus
pleasant	benignus
pleasant	blandus
pleasant	dulcis
pleasant	grātus
pleasant	iūcundus
pleasant	suāvis
polite	cōmis
famous	fāmōsus
famous	inclitus
famous	nobilis
famous	notus
income	reditus
income	fructus
number theory	theōria numerōrum
defend	dēfendō
defend	teneō
defend	tutor
defend	tueor
defend	supersum
defend	defensō
slender	tenuis
slender	gracilis
demand	flāgitātiō
demand	flāgitō
demand	efflāgitō
demand	procō
demand	postulō
guarantee	polliceor
guarantee	satisdō
ointment	unguentum
relatively	relātīvē
hardworking	labōrifer
sure	certus
wish	desiderium
wish	cupiditas
wish	studium
wish	volō
wish	desiderio
wish	cupio
wish	desidero
donald duck	Donaldus Anas
return	revertor
return	regredior
return	redeō
return	reveniō
return	remeo
return	rebito
return	redeo
return	revenio
return	reddō
return	restituō
return	redhibeō
return	reditus
return	regressus
return	revertersio
return	reversio
return	fructus
wreck	perdō
fiery	igneus
fiery	ignifer
enact	scisco
dance	saltatio
dance	tripudium
dance	saltatus
dance	saltō
dance	tripudiō
dance	ballō
dance	balō
receive	recipiō
receive	accipiō
prior	prior
hall	auditorium
sight	visus
sight	visitatio
command	ēdictum
command	iussus
command	mandātum
command	imperium
command	imperō
command	iubeō
command	impero
helper	ayudador
helper	adiūtor
helper	optiō
helper	administer
difficult	difficilis
excellent	excellens
excellent	praestābilis
swift	celer
swift	rapidus
swift	celox
swift	vēlōx
swift	incitus
swift	apus
rage	rabiēs
rage	furia
rage	furor
rage	saeviō
rage	furō
examination	inquisitio
examination	quaestio
topic	thema
spine	spīna
spine	aculeus
imitation	imitatio
imitation	imitamentum
tiny	parvulus
tiny	pauxillus
tiny	minūtus
tiny	pusillus
logical	logicus
logical	dialecticus
nosegay	fasciculus
nosegay	olfactōrium
rosehip	rosa canina
rosehip	šípak
architecture	architectūra
anthony	Antōnius
persephone	Persephonē
demeter	Dēmētēr
yogurt	iogurtum
lavish	prōfusus
lavish	profūsus
lavish	dīlargior
unnecessary	superforāneus
triple	triplus
triple	triplex
panel	abacus
paucal	paucalis
nevertheless	tamen
nevertheless	attamen
nevertheless	nihilominus
wergeld	krvàrina
wergeld	krvnìna
wergeld	vražda
cormorant	phalacrocorax
plug	obtūrō
pottery	figulāria
pottery	figlīnum
pottery	figlīna
pottery	figulīna
genre	genus
elegant	facētus
elegant	ēlegans
elegant	lautus
elegant	venustus
dissuade	dissuādeo
dissuade	dehortor
persuade	persuādeō
persuade	exōrō
despotism	despotismus
dislike	odi
dislike	odio
detest	odi
detest	exsecror
detest	execror
detest	abōminor
loathe	abōminor
despise	despiciō
despise	contemnō
bon appétit	bene sapiat
playing card	charta a ludo
playing card	papyprus a ludo
playing card	charta ludens
playing card	papyprus ludens
playing card	papyrus ludens
playing card	charta ludi
playing card	papyrus ludi
scorn	spernō
scorn	reiciō
scorn	contemptus
hairy	pilōsus
hairy	villōsus
hairy	hispidus
hairy	pilosus
semen	sēmen
orion	Orion
orion	ensifer
great britain	Britannia
generally	plērumque
generally	ferē
generally	fermē
constructed language	lingua artificialis
constructed language	lingua constructa
guardian angel	angelus custōs
minotaur	minotaurus
rider	rector
rider	vector
rider	adiectio
passenger	vector
iffy	dubius 
explain	explānō
explain	explicō
explanation	explanatio
explanation	lux
mediterranean sea	Mare Mediterraneum
mediterranean sea	Mare Nostrum
mediterranean sea	Mare Internum
aphrodite	Aphrodite
aphrodite	Venus
guardian	custōs
guardian	curātor
guardian	curātrix
guardian	tutor
guardian	cura
guardian	praeses
guardian	tūtor
guardian	guardianus
unrestrained	licens
unrestrained	prōruptus
obligation	obligātiō
wizard	venēficus
wizard	magus
wizard	maga
wizard	fascināns
wizard	fascinātor
wizard	fascinātōrius
balloon	balonus
javelin	pīlum
javelin	verūtum
gullet	gula
gullet	gurgulio
gullet	guttur
windpipe	aspera artēria
windpipe	trachīa
windpipe	fistula spiritālis
windpipe	pulmōnis calamus
windpipe	canālis animae
windpipe	canna gutturis
trachea	trachia
good news	beśorah
good news	ēvangelium
barren	sterilis
bequest	lēgātum
behind	post
behind	pōne
beggar	mendīcus
beggar	yācako
beyond	utra
beyond	ultra
beyond	trans
boundless	infīnītus
bough	rāmus
bough	termes
bristly	saetōsus
bristle	saeta
brow	supercilium
blind	caecus
blind	caecō
blind	excaeco
blind	occaeco
lazy	ignavus
lazy	piger
lazy	segnis
cloak	pallium
cloak	lacerna
cloak	mantellum
lodger	inquilīnus
costly	pretiōsus
costly	impensus
lodge	dēversor
covetous	trahax
cunning	vafer
cunning	callidus
cunning	versūtus
confess	fateor
confess	confiteor
conquer	debello
conquer	vincō
chide	obiurgō
cheek	gena
cheek	bucca
carve	caelō
captive	captus
captive	captīvus
chronicle	chronica
chronicle	annales
adverse	adversus
anew	dē novō
anew	dēnuō
descry	prospicio
beloved	cārus
compiler	compīlātor
complain	queror
contrary	contrārius
contend	certō
contend	dīmicō
constancy	firmitas
constancy	firmitudo
extol	extollō
