указ 	 noun 	 ukase 	 enactment, ordinance, decree, edict, ukase
лопата 	 noun 	 punchline 	 punchline
машина 	 noun 	 motor vehicle 	 car, motor vehicle
машина 	 noun 	 car 	 car, motor vehicle
машина 	 noun 	 machine 	 machine
машина 	 noun 	 computer 	 computer
машина 	 noun 	 accelerator 	 accelerator
блядь 	 noun 	 whore 	 whore, slut, prostitute
блядь 	 noun 	 prostitute 	 whore, slut, prostitute
блядь 	 noun 	 slut 	 whore, slut, prostitute
блядь 	 noun 	 promiscuous 	 bitch, slut, promiscuous person
блядь 	 noun 	 bitch 	 bitch, slut, promiscuous person
блядь 	 noun 	 slut 	 bitch, slut, promiscuous person
блядь 	 noun 	 bastard 	 general-purpose insult — compare shithead, bastard, etc
блядь 	 noun 	 shithead 	 general-purpose insult — compare shithead, bastard, etc
блядь 	 interjection 	 for fuck's sake 	 interjection ; compare for fuck's sake!, shit!, etc
блядь 	 interjection 	 shit 	 interjection ; compare for fuck's sake!, shit!, etc
блядь 	 interjection 	 fucking 	 compare damn, fucking, etc
блядь 	 interjection 	 damn 	 compare damn, fucking, etc
блядь 	 interjection 	 Estonian 	 tibla, a possible borrowing into Estonian
философия 	 noun 	 philosophy 	 philosophy
ворота 	 noun 	 gate 	 gate
ворота 	 noun 	 goal 	 goal
пейзаж 	 noun 	 landscape 	 landscape
пейзаж 	 noun 	 moonscape 	 moonscape
атом 	 noun 	 atom 	 atom
судно 	 noun 	 craft 	 ship, vessel, craft
судно 	 noun 	 ship 	 ship, vessel, craft
судно 	 noun 	 vessel 	 ship, vessel, craft
судно 	 noun 	 bedpan 	 bedpan
вольт 	 noun 	 volt 	 volt
вольт 	 noun 	 circle 	 circle
косатка 	 noun 	 orca 	 killer whale, orca
косатка 	 noun 	 killer whale 	 killer whale, orca
косатка 	 noun 	 barn swallow 	 каса́тка; barn swallow
люк 	 noun 	 hatchway 	 hatch, hatchway
люк 	 noun 	 hatch 	 hatch, hatchway
люк 	 noun 	 port 	 port
бак 	 noun 	 forecastle 	 forecastle
бак 	 noun 	 receptacle 	 container, receptacle '
бак 	 noun 	 container 	 container, receptacle '
бак 	 noun 	 tank 	 tank
бак 	 noun 	 tank 	 fuel tank
бак 	 noun 	 fuel 	 fuel tank
бак 	 noun 	 petrol 	 petrol tank
бак 	 noun 	 tank 	 petrol tank
бак 	 noun 	 boiler 	 boiler
бак 	 noun 	 sideburn 	 sideburn
стан 	 noun 	 figure 	 figure, stature, torso
стан 	 noun 	 torso 	 figure, stature, torso
стан 	 noun 	 stature 	 figure, stature, torso
стан 	 noun 	 waist 	 slender waist
стан 	 noun 	 slender 	 slender waist
стан 	 noun 	 camp 	 camp, campground
стан 	 noun 	 campground 	 camp, campground
стан 	 noun 	 camp 	 camp
стан 	 noun 	 mobile field station 	 mobile field station
стан 	 noun 	 side 	 side, camp
стан 	 noun 	 camp 	 side, camp
стан 	 noun 	 rebeldom 	 rebeldom
стан 	 noun 	 hostile camp 	 hostile camp
стан 	 noun 	 in the enemy's camp 	 in the enemy's camp
стан 	 noun 	 stave 	 staff, stave
стан 	 noun 	 staff 	 staff, stave
стан 	 noun 	 machine 	 mill, machine
стан 	 noun 	 mill 	 mill, machine
стан 	 noun 	 bar mill 	 bar mill
стан 	 noun 	 blooming 	 blooming
стан 	 noun 	 flatting-mill 	 flatting-mill
стан 	 noun 	 train 	 rolling mill, train
стан 	 noun 	 rolling mill 	 rolling mill, train
стан 	 noun 	 steel-rolling mill 	 steel-rolling mill
стан 	 noun 	 tube mill 	 tube mill
стан 	 noun 	 wire mill 	 wire mill
стан 	 noun 	 rail-mill 	 rail-mill
поп 	 noun 	 priest 	 priest
поп 	 noun 	 pop 	 pop, popular music
поп 	 noun 	 music 	 pop, popular music
поп 	 noun 	 popular 	 pop, popular music
поп 	 noun 	 pop art 	 pop art
кошмар 	 noun 	 nightmare 	 nightmare
кошмар 	 interjection 	 terrible 	 it's terrible!
манат 	 noun 	 manat 	 manat
рождение 	 noun 	 birth 	 birth
срок 	 noun 	 span 	 period, span
срок 	 noun 	 period 	 period, span
срок 	 noun 	 time 	 date, term, time
срок 	 noun 	 term 	 date, term, time
срок 	 noun 	 date 	 date, term, time
регулярно 	 adverb 	 regularly 	 regularly
фотограф 	 noun 	 photographer 	 photographer
заём 	 noun 	 loan 	 loan
наём 	 noun 	 hire 	 rent, hire
наём 	 noun 	 rent 	 rent, hire
жрец 	 noun 	 pagan 	 heathen priest, pagan priest
жрец 	 noun 	 priest 	 heathen priest, pagan priest
жрец 	 noun 	 heathen 	 heathen priest, pagan priest
жнец 	 noun 	 reaper 	 reaper, harvester, harvest-man
жнец 	 noun 	 harvest 	 reaper, harvester, harvest-man
жнец 	 noun 	 harvester 	 reaper, harvester, harvest-man
подлец 	 noun 	 rascal 	 wretch, scoundrel, rascal '
подлец 	 noun 	 scoundrel 	 wretch, scoundrel, rascal '
подлец 	 noun 	 wretch 	 wretch, scoundrel, rascal '
близнец 	 noun 	 twin 	 twin
творец 	 noun 	 maker 	 creator, maker
творец 	 noun 	 creator 	 creator, maker
творец 	 noun 	 author 	 author
дворец 	 noun 	 palace 	 palace
математика 	 noun 	 mathematics 	 mathematics
ключ 	 noun 	 key 	 key
ключ 	 noun 	 spanner 	 wrench, spanner, screw wrench
ключ 	 noun 	 wrench 	 wrench, spanner, screw wrench
ключ 	 noun 	 screw wrench 	 wrench, spanner, screw wrench
ключ 	 noun 	 key 	 clue, key
ключ 	 noun 	 clue 	 clue, key
ключ 	 noun 	 clef 	 clef, key
ключ 	 noun 	 key 	 clef, key
ключ 	 noun 	 radical 	 radical in Chinese characters
ключ 	 noun 	 source 	 spring, source
ключ 	 noun 	 spring 	 spring, source
трамвай 	 noun 	 tramway 	 tram, tramway '
трамвай 	 noun 	 tram 	 tram, tramway '
трамвай 	 noun 	 trolley car 	 streetcar, trolley, trolley car, light rail '
трамвай 	 noun 	 streetcar 	 streetcar, trolley, trolley car, light rail '
трамвай 	 noun 	 trolley 	 streetcar, trolley, trolley car, light rail '
трамвай 	 noun 	 light rail 	 streetcar, trolley, trolley car, light rail '
салфетка 	 noun 	 serviette 	 napkin, serviette
салфетка 	 noun 	 napkin 	 napkin, serviette
салфетка 	 noun 	 doily 	 doily
салфетка 	 noun 	 wipe 	 wipe
карта 	 noun 	 map 	 map
карта 	 noun 	 chart 	 chart
карта 	 noun 	 card 	 card
карта 	 noun 	 playing card 	 playing card
карта 	 noun 	 menu 	 menu
карта 	 noun 	 patch 	 patch
роса 	 noun 	 dew 	 dew
катар 	 noun 	 catarrh 	 catarrh
катар 	 noun 	 Cathar 	 Cathar
шарманка 	 noun 	 barrel organ 	 barrel organ
невеста 	 noun 	 fiancée 	 fiancée, bride
невеста 	 noun 	 bride 	 fiancée, bride
невеста 	 noun 	 girl 	 marriageable girl
невеста 	 noun 	 marriageable 	 marriageable girl
кум 	 noun 	 godfather 	 godfather of one's child
кум 	 noun 	 of 	 godfather of one's child
кум 	 noun 	 child 	 godfather of one's child
кум 	 noun 	 father 	 father of one's godchild
кум 	 noun 	 godchild 	 father of one's godchild
кум 	 noun 	 of 	 father of one's godchild
кум 	 noun 	 man 	 man, fellow form of address to a middle-aged or elderly man
кум 	 noun 	 fellow 	 man, fellow form of address to a middle-aged or elderly man
боб 	 noun 	 bean 	 bean, broad bean
боб 	 noun 	 broad bean 	 bean, broad bean
боб 	 noun 	 bobsled 	 bobsled
безбожие 	 noun 	 atheism 	 atheism
безбожие 	 noun 	 godlessness 	 godlessness
безбожие 	 noun 	 ungodliness 	 ungodliness
вход 	 noun 	 entry 	 entrance, entry
вход 	 noun 	 entrance 	 entrance, entry
энергия 	 noun 	 energy 	 Energy energy, power
энергия 	 noun 	 power 	 Energy energy, power
энергия 	 noun 	 vitality 	 vitality
энергия 	 noun 	 vigor 	 vigor
муфтий 	 noun 	 mufti 	 mufti
сабля 	 noun 	 saber 	 saber, cutlass
сабля 	 noun 	 cutlass 	 saber, cutlass
сабля 	 noun 	 rider 	 rider, cavalryman as a counting unit of military strength, see also штык
сабля 	 noun 	 штык 	 rider, cavalryman as a counting unit of military strength, see also штык
сабля 	 noun 	 cavalryman 	 rider, cavalryman as a counting unit of military strength, see also штык
калька 	 noun 	 tracing paper 	 tracing paper
калька 	 noun 	 tracing 	 tracing '
калька 	 noun 	 calque 	 calque
крахмал 	 noun 	 starch 	 starch
пот 	 noun 	 perspiration 	 sweat, perspiration
пот 	 noun 	 sweat 	 sweat, perspiration
зоб 	 noun 	 crop 	 crop, craw
зоб 	 noun 	 craw 	 crop, craw
зоб 	 noun 	 goiter 	 goitre/goiter
зоб 	 noun 	 goitre 	 goitre/goiter
поцелуй 	 noun 	 kiss 	 kiss
поцелуй 	 noun 	 kissing 	 kissing sound
фугас 	 noun 	 explosive 	 field explosive, landmine, fougasse mine
фугас 	 noun 	 fougasse 	 field explosive, landmine, fougasse mine
фугас 	 noun 	 landmine 	 field explosive, landmine, fougasse mine
фугас 	 noun 	 mine 	 field explosive, landmine, fougasse mine
фугас 	 noun 	 field 	 field explosive, landmine, fougasse mine
семафор 	 noun 	 signal post 	 semaphore, signal post
семафор 	 noun 	 semaphore 	 semaphore, signal post
железа 	 noun 	 gland 	 gland
руководитель 	 noun 	 director 	 leader, chief, manager, director, instructor, teacher
руководитель 	 noun 	 instructor 	 leader, chief, manager, director, instructor, teacher
руководитель 	 noun 	 teacher 	 leader, chief, manager, director, instructor, teacher
руководитель 	 noun 	 manager 	 leader, chief, manager, director, instructor, teacher
руководитель 	 noun 	 chief 	 leader, chief, manager, director, instructor, teacher
руководитель 	 noun 	 leader 	 leader, chief, manager, director, instructor, teacher
щит 	 noun 	 shield 	 Armor shield
щит 	 noun 	 sluice-gate 	 sluice-gate
щит 	 noun 	 panel 	 panel
щит 	 noun 	 control panel 	 control panel
щит 	 noun 	 switchboard 	 switchboard
щит 	 noun 	 tortoise-shell 	 tortoise-shell
шлем 	 noun 	 helmet 	 helmet
шлем 	 noun 	 headpiece 	 headpiece
крёстный 	 noun 	 godfather 	 godfather
крёстный 	 noun 	 godfather 	 godfather
крестный 	 adjective 	 cross 	 cross
воск 	 noun 	 wax 	 wax
внимание 	 noun 	 attention 	 attention
внимание 	 noun 	 care 	 care, heed
внимание 	 noun 	 heed 	 care, heed
внимание 	 noun 	 note 	 note, notice
внимание 	 noun 	 notice 	 note, notice
внимание 	 interjection 	 attention 	 attention! '
струп 	 noun 	 scab 	 scab
глина 	 noun 	 clay 	 clay
глина 	 noun 	 china clay 	 porcelain clay, china clay
глина 	 noun 	 porcelain 	 porcelain clay, china clay
эльф 	 noun 	 elf 	 elf
фея 	 noun 	 fairy 	 fairy
фея 	 noun 	 enchantress 	 enchantress
хан 	 noun 	 khan 	 khan
волшебник 	 noun 	 wizard 	 wizard, sorcerer, magician
волшебник 	 noun 	 sorcerer 	 wizard, sorcerer, magician
волшебник 	 noun 	 magician 	 wizard, sorcerer, magician
материал 	 noun 	 stuff 	 material, stuff
материал 	 noun 	 material 	 material, stuff
материал 	 noun 	 footage 	 footage
материал 	 noun 	 abradant 	 abradant, abrasive
материал 	 noun 	 abrasive 	 abradant, abrasive
материал 	 noun 	 saplings 	 saplings
материал 	 noun 	 abradant 	 abradant, abrasive
материал 	 noun 	 abrasive 	 abradant, abrasive
материал 	 noun 	 evidence 	 evidence
материал 	 noun 	 release 	 release
материал 	 noun 	 material 	 fabric, material
материал 	 noun 	 fabric 	 fabric, material
материал 	 noun 	 white 	 white
вор 	 noun 	 thief 	 thief
вор 	 noun 	 traitor 	 traitor, apostate, outlaw
вор 	 noun 	 apostate 	 traitor, apostate, outlaw
вор 	 noun 	 outlaw 	 traitor, apostate, outlaw
вор 	 noun 	 vore 	 vore
гной 	 noun 	 pus 	 pus
боль 	 noun 	 ache 	 pain, ache
боль 	 noun 	 pain 	 pain, ache
боль 	 noun 	 stitch 	 pang, stab, stitch
боль 	 noun 	 stab 	 pang, stab, stitch
боль 	 noun 	 pang 	 pang, stab, stitch
далеко 	 adverb 	 far 	 far, far off, far away
осёл 	 noun 	 ass 	 donkey, ass animal
осёл 	 noun 	 donkey 	 donkey, ass animal
осёл 	 noun 	 fool 	 idiot, fool, stupid or naive person
осёл 	 noun 	 idiot 	 idiot, fool, stupid or naive person
дефис 	 noun 	 hyphen 	 hyphen
т. 	 noun 	 comrade 	 |comrade
скумбрия 	 noun 	 mackerel 	 mackerel
нар 	 noun 	 hybrid 	 hybrid camel
нар 	 noun 	 camel 	 hybrid camel
цистерна 	 noun 	 cistern 	 Vessels storage tank, cistern
цистерна 	 noun 	 storage 	 Vessels storage tank, cistern
цистерна 	 noun 	 tank 	 Vessels storage tank, cistern
цистерна 	 noun 	 tank wagon 	 subst=цисте́рна//цистэ́рна,цисте́рна//цистэ́рна/цисте́рна|tank car, cylinder wagon, tank wagon
цистерна 	 noun 	 water tender 	 subst=цисте́рна//цистэ́рна,цисте́рна//цистэ́рна/цисте́рна|water tender
вол 	 noun 	 bullock 	 ox, bullock
вол 	 noun 	 ox 	 ox, bullock
аниме 	 noun 	 anime 	 anime
аниме 	 noun 	 television 	 anime television series
аниме 	 noun 	 series 	 anime television series
авто 	 noun 	 wheels 	 car, wheels
авто 	 noun 	 car 	 car, wheels
танк 	 noun 	 tank 	 tank vehicle
танк 	 noun 	 light 	 light tank
танк 	 noun 	 medium 	 medium tank
танк 	 noun 	 heavy 	 heavy tank
танк 	 noun 	 main 	 main battle tank
танк 	 noun 	 battle 	 main battle tank
чувак 	 noun 	 guy 	 dude, guy, dawg
чувак 	 noun 	 dawg 	 dude, guy, dawg
чувак 	 noun 	 dude 	 dude, guy, dawg
кофейня 	 noun 	 coffeehouse 	 coffeehouse
лавэ 	 noun 	 dough 	 money, dough
лавэ 	 noun 	 money 	 money, dough
лавэ 	 noun 	 crunch 	 lit=money for one crunch
средина 	 noun 	 middle 	 middle
сигнал 	 noun 	 signal 	 signal
гарнитура 	 noun 	 font 	 font, type family
гарнитура 	 noun 	 type 	 font, type family
гарнитура 	 noun 	 family 	 font, type family
гарнитура 	 noun 	 with 	 headset with  microphone
гарнитура 	 noun 	 headset 	 headset with  microphone
гарнитура 	 noun 	 microphone 	 headset with  microphone
скандий 	 noun 	 scandium 	 scandium
ванадий 	 noun 	 vanadium 	 vanadium
кобальт 	 noun 	 cobalt 	 cobalt
цинк 	 noun 	 zinc 	 zinc
галлий 	 noun 	 gallium 	 gallium
германий 	 noun 	 germanium 	 germanium
селен 	 noun 	 selenium 	 selenium
бром 	 noun 	 bromine 	 bromine
бром 	 noun 	 bromide 	 mixture with bromide
бром 	 noun 	 mixture 	 mixture with bromide
криптон 	 noun 	 krypton 	 krypton
рубидий 	 noun 	 rubidium 	 rubidium
стронций 	 noun 	 strontium 	 strontium
иттрий 	 noun 	 yttrium 	 yttrium
цирконий 	 noun 	 zirconium 	 zirconium
ниобий 	 noun 	 niobium 	 niobium
молибден 	 noun 	 molybdenum 	 molybdenum
технеций 	 noun 	 technetium 	 technetium
рутений 	 noun 	 ruthenium 	 ruthenium
родий 	 noun 	 rhodium 	 rhodium
палладий 	 noun 	 palladium 	 palladium
кадмий 	 noun 	 cadmium 	 cadmium
индий 	 noun 	 indium 	 indium
теллур 	 noun 	 tellurium 	 tellurium
йод 	 noun 	 iodine 	 iodine
ксенон 	 noun 	 xenon 	 xenon
цезий 	 noun 	 cesium 	 caesium UK, cesium US
цезий 	 noun 	 caesium 	 caesium UK, cesium US
барий 	 noun 	 barium 	 barium
лантан 	 noun 	 lanthanum 	 lanthanum
церий 	 noun 	 cerium 	 cerium
празеодим 	 noun 	 praseodymium 	 praseodymium
неодим 	 noun 	 neodymium 	 neodymium
прометий 	 noun 	 promethium 	 promethium
самарий 	 noun 	 samarium 	 samarium
европий 	 noun 	 europium 	 europium
гадолиний 	 noun 	 gadolinium 	 gadolinium
тербий 	 noun 	 terbium 	 terbium
диспрозий 	 noun 	 dysprosium 	 dysprosium
гольмий 	 noun 	 holmium 	 holmium
эрбий 	 noun 	 erbium 	 erbium
тулий 	 noun 	 thulium 	 thulium
иттербий 	 noun 	 ytterbium 	 ytterbium
лютеций 	 noun 	 lutetium 	 lutetium
гафний 	 noun 	 hafnium 	 hafnium
тантал 	 noun 	 tantalum 	 tantalum
вольфрам 	 noun 	 tungsten 	 tungsten
рений 	 noun 	 rhenium 	 rhenium
осмий 	 noun 	 osmium 	 osmium
иридий 	 noun 	 iridium 	 iridium
таллий 	 noun 	 thallium 	 thallium
астат 	 noun 	 astatine 	 astatine
радон 	 noun 	 radon 	 radon
франций 	 noun 	 francium 	 francium
радий 	 noun 	 radium 	 radium
актиний 	 noun 	 actinium 	 actinium
торий 	 noun 	 thorium 	 thorium
протактиний 	 noun 	 protactinium 	 protactinium
нептуний 	 noun 	 neptunium 	 neptunium
плутоний 	 noun 	 plutonium 	 plutonium
америций 	 noun 	 americium 	 americium
кюрий 	 noun 	 curium 	 curium
берклий 	 noun 	 berkelium 	 berkelium
калифорний 	 noun 	 californium 	 californium
эйнштейний 	 noun 	 einsteinium 	 einsteinium
фермий 	 noun 	 fermium 	 fermium
менделевий 	 noun 	 mendelevium 	 mendelevium
нобелий 	 noun 	 nobelium 	 nobelium
лоуренсий 	 noun 	 lawrencium 	 lawrencium
курчатовий 	 noun 	 kurchatovium 	 kurchatovium
нильсборий 	 noun 	 dubnium 	 dubnium
дубний 	 noun 	 dubnium 	 dubnium
резерфордий 	 noun 	 rutherfordium 	 rutherfordium
сиборгий 	 noun 	 seaborgium 	 seaborgium
борий 	 noun 	 bohrium 	 bohrium
хассий 	 noun 	 hassium 	 hassium
мейтнерий 	 noun 	 meitnerium 	 meitnerium
дармштадтий 	 noun 	 darmstadtium 	 darmstadtium
рентгений 	 noun 	 roentgenium 	 roentgenium
унунбий 	 noun 	 ununbium 	 ununbium
унунтрий 	 noun 	 ununtrium 	 ununtrium
унунквадий 	 noun 	 ununquadium 	 ununquadium
унунпентий 	 noun 	 ununpentium 	 ununpentium
унунгексий 	 noun 	 ununhexium 	 ununhexium
унунсептий 	 noun 	 ununseptium 	 ununseptium
унуноктий 	 noun 	 ununoctium 	 ununoctium
унунэнний 	 noun 	 ununennium 	 ununennium
унбинилий 	 noun 	 unbinilium 	 unbinilium
беркелий 	 noun 	 berkelium 	 berkelium
пляж 	 noun 	 beach 	 beach
кар 	 noun 	 dummy car 	 power barrow, dummy car
кар 	 noun 	 power barrow 	 power barrow, dummy car
кар 	 noun 	 forklift 	 forklift, abbreviation for автока́р, электрока́р
кар 	 noun 	 valley 	 A cirque — a half-open steep-sided hollow at the head of a valley or on a mountainside, formed by glacial erosion
кар 	 noun 	 cirque 	 A cirque — a half-open steep-sided hollow at the head of a valley or on a mountainside, formed by glacial erosion
кар 	 noun 	 erosion 	 A cirque — a half-open steep-sided hollow at the head of a valley or on a mountainside, formed by glacial erosion
кар 	 noun 	 hollow 	 A cirque — a half-open steep-sided hollow at the head of a valley or on a mountainside, formed by glacial erosion
кар 	 noun 	 mountainside 	 A cirque — a half-open steep-sided hollow at the head of a valley or on a mountainside, formed by glacial erosion
кар 	 noun 	 glacial 	 A cirque — a half-open steep-sided hollow at the head of a valley or on a mountainside, formed by glacial erosion
кар 	 interjection 	 caw 	 caw cry of a crow or raven
директор 	 noun 	 manager 	 manager, director, principal, headmaster
директор 	 noun 	 headmaster 	 manager, director, principal, headmaster
директор 	 noun 	 director 	 manager, director, principal, headmaster
директор 	 noun 	 principal 	 manager, director, principal, headmaster
принтер 	 noun 	 printer 	 printer device that prints images and text on paper
эх 	 interjection 	 uh 	 alas!, oh!, uh
эх 	 interjection 	 alas 	 alas!, oh!, uh
эх 	 interjection 	 oh 	 alas!, oh!, uh
эх 	 interjection 	 eh 	 eh?
эх 	 interjection 	 oh 	 oh, what a
эх 	 interjection 	 layabout 	 Oh, you’re such a layabout!
эх 	 interjection 	 tut tut 	 tut tut, tsk, shame on you!, you of all people!
эх 	 interjection 	 tsk 	 tut tut, tsk, shame on you!, you of all people!
эх 	 interjection 	 ouch 	 ouch, what a shame
казан 	 noun 	 kazan 	 kazan
калина 	 noun 	 guelder rose 	 guelder rose, snowball tree, Viburnum opulus
калина 	 noun 	 Viburnum opulus 	 guelder rose, snowball tree, Viburnum opulus
калина 	 noun 	 snowball tree 	 guelder rose, snowball tree, Viburnum opulus
память 	 noun 	 memory 	 memory
разум 	 noun 	 mind 	 reason, mind, intellect
разум 	 noun 	 intellect 	 reason, mind, intellect
разум 	 noun 	 reason 	 reason, mind, intellect
разум 	 noun 	 mind 	 losing one's mind
разум 	 noun 	 losing 	 losing one's mind
разум 	 noun 	 one's 	 losing one's mind
разум 	 noun 	 some 	 smb. some good sense
разум 	 noun 	 good sense 	 smb. some good sense
праздник 	 noun 	 holiday 	 holiday
праздник 	 noun 	 festival 	 festival
праздник 	 noun 	 pleasure 	 joy, pleasure
праздник 	 noun 	 joy 	 joy, pleasure
будда 	 noun 	 buddha 	 buddha
ответ 	 noun 	 response 	 answer, reply, response
ответ 	 noun 	 answer 	 answer, reply, response
ответ 	 noun 	 reply 	 answer, reply, response
ответ 	 noun 	 responsibility 	 responsibility
градус 	 noun 	 degree 	 degree
градус 	 noun 	 grade 	 grade
грек 	 noun 	 Greek 	 Greek
грек 	 noun 	 American 	 пиндо́с pejorative, now also pejorative for American
биде 	 noun 	 bidet 	 bidet
цап 	 interjection 	 snap 	 snap
вуз 	 noun 	 institute 	 |higher/highest educational establishment: university, college, institute
вуз 	 noun 	 college 	 |higher/highest educational establishment: university, college, institute
вуз 	 noun 	 university 	 |higher/highest educational establishment: university, college, institute
управление 	 noun 	 administration 	 administration, direction
управление 	 noun 	 direction 	 administration, direction
управление 	 noun 	 management 	 management
управление 	 noun 	 board 	 board
управление 	 noun 	 control 	 control
управление 	 noun 	 government 	 government
бизнес 	 noun 	 business 	 business
кафе 	 noun 	 café 	 Restaurants café
текст 	 noun 	 text 	 text, wording
текст 	 noun 	 wording 	 text, wording
текст 	 noun 	 lyrics 	 lyrics
текст 	 noun 	 transcript 	 transcript
разъём 	 noun 	 connector 	 socket, slot, connector
разъём 	 noun 	 slot 	 socket, slot, connector
разъём 	 noun 	 socket 	 socket, slot, connector
назад 	 adverb 	 back 	 back, backward, backwards
назад 	 adverb 	 backward 	 back, backward, backwards
назад 	 adverb 	 backwards 	 back, backward, backwards
назад 	 interjection 	 get back 	 get back
шляпа 	 noun 	 hat 	 hat
шляпа 	 noun 	 milksop 	 milksop
телец 	 noun 	 calf 	 calf
телец 	 noun 	 golden calf 	 golden calf
закон 	 noun 	 law 	 law
закон 	 noun 	 rule 	 rule
десна 	 noun 	 gum 	 gum '
зев 	 noun 	 pharynx 	 throat, gullet, pharynx
зев 	 noun 	 throat 	 throat, gullet, pharynx
зев 	 noun 	 gullet 	 throat, gullet, pharynx
зев 	 noun 	 span 	 ' span '
резец 	 noun 	 chisel 	 cutter, cutting tool, chisel, draw knife
резец 	 noun 	 cutter 	 cutter, cutting tool, chisel, draw knife
резец 	 noun 	 tool 	 cutter, cutting tool, chisel, draw knife
резец 	 noun 	 cutting 	 cutter, cutting tool, chisel, draw knife
резец 	 noun 	 incisor 	 incisor '
резец 	 noun 	 bit 	 drill bit, tool bit
резец 	 noun 	 colter 	 plow colter
приёмник 	 noun 	 receiver 	 receiver, receiving set
приёмник 	 noun 	 receiving 	 receiver, receiving set
приёмник 	 noun 	 radio receiver 	 radio receiver
приёмник 	 noun 	 transducer 	 ' transducer
приёмник 	 noun 	 detector 	 detector '
приёмник 	 noun 	 reservoir 	 collector, receptacle, reservoir
приёмник 	 noun 	 receptacle 	 collector, receptacle, reservoir
приёмник 	 noun 	 collector 	 collector, receptacle, reservoir
приёмник 	 noun 	 tank 	 container, vessel, flask, tank
приёмник 	 noun 	 flask 	 container, vessel, flask, tank
приёмник 	 noun 	 vessel 	 container, vessel, flask, tank
приёмник 	 noun 	 container 	 container, vessel, flask, tank
приёмник 	 noun 	 pitot tube 	 pitot tube
приёмник 	 noun 	 feeder 	 ' ammunition feeder
так-с 	 interjection 	 sir 	 yes, sir
так-с 	 interjection 	 yes 	 yes, sir
так-с 	 interjection 	 ma'am 	 yes, ma'am
так-с 	 interjection 	 yes 	 yes, ma'am
приятель 	 noun 	 chum 	 friend, chum
приятель 	 noun 	 friend 	 friend, chum
приятель 	 noun 	 pal 	 buddy, pal, mate
приятель 	 noun 	 mate 	 buddy, pal, mate
приятель 	 noun 	 buddy 	 buddy, pal, mate
физически 	 adverb 	 physically 	 physically
хм 	 interjection 	 hmm 	 hmm, hum
хм 	 interjection 	 hum 	 hmm, hum
подвода 	 noun 	 cart 	 dray, cart
подвода 	 noun 	 dray 	 dray, cart
почитай 	 adverb 	 nigh 	 almost, nearly, nigh on
почитай 	 adverb 	 nearly 	 almost, nearly, nigh on
почитай 	 adverb 	 almost 	 almost, nearly, nigh on
почитай 	 adverb 	 apparently 	 it seems, seemingly, apparently
почитай 	 adverb 	 seemingly 	 it seems, seemingly, apparently
почитай 	 adverb 	 seems 	 it seems, seemingly, apparently
наскоро 	 adverb 	 hurriedly 	 hurriedly, hastily
наскоро 	 adverb 	 hastily 	 hurriedly, hastily
невежа 	 noun 	 boor 	 boor, lout, ill-mannered person
невежа 	 noun 	 ill-mannered 	 boor, lout, ill-mannered person
невежа 	 noun 	 lout 	 boor, lout, ill-mannered person
пьяница 	 noun 	 drunkard 	 drunkard, drunk
пьяница 	 noun 	 drunk 	 drunkard, drunk
сирота 	 noun 	 orphan 	 orphan
ясно 	 adverb 	 clearly 	 clearly
ясно 	 adverb 	 brightly 	 brightly
ясно 	 adverb 	 finely 	 finely
ясно 	 adverb 	 limpidly 	 limpidly
ясно 	 adverb 	 evidently 	 distinctly, evidently
ясно 	 adverb 	 distinctly 	 distinctly, evidently
ящик 	 noun 	 box 	 box, case, chest
ящик 	 noun 	 case 	 box, case, chest
ящик 	 noun 	 chest 	 box, case, chest
ящик 	 noun 	 drawer 	 Furniture drawer in a piece of furniture
ящик 	 noun 	 boob tube 	 idiot box, boob tube
ящик 	 noun 	 idiot box 	 idiot box, boob tube
авангард 	 noun 	 vanguard 	 vanguard, avant-garde, advance guard
авангард 	 noun 	 avant-garde 	 vanguard, avant-garde, advance guard
авангард 	 noun 	 advance 	 vanguard, avant-garde, advance guard
авангард 	 noun 	 guard 	 vanguard, avant-garde, advance guard
авиадивизия 	 noun 	 division 	 air division
авиадивизия 	 noun 	 air 	 air division
авиаполк 	 noun 	 regiment 	 air regiment air wing
авиаполк 	 noun 	 air 	 air regiment air wing
действие 	 noun 	 activity 	 action, activity
действие 	 noun 	 action 	 action, activity
действие 	 noun 	 effect 	 effect, efficacy
действие 	 noun 	 efficacy 	 effect, efficacy
действие 	 noun 	 influence 	 influence, impact
действие 	 noun 	 impact 	 influence, impact
действие 	 noun 	 operation 	 operation
действие 	 noun 	 act 	 act
авиаэскадрилья 	 noun 	 squadron 	 air squadron
авиаэскадрилья 	 noun 	 air 	 air squadron
автомат 	 noun 	 automaton 	 automaton
автомат 	 noun 	 slot machine 	 slot machine
автомат 	 noun 	 automaton 	 automaton
автомат 	 noun 	 submachine gun 	 submachine gun, assault rifle
автомат 	 noun 	 assault rifle 	 submachine gun, assault rifle
автомат 	 noun 	 automatic transmission 	 automatic transmission
автомат 	 noun 	 circuit breaker 	 circuit breaker
база 	 noun 	 base 	 base
атака 	 noun 	 assault 	 attack, assault
атака 	 noun 	 attack 	 attack, assault
батарея 	 noun 	 battery 	 ' battery
батарея 	 noun 	 battery 	 ' battery
батарея 	 noun 	 radiator 	 ' radiator
витамин 	 noun 	 vitamin 	 vitamin
соединение 	 noun 	 junction 	 joining, junction
соединение 	 noun 	 joining 	 joining, junction
