determiner 	 you 	  	  	 The individual or group spoken or written to 	 
interjection 	 loo 	  	  	 A cry to urge on hunting dogs 	 
interjection 	 bing 	  	  	  	 
interjection 	 ole 	  	  	  	 
pronoun 	 hu 	  	  	 they singular. he and she 	 
interjection 	 der 	  	  	 Disdainful indication that something is obvious 	 
pronoun 	 der 	  	  	  	 
interjection 	 wo 	  	  	 A falconer's call to a hawk 	 
interjection 	 pow 	  	  	 The sound of a violent impact, such as a punch 	 
interjection 	 sod 	  	  	 expression of surprise, contempt, outrage, disgust, boredom, frustration 	 
conjunction 	 ere 	  	  	 Before 	 
preposition 	 ere 	  	  	  	 
interjection 	 bah 	  	  	 expressing contempt pht, feh, meh, pooh, pshaw, poh, pish; see also Thesaurus:bah 	 
interjection 	 goddammit 	  	  	  	 
conjunction 	 slash 	  	  	 *: What this, the Slashie, means is that you consider me the best actor slash model and not the other way around 	 
interjection 	 crickets 	  	  	  	 
interjection 	 mu 	  	  	  	 
conjunction 	 when 	  	  	  	 
pronoun 	 when 	  	  	  	 
pronoun 	 shi 	  	  	 see Appendix:English third-person singular pronouns 	 
interjection 	 hola 	  	  	 hello, hi, hey 	 
interjection 	 ting 	  	  	 Used to represent the sound of a small bell 	 
interjection 	 hai 	  	  	 hi 	 
interjection 	 viva 	  	  	 Long live ... ! 	 
interjection 	 posh 	  	  	 An exclamation expressing derision 	 
interjection 	 thank you 	  	  	 An expression of gratitude or politeness in response to something done or given. from c. 1400 	 
interjection 	 dum 	  	  	  	 
determiner 	 yer 	  	  	 *: ‘Las’ time I saw you, you was only a baby,’ said the giant. ‘Yeh look a lot like yer dad, but yeh’ve got yer mum’s eyes.’ 	 
pronoun 	 yer 	  	  	  	 
interjection 	 honk 	  	  	  	 
preposition 	 wi 	  	  	  	 
pronoun 	 wi 	  	  	 us 	 
interjection 	 goody 	  	  	 Used to indicate pleasure or delight 	 
interjection 	 hallo 	  	  	 A cry of surprise 	 
preposition 	 aka 	  	  	  	 
interjection 	 attaboy 	  	  	 Used to show encouragement or approval to a boy, man, or male animal 	 
preposition 	 par 	  	  	  	 
pronoun 	 thine 	  	  	 Singular second person possessive pronoun; yours 	 
determiner 	 thine 	  	  	 Singular second person prevocalic possessive determiner 	 
preposition 	 mid 	  	  	  	 
pronoun 	 ch 	  	  	  	 
interjection 	 aces 	  	  	 Ace; excellent 	 
interjection 	 timber 	  	  	 Used by loggers to warn others that a tree being felled is falling 	 
interjection 	 moo 	  	  	 The characteristic sound made by a cow or bull 	 
preposition 	 ahn 	  	  	  	 
interjection 	 fudge 	  	  	 Used in place of fuck 	 
interjection 	 crumbs 	  	  	 An expression of mild surprise 	 
interjection 	 alligator 	  	  	 Used in a common chronometric counting scheme, in which each iteration is sequentially numbered and supposed to be approximately one second in length 	 
interjection 	 adios 	  	  	 goodbye 	 
interjection 	 tweet 	  	  	 An onomatopoeic of bird singing 	 
pronoun 	 nada 	  	  	 Nothing 	 
pronoun 	 dat 	  	  	  	 
conjunction 	 dat 	  	  	  	 
determiner 	 dat 	  	  	  	 
interjection 	 kappa 	  	  	  	 
preposition 	 cum 	  	  	  	 
conjunction 	 cum 	  	  	  	 
interjection 	 rite 	  	  	  	 
interjection 	 shite 	  	  	 An expression of annoyance or dismay 	 
interjection 	 salaam 	  	  	 A respectful ceremonial greeting performed mostly in Islamic countries 	 
conjunction 	 bc 	  	  	 nodot=a: because 	 
determiner 	 youse 	  	  	  	 
pronoun 	 youse 	  	  	  	 
conjunction 	 nd 	  	  	 And 	 
conjunction 	 lest 	  	  	 For fear that; that not; in order to prevent something from happening; in case 	 
interjection 	 zap 	  	  	  	 
interjection 	 ssh 	  	  	 Be quiet or reduce the volume 	 
interjection 	 mush 	  	  	  	 
interjection 	 tally 	  	  	  	 
pronoun 	 ey 	  	  	 * date=1975-08-23|title=Ey has a word for it|newspaper=Chicago Tribune|first=Judie|last=Black|section=1|page=12|passage=Eir sentences would sound smoother since ey wouldn't clutter them with the old sexist pronouns. And if ey should trip up in the new usage, ey would only have emself to blame 	 
interjection 	 cor 	  	  	 Expression of surprise 	 
pronoun 	 moi 	  	  	  	 
interjection 	 curses 	  	  	 Expression of annoyance or frustration 	 
preposition 	 sans 	  	  	  	 
interjection 	 rumble 	  	  	 An onomatopoeia describing a rumbling noise 	 
interjection 	 io 	  	  	 * year=1913|author=Crowley, Aleister|title=Book 4|chapter=Hymn To Pan|url=http://hermetic.com/crowley/book-4/|publisher=University of California Libraries|isbn=|page=|section=Magick in Theory and Practice|passage=Do as thou wilt, as a great god can 	 
preposition 	 fo' 	  	  	  	 
interjection 	 fo 	  	  	  	 
preposition 	 ab 	  	  	  	 
interjection 	 ia 	  	  	 inshallah; God willing 	 
interjection 	 dibs 	  	  	  	 
interjection 	 eureka 	  	  	  	 
interjection 	 viola 	  	  	  	 
interjection 	 yee 	  	  	 slang yes 	 
pronoun 	 ze 	  	  	  	 
interjection 	 haha 	  	  	 An onomatopoeic representation of laughter 	 
interjection 	 ee 	  	  	 eh 	 
interjection 	 oo 	  	  	  	 
preposition 	 whit 	  	  	  	 
interjection 	 vale 	  	  	 Farewell 	 
pronoun 	 ich 	  	  	  	 
interjection 	 yahoo 	  	  	 An exclamation of joy or enjoyment 	 
interjection 	 aloha 	  	  	 Expressing good wishes when greeting or parting from someone; hello; goodbye. from 19th c 	 
conjunction 	 coz 	  	  	 because 	 
interjection 	 psyche 	  	  	  	 
pronoun 	 hes 	  	  	 his when pronounced as he's; that that belongs to him 	 
determiner 	 hes 	  	  	 his when pronounced as he's; belonging to him 	 
determiner 	 yous 	  	  	 The group spoken or written to 	 
pronoun 	 yous 	  	  	 You . from 19th c 	 
interjection 	 fore 	  	  	 An exclamation yelled to inform players a ball is moving in their direction 	 
interjection 	 geronimo 	  	  	 A cry before jumping out of or into something 	 
interjection 	 cheerio 	  	  	 Goodbye, an interjection said upon parting 	 
interjection 	 shalom 	  	  	  	 
interjection 	 lew 	  	  	 obsolete nodot=a or look: a cry to look at something 	 
interjection 	 touché 	  	  	 An acknowledgement of a hit 	 
interjection 	 soho 	  	  	 ho; halloo; a word used in calling from a distant place 	 
interjection 	 kobe 	  	  	 Exclaimed, while throwing something at a target, as a prediction or acknowledgement of accuracy 	 
interjection 	 nu 	  	  	  	 
interjection 	 tut 	  	  	 Tut tut; an expression of disapproval 	 
interjection 	 sook 	  	  	 * 1919, Strickland Gillilan, A Sample Case of Humor 	 
pronoun 	 dis 	  	  	 This 	 
determiner 	 dis 	  	  	 This 	 
pronoun 	 sie 	  	  	 Gender-neutral subject pronoun, grammatically equivalent to the gendered pronouns he and she 	 
interjection 	 namaste 	  	  	 Literally "I bow to you"; used as a greeting or acknowledgement of the equality of all, which pays honor to the sacredness of all 	 
interjection 	 damnit 	  	  	  	 
interjection 	 barf 	  	  	 An expression of disgust 	 
interjection 	 okey 	  	  	  	 
interjection 	 ur 	  	  	 Expressing hesitation or inarticulacy; er, um 	 
pronoun 	 ur 	  	  	 Your 	 
interjection 	 gah 	  	  	 Expressing exasperation or annoyance 	 
interjection 	 olé 	  	  	 An expression of excitement. Hooray! 	 
preposition 	 nigh 	  	  	  	 
interjection 	 cannonball 	  	  	  	 
interjection 	 sup 	  	  	 what's up 	 
interjection 	 dildo 	  	  	 A burden: a phrase or theme that recurs at the end of a verse of a folk song 	 
preposition 	 pre 	  	  	  	 
interjection 	 righto 	  	  	 Okay; all right 	 
interjection 	 gm 	  	  	  	 
interjection 	 shucks 	  	  	 A bashful expression of thanks 	 
determiner 	 what 	  	  	  	 
pronoun 	 what 	  	  	  	 
particle 	 ô 	  	  	 * 1604, William Shakespeare, The Tragedy of Hamlet, Prince of Denmark, Second Quarto, D3 	 
interjection 	 lol 	  	  	 Used in song as a nonsense syllable 	 
determiner 	 nil 	  	  	  	 
interjection 	 yuk 	  	  	 An exuberant laugh 	 
interjection 	 hoi 	  	  	 A call to gain someone's attention; hey! 	 
preposition 	 anti 	  	  	  	 
interjection 	 godspeed 	  	  	  	 
interjection 	 dun 	  	  	  	 
preposition 	 vs 	  	  	  	 
pronoun 	 vs 	  	  	  	 
interjection 	 ach 	  	  	 An expression of annoyance 	 
interjection 	 coo 	  	  	 * title=Competitions|url=http://www.sincuser.f9.co.uk/092/index.htm|archiveurl=https://web.archive.org/web/20131021070048/http://www.sincuser.f9.co.uk/092/index.htm|archivedate=21 October 2013|editor=Jim Douglas|magazine=Sinclair User: The Independent Magazine for the Independent User|location=London|publisher=ECC Publications|month=November|year=1989|issue=92|issn=0262-5458|oclc=225914690|passage=We want you to come up with a side splitting caption for a picture drawn by the fair hand of those at System 3. If you turn out to be the Funniest "Person", we'll give you a big wopping model of a dinosaur. Coo 	 
interjection 	 hem 	  	  	  	 
pronoun 	 hem 	  	  	  	 
interjection 	 pew 	  	  	 Representative of the sound made by the firing of a gun 	 
interjection 	 sayonara 	  	  	 Goodbye, adieu 	 
preposition 	 amid 	  	  	  	 
pronoun 	 thyself 	  	  	 yourself as the object of a verb or preposition or as an intensifier; reflexive case of thou 	 
interjection 	 mmhmm 	  	  	  	 
pronoun 	 mun 	  	  	 them 	 
interjection 	 dag 	  	  	 Expressing shock, awe or surprise; used as a general intensifier 	 
interjection 	 foo 	  	  	  	 
determiner 	 dem 	  	  	 What are dem fings doing 'ere? 	 
pronoun 	 dem 	  	  	  	 
interjection 	 har 	  	  	 A sound of laughter, with a sarcastic connotation 	 
pronoun 	 noone 	  	  	  	 
interjection 	 abracadabra 	  	  	 Used to indicate that a magic trick or other illusion has been performed. from 19th c 	 
preposition 	 atop 	  	  	  	 
particle 	 lor 	  	  	  	 
interjection 	 baa 	  	  	 The characteristic cry of a sheep 	 
interjection 	 presto 	  	  	 Used by magicians when performing a trick; ta-da; voilà 	 
interjection 	 hep 	  	  	 A rallying cry in attacks on the Jewish people 	 
preposition 	 chez 	  	  	  	 
interjection 	 hahaha 	  	  	 haha 	 
particle 	 nia 	  	  	  	 
interjection 	 bok 	  	  	 The clucking sound of a chicken 	 
conjunction 	 ergo 	  	  	 therefore 	 
interjection 	 ag 	  	  	 Expressing annoyance, remorse, surprise etc.; oh, ah 	 
interjection 	 chit 	  	  	 Shit 	 
interjection 	 fab 	  	  	  	 
interjection 	 och 	  	  	 an expression of anger, frustration, surprise 	 
pronoun 	 dar 	  	  	  	 
preposition 	 uv 	  	  	  	 
interjection 	 nix 	  	  	  	 
preposition 	 up to 	  	  	  	 
preposition 	 ter 	  	  	  	 
particle 	 ter 	  	  	 *: "Jesus Christ! Was my folks refined. My mam she wouldn't think-a lettin' us young'uns call a pee pot a pee pot. A chamber's what she called it... And by God! Us young'uns had ter call the pee pot a chamber or git our God damn necks wrang.&quot 	 
pronoun 	 yon 	  	  	  	 
interjection 	 tata 	  	  	  	 
interjection 	 ruff 	  	  	 The bark of a dog; arf, woof 	 
interjection 	 mew 	  	  	  	 
interjection 	 haw 	  	  	  	 
interjection 	 fie 	  	  	 Often followed by on or upon: express distaste, disgust, or outrage 	 
interjection 	 grr 	  	  	 A growl of strong anger or disappointment 	 
interjection 	 caw 	  	  	 Cry of a crow 	 
interjection 	 siam 	  	  	 get lost! 	 
interjection 	 holla 	  	  	 what's up; a greeting 	 
interjection 	 attagirl 	  	  	 Used to show encouragement or approval to a girl, woman or female animal 	 
interjection 	 tripe 	  	  	  	 
preposition 	 fer 	  	  	  	 
interjection 	 ta-da 	  	  	  	 
interjection 	 kaboom 	  	  	 The sound of an explosion, typically seen in comic strips or heard in a light-hearted conversation 	 
interjection 	 doh 	  	  	  	 
interjection 	 'allo 	  	  	  	 
interjection 	 hone 	  	  	  	 
interjection 	 giddyup 	  	  	 directed at a horse Move on!, go faster! 	 
interjection 	 gesundheit 	  	  	 Said to someone who has just sneezed 	 
determiner 	 ea 	  	  	  	 
interjection 	 humbug 	  	  	 Balderdash!, nonsense!, rubbish! 	 
particle 	 mah 	  	  	 * date=APR 17, 2015|author=Jalelah Abu Baker|title=What's the difference between 'lah' and 'lor': Poet Gwee Li Sui's take on nuances of Singlish goes viral|work=The Straits Times|passage=I dun have mah.|url=https://www.straitstimes.com/singapore/whats-the-difference-between-lah-and-lor-poet-gwee-li-suis-take-on-nuances-of-singlish 	 
determiner 	 mah 	  	  	 * date=June 26, 2014|developer=Yacht Club Games|title=Shovel Knight: Shovel of Hope|platform=Nintendo 3DS|level=Streetpass Arena|text=Adventurer: 'AFTER YEARS OF ADVENTURING... I HAVE FINALLY ARRIVED AT THE STREETPASS ARENA. ONCE I REST MAH HOOFS 	 
interjection 	 salve 	  	  	 Hail; a greeting 	 
interjection 	 noo 	  	  	  	 
interjection 	 omg 	  	  	 An exclamation of excitement, surprise, shock etc.; oh my God 	 
pronoun 	 mee 	  	  	 * 1606 — Shakespeare, Macbeth 7.7 	 
preposition 	 mong 	  	  	  	 
interjection 	 harrow 	  	  	 A call for help, or of distress, alarm etc 	 
particle 	 meh 	  	  	  	 
interjection 	 meh 	  	  	 Expressing indifference or lack of enthusiasm 	 
interjection 	 pax 	  	  	 A cry for peace or truce in children's games 	 
preposition 	 ajax 	  	  	  	 
determiner 	 theyre 	  	  	  	 
interjection 	 crud 	  	  	 Non-vulgar interjection expressing annoyance, anxiety, etc.; sugar, damn 	 
interjection 	 yow 	  	  	 Expression of pain; ouch 	 
interjection 	 frick 	  	  	  	 
interjection 	 arr 	  	  	 Yes 	 
interjection 	 drat 	  	  	 Expressing anger, annoyance or frustration 	 
interjection 	 nom 	  	  	  	 
particle 	 liao 	  	  	  	 
interjection 	 humph 	  	  	 Used to express doubt or disapproval 	 
interjection 	 tra 	  	  	  	 
interjection 	 frigg 	  	  	  	 
interjection 	 ick 	  	  	 An exclamation of disgust 	 
interjection 	 hoy 	  	  	 Ho!, hallo!, stop! 	 
interjection 	 nyah 	  	  	 Expressing smug triumph 	 
interjection 	 pah 	  	  	 Used to express distaste, disgust or outrage 	 
determiner 	 wor 	  	  	 our 	 
preposition 	 ala 	  	  	  	 
interjection 	 fen 	  	  	 Used in children's games to prevent or forestall another player's action; a check or bar 	 
interjection 	 ns 	  	  	  	 
pronoun 	 each other 	  	  	  	 
interjection 	 mhm 	  	  	 yes 	 
interjection 	 arf 	  	  	 Representing the sound of a dog's bark 	 
interjection 	 nee 	  	  	 no, used to express no as a quantity, i.e. not any, like German kein/Dutch geen/French rien. Compare with na 	 
interjection 	 ack 	  	  	 acknowledged 	 
interjection 	 ope 	  	  	 an exclamation of surprise; oops 	 
interjection 	 basta 	  	  	 enough; stop! 	 
interjection 	 applesauce 	  	  	 Nonsense! 	 
interjection 	 lawd 	  	  	  	 
pronoun 	 simi 	  	  	 what 	 
interjection 	 peekaboo 	  	  	 boo when showing oneself unexpectedly 	 
pronoun 	 hella 	  	  	 A lot; very much 	 
interjection 	 hella 	  	  	 For sure; totally; hell yeah; used as a strong affirmation of something that was just said, accomplished, or revealed 	 
determiner 	 hella 	  	  	 Intensifier, signifies an abundance of a thing; much or many 	 
preposition 	 oa 	  	  	  	 
preposition 	 'pon 	  	  	  	 
interjection 	 gwan 	  	  	  	 
conjunction 	 tho 	  	  	 When 	 
pronoun 	 tho 	  	  	 Those; they 	 
interjection 	 yeow 	  	  	  	 
interjection 	 bosh 	  	  	 An expression of disbelief or annoyance 	 
interjection 	 nome 	  	  	  	 
interjection 	 wilco 	  	  	 Used to indicate agreement and compliance 	 
conjunction 	 bt 	  	  	  	 
interjection 	 damme 	  	  	 * 1809: James Gillray 	 
interjection 	 hehe 	  	  	 An approximation to the sound of a giggle 	 
interjection 	 gad 	  	  	 An exclamatory interjection roughly equivalent to by God, goodness gracious, for goodness' sake 	 
interjection 	 banzai 	  	  	  	 
interjection 	 toho 	  	  	 tallyho used to urge on a fox hunt 	 
interjection 	 cripes 	  	  	 A mild curse or expression of surprise 	 
pronoun 	 dey 	  	  	  	 
interjection 	 ticktock 	  	  	  	 
interjection 	 alleluia 	  	  	 A liturgical or variant form of hallelujah 	 
interjection 	 arigato 	  	  	 A way to say “thank you”, used in the context of, or to evoke, Japanese culture 	 
pronoun 	 netherworld 	  	  	 The place to which one's spirit descends upon death, conceived as below the surface of the earth 	 
interjection 	 newsflash 	  	  	  	 
interjection 	 blech 	  	  	 An imitation of the sound of gagging, used to express disgust or disdain 	 
preposition 	 contra 	  	  	  	 
interjection 	 hullo 	  	  	  	 
interjection 	 glug 	  	  	  	 
conjunction 	 afore 	  	  	  	 
preposition 	 afore 	  	  	  	 
interjection 	 oho 	  	  	 Expressing surprise or gloating realisation; aha 	 
preposition 	 wid 	  	  	  	 
interjection 	 mk 	  	  	  	 
interjection 	 bullseye 	  	  	 A response to a totally accurate statement 	 
interjection 	 okeydokey 	  	  	  	 
interjection 	 hic 	  	  	 An approximation to the sound of a hiccup, used e.g. to indicate drunkenness 	 
conjunction 	 sith 	  	  	 since 	 
interjection 	 kino 	  	  	  	 
interjection 	 ello 	  	  	  	 
interjection 	 lulla 	  	  	  	 
interjection 	 uh-huh 	  	  	  	 
interjection 	 gg 	  	  	 Good game; commonly used at the end of a gaming match; also sometimes used to end an argument 	 
conjunction 	 ef 	  	  	  	 
interjection 	 woohoo 	  	  	 Used to express sudden or exuberant joy, happiness, excitement, approval or delight 	 
preposition 	 apropos 	  	  	  	 
particle 	 lah 	  	  	 Placed at the end of a phrase or sentence either for emphasis or reassurance 	 
interjection 	 maa 	  	  	 A bleating sound, as that of a sheep or goat 	 
interjection 	 eek 	  	  	 Representing a scream or shriek 	 
conjunction 	 zat 	  	  	  	 
interjection 	 shoop 	  	  	 Used as a scat word in song lyrics 	 
preposition 	 hoff 	  	  	  	 
interjection 	 uhuh 	  	  	  	 
preposition 	 doon 	  	  	  	 
preposition 	 iso 	  	  	  	 
preposition 	 qua 	  	  	  	 
interjection 	 qua 	  	  	 The cawing sound of a crow 	 
interjection 	 yuck 	  	  	  	 
interjection 	 ods 	  	  	 God's 	 
determiner 	 yr 	  	  	  	 
preposition 	 astride 	  	  	  	 
conjunction 	 cus 	  	  	 because 	 
preposition 	 wth 	  	  	  	 
interjection 	 wth 	  	  	 nodot=a: what the hell 	 
pronoun 	 dere 	  	  	  	 
interjection 	 dere 	  	  	  	 
interjection 	 yas 	  	  	  	 
pronoun 	 yas 	  	  	  	 
interjection 	 jinks 	  	  	 Indication of surprise or amazement; jinkies 	 
interjection 	 pugh 	  	  	 nodot=a: an expression of contempt, disgust, etc 	 
determiner 	 alls 	  	  	 dialectal All 	 
preposition 	 mang 	  	  	  	 
interjection 	 gh 	  	  	 good half 	 
interjection 	 okeydoke 	  	  	  	 
interjection 	 sss 	  	  	 the hiss of a snake or other reptile 	 
interjection 	 aol 	  	  	 me too, I agree 	 
pronoun 	 sb 	  	  	  	 
conjunction 	 soe 	  	  	  	 
pronoun 	 zis 	  	  	  	 
determiner 	 zis 	  	  	  	 
preposition 	 vid 	  	  	  	 
pronoun 	 nen 	  	  	 none 	 
interjection 	 sommer 	  	  	 just because; answer to questions  that you do not want to answer or don't have a specific answer for 	 
pronoun 	 yew 	  	  	  	 
interjection 	 aight 	  	  	  	 
interjection 	 okie 	  	  	  	 
preposition 	 rel 	  	  	  	 
interjection 	 mkay 	  	  	  	 
interjection 	 doy 	  	  	 Disdainful indication that something is obvious; see duh 	 
interjection 	 bap 	  	  	 The sound of a light blow or slap 	 
interjection 	 yeehaw 	  	  	 An expression of joy or excitement, commonly associated with cowboys 	 
preposition 	 wt 	  	  	  	 
pronoun 	 wt 	  	  	  	 
interjection 	 aiya 	  	  	 ah; oh; exclamatory phrase expressing surprise, blame, dismay, shock, or fear 	 
interjection 	 ner 	  	  	  	 
interjection 	 pst 	  	  	  	 
preposition 	 twixt 	  	  	  	 
preposition 	 before 	  	  	  	 
interjection 	 vivat 	  	  	  	 
pronoun 	 oot 	  	  	 anything 	 
interjection 	 tallyho 	  	  	 Used to urge on a fox hunt, especially when the fox is sighted 	 
preposition 	 neath 	  	  	  	 
interjection 	 waa 	  	  	  	 
preposition 	 thro 	  	  	  	 
conjunction 	 lak 	  	  	  	 
determiner 	 beaucoup 	  	  	  	 
pronoun 	 nish 	  	  	 slang nothing 	 
