voice	mood	tense	aspect	pre-subject	post-subject	
middle	jussive	future	perfect-progressive	[middle voice:] [let it be]	will have been [repeatedly] {verb:perfect} 	
middle	injunctive	present	aortist	[middle voice:] [I intend]	will [now] be {verb:perfect}	
middle	injunctive	future	aortist	[middle voice:] [I intend]	will be {verb:perfect}	
middle	injunctive	present	habitual	[middle voice:] [I intend]	will [now] be {verb:perfect} [for a time]	
middle	injunctive	future	habitual	[middle voice:] [I intend]	will be {verb:perfect} [for a time]	
middle	injunctive	present	progressive	[middle voice:] [I intend]	will [now] be [briefly] {verb:perfect} 	
middle	injunctive	future	progressive	[middle voice:] [I intend]	will be [briefly] {verb:perfect} 	
middle	injunctive	present	imperfect	[middle voice:] [I intend]	will [now] be {verb:perfect} 	
middle	injunctive	future	imperfect	[middle voice:] [I intend]	will be {verb:perfect} 	
middle	injunctive	present	perfect	[middle voice:] [I intend]	will [now] have been {verb:perfect}	
middle	injunctive	future	perfect	[middle voice:] [I intend]	will have been {verb:perfect}	
middle	injunctive	present	perfect-progressive	[middle voice:] [I intend]	will [now] have been [repeatedly] {verb:perfect} 	
middle	injunctive	future	perfect-progressive	[middle voice:] [I intend]	will have been [repeatedly] {verb:perfect} 	
middle	suggestive	present	aortist	[middle voice:] [I suggest]	{be:present} {verb:perfect}	
middle	suggestive	future	aortist	[middle voice:] [I suggest]	[soon] be {verb:perfect}	
middle	suggestive	present	habitual	[middle voice:] [I suggest]	{be:present} being {verb:perfect} [for a time]	
middle	suggestive	future	habitual	[middle voice:] [I suggest]	[soon] be {verb:perfect} [for a time]	
middle	suggestive	present	progressive	[middle voice:] [I suggest]	{be:present} being [briefly] {verb:perfect}	
middle	suggestive	future	progressive	[middle voice:] [I suggest]	[soon] be [briefly] {verb:perfect} 	
middle	suggestive	present	imperfect	[middle voice:] [I suggest]	{be:present} being {verb:perfect}	
middle	suggestive	future	imperfect	[middle voice:] [I suggest]	[soon] be {verb:perfect} 	
middle	suggestive	present	perfect	[middle voice:] [I suggest]	{have:present} been {verb:perfect}	
middle	suggestive	future	perfect	[middle voice:] [I suggest]	will have been {verb:perfect}	
middle	suggestive	present	perfect-progressive	[middle voice:] [I suggest]	{have:present} been [repeatedly] {verb:perfect} 	
middle	suggestive	future	perfect-progressive	[middle voice:] [I suggest]	will have been [repeatedly] {verb:perfect} 	
middle	imperative	present	aortist	[middle voice:] [I command]	{be:present} {verb:perfect}	
middle	imperative	future	aortist	[middle voice:] [I command]	[soon] be {verb:perfect}	
middle	imperative	present	habitual	[middle voice:] [I command]	{be:present} being {verb:perfect} [for a time]	
middle	imperative	future	habitual	[middle voice:] [I command]	[soon] be {verb:perfect} [for a time]	
middle	imperative	present	progressive	[middle voice:] [I command]	{be:present} being [briefly] {verb:perfect}	
middle	imperative	future	progressive	[middle voice:] [I command]	[soon] be [briefly] {verb:perfect} 	
middle	imperative	present	imperfect	[middle voice:] [I command]	{be:present} being {verb:perfect}	
middle	imperative	future	imperfect	[middle voice:] [I command]	[soon] be {verb:perfect} 	
middle	imperative	present	perfect	[middle voice:] [I command]	{have:present} been {verb:perfect}	
middle	imperative	future	perfect	[middle voice:] [I command]	will have been {verb:perfect}	
middle	imperative	present	perfect-progressive	[middle voice:] [I command]	{have:present} been [repeatedly] {verb:perfect} 	
middle	imperative	future	perfect-progressive	[middle voice:] [I command]	will have been [repeatedly] {verb:perfect} 	
