*	*	*	*	*	*	*	*	*	*	*	english	old-english	classical-latin	attic-greek	proto-indo-european	russian	russian	sanksrit	sanksrit	middle-egyptian	middle-egyptian																															
	burn		active	present	indicative	simple	familiar	1	plural		burn	bærnaþ 	incendimus 	καίομεν 	?dʰegʷʰéyomos	жжём	žžóm	दहामः	dáhāmaḥ 	𓋴𓄿𓅓𓊮	sꜣm																															
	burn		active	present	indicative	simple	familiar	2	plural		burn	bærnaþ 	incenditis 	καίετε 	?dʰegʷʰéyete	жжёте	žžóte	दहथ	dáhatha 	𓋴𓄿𓅓𓊮	sꜣm																															
	burn		active	present	indicative	simple	familiar	3	plural		burn	bærnaþ 	incendunt 	καίουσῐ(ν) 	?dʰegʷʰéyonti 	жгу́т	žgút	दहन्ति	dáhanti 	𓋴𓄿𓅓𓊮	sꜣm																															
	heal		active	present	indicative	simple	familiar	1	singular	transitive	heal	hǣle	sānō 	ἰᾰ́ομαι 	?kóylyóh₂	лечу́	lečú	भिषज्यामि	bhiṣajyāmi 	𓋴𓅱𓍑𓄿𓏛	swdꜣ	# for rational agents and animate patients																														
	heal		active	present	indicative	simple	familiar	2	singular	transitive	heal	hǣlest, hǣlst	sānās 	ἰᾰ́ῃ, ἰᾰ́ει 	?kóylyési	ле́чишь	léčišʹ	भिषज्यसि	bhiṣajyasi 	𓋴𓅱𓍑𓄿𓏛	swdꜣ	# optional for nominative-accusative languages																														
	heal		active	present	indicative	simple	familiar	3	singular	transitive	heals	hǣleþ, hǣlþ	sānat 	ἰᾰ́εται 	?kóylyéti	ле́чит	léčit	भिषज्यति	bhiṣajyati 	𓋴𓅱𓍑𓄿𓏛	swdꜣ																															
	heal		active	present	indicative	simple	familiar	1	dual	transitive	heal	hǣlaþ 	sānāmus 	ἰᾰ́εσθον 	?kóylyówos	ле́чим	léčim	भिषज्यावः	bhiṣajyāvaḥ 	𓋴𓅱𓍑𓄿𓏛	swdꜣ																															
	heal		active	present	indicative	simple	familiar	2	dual	transitive	heal	hǣlaþ 	sānātis 	ἰᾰ́εσθον 	?kóylyétes	ле́чите	léčite	भिषज्यथः	bhiṣajyathaḥ 	𓋴𓅱𓍑𓄿𓏛	swdꜣ																															
	heal		active	present	indicative	simple	familiar	3	dual	transitive	heal	hǣlaþ 	sānant 		?kóylyétes	ле́чат	léčat	भिषज्यतः	bhiṣajyataḥ 	𓋴𓅱𓍑𓄿𓏛	swdꜣ																															
	heal		active	present	indicative	simple	familiar	1	plural	transitive	heal	hǣlaþ 	sānāmus 	ἰᾰόμεθᾰ 	?kóylyómos	ле́чим	léčim	भिषज्यामः	bhiṣajyāmaḥ 	𓋴𓅱𓍑𓄿𓏛	swdꜣ																															
	heal		active	present	indicative	simple	familiar	2	plural	transitive	heal	hǣlaþ 	sānātis 	ἰᾰ́εσθε 	?kóylyéte	ле́чите	léčite	भिषज्यथ	bhiṣajyatha	𓋴𓅱𓍑𓄿𓏛	swdꜣ																															
	heal		active	present	indicative	simple	familiar	3	plural	transitive	heal	hǣlaþ 	sānant 	ἰᾰ́ονται 	?kóylyónti 	ле́чат	léčat	भिषज्यन्ति	bhiṣajyanti	𓋴𓅱𓍑𓄿𓏛	swdꜣ																															
#	live		active	present	indicative	simple	familiar	1	singular	intransitive	live	libbe	vīvō 	ζῶ 	?gʷéyh₃oh₂	живу́	živú	jīvāmi 	जीवामि	𓋹𓈖𓐍	ꜥnḫ	# for solitary themes																														
#	live		active	present	indicative	simple	familiar	2	singular	intransitive	live	leofast	vīvis 	ζῇς 	?gʷéyh₃esi	живёшь	živjóšʹ	jīvasi 	जीवसि	𓋹𓈖𓐍	ꜥnḫ	# optional for nominative-accusative languages																														
#	live		active	present	indicative	simple	familiar	3	singular	intransitive	lives	leofaþ	vīvit 	ζῇ 	gʷéyh₃eti	живёт	živjót	jīvati 	जीवति	𓋹𓈖𓐍	ꜥnḫ																															
#	live		active	present	indicative	simple	familiar	1	dual	intransitive	live	libbaþ 	vīvimus 	ζῆτον 	?gʷéyh₃owos	живём	živjóm	jīvāvaḥ 	जीवावः	𓋹𓈖𓐍	ꜥnḫ																															
#	live		active	present	indicative	simple	familiar	2	dual	intransitive	live	libbaþ 	vīvitis 	ζῆτον 	?gʷéyh₃etes	живёте	živjóte	jīvathaḥ 	जीवथः	𓋹𓈖𓐍	ꜥnḫ																															
#	live		active	present	indicative	simple	familiar	3	dual	intransitive	live	libbaþ 	vīvunt 		?gʷéyh₃etes	живу́т	živút	jīvataḥ 	जीवतः	𓋹𓈖𓐍	ꜥnḫ																															
#	live		active	present	indicative	simple	familiar	1	plural	intransitive	live	libbaþ 	vīvimus 	ζῶμεν 	?gʷéyh₃omos	живём	živjóm	jīvāmaḥ 	जीवामः	𓋹𓈖𓐍	ꜥnḫ																															
#	live		active	present	indicative	simple	familiar	2	plural	intransitive	live	libbaþ 	vīvitis 	ζῆτε 	?gʷéyh₃ete	живёте	živjóte	jīvatha	जीवथ	𓋹𓈖𓐍	ꜥnḫ																															
#	live		active	present	indicative	simple	familiar	3	plural	intransitive	live	libbaþ 	vīvunt 	ζῶσῐ(ν) 	?gʷéyh₃onti	живу́т	živút	jīvanti	जीवन्ति	𓋹𓈖𓐍	ꜥnḫ																															
#	push		active	present	indicative	simple	familiar	1	singular	transitive	push	sċūfe	trūdō 	ὠθέω 	?tréwdóh₂	толка́ю	tolkáju	ūhāmi 	ऊहामि	𓅱𓇋𓆛𓈖𓂣𓂥	win	# originally for a template but now not likely needed anymore																														
#	push		active	present	indicative	simple	familiar	2	singular	transitive	push	sċȳfst	trūdis 	ὠθέεις 	?tréwdési	толка́ешь	tolkáješʹ	ūhasi 	ऊहसि	𓅱𓇋𓆛𓈖𓂣𓂥	win																															
#	push		active	present	indicative	simple	familiar	3	singular	transitive	pushes	sċȳfþ	trūdit 	ὠθέει 	?tréwdéti	толка́ет	tolkájet	ūhati 	ऊहति	𓅱𓇋𓆛𓈖𓂣𓂥	win																															
#	push		active	present	indicative	simple	familiar	1	dual	transitive	push	sċūfaþ	trūdimus 	ὠθέομεν 	?tréwdówos	толка́ем	tolkájem	ūhāvaḥ 	ऊहावः	𓅱𓇋𓆛𓈖𓂣𓂥	win																															
#	push		active	present	indicative	simple	familiar	2	dual	transitive	push	sċūfaþ	trūditis 	ὠθέετον 	?tréwdétes	толка́ете	tolkájete	ūhathaḥ 	ऊहथः	𓅱𓇋𓆛𓈖𓂣𓂥	win																															
#	push		active	present	indicative	simple	familiar	3	dual	transitive	push	sċūfaþ	trūdunt 	ὠθέετον 	?tréwdétes	толка́ют	tolkájut	ūhataḥ 	ऊहतः	𓅱𓇋𓆛𓈖𓂣𓂥	win																															
#	push		active	present	indicative	simple	familiar	1	plural	transitive	push	sċūfaþ	trūdimus 	ὠθέομεν 	?tréwdómos	толка́ем	tolkájem	ūhāmaḥ 	ऊहामः	𓅱𓇋𓆛𓈖𓂣𓂥	win																															
#	push		active	present	indicative	simple	familiar	2	plural	transitive	push	sċūfaþ	trūditis 	ὠθέετε 	?tréwdéte	толка́ете	tolkájete	ūhatha	ऊहथ	𓅱𓇋𓆛𓈖𓂣𓂥	win																															
#	push		active	present	indicative	simple	familiar	3	plural	transitive	push	sċūfaþ	trūdunt 	ὠθέουσῐ(ν) 	?tréwdónti	толка́ют	tolkájut	ūhanti	ऊहन्ति	𓅱𓇋𓆛𓈖𓂣𓂥	win																															
	eat		active	present	indicative	simple	familiar	1	singular		eat	ete	edō 	ἔδω 	h₁édmi	е́м	jém	ádmi 	अद्मि	𓃹𓈖𓅓𓀁	wnm																															
	eat		active	present	indicative	simple	familiar	2	singular		eat	itst	edis, ēs 	ἔδεις 	h₁édsi	е́шь	jéšʹ	ádsi 	अद्सि	𓃹𓈖𓅓𓀁	wnm																															
	eat		active	present	indicative	simple	familiar	3	singular		eats	itt, it	edit, ēst 	ἔδει 	h₁édti	е́ст	jést	átti 	अत्ति	𓃹𓈖𓅓𓀁	wnm																															
	eat		active	present	indicative	simple	familiar	1	dual		eat	etaþ 	edimus 	ἔδετον 	h₁dwós	еди́м	jedím	adváḥ 	अद्वः	𓃹𓈖𓅓𓀁	wnm																															
	eat		active	present	indicative	simple	familiar	2	dual		eat	etaþ 	editis, ēstis 	ἔδετον 	h₁dtés	еди́те	jedíte	attháḥ 	अत्थः	𓃹𓈖𓅓𓀁	wnm																															
	eat		active	present	indicative	simple	familiar	3	dual		eat	etaþ 	edunt 	ἔδετον 	h₁dtés	едя́т	jedját	attáḥ 	अत्तः	𓃹𓈖𓅓𓀁	wnm																															
	eat		active	present	indicative	simple	familiar	1	plural		eat	etaþ 	edimus 	ἔδομεν 	h₁dmós	еди́м	jedím	admáḥ 	अद्मः	𓃹𓈖𓅓𓀁	wnm																															
	eat		active	present	indicative	simple	familiar	2	plural		eat	etaþ 	editis, ēstis 	ἔδετε 	h₁dté	еди́те	jedíte	atthá	अत्थ	𓃹𓈖𓅓𓀁	wnm																															
	eat		active	present	indicative	simple	familiar	3	plural		eat	etaþ 	edunt 	ἔδουσῐ(ν) 	h₁dénti 	едя́т	jedját	adánti	अदन्ति	𓃹𓈖𓅓𓀁	wnm																															
	hit		active	present	indicative	simple	familiar	1	singular	transitive	hit	slēa	feriō 	τῠ́πτω 	?(s)tewdmi	ударя́ю	udarjáju	tudāmi 	तुदामि																																	
	hit		active	present	indicative	simple	familiar	2	singular	transitive	hit	sliehst	ferīs 	τῠ́πτεις 	?(s)tewdsi	ударя́ешь	udarjáješʹ	tudasi 	तुदसि																																	
	hit		active	present	indicative	simple	familiar	3	singular	transitive	hits	sliehþ	ferit 	τῠ́πτει 	?(s)tewdti	ударя́ет	udarjájet	tudati 	तुदति																																	
	hit		active	present	indicative	simple	familiar	1	dual	transitive	hit	slēaþ 	ferīmus 	τῠ́πτετον 	?(s)tewdwós	ударя́ем	udarjájem	tudāvaḥ 	तुदावः																																	
	hit		active	present	indicative	simple	familiar	2	dual	transitive	hit	slēaþ 	ferītis 	τῠ́πτετον 	?(s)tewdtés	ударя́ете	udarjájete	tudathaḥ 	तुदथः																																	
	hit		active	present	indicative	simple	familiar	3	dual	transitive	hit	slēaþ 	feriunt 	τῠ́πτετον 	?(s)tewdtés	ударя́ют	udarjájut	tudataḥ 	तुदतः																																	
	hit		active	present	indicative	simple	familiar	1	plural	transitive	hit	slēaþ 	ferīmus 	τῠ́πτομεν 	?(s)tewdmós	ударя́ем	udarjájem	tudāmaḥ 	तुदामः																																	
	hit		active	present	indicative	simple	familiar	2	plural	transitive	hit	slēaþ 	ferītis 	τῠ́πτετε 	?(s)tewdté	ударя́ете	udarjájete	tudatha	तुदथ																																	
	hit		active	present	indicative	simple	familiar	3	plural	transitive	hit	slēaþ 	feriunt 	τῠ́πτουσῐ(ν) 	?(s)tewdénti 	ударя́ют	udarjájut	tudanti	तुदन्ति																																	
	change		active	present	indicative	simple	familiar	1	singular	intransitive	change	wende	cambiō 	ἀλλᾰ́σσω 	?meyóh₂	изменя́юсь	izmenjájusʹ	mināmi 	मिनामि																																	
	change		active	present	indicative	simple	familiar	2	singular	intransitive	change	wendest, wenst, wentst	cambiās 	ἀλλᾰ́σσεις 	?meyési	изменя́ешься	izmenjáješʹsja	minasi 	मिनासि																																	
	change		active	present	indicative	simple	familiar	3	singular	intransitive	changes	wendeþ, went	cambiat 	ἀλλᾰ́σσει 	?meyéti	изменя́ется	izmenjájetsja	minati 	मिनाति																																	
	change		active	present	indicative	simple	familiar	1	dual	intransitive	change	wendaþ 	cambiāmus 	ἀλλᾰ́σσετον 	?meyówos	изменя́емся	izmenjájemsja	mināvaḥ 	मिनावः																																	
	change		active	present	indicative	simple	familiar	2	dual	intransitive	change	wendaþ 	cambiātis 	ἀλλᾰ́σσετον 	?meyétes	изменя́етесь	izmenjájetesʹ	minathaḥ 	मिनाथः																																	
	change		active	present	indicative	simple	familiar	3	dual	intransitive	change	wendaþ 	cambiant 	ἀλλᾰ́σσετον 	?meyétes	изменя́ются	izmenjájutsja	minataḥ 	मिनातः																																	
	change		active	present	indicative	simple	familiar	1	plural	intransitive	change	wendaþ 	cambiāmus 	ἀλλᾰ́σσομεν 	?meyómos	изменя́емся	izmenjájemsja	mināmaḥ	मिनामः																																	
	change		active	present	indicative	simple	familiar	2	plural	intransitive	change	wendaþ 	cambiātis 	ἀλλᾰ́σσετε 	?meyéte	изменя́етесь	izmenjájetesʹ	minatha	मिनाथ																																	
	change		active	present	indicative	simple	familiar	3	plural	intransitive	change	wendaþ 	cambiant 	ἀλλᾰ́σσουσῐ(ν) 	?meyónti	изменя́ются	izmenjájutsja	minanti 	मिनान्ति																																	
	hold		active	present	indicative	simple	familiar	1	singular	transitive	hold	healde	teneō 	ἔχω 	?seǵʰoh₂	держу́	deržú	sahāmi 	सहमि																																	
	hold		active	present	indicative	simple	familiar	2	singular	transitive	hold	hielst, hieltst	tenēs 	ἔχεις 	?seǵʰesi	де́ржишь	déržišʹ	sahasi 	सहसि																																	
	hold		active	present	indicative	simple	familiar	3	singular	transitive	holds	hielt	tenet 	ἔχει 	seǵʰeti	де́ржит	déržit	sahate	सहते																																	
	hold		active	present	indicative	simple	familiar	1	dual	transitive	hold	healdaþ 	tenēmus 	ἔχετον 	?seǵʰowos	де́ржим	déržim	sahāvaḥ 	सहवः																																	
	hold		active	present	indicative	simple	familiar	2	dual	transitive	hold	healdaþ 	tenētis 	ἔχετον 	?seǵʰetes	де́ржите	déržite	sahathaḥ 	सहथः																																	
	hold		active	present	indicative	simple	familiar	3	dual	transitive	hold	healdaþ 	tenent 	ἔχετον 	?seǵʰetes	де́ржат	déržat	sahataḥ 	सहतः																																	
	hold		active	present	indicative	simple	familiar	1	plural	transitive	hold	healdaþ 	tenēmus 	ἔχομεν 	?seǵʰomos	де́ржим	déržim	sahāmaḥ	सहमः																																	
	hold		active	present	indicative	simple	familiar	2	plural	transitive	hold	healdaþ 	tenētis 	ἔχετε 	?seǵʰete	де́ржите	déržite	sahatha	सहथ																																	
	hold		active	present	indicative	simple	familiar	3	plural	transitive	hold	healdaþ 	tenent 	ἔχουσῐ(ν) 	?seǵʰonti	де́ржат	déržat	sahanti 	सहन्ति																																	
#	resist		active	present	indicative	simple	familiar	1	singular	transitive	resist	wiþstande	renītor 	ᾰ̓νθῐ́στημῐ 	?wrestísteh₂mi	ока́зываю	okázyvaju	sahāmi 	सहमि	𓇋𓏏𓈖𓀜	jtn																															
#	resist		active	present	indicative	simple	familiar	2	singular	transitive	resist	wiþstenst, wiþstentst	renīteris, renītere 	ᾰ̓νθῐ́στης 	?wrestísteh₂si	ока́зываешь	okázyvaješʹ	sahasi 	सहसि	𓇋𓏏𓈖𓀜	jtn																															
#	resist		active	present	indicative	simple	familiar	3	singular	transitive	resists	wiþstent	renītitur 	ᾰ̓νθῐ́στησῐ(ν) 	?wrestísteh₂ti	ока́зывает	okázyvajet	sahate	सहते	𓇋𓏏𓈖𓀜	jtn																															
#	resist		active	present	indicative	simple	familiar	1	dual	transitive	resist	wiþstandaþ 	renītimur 	ᾰ̓νθῐ́στᾰτον 	?wrestísth₂wos	ока́зываем	okázyvajem	sahāvaḥ 	सहवः	𓇋𓏏𓈖𓀜	jtn																															
#	resist		active	present	indicative	simple	familiar	2	dual	transitive	resist	wiþstandaþ 	renītiminī 	ᾰ̓νθῐ́στᾰτον 	?wrestísth₂tes	ока́зываете	okázyvajete	sahathaḥ 	सहथः	𓇋𓏏𓈖𓀜	jtn																															
#	resist		active	present	indicative	simple	familiar	3	dual	transitive	resist	wiþstandaþ 	renītuntur 	ᾰ̓νθῐ́στᾰτον 	?wrestísth₂tes	ока́зывают	okázyvajut	sahataḥ 	सहतः	𓇋𓏏𓈖𓀜	jtn																															
#	resist		active	present	indicative	simple	familiar	1	plural	transitive	resist	wiþstandaþ 	renītimur 	ᾰ̓νθῐ́στᾰμεν 	?wrestísth₂mos	ока́зываем	okázyvajem	sahāmaḥ	सहमः	𓇋𓏏𓈖𓀜	jtn																															
#	resist		active	present	indicative	simple	familiar	2	plural	transitive	resist	wiþstandaþ 	renītiminī 	ᾰ̓νθῐ́στᾰτε 	?wrestísth₂te	ока́зываете	okázyvajete	sahatha	सहथ	𓇋𓏏𓈖𓀜	jtn																															
#	resist		active	present	indicative	simple	familiar	3	plural	transitive	resist	wiþstandaþ 	renītuntur 	ᾰ̓νθῐστᾶσῐ(ν) 	?wrestísth₂n̥ti 	ока́зывают	okázyvajut	sahanti 	सहन्ति	𓇋𓏏𓈖𓀜	jtn																															
	occupy		active	present	indicative	simple	familiar	1	singular	transitive	occupy	weardiġe	occupō 	κᾰτᾰλᾰμβᾰ́νω 	?hepikapyóh₂	занима́ю	zanimáju																																			
	occupy		active	present	indicative	simple	familiar	2	singular	transitive	occupy	weardast	occupās 	κᾰτᾰλᾰμβᾰ́νεις 	?hepikapyési	занима́ешь	zanimáješʹ																																			
	occupy		active	present	indicative	simple	familiar	3	singular	transitive	occupies	weardaþ	occupat 	κᾰτᾰλᾰμβᾰ́νει 	?hepikapyéti	занима́ет	zanimájet																																			
	occupy		active	present	indicative	simple	familiar	1	dual	transitive	occupy	weardiaþ 	occupāmus 	κᾰτᾰλᾰμβᾰ́νετον 	?hepikapyówos	занима́ем	zanimájem																																			
	occupy		active	present	indicative	simple	familiar	2	dual	transitive	occupy	weardiaþ 	occupātis 	κᾰτᾰλᾰμβᾰ́νετον 	?hepikapyétes	занима́ете	zanimájete																																			
	occupy		active	present	indicative	simple	familiar	3	dual	transitive	occupy	weardiaþ 	occupant 	κᾰτᾰλᾰμβᾰ́νετον 	?hepikapyétes	занима́ют	zanimájut																																			
	occupy		active	present	indicative	simple	familiar	1	plural	transitive	occupy	weardiaþ 	occupāmus 	κᾰτᾰλᾰμβᾰ́νομεν 	?hepikapyómos	занима́ем	zanimájem																																			
	occupy		active	present	indicative	simple	familiar	2	plural	transitive	occupy	weardiaþ 	occupātis 	κᾰτᾰλᾰμβᾰ́νετε 	?hepikapyéte	занима́ете	zanimájete																																			
	occupy		active	present	indicative	simple	familiar	3	plural	transitive	occupy	weardiaþ 	occupant 	κᾰτᾰλᾰμβᾰ́νουσῐ(ν) 	?hepikapyónti 	занима́ют	zanimájut																																			
	end	intransitive	active	present	indicative	simple	familiar	1	singular	intransitive	end	endiġe	fīniō 	λήγω 	...	зака́нчиваюсь	zakánčivajusʹ																																			
	end	intransitive	active	present	indicative	simple	familiar	2	singular	intransitive	end	endast	fīnīs 	λήγεις 	...	зака́нчиваешься	zakánčivaješʹsja																																			
	end	intransitive	active	present	indicative	simple	familiar	3	singular	intransitive	ends	endaþ	fīnit 	λήγει 	...	зака́нчивается	zakánčivajetsja																																			
	end	intransitive	active	present	indicative	simple	familiar	1	dual	intransitive	end	endiaþ 	fīnīmus 	λήγετον 	...	зака́нчиваемся	zakánčivajemsja																																			
	end	intransitive	active	present	indicative	simple	familiar	2	dual	intransitive	end	endiaþ 	fīnītis 	λήγετον 	...	зака́нчиваетесь	zakánčivajetesʹ																																			
	end	intransitive	active	present	indicative	simple	familiar	3	dual	intransitive	end	endiaþ 	fīniunt 	λήγετον 	...	зака́нчиваются	zakánčivajutsja																																			
	end	intransitive	active	present	indicative	simple	familiar	1	plural	intransitive	end	endiaþ 	fīnīmus 	λήγομεν 	...	зака́нчиваемся	zakánčivajemsja																																			
	end	intransitive	active	present	indicative	simple	familiar	2	plural	intransitive	end	endiaþ 	fīnītis 	λήγετε 	...	зака́нчиваетесь	zakánčivajetesʹ																																			
	end	intransitive	active	present	indicative	simple	familiar	3	plural	intransitive	end	endiaþ 	fīniunt 	λήγουσῐ(ν) 	...	зака́нчиваются	zakánčivajutsja																																			
#	end	transitive	active	present	indicative	simple	familiar	1	singular	intransitive	end	endiġe	fīniō 	λήγω 	...	зака́нчиваюсь	zakánčivajusʹ																																			
#	end	transitive	active	present	indicative	simple	familiar	2	singular	intransitive	end	endast	fīnīs 	λήγεις 	...	зака́нчиваешься	zakánčivaješʹsja																																			
#	end	transitive	active	present	indicative	simple	familiar	3	singular	intransitive	ends	endaþ	fīnit 	λήγει 	...	зака́нчивается	zakánčivajetsja																																			
#	end	transitive	active	present	indicative	simple	familiar	1	dual	intransitive	end	endiaþ 	fīnīmus 	λήγετον 	...	зака́нчиваемся	zakánčivajemsja																																			
#	end	transitive	active	present	indicative	simple	familiar	2	dual	intransitive	end	endiaþ 	fīnītis 	λήγετον 	...	зака́нчиваетесь	zakánčivajetesʹ																																			
#	end	transitive	active	present	indicative	simple	familiar	3	dual	intransitive	end	endiaþ 	fīniunt 	λήγετον 	...	зака́нчиваются	zakánčivajutsja																																			
#	end	transitive	active	present	indicative	simple	familiar	1	plural	intransitive	end	endiaþ 	fīnīmus 	λήγομεν 	...	зака́нчиваемся	zakánčivajemsja																																			
#	end	transitive	active	present	indicative	simple	familiar	2	plural	intransitive	end	endiaþ 	fīnītis 	λήγετε 	...	зака́нчиваетесь	zakánčivajetesʹ																																			
#	end	transitive	active	present	indicative	simple	familiar	3	plural	intransitive	end	endiaþ 	fīniunt 	λήγουσῐ(ν) 	...	зака́нчиваются	zakánčivajutsja																																			
#	create	transitive	active	present	indicative	simple	familiar	1	singular	transitive	support																																									
#	create	transitive	active	present	indicative	simple	familiar	2	singular	transitive	support																																									
#	create	transitive	active	present	indicative	simple	familiar	3	singular	transitive	support																																									
#	create	transitive	active	present	indicative	simple	familiar	1	dual	transitive	support																																									
#	create	transitive	active	present	indicative	simple	familiar	2	dual	transitive	support																																									
#	create	transitive	active	present	indicative	simple	familiar	3	dual	transitive	support																																									
#	create	transitive	active	present	indicative	simple	familiar	1	plural	transitive	support																																									
#	create	transitive	active	present	indicative	simple	familiar	2	plural	transitive	support																																									
#	create	transitive	active	present	indicative	simple	familiar	3	plural	transitive	support																																									
	grow		active	present	indicative	simple	familiar	1	singular	intransitive	grow	grōwe	crēscō 		?gʰreh₁mi	расту́	rastú	rodhāmi 	रोधामि																																	
	grow		active	present	indicative	simple	familiar	2	singular	intransitive	grow	grēwst	crēscis 		?gʰreh₁si	растёшь	rastjóšʹ	rodhasi 	रोधसि																																	
	grow		active	present	indicative	simple	familiar	3	singular	intransitive	grows	grēwþ	crēscit 		?gʰreh₁ti	растёт	rastjót	rodhati 	रोधति																																	
	grow		active	present	indicative	simple	familiar	1	dual	intransitive	grow	grōwaþ 	crēscimus 		?gʰreh₁wos	растём	rastjóm	rodhāvaḥ 	रोधावः																																	
	grow		active	present	indicative	simple	familiar	2	dual	intransitive	grow	grōwaþ 	crēscitis 		?gʰreh₁tes	растёте	rastjóte	rodhathaḥ 	रोधथः																																	
	grow		active	present	indicative	simple	familiar	3	dual	intransitive	grow	grōwaþ 	crēscunt 		?gʰreh₁tes	расту́т	rastút	rodhataḥ 	रोधतः																																	
	grow		active	present	indicative	simple	familiar	1	plural	intransitive	grow	grōwaþ 	crēscimus 		?gʰreh₁mos	растём	rastjóm	rodhāmaḥ 	रोधामः																																	
	grow		active	present	indicative	simple	familiar	2	plural	intransitive	grow	grōwaþ 	crēscitis 		?gʰreh₁te	растёте	rastjóte	rodhatha	रोधथ																																	
	grow		active	present	indicative	simple	familiar	3	plural	intransitive	grow	grōwaþ 	crēscunt 		?gʰreh₁n̥ti 	расту́т	rastút	rodhanti	रोधन्ति																																	
	please		active	present	indicative	simple	familiar	1	singular	transitive	please	cwēme	iuvō 	ᾰ̓ρέσκω 	?gʰleh₂dʰh₁oh₂	ра́дую	ráduju																																			
	please		active	present	indicative	simple	familiar	2	singular	transitive	please	cwēmest, cwēmst	iuvās 	ᾰ̓ρέσκεις 	?gʰleh₂dʰh₁esi	ра́дуешь	ráduješʹ																																			
	please		active	present	indicative	simple	familiar	3	singular	transitive	pleases	cwēmeþ, cwēmþ	iuvat 	ᾰ̓ρέσκει 	?gʰleh₂dʰh₁eti	ра́дует	rádujet	prīṇā́ti	प्रीणाति																																	
	please		active	present	indicative	simple	familiar	1	dual	transitive	please	cwēmaþ 	iuvāmus 	ᾰ̓ρέσκετον 	?gʰleh₂dʰh₁owos	ра́дуем	rádujem																																			
	please		active	present	indicative	simple	familiar	2	dual	transitive	please	cwēmaþ 	iuvātis 	ᾰ̓ρέσκετον 	?gʰleh₂dʰh₁etes	ра́дуете	rádujete																																			
	please		active	present	indicative	simple	familiar	3	dual	transitive	please	cwēmaþ 	iuvant 	ᾰ̓ρέσκετον 	?gʰleh₂dʰh₁etes	ра́дуют	rádujut																																			
	please		active	present	indicative	simple	familiar	1	plural	transitive	please	cwēmaþ 	iuvāmus 	ᾰ̓ρέσκομεν 	?gʰleh₂dʰh₁omos	ра́дуем	rádujem																																			
	please		active	present	indicative	simple	familiar	2	plural	transitive	please	cwēmaþ 	iuvātis 	ᾰ̓ρέσκετε 	?gʰleh₂dʰh₁ete	ра́дуете	rádujete																																			
	please		active	present	indicative	simple	familiar	3	plural	transitive	please	cwēmaþ 	iuvant 	ᾰ̓ρέσκουσῐ(ν) 	?gʰleh₂dʰh₁onti 	ра́дуют	rádujut																																			
	upset		active	present	indicative	simple	familiar	1	singular	transitive	upset	drēfe	distùrbo 	σκύλλω 	?bʰéh₁dʰoh₂	огорча́ю	ogorčáju																																			
	upset		active	present	indicative	simple	familiar	2	singular	transitive	upset	drēfest, drēfst	distùrbi 	σκύλλεις 	?bʰéh₁dʰesi	огорча́ешь	ogorčáješʹ																																			
	upset		active	present	indicative	simple	familiar	3	singular	transitive	upsets	drēfeþ, drēfþ	distùrba 	σκύλλει 	?bʰéh₁dʰeti	огорча́ет	ogorčájet	bā́dhati	बाधति																																	
	upset		active	present	indicative	simple	familiar	1	dual	transitive	upset	drēfaþ 	disturbiàmo 	σκύλλετον 	?bʰéh₁dʰowos	огорча́ем	ogorčájem																																			
	upset		active	present	indicative	simple	familiar	2	dual	transitive	upset	drēfaþ 	disturbàte 	σκύλλετον 	?bʰéh₁dʰetes	огорча́ете	ogorčájete																																			
	upset		active	present	indicative	simple	familiar	3	dual	transitive	upset	drēfaþ 	distùrbano 	σκύλλετον 	?bʰéh₁dʰetes	огорча́ют	ogorčájut																																			
	upset		active	present	indicative	simple	familiar	1	plural	transitive	upset	drēfaþ 	disturbiàmo 	σκύλλομεν 	?bʰéh₁dʰomos	огорча́ем	ogorčájem																																			
	upset		active	present	indicative	simple	familiar	2	plural	transitive	upset	drēfaþ 	disturbàte 	σκύλλετε 	?bʰéh₁dʰete	огорча́ете	ogorčájete																																			
	upset		active	present	indicative	simple	familiar	3	plural	transitive	upset	drēfaþ 	distùrbano 	σκύλλουσῐ(ν) 	?bʰéh₁dʰonti 	огорча́ют	ogorčájut																																			
	listen		active	present	indicative	simple	familiar	1	singular	intransitive	listen	hlyste	auscultō 	ἀκροᾰ́ομαι 	?ḱléwsoh₂	слу́шаю	slúšaju	śṛṇómi 	शृणोमि																																	
	listen		active	present	indicative	simple	familiar	2	singular	intransitive	listen	hlystest, hlyst	auscultās 	ἀκροᾰ́ῃ, ἀκροᾰ́ει 	?ḱléwsesi	слу́шаешь	slúšaješʹ	śṛṇóṣi 	शृणोषि																																	
	listen		active	present	indicative	simple	familiar	3	singular	intransitive	listens	hlysteþ, hlyst	auscultat 	ἀκροᾰ́εται 	ḱléwseti	слу́шает	slúšajet	śṛṇóti 	शृणोति																																	
	listen		active	present	indicative	simple	familiar	1	dual	intransitive	listen	hlystaþ 	auscultāmus 	ἀκροᾰ́εσθον 	?ḱléwsowos	слу́шаем	slúšajem	śṛṇuváḥ 	शृणुवः																																	
	listen		active	present	indicative	simple	familiar	2	dual	intransitive	listen	hlystaþ 	auscultātis 	ἀκροᾰ́εσθον 	?ḱléwsetes	слу́шаете	slúšajete	śṛṇutháḥ 	शृणुथः																																	
