gratis 	 adverb 	 free 	 free, without charge, gratis
ordre 	 noun 	 order 	 order
ordre 	 noun 	 region 	 region
ordre 	 noun 	 kind 	 kind, sort
ordre 	 noun 	 sort 	 kind, sort
ordre 	 noun 	 order 	 order
ordre 	 noun 	 order 	 order
ordre 	 noun 	 order 	 order
ordre 	 noun 	 order 	 order
ordre 	 noun 	 classical order 	 classical order
sacerdotal 	 adjective 	 priestly 	 priestly
huis 	 noun 	 door 	 A door, access
indirect 	 adjective 	 English 	 indirect
falsifiable 	 adjective 	 English 	 falsifiable
apert 	 adjective 	 obvious 	 clear, manifest, obvious
apert 	 adjective 	 clear 	 clear, manifest, obvious
apert 	 adjective 	 manifest 	 clear, manifest, obvious
articulation 	 noun 	 joint 	 joint
articulation 	 noun 	 English 	 articulation
saison 	 noun 	 season 	 season
saison 	 noun 	 season 	 season
saison 	 noun 	 season 	 season
limitation 	 noun 	 English 	 limitation
sexe 	 noun 	 gender 	 gender
sexe 	 noun 	 sex 	 sex
sexe 	 noun 	 sex organ 	 sex organ
sexe 	 adjective 	 pornographic 	 Pornographic
sexe 	 adjective 	 aroused 	 Horny, sexually aroused
sexe 	 adjective 	 horny 	 Horny, sexually aroused
sexe 	 adjective 	 sexy 	 Sexy
rond 	 adjective 	 round 	 round
rond 	 adjective 	 drunk 	 drunk
rond 	 noun 	 circle 	 circle
rond 	 noun 	 money 	 coin;  change, money
rond 	 noun 	 change 	 coin;  change, money
rond 	 noun 	 coin 	 coin;  change, money
malachite 	 noun 	 English 	 malachite
midinette 	 noun 	 English 	 shopgirl, salesclerk, midinette
midinette 	 noun 	 shopgirl 	 shopgirl, salesclerk, midinette
midinette 	 noun 	 salesclerk 	 shopgirl, salesclerk, midinette
midinette 	 noun 	 English 	 bimbo, midinette
midinette 	 noun 	 bimbo 	 bimbo, midinette
aborigène 	 adjective 	 w:Indigenous Australians 	 Of or relating to Indigenous Australians
aborigène 	 adjective 	 indigenous 	 aboriginal, indigenous
aborigène 	 adjective 	 aboriginal 	 aboriginal, indigenous
aborigène 	 noun 	 native 	 A generally primitive native from the land
aborigène 	 noun 	 primitive 	 A generally primitive native from the land
aborigène 	 noun 	 land 	 A generally primitive native from the land
américain 	 adjective 	 American 	 pertaining to America or the American people
américain 	 adjective 	 America 	 pertaining to America or the American people
américain 	 noun 	 French fries 	 sandwich, generally with ham or pork, and French fries
américain 	 noun 	 ham 	 sandwich, generally with ham or pork, and French fries
américain 	 noun 	 pork 	 sandwich, generally with ham or pork, and French fries
américain 	 noun 	 sandwich 	 sandwich, generally with ham or pork, and French fries
flic 	 noun 	 rozzer 	 copper, pig, rozzer
flic 	 noun 	 pig 	 copper, pig, rozzer
flic 	 noun 	 copper 	 copper, pig, rozzer
pute 	 noun 	 slut 	 whore, slut
pute 	 noun 	 whore 	 whore, slut
pute 	 noun 	 slut 	 bitch, slut
pute 	 noun 	 bitch 	 bitch, slut
pute 	 noun 	 fucking 	 fucking
rib 	 noun 	 details 	 bank account details
rib 	 noun 	 bank account 	 bank account details
madrigal 	 noun 	 English 	 madrigal
octobre 	 noun 	 October 	 October
oreille 	 noun 	 ear 	 ear
niveau 	 noun 	 level 	 level  fr
niveau 	 noun 	 level 	 level
piscivore 	 adjective 	 piscivorous 	 piscivorous, fish-eating
employer 	 verb 	 employ 	 to employ
chips 	 noun 	 crisps 	 chips American English, crisps British English
luthier 	 noun 	 English 	 luthier, violin maker
luthier 	 noun 	 violin maker 	 luthier, violin maker
modération 	 noun 	 moderation 	 moderation
cuit 	 adjective 	 cooked 	 cooked
cuit 	 adjective 	 smashed 	 sozzled, smashed
cuit 	 adjective 	 sozzled 	 sozzled, smashed
ganglion 	 noun 	 English 	 ganglion
vit 	 noun 	 John Thomas 	 pintle, John Thomas
vit 	 noun 	 pintle 	 pintle, John Thomas
mailing 	 noun 	 mailing list 	 mailing list
bobèche 	 noun 	 clown 	 clown
quand 	 conjunction 	 when 	 when
souris 	 noun 	 mouse 	 mouse
danser 	 verb 	 dance 	 to dance
tanga 	 noun 	 G-string 	 G-string, thong
tanga 	 noun 	 thong 	 G-string, thong
ammonium 	 noun 	 English 	 ammonium
monument 	 noun 	 English 	 monument
secrétariat 	 noun 	 secretariat 	 secretariat; office
secrétariat 	 noun 	 office 	 secretariat; office
secrétariat 	 noun 	 secretarial 	 secretarial work
secrétaire 	 noun 	 secretary 	 secretary
secrétaire 	 noun 	 secretaire 	 writing desk, secretaire
secrétaire 	 noun 	 writing desk 	 writing desk, secretaire
denier 	 noun 	 money 	 money
succéder 	 verb 	 succeed 	 à to succeed
succéder 	 verb 	 inherit 	 to inherit by right of kinship
dressing 	 noun 	 wardrobe 	 wardrobe
dressing 	 noun 	 dressing room 	 dressing room
tel 	 adjective 	 such 	 such
tel 	 pronoun 	 one 	 one
soda 	 noun 	 soft drink 	 soda, soft drink
vierge 	 adjective 	 virgin 	 virgin
vierge 	 adjective 	 blank 	 recording/storage media blank
immersion 	 noun 	 English 	 immersion
immersion 	 noun 	 language immersion 	 language immersion
mari 	 noun 	 husband 	 husband
mari 	 noun 	 marijuana 	 cannabis, marijuana
mari 	 noun 	 cannabis 	 cannabis, marijuana
vader 	 verb 	 go 	 aller, to go
vader 	 verb 	 get away 	 to get away
rémois 	 adjective 	 Reims 	 From Reims
esprit 	 noun 	 substance 	 immaterial or incorporeal substance
esprit 	 noun 	 immaterial 	 immaterial or incorporeal substance
esprit 	 noun 	 incorporeal 	 immaterial or incorporeal substance
esprit 	 noun 	 mind 	 disembodied mind
esprit 	 noun 	 disembodied 	 disembodied mind
esprit 	 noun 	 mind 	 mind '
esprit 	 noun 	 mind 	 mind '
esprit 	 noun 	 aptitude 	 specific mind aptitude
esprit 	 noun 	 aptitude 	 high mind aptitude
esprit 	 noun 	 intention 	 deep intention, sense, or purpose '; philosophy '
esprit 	 noun 	 sense 	 deep intention, sense, or purpose '; philosophy '
esprit 	 noun 	 purpose 	 deep intention, sense, or purpose '; philosophy '
esprit 	 noun 	 philosophy 	 deep intention, sense, or purpose '; philosophy '
esprit 	 noun 	 mind 	 human being, as possessing abilities of mind
esprit 	 noun 	 ability 	 human being, as possessing abilities of mind
esprit 	 noun 	 human being 	 human being, as possessing abilities of mind
esprit 	 noun 	 volatile 	 ' volatile fluid ; ' alcohol
esprit 	 noun 	 fluid 	 ' volatile fluid ; ' alcohol
esprit 	 noun 	 alcohol 	 ' volatile fluid ; ' alcohol
impartial 	 adjective 	 English 	 impartial
départ 	 noun 	 departure 	 departure, start
départ 	 noun 	 start 	 departure, start
déjà 	 adverb 	 already 	 already
déjà 	 adverb 	 again 	 again
déjà 	 adverb 	 for a start 	 for a start
chevron 	 noun 	 rafter 	 rafter
chevron 	 noun 	 English 	 chevron
ravi 	 adjective 	 overjoyed 	 thrilled, overjoyed, delighted, ravished, chuffed
ravi 	 adjective 	 chuffed 	 thrilled, overjoyed, delighted, ravished, chuffed
ravi 	 adjective 	 thrilled 	 thrilled, overjoyed, delighted, ravished, chuffed
ravi 	 adjective 	 ravished 	 thrilled, overjoyed, delighted, ravished, chuffed
ravi 	 adjective 	 delighted 	 thrilled, overjoyed, delighted, ravished, chuffed
calorie 	 noun 	 English 	 calorie
designer 	 noun 	 designerEnglish 	 designer
designer 	 verb 	 design 	 to design
moudre 	 verb 	 grind 	 to grind
chicane 	 noun 	 bickering 	 Bickering, quibbling, especially as delay tactic
chicane 	 noun 	 quibbling 	 Bickering, quibbling, especially as delay tactic
entrain 	 noun 	 drive 	 spirit, liveliness, vivacity, drive
entrain 	 noun 	 vivacity 	 spirit, liveliness, vivacity, drive
entrain 	 noun 	 spirit 	 spirit, liveliness, vivacity, drive
entrain 	 noun 	 liveliness 	 spirit, liveliness, vivacity, drive
japonaiserie 	 noun 	 style 	 Japonism, a style in art, or an artistic object, that reflects the influence of Japanese art
japonaiserie 	 noun 	 Japanese 	 Japonism, a style in art, or an artistic object, that reflects the influence of Japanese art
japonaiserie 	 noun 	 art 	 Japonism, a style in art, or an artistic object, that reflects the influence of Japanese art
japonaiserie 	 noun 	 Japonism 	 Japonism, a style in art, or an artistic object, that reflects the influence of Japanese art
sternum 	 noun 	 English 	 sternum, breastbone
sternum 	 noun 	 breastbone 	 sternum, breastbone
japonisme 	 noun 	 Japonism 	 Japonism
foi 	 noun 	 faith 	 faith
foi 	 noun 	 handshake 	 a depiction of a handshake
confession 	 noun 	 confessionEnglish 	 confession
confession 	 noun 	 creed 	 creed
claudication 	 noun 	 limp 	 limp, lameness
claudication 	 noun 	 lameness 	 limp, lameness
amuse-bouche 	 noun 	 snack 	 snack, hors d'oeuvre
amuse-bouche 	 noun 	 hors d'oeuvre 	 snack, hors d'oeuvre
cervical 	 adjective 	 English 	 cervical
phalange 	 noun 	 phalanx 	 phalanx
phalange 	 noun 	 phalanx 	 phalanx
séquoia 	 noun 	 sequoia 	 sequoia
soupe 	 noun 	 soup 	 soup
figuier 	 noun 	 tree 	 fig tree
figuier 	 noun 	 fig 	 fig tree
incus 	 noun 	 English 	 incus
castor 	 noun 	 beaver 	 beaver
stapes 	 noun 	 English 	 stapes
reggae 	 noun 	 English 	 reggae
a 	 verb 	 w:Trésor de la langue française informatisé 	 "" in Trésor de la langue française informatisé
allemand 	 noun 	 German 	 German person
alsacien 	 noun 	 Alsace 	 person from Alsace
américain 	 noun 	 inhabitant 	 American; someone born in, or a citizen or inhabitant of, the United States of America
américain 	 noun 	 American 	 American; someone born in, or a citizen or inhabitant of, the United States of America
américain 	 noun 	 citizen 	 American; someone born in, or a citizen or inhabitant of, the United States of America
américain 	 noun 	 United States of America 	 American; someone born in, or a citizen or inhabitant of, the United States of America
anglais 	 noun 	 English 	 English person; Englishman
anglais 	 noun 	 Englishman 	 English person; Englishman
anglais 	 noun 	 Anglo-American 	 An Anglo-American or English speaker, as opposed to someone with French ancestry
anglais 	 noun 	 English 	 An Anglo-American or English speaker, as opposed to someone with French ancestry
blanc 	 noun 	 white 	 white person
c. 	 noun 	 BD 	 b-d, bd, BD
c. 	 noun 	 bd 	 b-d, bd, BD
c. 	 noun 	 b-d 	 b-d, bd, BD
canadien 	 noun 	 Canadian 	 Canadian  boy or man
corse 	 noun 	 Corsican 	 Corsican
dr. 	 noun 	 docteur 	 docteur
e 	 adjective 	 east 	 nodot=1; east
e 	 noun 	 east 	 nodot=1; east
export 	 noun 	 beer 	 a German beer brand
export 	 noun 	 brand 	 a German beer brand
franc 	 noun 	 Frank 	 Frank
français 	 noun 	 Frenchman 	 Frenchman
français 	 noun 	 French 	 Anybody with French ancestry or who is Francophone
français 	 noun 	 Francophone 	 Anybody with French ancestry or who is Francophone
gaulois 	 noun 	 Gaul 	 Someone from Gaul
hongrois 	 noun 	 Hungarian 	 A Hungarian, a male person from Hungary
italien 	 noun 	 Italian 	 Italian
japonais 	 noun 	 Japan 	 A Japanese man, a male inhabitant of Japan
japonais 	 noun 	 Japanese 	 A Japanese man, a male inhabitant of Japan
latin 	 noun 	 Italy 	 a person from a Romance country such as Italy, France, Spain, Portugal, Romania, etc, whose language is derived from Latin
latin 	 noun 	 Portugal 	 a person from a Romance country such as Italy, France, Spain, Portugal, Romania, etc, whose language is derived from Latin
latin 	 noun 	 France 	 a person from a Romance country such as Italy, France, Spain, Portugal, Romania, etc, whose language is derived from Latin
latin 	 noun 	 Romania 	 a person from a Romance country such as Italy, France, Spain, Portugal, Romania, etc, whose language is derived from Latin
latin 	 noun 	 Latin 	 a person from a Romance country such as Italy, France, Spain, Portugal, Romania, etc, whose language is derived from Latin
latin 	 noun 	 Spain 	 a person from a Romance country such as Italy, France, Spain, Portugal, Romania, etc, whose language is derived from Latin
latine 	 noun 	 woman 	 Latin woman
latine 	 noun 	 Latin 	 Latin woman
lego 	 noun 	 LegoEnglish 	 Lego
libanais 	 noun 	 Lebanese 	 a Lebanese person
malais 	 noun 	 Malay 	 Malay
moire 	 noun 	 fate 	 doom, fate, weird, destiny
moire 	 noun 	 doom 	 doom, fate, weird, destiny
moire 	 noun 	 destiny 	 doom, fate, weird, destiny
moire 	 noun 	 weird 	 doom, fate, weird, destiny
mongol 	 noun 	 Mongolian 	 Mongolian
more 	 noun 	 Moor 	 nodot=1; Moor
noir 	 noun 	 black 	 black
o 	 noun 	 west 	 nodot=1; west
persan 	 noun 	 Iran 	 Persian, someone from Iran
persan 	 noun 	 Persian 	 Persian, someone from Iran
perse 	 noun 	 Persian 	 Persian person
portoricain 	 noun 	 Puerto Rican 	 Puerto Rican
rémois 	 noun 	 Reims 	 An inhabitant of Reims
s 	 noun 	 south 	 nodot=1; south
baller 	 verb 	 dance 	 to dance with one's arms swinging
baller 	 verb 	 sway 	 to swing or sway; to dangle
baller 	 verb 	 dangle 	 to swing or sway; to dangle
baller 	 verb 	 swing 	 to swing or sway; to dangle
vierge 	 noun 	 Virgo 	 Virgo
boutique 	 noun 	 shop 	 shop; boutique
louis 	 noun 	 issue 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 coin 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 English 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 France 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 empire 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 silver 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 kingdom 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 various 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 French Republic 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 gold 	 numismatics A louis: various gold and silver coins issued by the Kingdom, Republic, and slang Empire of France
louis 	 noun 	 franc 	 |slang 20 francs
tibétain 	 adjective 	 Tibetan 	 Tibetan
tibétain 	 noun 	 Tibetan 	 Tibetan
maori 	 adjective 	 Maori 	 Maori
maori 	 noun 	 Maori 	 a person of Maori descent
maori 	 noun 	 Maori 	 the Maori language
afar 	 noun 	 Afar 	 Afar
afar 	 adjective 	 Afar 	 Related to the Afar people
bermuda 	 noun 	 Bermuda shorts 	 Bermuda shorts
empennage 	 noun 	 fletching 	 fletching
empennage 	 noun 	 English 	 empennage
monaco 	 noun 	 beer 	 A cocktail made of beer mixed with grenadine syrup
monaco 	 noun 	 grenadine 	 A cocktail made of beer mixed with grenadine syrup
réunion 	 noun 	 meeting 	 meeting
rb 	 noun 	 rebound 	 |rebound
champagne 	 noun 	 sparkling wine 	 sparkling wine, generic champagne
champagne 	 noun 	 base 	 base; bottom third of a coat of arms
champagne 	 noun 	 coat of arms 	 base; bottom third of a coat of arms
champagne 	 noun 	 expanse 	 An expanse of flat and open cultivated earth
champagne 	 noun 	 earth 	 An expanse of flat and open cultivated earth
artillerie 	 noun 	 artillery 	 artillery
auge 	 noun 	 trough 	 trough
auge 	 noun 	 mortar 	 mixing tub, mortar box
auge 	 noun 	 mixing 	 mixing tub, mortar box
auge 	 noun 	 tub 	 mixing tub, mortar box
auge 	 noun 	 box 	 mixing tub, mortar box
auge 	 noun 	 bucket 	 bucket
auge 	 noun 	 intermandibular 	 intermandibular region
auge 	 noun 	 region 	 intermandibular region
berge 	 noun 	 bank 	 bank
berge 	 noun 	 year 	 year
bristol 	 noun 	 Bristol board 	 Bristol board
bristol 	 noun 	 visiting card 	 visiting card
alvin 	 adjective 	 alvine 	 alvine
basque 	 noun 	 skirt 	 skirt, skirts ; basque
basque 	 noun 	 skirts 	 skirt, skirts ; basque
basque 	 noun 	 Basque 	 Basque
basque 	 adjective 	 Basque 	 Basque
respectable 	 adjective 	 English 	 respectable
aymara 	 noun 	 Aymara 	 Aymara
quechua 	 noun 	 Quechua 	 the Quechua language
navajo 	 noun 	 Navajo 	 Navajo
nahuatl 	 noun 	 Nahuatl 	 Nahuatl
nahuatl 	 adjective 	 Nahuatl 	 Nahuatl
braille 	 noun 	 English 	 braille
milan 	 noun 	 kite 	 kite
richard 	 noun 	 capitalist 	 rich person, moneybags, capitalist, bourgeois
richard 	 noun 	 bourgeois 	 rich person, moneybags, capitalist, bourgeois
richard 	 noun 	 moneybags 	 rich person, moneybags, capitalist, bourgeois
richard 	 noun 	 rich 	 rich person, moneybags, capitalist, bourgeois
inuktitut 	 noun 	 Inuktitut 	 Inuktitut
pore 	 noun 	 English 	 pore
tatar 	 noun 	 Tatar 	 Tatar
marche 	 noun 	 march 	 march
marche 	 noun 	 walk 	 walk
marche 	 noun 	 movement 	 movement
marche 	 noun 	 functioning 	 functioning
marche 	 noun 	 step 	 step
marche 	 noun 	 marches 	 marches
ladin 	 adjective 	 Ladin 	 Ladin
ladin 	 noun 	 Ladin 	 Ladin
quenya 	 noun 	 Quenya 	 Quenya
à la carte 	 adverb 	 menu 	 allowing selection only from a fixed list of options, typically shown on a menu
à la carte 	 adverb 	 dish 	 with each dish priced
à la carte 	 adverb 	 shortlist 	 from any longlist of options, or even free choice, as opposed to a shortlist
à la carte 	 adverb 	 longlist 	 from any longlist of options, or even free choice, as opposed to a shortlist
bison 	 noun 	 buffalo 	 buffalo
bison 	 noun 	 wisent 	 wisent
wolof 	 adjective 	 Wolof 	 Wolof
wolof 	 noun 	 Wolof 	 Wolof
huile 	 noun 	 oil 	 oil
huile 	 noun 	 big gun 	 big gun, big cheese
huile 	 noun 	 big cheese 	 big gun, big cheese
créer 	 verb 	 create 	 to create
création 	 noun 	 creation 	 creation
moscovite 	 adjective 	 Muscovite 	 Muscovite
khmer 	 noun 	 Khmer 	 Khmer
khmer 	 adjective 	 Khmer 	 Khmer
traduire 	 verb 	 translate 	 to translate
traduire 	 verb 	 summon 	 to summon
volapük 	 noun 	 Volapük 	 Volapük
breton 	 adjective 	 Breton 	 Breton
breton 	 noun 	 Breton 	 the Breton language
papiamento 	 noun 	 Papiamento 	 the Papiamento language
manx 	 noun 	 Manx 	 The Manx language
vomer 	 noun 	 English 	 vomer, vomer bone
vomer 	 noun 	 vomer bone 	 vomer, vomer bone
jovial 	 adjective 	 jolly 	 jovial, jolly
yiddish 	 adjective 	 Yiddish 	 Yiddish
yiddish 	 noun 	 Yiddish 	 Yiddish
internet 	 noun 	 Internet 	 the Internet
occitan 	 noun 	 Occitan 	 Occitan
jan 	 noun 	 trictrac 	 Each of the two tables in trictrac
mie 	 noun 	 crumb 	 soft part , crumb
mie 	 adverb 	 not 	 not
mie 	 noun 	 beloved 	 lady-love, beloved
mie 	 noun 	 lady-love 	 lady-love, beloved
unir 	 verb 	 join 	 to unite, join
unir 	 verb 	 unite 	 to unite, join
unir 	 verb 	 combine 	 to combine
incisive 	 noun 	 incisor 	 incisor
java 	 noun 	 dance 	 a popular dance developed in 1920s Paris
capsule 	 noun 	 Noun 	 capsule
capsule 	 noun 	 bottle cap 	 bottle cap
capsule 	 noun 	 cap 	 cap or primer for a gun
capsule 	 noun 	 primer 	 cap or primer for a gun
insolvable 	 adjective 	 insolvent 	 insolvent
palatine 	 noun 	 tippet 	 tippet, shoulder cape
palatine 	 noun 	 shoulder cape 	 tippet, shoulder cape
arabica 	 noun 	 English 	 arabica
lojban 	 noun 	 Lojban 	 Lojban
sardine 	 noun 	 w:Jean-Jacques Barthélemy 	 * 1788, Jean-Jacques_Barthélemy, Voyage du jeune Anacharsis en Grèce
sulfite 	 noun 	 English 	 sulfite
algonquin 	 noun 	 Algonquin 	 Algonquin language
algonquin 	 adjective 	 Algonquin 	 Algonquin
conception 	 noun 	 ability 	 ability to understand
conception 	 noun 	 understand 	 ability to understand
conception 	 noun 	 angle 	 viewpoint; angle
conception 	 noun 	 viewpoint 	 viewpoint; angle
conception 	 noun 	 concept 	 concept, idea
conception 	 noun 	 idea 	 concept, idea
mot juste 	 noun 	 phrasing 	 Exactly the right word or phrasing
mot juste 	 noun 	 word 	 Exactly the right word or phrasing
prit 	 noun 	 penis 	 penis
pondre 	 verb 	 lay 	 to lay
pondre 	 verb 	 give birth 	 to give birth
vibrato 	 noun 	 vibratoEnglish 	 vibrato
cb 	 noun 	 ham radio 	 ham radio
dette 	 noun 	 debt 	 debt
inimitable 	 adjective 	 English 	 unmatched, uncontestable, inimitable
inimitable 	 adjective 	 unmatched 	 unmatched, uncontestable, inimitable
inimitable 	 adjective 	 uncontestable 	 unmatched, uncontestable, inimitable
swahili 	 noun 	 Swahili 	 Swahili
swahili 	 adjective 	 Swahili 	 Swahili
tupi 	 adjective 	 Tupi 	 Tupi
tupi 	 noun 	 Tupi 	 Tupi
maryland 	 noun 	 tobacco 	 tobacco originating from Maryland
maryland 	 noun 	 Maryland 	 tobacco originating from Maryland
nauruan 	 adjective 	 Nauruan 	 Nauruan
nauruan 	 noun 	 Nauruan 	 the Nauruan language
somnolent 	 adjective 	 drowsy 	 drowsy
australien 	 adjective 	 Australia 	 Australian; related to Australia
australien 	 adjective 	 Australian 	 Australian; related to Australia
eskimo 	 adjective 	 Eskimo 	 Eskimo
tagalog 	 noun 	 Tagalog 	 Tagalog, the Tagalog language, native language of the Philippines
oki 	 interjection 	 ok 	 ok, okay
oki 	 interjection 	 okay 	 ok, okay
fondu 	 noun 	 fade 	 fade
fondu 	 noun 	 fade 	 fade
usurper 	 verb 	 usurp 	 to usurp
catalan 	 noun 	 Catalan 	 Catalan language
catalan 	 adjective 	 Catalonian 	 Catalan, Catalonian
catalan 	 adjective 	 Catalan 	 Catalan, Catalonian
scots 	 noun 	 Scots 	 Scots
cassette 	 noun 	 treasure 	 treasure box
cassette 	 noun 	 box 	 treasure box
cassette 	 noun 	 box 	 small box
cassette 	 noun 	 cassette tape 	 cassette tape
cassette 	 noun 	 English 	 cassette
nervure 	 noun 	 English 	 Body parts nervure
lustre 	 noun 	 lustrum 	 lustrum; period of five years
lustre 	 noun 	 long 	 a very long time
lustre 	 noun 	 chandelier 	 lustre, chandelier
lustre 	 noun 	 shine 	 gloss, shine, lustre
lustre 	 noun 	 gloss 	 gloss, shine, lustre
canner 	 verb 	 can 	 to can
canner 	 verb 	 die 	 to die
mormon 	 adjective 	 Mormon 	 Mormon
rectum 	 noun 	 English 	 rectum
marte 	 noun 	 marten 	 marten
dab 	 noun 	 automatic teller machine 	 | automatic teller machine , cash machine, cashpoint
dab 	 noun 	 cash machine 	 | automatic teller machine , cash machine, cashpoint
dab 	 noun 	 cashpoint 	 | automatic teller machine , cash machine, cashpoint
refrain 	 noun 	 chorus 	 refrain, chorus
islam 	 noun 	 Islam 	 Islam
scoop 	 noun 	 English 	 scoop
toper 	 verb 	 high five 	 to high five
hindi 	 noun 	 India 	 Hindi; one of the official languages of India
hindi 	 noun 	 Hindi 	 Hindi; one of the official languages of India
interlingua 	 noun 	 Interlingua 	 the Interlingua language
vitriol 	 noun 	 English 	 vitriol
induction 	 noun 	 Noun 	 induction
bookmaker 	 noun 	 English 	 bookmaker
dengue 	 noun 	 dengueEnglish 	 dengue
continuer 	 verb 	 continue 	 to continue
alderman 	 noun 	 English 	 alderman
amuser 	 verb 	 amuse 	 to amuse, to entertain
amuser 	 verb 	 entertain 	 to amuse, to entertain
amuser 	 verb 	 have fun 	 to have fun, to enjoy oneself
amuser 	 verb 	 enjoy oneself 	 to have fun, to enjoy oneself
angler 	 verb 	 angle 	 to angle
rapt 	 noun 	 abduction 	 kidnapping, abduction
rapt 	 noun 	 kidnapping 	 kidnapping, abduction
triplet 	 noun 	 three 	 triplet, group of three things
triplet 	 noun 	 Noun 	 triplet, group of three things
raya 	 noun 	 rayah 	 rayah, member of the non-Muslim population of the Ottoman empire
raya 	 noun 	 :w:Jérôme-Adolphe Blanqui 	 * 1845, Jérôme-Adolphe Blanqui, Voyage en Bulgarie 1841, chapitre VII
tweeter 	 verb 	 tweet 	 to tweet
tweeter 	 verb 	 w:fr:Francis Pisani 	 * 2009, Francis Pisani, “”, Le Monde Blogs
tweeter 	 verb 	 w:Le Monde 	 * 2009, Francis Pisani, “”, Le Monde Blogs
tweeter 	 verb 	 w:Libération 	 * 2014, Hugo Pascual, “”, Libération
tweeter 	 noun 	 English 	 tweeter
sitz im leben 	 noun 	 sociological 	 Sitz im Leben, sociological setting
sitz im leben 	 noun 	 setting 	 Sitz im Leben, sociological setting
faute 	 noun 	 mistake 	 error, mistake
faute 	 noun 	 error 	 error, mistake
faute 	 noun 	 blame 	 fault, blame
faute 	 noun 	 fault 	 fault, blame
faute 	 noun 	 wrong 	 wrong, misdemeanor
faute 	 noun 	 misdemeanor 	 wrong, misdemeanor
faute 	 noun 	 fault 	 foul, fault
faute 	 noun 	 foul 	 foul, fault
busqué 	 adjective 	 hooked 	 hooked
kicker 	 noun 	 table football 	 table football, table soccer
kicker 	 noun 	 table soccer 	 table football, table soccer
kicker 	 verb 	 forum 	 to kick; to eject e.g. from a forum
kicker 	 verb 	 eject 	 to kick; to eject e.g. from a forum
kicker 	 verb 	 kick 	 to kick; to eject e.g. from a forum
signifier 	 verb 	 signify 	 to signify, mean
signifier 	 verb 	 mean 	 to signify, mean
devise 	 noun 	 motto 	 motto
devise 	 noun 	 asset 	 assets in foreign currency
devise 	 noun 	 currency 	 assets in foreign currency
tellurate 	 noun 	 tellurateEnglish 	 tellurate
charlotte 	 noun 	 English 	 charlotte
charlotte 	 noun 	 Charlotte 	 Charlotte hat, Charlotte bonnet, mob cap
charlotte 	 noun 	 mob cap 	 Charlotte hat, Charlotte bonnet, mob cap
monte 	 noun 	 copulation 	 copulation, mating season
monte 	 noun 	 mating season 	 copulation, mating season
rupture 	 noun 	 English 	 breakup, rupture
rupture 	 noun 	 breakup 	 breakup, rupture
gimmick 	 noun 	 English 	 gimmick
quintuple 	 adjective 	 hundred twenty-eighth note 	 hundred twenty-eighth note
codex 	 noun 	 English 	 codex
pd 	 noun 	 fag 	 fag; queer
pd 	 noun 	 queer 	 fag; queer
touche 	 noun 	 touch 	 touch
touche 	 noun 	 key 	 key , button
touche 	 noun 	 button 	 key , button
touche 	 noun 	 fingerboard 	 fingerboard
touche 	 noun 	 touch 	 touch
ouïr 	 verb 	 hear 	 to hear
ouïr 	 verb 	 listen 	 to listen
kazakh 	 noun 	 Kazakh 	 Kazakh
intifada 	 noun 	 English 	 intifada
caillou 	 noun 	 stone 	 gravel, small stone
caillou 	 noun 	 gravel 	 gravel, small stone
xhosa 	 noun 	 Xhosa 	 Xhosa
impro 	 noun 	 improv 	 improv
pastiche 	 noun 	 English 	 pastiche
multiplier 	 verb 	 multiply 	 to multiply
multiplier 	 verb 	 multiply 	 to multiply
multiplier 	 verb 	 increase 	 to multiply, to increase
multiplier 	 verb 	 multiply 	 to multiply, to increase
cosmopolite 	 noun 	 English 	 cosmopolite
cosmopolite 	 adjective 	 cosmopolitan 	 cosmopolitan
combien 	 adverb 	 how much 	 how much
combien 	 adverb 	 how much 	 how much
combien 	 adverb 	 how many 	 how many
basting 	 noun 	 joist 	 A joist used to carry other planks of wood
basting 	 noun 	 plank 	 A joist used to carry other planks of wood
amc 	 noun 	 carrier 	 nodot=1 = combat machine-gun carrier or armored car
amc 	 noun 	 machine-gun 	 nodot=1 = combat machine-gun carrier or armored car
amc 	 noun 	 combat 	 nodot=1 = combat machine-gun carrier or armored car
amc 	 noun 	 w:armored car 	 nodot=1 = combat machine-gun carrier or armored car
pdt 	 noun 	 potato 	 tr=potato
envers 	 noun 	 reverse 	 reverse
envers 	 noun 	 inverse 	 inverse
envers 	 noun 	 back 	 back
envers 	 noun 	 wrong side 	 wrong side
envers 	 noun 	 other side 	 other side
envers 	 noun 	 seamy side 	 seamy side
