विश्व 	 adjective 	 every 	 all, every, every one; whole, entire, universal
योग 	 noun 	 employment 	 employment, use, application, performance
योग 	 noun 	 performance 	 employment, use, application, performance
योग 	 noun 	 application 	 employment, use, application, performance
योग 	 noun 	 equipping 	 equipping or arraying
योग 	 noun 	 arraying 	 equipping or arraying
योग 	 noun 	 fixing 	 fixing
योग 	 noun 	 putting on 	 putting on
योग 	 noun 	 cure 	 remedy, cure
योग 	 noun 	 remedy 	 remedy, cure
योग 	 noun 	 manner 	 means, expedient, device, way, manner, method
योग 	 noun 	 way 	 means, expedient, device, way, manner, method
योग 	 noun 	 method 	 means, expedient, device, way, manner, method
योग 	 noun 	 device 	 means, expedient, device, way, manner, method
योग 	 noun 	 expedient 	 means, expedient, device, way, manner, method
योग 	 noun 	 means 	 means, expedient, device, way, manner, method
योग 	 noun 	 incantation 	 supernatural means, charm, incantation, magical art
योग 	 noun 	 charm 	 supernatural means, charm, incantation, magical art
योग 	 noun 	 art 	 supernatural means, charm, incantation, magical art
योग 	 noun 	 supernatural 	 supernatural means, charm, incantation, magical art
योग 	 noun 	 means 	 supernatural means, charm, incantation, magical art
योग 	 noun 	 deceit 	 trick, stratagem, fraud, deceit
योग 	 noun 	 trick 	 trick, stratagem, fraud, deceit
योग 	 noun 	 fraud 	 trick, stratagem, fraud, deceit
योग 	 noun 	 stratagem 	 trick, stratagem, fraud, deceit
योग 	 noun 	 business 	 undertaking, business, work
योग 	 noun 	 work 	 undertaking, business, work
योग 	 noun 	 undertaking 	 undertaking, business, work
योग 	 noun 	 acquisition 	 acquisition, gain, profit, wealth, property
योग 	 noun 	 property 	 acquisition, gain, profit, wealth, property
योग 	 noun 	 wealth 	 acquisition, gain, profit, wealth, property
योग 	 noun 	 profit 	 acquisition, gain, profit, wealth, property
योग 	 noun 	 gain 	 acquisition, gain, profit, wealth, property
योग 	 noun 	 opportunity 	 occasion, opportunity
योग 	 noun 	 occasion 	 occasion, opportunity
योग 	 noun 	 union 	 any junction, union, combination, contact with
योग 	 noun 	 junction 	 any junction, union, combination, contact with
योग 	 noun 	 combination 	 any junction, union, combination, contact with
योग 	 noun 	 contact 	 any junction, union, combination, contact with
योग 	 noun 	 mixture 	 mixing of various materials, mixture
योग 	 noun 	 mixing 	 mixing of various materials, mixture
योग 	 noun 	 partaking 	 partaking of, possessing
योग 	 noun 	 possessing 	 partaking of, possessing
योग 	 noun 	 relation 	 connection, relation
योग 	 noun 	 connection 	 connection, relation
योग 	 noun 	 arrangement 	 putting together, arrangement, disposition, regular succession
योग 	 noun 	 succession 	 putting together, arrangement, disposition, regular succession
योग 	 noun 	 disposition 	 putting together, arrangement, disposition, regular succession
योग 	 noun 	 fitness 	 fitting together, fitness, propriety, suitability
योग 	 noun 	 propriety 	 fitting together, fitness, propriety, suitability
योग 	 noun 	 suitability 	 fitting together, fitness, propriety, suitability
योग 	 noun 	 industry 	 exertion, endeavour, zeal, diligence, industry, care, attention
योग 	 noun 	 exertion 	 exertion, endeavour, zeal, diligence, industry, care, attention
योग 	 noun 	 diligence 	 exertion, endeavour, zeal, diligence, industry, care, attention
योग 	 noun 	 attention 	 exertion, endeavour, zeal, diligence, industry, care, attention
योग 	 noun 	 endeavour 	 exertion, endeavour, zeal, diligence, industry, care, attention
योग 	 noun 	 care 	 exertion, endeavour, zeal, diligence, industry, care, attention
योग 	 noun 	 zeal 	 exertion, endeavour, zeal, diligence, industry, care, attention
योग 	 noun 	 contemplation 	 yoga: application or concentration of the thoughts, abstract contemplation, meditation,  self-concentration, abstract meditation and mental abstraction practised as a system
योग 	 noun 	 meditation 	 yoga: application or concentration of the thoughts, abstract contemplation, meditation,  self-concentration, abstract meditation and mental abstraction practised as a system
योग 	 noun 	 yoga 	 yoga: application or concentration of the thoughts, abstract contemplation, meditation,  self-concentration, abstract meditation and mental abstraction practised as a system
योग 	 noun 	 self-concentration 	 yoga: application or concentration of the thoughts, abstract contemplation, meditation,  self-concentration, abstract meditation and mental abstraction practised as a system
योग 	 noun 	 application 	 yoga: application or concentration of the thoughts, abstract contemplation, meditation,  self-concentration, abstract meditation and mental abstraction practised as a system
योग 	 noun 	 concentration 	 yoga: application or concentration of the thoughts, abstract contemplation, meditation,  self-concentration, abstract meditation and mental abstraction practised as a system
योग 	 noun 	 rite 	 any simple act or rite conducive to yoga or abstract meditation
योग 	 noun 	 act 	 any simple act or rite conducive to yoga or abstract meditation
योग 	 noun 	 Yoga 	 Yoga personified
योग 	 noun 	 follower 	 a follower of the yoga system
योग 	 noun 	 union 	 the union of soul with matter
योग 	 noun 	 devotion 	 devotion, pious seeking after God
योग 	 noun 	 pious 	 devotion, pious seeking after God
योग 	 noun 	 seeking 	 devotion, pious seeking after God
योग 	 noun 	 contact 	 contact or mixing with the outer world
योग 	 noun 	 mixing 	 contact or mixing with the outer world
योग 	 noun 	 conjunction 	 conjunction, lucky conjuncture
योग 	 noun 	 conjuncture 	 conjunction, lucky conjuncture
योग 	 noun 	 asterism 	 a constellation, asterism
योग 	 noun 	 constellation 	 a constellation, asterism
योग 	 noun 	 star 	 the leading or principal star of a lunar asterism
योग 	 noun 	 time 	 name of a variable division of time
योग 	 noun 	 division 	 name of a variable division of time
योग 	 noun 	 sum 	 addition, sum, total
योग 	 noun 	 addition 	 addition, sum, total
योग 	 noun 	 total 	 addition, sum, total
योग 	 noun 	 syntactical 	 the connection of words together, syntactical dependence of a word, construction
योग 	 noun 	 dependence 	 the connection of words together, syntactical dependence of a word, construction
योग 	 noun 	 construction 	 the connection of words together, syntactical dependence of a word, construction
योग 	 noun 	 connection 	 the connection of words together, syntactical dependence of a word, construction
योग 	 noun 	 rule 	 a combined or concentrated grammatical rule or aphorism
योग 	 noun 	 aphorism 	 a combined or concentrated grammatical rule or aphorism
योग 	 noun 	 meaning 	 the connection of a word with its root, original or etymological meaning
योग 	 noun 	 etymological 	 the connection of a word with its root, original or etymological meaning
योग 	 noun 	 original 	 the connection of a word with its root, original or etymological meaning
योग 	 noun 	 connection 	 the connection of a word with its root, original or etymological meaning
योग 	 noun 	 violator 	 violator of confidence, spy
योग 	 noun 	 spy 	 violator of confidence, spy
सूत्र 	 noun 	 line 	 thread, yarn, string, line, cord, wire
सूत्र 	 noun 	 thread 	 thread, yarn, string, line, cord, wire
सूत्र 	 noun 	 cord 	 thread, yarn, string, line, cord, wire
सूत्र 	 noun 	 wire 	 thread, yarn, string, line, cord, wire
सूत्र 	 noun 	 yarn 	 thread, yarn, string, line, cord, wire
सूत्र 	 noun 	 string 	 thread, yarn, string, line, cord, wire
सूत्र 	 noun 	 girdle 	 a girdle
सूत्र 	 noun 	 fibre 	 a fibre
सूत्र 	 noun 	 stroke 	 a line, stroke
सूत्र 	 noun 	 line 	 a line, stroke
सूत्र 	 noun 	 plan 	 a sketch, plan
सूत्र 	 noun 	 sketch 	 a sketch, plan
सूत्र 	 noun 	 sutra 	 a short sentence or aphoristic rule, and any work or manual consisting of strings of such rules; hanging together like threads; or, alternatively, written on palm leaves which are strung together sutra
सूत्र 	 noun 	 tree 	 a kind of tree
मृत 	 adjective 	 dead 	 dead, deceased
मृत 	 adjective 	 deceased 	 dead, deceased
मृत 	 adjective 	 torpid 	 death-like, torpid, rigid
मृत 	 adjective 	 death 	 death-like, torpid, rigid
मृत 	 adjective 	 like 	 death-like, torpid, rigid
मृत 	 adjective 	 rigid 	 death-like, torpid, rigid
मृत 	 adjective 	 departed 	 departed, vanished
मृत 	 adjective 	 vanished 	 departed, vanished
मृत 	 adjective 	 vain 	 vain, useless
मृत 	 adjective 	 useless 	 vain, useless
मृत 	 adjective 	 reduced 	 calcined, reduced
मृत 	 adjective 	 calcined 	 calcined, reduced
मृत 	 noun 	 death 	 death
कान्त 	 adjective 	 desired 	 desired
कान्त 	 adjective 	 loved 	 loved
कान्त 	 adjective 	 dear 	 dear
कान्त 	 adjective 	 pleasing 	 pleasing
कान्त 	 adjective 	 agreeable 	 agreeable
कान्त 	 adjective 	 lovely 	 lovely
कान्त 	 adjective 	 beautiful 	 beautiful
कान्त 	 noun 	 lover 	 Any one beloved, lover, husband
कान्त 	 noun 	 husband 	 Any one beloved, lover, husband
कान्त 	 noun 	 Moon 	 the Moon
कान्त 	 noun 	 spring 	 the spring
कान्त 	 noun 	 iron 	 iron
कान्त 	 noun 	 stone 	 stone
कान्त 	 noun 	 wife 	 charming wife
कान्त 	 noun 	 earth 	 the earth
वारि 	 noun 	 water 	 water
वारि 	 noun 	 rain 	 rain
वारि 	 noun 	 fluidity 	 fluid, fluidity
वारि 	 noun 	 fluid 	 fluid, fluidity
जा 	 noun 	 offspring 	 offspring
जा 	 noun 	 descendant 	 descendants
धी 	 noun 	 thought 	 thought,  religious thought
धी 	 noun 	 devotion 	 reflection, meditation, devotion, prayer
धी 	 noun 	 prayer 	 reflection, meditation, devotion, prayer
धी 	 noun 	 meditation 	 reflection, meditation, devotion, prayer
धी 	 noun 	 reflection 	 reflection, meditation, devotion, prayer
धी 	 noun 	 understanding 	 understanding, intelligence, wisdom , knowledge, science, art
धी 	 noun 	 intelligence 	 understanding, intelligence, wisdom , knowledge, science, art
धी 	 noun 	 wisdom 	 understanding, intelligence, wisdom , knowledge, science, art
धी 	 noun 	 art 	 understanding, intelligence, wisdom , knowledge, science, art
धी 	 noun 	 knowledge 	 understanding, intelligence, wisdom , knowledge, science, art
धी 	 noun 	 science 	 understanding, intelligence, wisdom , knowledge, science, art
धी 	 noun 	 intention 	 mind, disposition, intention, design
धी 	 noun 	 mind 	 mind, disposition, intention, design
धी 	 noun 	 design 	 mind, disposition, intention, design
धी 	 noun 	 disposition 	 mind, disposition, intention, design
धी 	 noun 	 opinion 	 notion, opinion
धी 	 noun 	 notion 	 notion, opinion
भू 	 noun 	 act 	 the act of becoming or arising
भू 	 noun 	 become 	 the act of becoming or arising
भू 	 noun 	 arise 	 the act of becoming or arising
भू 	 noun 	 space 	 the place of being, space, world or universe
भू 	 noun 	 place 	 the place of being, space, world or universe
भू 	 noun 	 universe 	 the place of being, space, world or universe
भू 	 noun 	 being 	 the place of being, space, world or universe
भू 	 noun 	 world 	 the place of being, space, world or universe
भू 	 noun 	 earth 	 the earth
भू 	 noun 	 one 	 one
भू 	 noun 	 land 	 earth , ground, soil, land, landed property
भू 	 noun 	 earth 	 earth , ground, soil, land, landed property
भू 	 noun 	 property 	 earth , ground, soil, land, landed property
भू 	 noun 	 soil 	 earth , ground, soil, land, landed property
भू 	 noun 	 ground 	 earth , ground, soil, land, landed property
भू 	 noun 	 pavement 	 floor, pavement
भू 	 noun 	 floor 	 floor, pavement
भू 	 noun 	 spot 	 a place, spot, piece of ground
भू 	 noun 	 place 	 a place, spot, piece of ground
भू 	 noun 	 geometric 	 the base of any geometric figure
भू 	 noun 	 object 	 object, matter
भू 	 noun 	 matter 	 object, matter
भू 	 noun 	 fire 	 a sacrificial fire
भू 	 noun 	 sacrificial 	 a sacrificial fire
द्व 	 numeral 	 both 	 two, both
द्व 	 numeral 	 two 	 two, both
द्राति 	 verb 	 haste 	 to run, make haste
द्राति 	 verb 	 run 	 to run, make haste
दश 	 numeral 	 ten 	 ten
दारु 	 noun 	 wood 	 piece of wood, wood, timber
दारु 	 noun 	 timber 	 piece of wood, wood, timber
दारु 	 noun 	 s:sa:मनुस्मृतिः/चतुर्थोध्यायः 	 * Manu Smriti iv.185
दारु 	 adjective 	 splitting 	 bursting, breaking, splitting
दारु 	 adjective 	 breaking 	 bursting, breaking, splitting
दारु 	 adjective 	 bursting 	 bursting, breaking, splitting
जाति 	 noun 	 production 	 birth, production
जाति 	 noun 	 birth 	 birth, production
जाति 	 noun 	 rebirth 	 rebirth
जाति 	 noun 	 kind 	 kind, genus , species , class
जाति 	 noun 	 genus 	 kind, genus , species , class
जाति 	 noun 	 species 	 kind, genus , species , class
जाति 	 noun 	 class 	 kind, genus , species , class
जाति 	 noun 	 fireplace 	 fireplace
जाति 	 noun 	 mace 	 mace, nutmeg
जाति 	 noun 	 nutmeg 	 mace, nutmeg
दहति 	 verb 	 burn 	 to burn, consume by fire, scorch roast
दहति 	 verb 	 cauterize 	 to cauterize
दहति 	 verb 	 distress 	 to torment, torture, pain, distress, disturb, grieve
दहति 	 verb 	 grieve 	 to torment, torture, pain, distress, disturb, grieve
दहति 	 verb 	 torture 	 to torment, torture, pain, distress, disturb, grieve
दहति 	 verb 	 torment 	 to torment, torture, pain, distress, disturb, grieve
दहति 	 verb 	 disturb 	 to torment, torture, pain, distress, disturb, grieve
दहति 	 verb 	 pain 	 to torment, torture, pain, distress, disturb, grieve
दहति 	 verb 	 inflamed 	 to be inflamed
दुहितृ 	 noun 	 daughter 	 daughter
दातृ 	 noun 	 giver 	 giver, donor, liberal
दातृ 	 noun 	 donor 	 giver, donor, liberal
दातृ 	 noun 	 liberal 	 giver, donor, liberal
दातृ 	 noun 	 creditor 	 creditor
दातृ 	 noun 	 granting 	 granting, permitting
दातृ 	 noun 	 permitting 	 granting, permitting
दातृ 	 noun 	 founder 	 founder
दातृ 	 noun 	 mowing 	 mowing, mower
दातृ 	 noun 	 mower 	 mowing, mower
जनि 	 noun 	 woman 	 woman, wife
जनि 	 noun 	 wife 	 woman, wife
जनि 	 noun 	 production 	 birth, production
जनि 	 noun 	 birth 	 birth, production
जनि 	 noun 	 mother 	 mother
जनि 	 noun 	 birth 	 birth, i.e. life
जनि 	 noun 	 life 	 birth, i.e. life
जनि 	 noun 	 birthplace 	 birthplace
गो 	 noun 	 cow 	 a cow
गो 	 noun 	 ox 	 an ox
गो 	 noun 	 kine 	 cattle, kine, herd of cattle
गो 	 noun 	 herd 	 cattle, kine, herd of cattle
गो 	 noun 	 cattle 	 cattle, kine, herd of cattle
गो 	 noun 	 stars 	 "the herds of the sky", the stars
गिरि 	 noun 	 hill 	 mountain, hill, rock, elevation, rising-ground
गिरि 	 noun 	 elevation 	 mountain, hill, rock, elevation, rising-ground
गिरि 	 noun 	 mountain 	 mountain, hill, rock, elevation, rising-ground
गिरि 	 noun 	 rock 	 mountain, hill, rock, elevation, rising-ground
गिरि 	 noun 	 mouse 	 a mouse
ग्ना 	 noun 	 wife 	 wife
ग्ना 	 noun 	 voice 	 speech, voice
ग्ना 	 noun 	 speech 	 speech, voice
अर्जुन 	 adjective 	 white 	 white, clear, bright
अर्जुन 	 adjective 	 bright 	 white, clear, bright
अर्जुन 	 adjective 	 clear 	 white, clear, bright
अर्जुन 	 noun 	 silver 	 silver
अर्जुन 	 noun 	 grass 	 a particular grass
अर्जुन 	 noun 	 Terminalia arjuna 	 Combretum family plants the tree Terminalia arjuna
अन 	 noun 	 breath 	 breath, respiration
अन 	 noun 	 respiration 	 breath, respiration
आति 	 noun 	 bird 	 aquatic bird
मांस 	 noun 	 flesh 	 flesh, meat flesh
मांस 	 noun 	 meat 	 flesh, meat flesh
एड 	 adjective 	 deaf 	 deaf
एड 	 noun 	 sheep 	 a kind of sheep
एड 	 noun 	 woman 	 a woman in the  retinue of Skanda in the Mahābhārata
एड 	 noun 	 retinue 	 a woman in the  retinue of Skanda in the Mahābhārata
शाखा 	 noun 	 branch 	 branch
शाखा 	 noun 	 s:The Rig Veda/Mandala 7/Hymn 43 	 * RV 7.43.1
शाखा 	 noun 	 Rigveda 	 * RV 7.43.1
शाखा 	 noun 	 limb 	 a limb of the body, arm or leg
शाखा 	 noun 	 finger 	 finger
शाखा 	 noun 	 surface 	 the surface of the body
शाखा 	 noun 	 post 	 a door-post
शाखा 	 noun 	 door 	 a door-post
शाखा 	 noun 	 wing 	 the wing of a building
शाखा 	 noun 	 subdivision 	 division, subdivision
शाखा 	 noun 	 division 	 division, subdivision
शाखा 	 noun 	 Veda 	 shakha: a branch or school of the Veda
शाखा 	 noun 	 shakha 	 shakha: a branch or school of the Veda
शाखा 	 noun 	 school 	 shakha: a branch or school of the Veda
शाखा 	 noun 	 branch 	 shakha: a branch or school of the Veda
शाखा 	 noun 	 branch 	 a branch of any science
शिशिर 	 adjective 	 chilly 	 cool, chilly, cold, frigid, freezing
शिशिर 	 adjective 	 cold 	 cool, chilly, cold, frigid, freezing
शिशिर 	 adjective 	 cool 	 cool, chilly, cold, frigid, freezing
शिशिर 	 adjective 	 frigid 	 cool, chilly, cold, frigid, freezing
शिशिर 	 adjective 	 freezing 	 cool, chilly, cold, frigid, freezing
शिशिर 	 noun 	 dew 	 cold, coolness, hoarfrost, dew
शिशिर 	 noun 	 coolness 	 cold, coolness, hoarfrost, dew
शिशिर 	 noun 	 hoarfrost 	 cold, coolness, hoarfrost, dew
शिशिर 	 noun 	 cold 	 cold, coolness, hoarfrost, dew
राजन् 	 noun 	 chief 	 a king, sovereign, prince, chief
राजन् 	 noun 	 sovereign 	 a king, sovereign, prince, chief
राजन् 	 noun 	 king 	 a king, sovereign, prince, chief
राजन् 	 noun 	 prince 	 a king, sovereign, prince, chief
अस्थि 	 noun 	 bone 	 a bone
अस्थि 	 noun 	 kernel 	 the kernel of a fruit
अस्थि 	 noun 	 fruit 	 the kernel of a fruit
अक्षि 	 noun 	 eye 	 eye
अक्षि 	 noun 	 s:The Rig Veda/Mandala 10/Hymn 79 	 * RV 10.79.2a
अक्षि 	 noun 	 two 	 the number two
अक्षि 	 noun 	 sun 	 the sun and moon
अक्षि 	 noun 	 moon 	 the sun and moon
अयस् 	 noun 	 iron 	 metal; iron
अयस् 	 noun 	 metal 	 metal; iron
अहर् 	 noun 	 day 	 day
अहर् 	 noun 	 Vasu 	 day personified as one of the eight Vasus
द्वार् 	 noun 	 entrance 	 gate, door, entrance or issue
द्वार् 	 noun 	 issue 	 gate, door, entrance or issue
द्वार् 	 noun 	 gate 	 gate, door, entrance or issue
द्वार् 	 noun 	 door 	 gate, door, entrance or issue
द्वार् 	 noun 	 expedient 	 expedient, means, opportunity
द्वार् 	 noun 	 opportunity 	 expedient, means, opportunity
द्वार् 	 noun 	 means 	 expedient, means, opportunity
क्ष 	 noun 	 field 	 field
क्ष 	 noun 	 protector 	 the protector or cultivator of a field, peasant
क्ष 	 noun 	 peasant 	 the protector or cultivator of a field, peasant
क्ष 	 noun 	 cultivator 	 the protector or cultivator of a field, peasant
हनु 	 noun 	 jaw 	 a jaw
हनु 	 noun 	 s:The Rig Veda/Mandala 10/Hymn 79 	 * RV 10.79.1c
हनु 	 noun 	 w:Rigveda 	 * RV 10.79.1c
हनु 	 noun 	 cheek 	 cheek
हनु 	 noun 	 spearhead 	 a particular part of a spearhead
हनु 	 noun 	 weapon 	 "anything which destroys or injures life", a weapon
हनु 	 noun 	 death 	 death
हनु 	 noun 	 disease 	 disease
हनु 	 noun 	 drug 	 various kinds of drugs
हनु 	 noun 	 prostitute 	 a wanton woman, prostitute
जानाति 	 verb 	 know 	 to know, have knowledge, become acquainted with
जानाति 	 verb 	 investigate 	 to perceive, apprehend, understand, experience, recognize, ascertain, investigate
जानाति 	 verb 	 perceive 	 to perceive, apprehend, understand, experience, recognize, ascertain, investigate
जानाति 	 verb 	 experience 	 to perceive, apprehend, understand, experience, recognize, ascertain, investigate
जानाति 	 verb 	 understand 	 to perceive, apprehend, understand, experience, recognize, ascertain, investigate
जानाति 	 verb 	 recognize 	 to perceive, apprehend, understand, experience, recognize, ascertain, investigate
जानाति 	 verb 	 ascertain 	 to perceive, apprehend, understand, experience, recognize, ascertain, investigate
जानाति 	 verb 	 apprehend 	 to perceive, apprehend, understand, experience, recognize, ascertain, investigate
जानाति 	 verb 	 acknowledge 	 to acknowledge, approve, allow
जानाति 	 verb 	 approve 	 to acknowledge, approve, allow
जानाति 	 verb 	 allow 	 to acknowledge, approve, allow
जानाति 	 verb 	 remember 	 to remember
जानाति 	 verb 	 engage 	 to engage in
जानाति 	 verb 	 announce 	 to make known, announce, teach anything
जानाति 	 verb 	 inform 	 to inform any one  that
जानाति 	 verb 	 request 	 to request, ask
जानाति 	 verb 	 ask 	 to request, ask
जानाति 	 verb 	 conjecture 	 to conjecture
जानु 	 noun 	 knee 	 knee
हंस 	 noun 	 flamingo 	 a goose, gander, swan, flamingo
हंस 	 noun 	 swan 	 a goose, gander, swan, flamingo
हंस 	 noun 	 goose 	 a goose, gander, swan, flamingo
हंस 	 noun 	 gander 	 a goose, gander, swan, flamingo
हंस 	 noun 	 bird 	 sometimes a mere poetical or mythical bird, said in Rigveda to be able to separate Soma from water, when these two fluids are mixed, and in later literature, milk from water when these two are mixed
हंस 	 noun 	 mythical 	 sometimes a mere poetical or mythical bird, said in Rigveda to be able to separate Soma from water, when these two fluids are mixed, and in later literature, milk from water when these two are mixed
हंस 	 noun 	 Soma 	 sometimes a mere poetical or mythical bird, said in Rigveda to be able to separate Soma from water, when these two fluids are mixed, and in later literature, milk from water when these two are mixed
हंस 	 noun 	 poetical 	 sometimes a mere poetical or mythical bird, said in Rigveda to be able to separate Soma from water, when these two fluids are mixed, and in later literature, milk from water when these two are mixed
हंस 	 noun 	 Rigveda 	 sometimes a mere poetical or mythical bird, said in Rigveda to be able to separate Soma from water, when these two fluids are mixed, and in later literature, milk from water when these two are mixed
हंस 	 noun 	 soul 	 the soul or spirit
हंस 	 noun 	 spirit 	 the soul or spirit
हंस 	 noun 	 Kāma 	 sometimes "the Universal Soul or Supreme Spirit", identified with Virāj, Nārāyaṇa, Vishnu, Shiva, Kāma, and the Sun
हंस 	 noun 	 Virāj 	 sometimes "the Universal Soul or Supreme Spirit", identified with Virāj, Nārāyaṇa, Vishnu, Shiva, Kāma, and the Sun
हंस 	 noun 	 Vishnu 	 sometimes "the Universal Soul or Supreme Spirit", identified with Virāj, Nārāyaṇa, Vishnu, Shiva, Kāma, and the Sun
हंस 	 noun 	 Nārāyaṇa 	 sometimes "the Universal Soul or Supreme Spirit", identified with Virāj, Nārāyaṇa, Vishnu, Shiva, Kāma, and the Sun
हंस 	 noun 	 Shiva 	 sometimes "the Universal Soul or Supreme Spirit", identified with Virāj, Nārāyaṇa, Vishnu, Shiva, Kāma, and the Sun
हंस 	 noun 	 ascetic 	 a kind of ascetic
हंस 	 noun 	 man 	 a man of supernatural qualities born under a particular constellation
हंस 	 noun 	 constellation 	 a man of supernatural qualities born under a particular constellation
हंस 	 noun 	 draught 	 an excellent draught-ox
हंस 	 noun 	 ox 	 an excellent draught-ox
हंस 	 noun 	 temple 	 a temple of a particular form
हंस 	 noun 	 mantra 	 a kind of mantra or mystical text
हंस 	 noun 	 preceptor 	 a spiritual preceptor
हरि 	 adjective 	 green 	 to be yellow or green
हरि 	 adjective 	 yellow 	 to be yellow or green
हरि 	 adjective 	 brown 	 brown
हरि 	 adjective 	 tawny 	 tawny
हरि 	 adjective 	 pale 	 pale
हरि 	 adjective 	 yellow 	 yellow
हरि 	 adjective 	 fallow 	 fallow
हरि 	 adjective 	 bay 	 bay
हरि 	 adjective 	 green 	 green
हरि 	 adjective 	 greenish 	 greenish
हरि 	 noun 	 steed 	 a horse, steed
हरि 	 noun 	 horse 	 a horse, steed
हरि 	 noun 	 lion 	 a lion
हरि 	 noun 	 sun 	 the sun
हरि 	 noun 	 monkey 	 a monkey
हरि 	 noun 	 light 	 a ray of light
हरि 	 noun 	 ray 	 a ray of light
हरि 	 noun 	 moon 	 the moon
हरि 	 noun 	 Vigna mungo 	 Legumes mungo bean, Vigna mungo
हरि 	 noun 	 jackal 	 a jackal
हरि 	 noun 	 parrot 	 a parrot
हरि 	 noun 	 peacock 	 peacock
हरि 	 noun 	 koil 	 the koil or Indian cuckoo
हरि 	 noun 	 goose 	 a goose
हरि 	 noun 	 frog 	 a frog
हरि 	 noun 	 snake 	 a snake
हरि 	 noun 	 fire 	 fire
हरि 	 noun 	 wind 	 the wind
गञ्ज 	 noun 	 disrespect 	 disrespect
घोर 	 adjective 	 terrible 	 terrific, frightful, terrible, dreadful, violent, vehement
घोर 	 adjective 	 dreadful 	 terrific, frightful, terrible, dreadful, violent, vehement
घोर 	 adjective 	 violent 	 terrific, frightful, terrible, dreadful, violent, vehement
घोर 	 adjective 	 vehement 	 terrific, frightful, terrible, dreadful, violent, vehement
घोर 	 adjective 	 frightful 	 terrific, frightful, terrible, dreadful, violent, vehement
घोर 	 adjective 	 terrific 	 terrific, frightful, terrible, dreadful, violent, vehement
घोर 	 adjective 	 venerable 	 venerable, awful, sublime
घोर 	 adjective 	 sublime 	 venerable, awful, sublime
घोर 	 adjective 	 awful 	 venerable, awful, sublime
घोर 	 noun 	 plant 	 name of a cucurbitaceous plant
घोर 	 noun 	 cucurbitaceous 	 name of a cucurbitaceous plant
घोर 	 noun 	 awfulness 	 awfulness, horror
घोर 	 noun 	 horror 	 awfulness, horror
घोर 	 noun 	 poison 	 poison
घोर 	 noun 	 saffron 	 saffron
घृण 	 noun 	 heat 	 heat, ardour, sunshine
घृण 	 noun 	 ardour 	 heat, ardour, sunshine
घृण 	 noun 	 sunshine 	 heat, ardour, sunshine
अस्ति 	 verb 	 be 	 to be
अस्ति 	 verb 	 live 	 to live
अस्ति 	 verb 	 exist 	 to exist, be present
अस्ति 	 verb 	 happen 	 to take place, happen
अस्ति 	 verb 	 take place 	 to take place, happen
अस्ति 	 verb 	 dwell 	 to abide, dwell, stay
अस्ति 	 verb 	 stay 	 to abide, dwell, stay
अस्ति 	 verb 	 abide 	 to abide, dwell, stay
अस्ति 	 verb 	 belong 	 to belong to
अस्ति 	 verb 	 turn out 	 to turn out, tend towards any result, prove
अस्ति 	 verb 	 become 	 to become
नामन् 	 noun 	 appellation 	 name, personal name, appellation
नामन् 	 noun 	 name 	 name, personal name, appellation
नामन् 	 noun 	 manner 	 a characteristic mark or sign, form, nature, kind, manner
नामन् 	 noun 	 form 	 a characteristic mark or sign, form, nature, kind, manner
नामन् 	 noun 	 mark 	 a characteristic mark or sign, form, nature, kind, manner
नामन् 	 noun 	 kind 	 a characteristic mark or sign, form, nature, kind, manner
नामन् 	 noun 	 sign 	 a characteristic mark or sign, form, nature, kind, manner
नामन् 	 noun 	 nature 	 a characteristic mark or sign, form, nature, kind, manner
नामन् 	 noun 	 noun 	 a noun
नामन् 	 noun 	 essence 	 substance, essence
नामन् 	 noun 	 substance 	 substance, essence
नामन् 	 noun 	 renown 	 a good or great name, renown, fame
नामन् 	 noun 	 fame 	 a good or great name, renown, fame
आस् 	 noun 	 mouth 	 mouth
आस् 	 noun 	 face 	 face
सुवति 	 verb 	 produce 	 to set in motion, urge, impel, vivify, create, produce
सुवति 	 verb 	 urge 	 to set in motion, urge, impel, vivify, create, produce
सुवति 	 verb 	 vivify 	 to set in motion, urge, impel, vivify, create, produce
सुवति 	 verb 	 create 	 to set in motion, urge, impel, vivify, create, produce
सुवति 	 verb 	 impel 	 to set in motion, urge, impel, vivify, create, produce
सुवति 	 verb 	 set in motion 	 to set in motion, urge, impel, vivify, create, produce
सुवति 	 verb 	 hurl upon 	 to hurl upon
सुवति 	 verb 	 grant 	 to grant, bestow
सुवति 	 verb 	 bestow 	 to grant, bestow
सुवति 	 verb 	 appoint 	 to appoint or consecrate to
सुवति 	 verb 	 consecrate 	 to appoint or consecrate to
सुवति 	 verb 	 allow 	 to allow, authorize
सुवति 	 verb 	 authorize 	 to allow, authorize
अंस 	 noun 	 shoulder 	 shoulder, shoulder-blade
अंस 	 noun 	 shoulder-blade 	 shoulder, shoulder-blade
अंस 	 noun 	 corner 	 corner of a quadrangle
अंस 	 noun 	 quadrangle 	 corner of a quadrangle
अंस 	 noun 	 altar 	 the two shoulders or angles of an altar
सवितृ 	 noun 	 vivifier 	 a stimulator, rouser, vivifier
सवितृ 	 noun 	 rouser 	 a stimulator, rouser, vivifier
सवितृ 	 noun 	 stimulator 	 a stimulator, rouser, vivifier
सवितृ 	 noun 	 Calotropis gigantea 	 Calotropis gigantea
प्रकाश 	 noun 	 light 	 lustre, brightness, light
